バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,777,WALTZ,千葉県,1042,HMKM.R,千葉県,1151,ROEN,千葉県,0,,-
1st&substream,RUGGED ASH,0,,-,367,WALTZ,千葉県,400,IJOKTP,千葉県,1078,PADORA,千葉県,2046,SEIRYU,千葉県
1st&substream,R3,0,,-,647,WALTZ,千葉県,728,KR-976,千葉県,899,SEIRYU,千葉県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,551,WALTZ,千葉県,739,WALTZ,千葉県,1106,ROEN,千葉県,0,,-
1st&substream,Macho Gang,0,,-,377,3TNO.D,千葉県,1051,3TNO.D,千葉県,1633,TENIN,千葉県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,196,KI.,千葉県,244,3TNO.D,千葉県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,863,WALTZ,千葉県,983,WALTZ,千葉県,1194,3TNO.D,千葉県,0,,-
1st&substream,gentle stress,0,,-,344,MAX-??,千葉県,676,SMILY.,千葉県,1443,PSY6CK,千葉県,0,,-
1st&substream,GENOM SCREAMS,0,,-,414,WALTZ,千葉県,810,3TNO.D,千葉県,1066,NYARU.,千葉県,0,,-
1st&substream,GAMBOL,0,,-,273,L!E1V,千葉県,274,SMILY.,千葉県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,408,SMILY.,千葉県,517,KR-976,千葉県,578,SMILY.,千葉県,0,,-
1st&substream,deep in you,0,,-,497,SMILY.,千葉県,503,ONESHO,千葉県,656,SMILY.,千葉県,0,,-
1st&substream,5.1.1.,0,,-,198,SMILY.,千葉県,1011,SMILY.,千葉県,1570,TENIN,千葉県,0,,-
1st&substream,22DUNK,0,,-,523,ONESHO,千葉県,633,ONESHO,千葉県,657,ISSIKI,千葉県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,498,MAX-??,千葉県,620,CHIYA.,千葉県,646,CHIYA.,千葉県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,568,WALTZ,千葉県,861,TENIN,千葉県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,847,MAX-??,千葉県,1097,IIDX29,千葉県,1220,HINANO,千葉県,0,,-
2nd style,I Was The One,0,,-,535,WALTZ,千葉県,642,3TNO.D,千葉県,692,TSUJI,千葉県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,748,WALTZ,千葉県,932,ONESHO,千葉県,1053,PSY6CK,千葉県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,717,WALTZ,千葉県,1032,ONESHO,千葉県,1125,ROEN,千葉県,0,,-
2nd style,.59,0,,-,696,DREAM,千葉県,1012,GILL,千葉県,1154,PSY6CK,千葉県,0,,-
3rd style,THE SAFARI,365,SMILY.,千葉県,1188,WALTZ,千葉県,1756,ISSIKI,千葉県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,276,MAX-??,千葉県,395,KI.,千葉県,0,,-,0,,-
3rd style,Skyscraper,0,,-,735,KI.,千葉県,1184,ONESHO,千葉県,1248,ISSIKI,千葉県,0,,-
3rd style,Schlagwerk,0,,-,810,WALTZ,千葉県,1293,KI.,千葉県,1684,ROEN,千葉県,0,,-
3rd style,REINCARNATION,0,,-,805,YAMATO,千葉県,1005,TSUJI,千葉県,1268,YUZ.,千葉県,0,,-
3rd style,R5,0,,-,763,KNTK,千葉県,1150,BT2100,千葉県,1778,U*TAKA,千葉県,0,,-
3rd style,Presto,0,,-,529,WALTZ,千葉県,982,ZRX-II,千葉県,1005,PRECOG,千葉県,0,,-
3rd style,LEADING CYBER,0,,-,841,WALTZ,千葉県,1192,KOU,千葉県,1268,ROEN,千葉県,0,,-
3rd style,Holic,0,,-,769,WALTZ,千葉県,1206,L!E1V,千葉県,1737,SEIRYU,千葉県,0,,-
3rd style,era (nostalmix),0,,-,834,TAEVAS,千葉県,1087,KRAG20,千葉県,1553,U*TAKA,千葉県,0,,-
3rd style,Don't Stop!,0,,-,760,WALTZ,千葉県,849,KR-976,千葉県,903,SMILY.,千葉県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,610,WALTZ,千葉県,1241,A.CRYS,千葉県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,918,WALTZ,千葉県,1232,PSY6CK,千葉県,1316,YUJI,千葉県,0,,-
4th style,SWEET LAB,0,,-,536,YAMATO,千葉県,924,YAMATO,千葉県,1372,U*TAKA,千葉県,0,,-
4th style,starmine,445,SMILY.,千葉県,893,WALTZ,千葉県,1393,IIDX29,千葉県,1593,MIKU.N,千葉県,0,,-
4th style,Mr.T.(take me higher),0,,-,825,YAMATO,千葉県,998,RECALL,千葉県,1751,0-.-0,千葉県,0,,-
4th style,minimalian,0,,-,514,YAMATO,千葉県,1064,PADORA,千葉県,1397,ROEN,千葉県,0,,-
4th style,LOVE WILL・・・,0,,-,552,TSUJI,千葉県,753,WALTZ,千葉県,1463,ISSIKI,千葉県,0,,-
4th style,KAMIKAZE,0,,-,1004,WALTZ,千葉県,1443,WALTZ,千葉県,2287,TENIN,千葉県,0,,-
4th style,Jam&Marmalade,0,,-,737,LX.666,千葉県,902,ISSIKI,千葉県,1001,3TNO.D,千葉県,0,,-
4th style,Hitch Hiker2,0,,-,822,WALTZ,千葉県,1165,WALTZ,千葉県,1308,PSY6CK,千葉県,1934,0-.-0,千葉県
4th style,HIGHER,0,,-,527,WALTZ,千葉県,921,AGUILA,千葉県,1274,PSY6CK,千葉県,0,,-
4th style,FLOWERS for ALBION,0,,-,238,L!E1V,千葉県,440,U*TAKA,千葉県,0,,-,0,,-
4th style,era (step mix),0,,-,1076,TAEVAS,千葉県,1408,HMKM.R,千葉県,1724,U*TAKA,千葉県,0,,-
4th style,empathy,0,,-,796,YAMATO,千葉県,1326,3TNO.D,千葉県,1444,3TNO.D,千葉県,0,,-
4th style,DXY!,0,,-,1259,3TNO.D,千葉県,1806,L!E1V,千葉県,2286,SEIRYU,千葉県,0,,-
4th style,Clione,0,,-,505,YAMATO,千葉県,921,HMKM.R,千葉県,1611,ISSIKI,千葉県,2169,NYARU.,千葉県
4th style,CHECKING YOU OUT,0,,-,624,ROEN,千葉県,908,LOWE.,千葉県,1381,U*TAKA,千葉県,0,,-
4th style,Burnin' The Floor,0,,-,579,WALTZ,千葉県,950,AGUILA,千葉県,1435,PSY6CK,千葉県,0,,-
4th style,Broken My Heart,0,,-,934,WALTZ,千葉県,1426,WALTZ,千葉県,1805,CIAO.,千葉県,0,,-
4th style,B4U,0,,-,1043,KI.,千葉県,1552,3TNO.D,千葉県,2007,U*TAKA,千葉県,0,,-
4th style,ABSOLUTE,0,,-,1306,WALTZ,千葉県,1752,CLOVER,千葉県,2386,U*TAKA,千葉県,2731,SEIRYU,千葉県
4th style,250bpm,0,,-,689,3TNO.D,千葉県,1001,3TNO.D,千葉県,1403,TENIN,千葉県,0,,-
5th style,V,345,SMILY.,千葉県,1282,3TNO.D,千葉県,2449,A.CRYS,千葉県,3024,SEIRYU,千葉県,0,,-
5th style,THE SHINING POLARIS,0,,-,926,WALTZ,千葉県,1292,HMKM.R,千葉県,1580,ROEN,千葉県,0,,-
5th style,THE CUBE,0,,-,733,KI.,千葉県,1271,TENIN,千葉県,1343,PRECOG,千葉県,0,,-
5th style,sync,0,,-,1079,TAEVAS,千葉県,1917,FUYOSH,千葉県,2396,NYARU.,千葉県,0,,-
5th style,still my words,0,,-,912,WALTZ,千葉県,1234,SEIRYU,千葉県,0,,-,0,,-
5th style,STILL IN MY HEART,0,,-,1001,TAEVAS,千葉県,1350,ORANGE,千葉県,1917,YUZ.,千葉県,0,,-
5th style,Spin the disc,0,,-,795,WALTZ,千葉県,1272,TSUJI,千葉県,1338,TENIN,千葉県,0,,-
5th style,RISLIM,0,,-,895,YAMATO,千葉県,1224,GILL,千葉県,0,,-,0,,-
5th style,RIDE ON THE LIGHT (HI GREAT MIX),0,,-,897,WALTZ,千葉県,1075,VTUBER,千葉県,1714,NYARU.,千葉県,1821,CIAO.,千葉県
5th style,Regulus,0,,-,1058,SMILY.,千葉県,1472,KI.,千葉県,1705,HINANO,千葉県,0,,-
5th style,Real,0,,-,1084,TAEVAS,千葉県,1643,DANNY.,千葉県,1809,MIKU.N,千葉県,0,,-
5th style,Radical Faith,0,,-,1159,WALTZ,千葉県,1490,KI.,千葉県,1302,GILL,千葉県,0,,-
5th style,QQQ,0,,-,1194,.COM-R,千葉県,1851,.4&?,千葉県,2146,IIDX29,千葉県,0,,-
5th style,outer wall,0,,-,935,SMILY.,千葉県,1341,3TNO.D,千葉県,1764,SEIRYU,千葉県,0,,-
5th style,LOVE AGAIN TONIGHT～for Mellisa mix～,0,,-,748,WALTZ,千葉県,984,WALTZ,千葉県,1117,3TNO.D,千葉県,0,,-
5th style,in my eyes,0,,-,948,WALTZ,千葉県,1441,WALTZ,千葉県,1584,NYARU.,千葉県,0,,-
5th style,Abyss,0,,-,1267,KI.,千葉県,1623,ISSIKI,千葉県,1878,ISSIKI,千葉県,0,,-
6th style,電人イェーガーのテーマ(Theme of DENJIN J),0,,-,1103,RECALL,千葉県,1564,CIAO.,千葉県,0,,-,0,,-
6th style,こっちを向いてよ,0,,-,807,YAMATO,千葉県,1250,ONESHO,千葉県,1384,MIKU.N,千葉県,0,,-
6th style,VJ ARMY,0,,-,1264,WALTZ,千葉県,1694,3TNO.D,千葉県,2237,U*TAKA,千葉県,0,,-
6th style,Take It Easy,0,,-,1466,TAEVAS,千葉県,2366,LOWE.,千葉県,2505,HINANO,千葉県,0,,-
6th style,Summer Vacation(CU mix),0,,-,1229,YAMATO,千葉県,1841,MIKU.N,千葉県,0,,-,0,,-
6th style,SOMETHING WONDERFUL,0,,-,931,SMILY.,千葉県,1301,TAEVAS,千葉県,1977,ISSIKI,千葉県,0,,-
6th style,route 80s,0,,-,874,YAMATO,千葉県,1191,NOKI73,千葉県,1510,SEIRYU,千葉県,0,,-
6th style,rottel-da-sun,0,,-,799,WALTZ,千葉県,1364,NYARU.,千葉県,1859,0-.-0,千葉県,0,,-
6th style,NEMESIS,0,,-,1010,YAMATO,千葉県,1621,3TNO.D,千葉県,1920,U*TAKA,千葉県,0,,-
6th style,Linus,0,,-,951,WALTZ,千葉県,1537,TSUJI,千葉県,2200,U*TAKA,千葉県,0,,-
6th style,G2,0,,-,1448,3TNO.D,千葉県,1768,3TNO.D,千葉県,2326,U*TAKA,千葉県,0,,-
6th style,Frozen Ray (original mix),0,,-,1306,WALTZ,千葉県,1728,TSUJI,千葉県,1799,PSY6CK,千葉県,0,,-
6th style,Free Style,0,,-,879,RED777,千葉県,1093,TSUJI,千葉県,1308,YUZ.,千葉県,0,,-
6th style,fly through the night,0,,-,858,YAMATO,千葉県,1287,YAMATO,千葉県,1705,ISSIKI,千葉県,0,,-
6th style,DIVE ～INTO YOUR HEART～,0,,-,1279,KI.,千葉県,1759,TAEVAS,千葉県,2116,NYARU.,千葉県,0,,-
6th style,Colors (radio edit),0,,-,1425,WALTZ,千葉県,1937,A.CRYS,千葉県,2435,SEIRYU,千葉県,0,,-
6th style,Buffalo,0,,-,992,TAEVAS,千葉県,1450,HRBR*,千葉県,1784,ZAKURO,千葉県,2530,U*TAKA,千葉県
6th style,Blueberry Stream,0,,-,827,WALTZ,千葉県,1386,TAEVAS,千葉県,1618,KUSA,千葉県,0,,-
6th style,BALLAD FOR YOU～想いの雨～,0,,-,580,WALTZ,千葉県,753,WALTZ,千葉県,1071,TENIN,千葉県,0,,-
6th style,"19,November",0,,-,1109,KI.,千葉県,1422,KI.,千葉県,1777,HINANO,千葉県,0,,-
7th style,革命,0,,-,743,WALTZ,千葉県,1922,HMKM.R,千葉県,2293,3TNO.D,千葉県,0,,-
7th style,ZERO-ONE,0,,-,1079,YAMATO,千葉県,1680,KI.,千葉県,2243,NYARU.,千葉県,0,,-
7th style,traces,0,,-,1508,KI.,千葉県,1883,HMKM.R,千葉県,2147,NYARU.,千葉県,0,,-
7th style,Tomorrow Perfume,0,,-,1294,TAEVAS,千葉県,1873,3TNO.D,千葉県,2118,PSY6CK,千葉県,0,,-
7th style,stoic,0,,-,1644,TAEVAS,千葉県,2282,TAEVAS,千葉県,2573,SEIRYU,千葉県,0,,-
7th style,Spica,0,,-,638,TAEVAS,千葉県,1426,HMKM.R,千葉県,2278,U*TAKA,千葉県,0,,-
7th style,Love Me Do,0,,-,1105,.COM-R,千葉県,1670,HMKM.R,千葉県,2112,U*TAKA,千葉県,0,,-
7th style,Let the Snow Paint Me,0,,-,850,WALTZ,千葉県,1052,HMKM.R,千葉県,1243,PSY6CK,千葉県,0,,-
7th style,Last Message,0,,-,1004,SMILY.,千葉県,1308,SMILY.,千葉県,1617,YUZ.,千葉県,0,,-
7th style,Happy Wedding,0,,-,1208,SMILY.,千葉県,1643,KI.,千葉県,1834,MIKU.N,千葉県,0,,-
7th style,Glorious Days,0,,-,508,WALTZ,千葉県,790,TAEVAS,千葉県,911,SMILY.,千葉県,0,,-
7th style,foreplay,0,,-,704,SEIRYU,千葉県,1156,TAEVAS,千葉県,1297,KASSAN,千葉県,0,,-
7th style,DESTINY,0,,-,1060,WALTZ,千葉県,1364,A.CRYS,千葉県,1838,NYARU.,千葉県,0,,-
7th style,D2R,0,,-,911,YAMATO,千葉県,1301,AGUILA,千葉県,1633,NYARU.,千葉県,0,,-
7th style,Cheer Train,0,,-,922,KI.,千葉県,1205,TSUJI,千葉県,1729,ROEN,千葉県,0,,-
7th style,Burning Heat! (Full Option Mix),0,,-,693,YAMATO,千葉県,926,ONESHO,千葉県,1474,NYARU.,千葉県,0,,-
7th style,Bad Routine,0,,-,1008,HMKM.R,千葉県,1397,3TNO.D,千葉県,1913,ISSIKI,千葉県,0,,-
7th style,AVE DE RAPINA,0,,-,1355,WALTZ,千葉県,1651,KARAKY,千葉県,1826,HINANO,千葉県,0,,-
7th style,A,0,,-,1265,WALTZ,千葉県,2090,TAEVAS,千葉県,2504,U*TAKA,千葉県,0,,-
8th style,蒼い衝動,0,,-,905,TAEVAS,千葉県,1355,3TNO.D,千葉県,1596,NYARU.,千葉県,0,,-
8th style,桜,0,,-,1006,TAEVAS,千葉県,1490,L!E1V,千葉県,2220,U*TAKA,千葉県,0,,-
8th style,xenon,0,,-,1099,TAEVAS,千葉県,1641,TAEVAS,千葉県,2737,NYARU.,千葉県,0,,-
8th style,World Wide Love,0,,-,688,MAX-??,千葉県,1028,YAMATO,千葉県,1118,KR-976,千葉県,0,,-
8th style,WAR GAME,0,,-,955,WALTZ,千葉県,1550,3TNO.D,千葉県,2146,U*TAKA,千葉県,0,,-
8th style,thunder,0,,-,1172,WALTZ,千葉県,1605,ISSIKI,千葉県,1888,ISSIKI,千葉県,0,,-
8th style,symbolic,0,,-,1403,XAN.96,千葉県,1773,TAEVAS,千葉県,2240,0-.-0,千葉県,0,,-
8th style,rainbow flyer,0,,-,825,WALTZ,千葉県,1646,KOTA*,千葉県,2139,U*TAKA,千葉県,0,,-
8th style,PLEASE DON'T GO,0,,-,998,0-.-0,千葉県,1374,S!N,千葉県,2461,SEIRYU,千葉県,0,,-
8th style,MUSIC TO YOUR HEAD,0,,-,809,WALTZ,千葉県,1325,YAMATO,千葉県,1677,ISSIKI,千葉県,0,,-
8th style,murmur twins,0,,-,1116,TAEVAS,千葉県,1647,KI.,千葉県,2380,SEIRYU,千葉県,0,,-
8th style,Monkey Dance,0,,-,821,SMILY.,千葉県,1365,AGUILA,千葉県,1979,U*TAKA,千葉県,0,,-
8th style,memories,0,,-,1125,KI.,千葉県,2032,KI.,千葉県,2240,MIKU.N,千葉県,0,,-
8th style,Luv 2 Feel Your Body,0,,-,834,YAMATO,千葉県,1050,TSUJI,千葉県,1632,MIKU.N,千葉県,0,,-
8th style,LOVE IS ORANGE,0,,-,789,TAEVAS,千葉県,1022,TAEVAS,千葉県,1787,KASSAN,千葉県,2102,YUZ.,千葉県
8th style,LAB,0,,-,1035,N-A-O,千葉県,1944,3TNO.D,千葉県,2106,NIHEHE,千葉県,0,,-
8th style,HYPER BOUNDARY GATE,0,,-,1247,WALTZ,千葉県,1866,XAN.96,千葉県,2219,SEIRYU,千葉県,0,,-
8th style,Halfway of promise,0,,-,951,WALTZ,千葉県,1471,AGUILA,千葉県,1836,U*TAKA,千葉県,0,,-
8th style,Giudecca,0,,-,885,YAMATO,千葉県,1926,#NAME#,千葉県,2698,U*TAKA,千葉県,0,,-
8th style,dual control,0,,-,733,YAMATO,千葉県,1433,GTO,千葉県,1898,MIKU.N,千葉県,0,,-
8th style,Colors -Y&Co. Eurobeat Remix-,0,,-,1140,WALTZ,千葉県,2005,A.CRYS,千葉県,2168,PSY6CK,千葉県,0,,-
8th style,CELEBRATE NITE,0,,-,919,WALTZ,千葉県,1161,TSUJI,千葉県,1424,SEIRYU,千葉県,0,,-
8th style,Blame,0,,-,1178,WALTZ,千葉県,1533,TSUJI,千葉県,1943,NYARU.,千葉県,0,,-
8th style,bit mania,0,,-,899,TAEVAS,千葉県,1270,38BI-K,千葉県,1865,ISSIKI,千葉県,0,,-
8th style,Attitude,0,,-,1023,WALTZ,千葉県,1375,AGUILA,千葉県,1747,PSY6CK,千葉県,0,,-
8th style,ALL RIGHT,0,,-,876,3TNO.D,千葉県,1261,TSUJI,千葉県,1619,TENIN,千葉県,0,,-
8th style,airflow,0,,-,577,GILL,千葉県,778,GILL,千葉県,1430,U*TAKA,千葉県,0,,-
8th style,abstract,0,,-,1249,YAMATO,千葉県,1604,ONESHO,千葉県,1887,PRECOG,千葉県,0,,-
9th style,真夏の花・真夏の夢,0,,-,808,YAMATO,千葉県,1120,YAMATO,千葉県,1463,PSY6CK,千葉県,0,,-
9th style,ライオン好き,0,,-,639,WALTZ,千葉県,1178,ONESHO,千葉県,1504,0-.-0,千葉県,0,,-
9th style,SWEETEST SAVAGE,0,,-,649,WALTZ,千葉県,1337,XAN.96,千葉県,1832,SEIRYU,千葉県,0,,-
9th style,Sweet Sweet Magic,0,,-,992,.COM-R,千葉県,1513,3TNO.D,千葉県,2049,NYARU.,千葉県,0,,-
9th style,STAR FIELD,0,,-,679,WALTZ,千葉県,1566,3TNO.D,千葉県,1875,0-.-0,千葉県,0,,-
9th style,SNOW,0,,-,1052,KI.,千葉県,1349,XAN.96,千葉県,2041,SEIRYU,千葉県,0,,-
9th style,Silvia Drive,0,,-,838,WALTZ,千葉県,1528,TSUJI,千葉県,2048,SEIRYU,千葉県,0,,-
9th style,rottel-the-Mercury,0,,-,987,WALTZ,千葉県,1880,TAEVAS,千葉県,2263,TENIN,千葉県,0,,-
9th style,RISLIM -Remix-,0,,-,795,WALTZ,千葉県,965,WALTZ,千葉県,1888,YUZ.,千葉県,0,,-
9th style,Really Love,0,,-,629,WALTZ,千葉県,951,SABO10,千葉県,1755,U*TAKA,千葉県,0,,-
9th style,Quickening,0,,-,909,YAMATO,千葉県,1628,KI4MEN,千葉県,2106,NYARU.,千葉県,0,,-
9th style,quasar,0,,-,1134,NOKI73,千葉県,1754,L!E1V,千葉県,2318,U*TAKA,千葉県,0,,-
9th style,one or eight,0,,-,1322,WALTZ,千葉県,1819,TSUJI,千葉県,2305,SEIRYU,千葉県,0,,-
9th style,moon_child,0,,-,1037,TAEVAS,千葉県,1932,RECALL,千葉県,2551,SEIRYU,千葉県,0,,-
9th style,MARIA (I believe... ),0,,-,737,A.CRYS,千葉県,1557,HMKM.R,千葉県,1959,NYARU.,千葉県,0,,-
9th style,Make A Difference,0,,-,877,SMILY.,千葉県,1598,3TNO.D,千葉県,2239,ISSIKI,千葉県,0,,-
9th style,lower world,0,,-,1333,WALTZ,千葉県,1888,TSUJI,千葉県,2237,PRECOG,千葉県,0,,-
9th style,LOVE SHINE,538,SMILY.,千葉県,851,TAEVAS,千葉県,1833,3TNO.D,千葉県,2081,TENIN,千葉県,0,,-
9th style,lights,0,,-,693,WALTZ,千葉県,1449,KI.,千葉県,1784,SEIRYU,千葉県,0,,-
9th style,Karma,0,,-,1307,WALTZ,千葉県,1642,3TNO.D,千葉県,1814,TENIN,千葉県,0,,-
9th style,I Was The One (80's EUROBEAT STYLE),0,,-,772,YAMATO,千葉県,1317,TAEVAS,千葉県,1447,0-.-0,千葉県,0,,-
9th style,HYPER EUROBEAT (2DX style),0,,-,1094,KI.,千葉県,1630,KI.,千葉県,1964,NYARU.,千葉県,0,,-
9th style,Golden Horn,0,,-,686,YAMATO,千葉県,1163,N-A-O,千葉県,1484,TENIN,千葉県,0,,-
9th style,e-motion 2003  -romantic extra-,0,,-,1267,YAMATO,千葉県,1595,TSUJI,千葉県,1982,0-.-0,千葉県,0,,-
9th style,Distress,0,,-,1323,XAN.96,千葉県,1848,SEIRYU,千葉県,0,,-,0,,-
9th style,Cradle,0,,-,847,.COM-R,千葉県,1433,HMKM.R,千葉県,1599,U*TAKA,千葉県,0,,-
9th style,BRIGHTNESS DARKNESS,0,,-,715,WALTZ,千葉県,1453,TSUJI,千葉県,1759,0-.-0,千葉県,0,,-
9th style,bag,0,,-,907,WALTZ,千葉県,1181,XAN.96,千葉県,1909,TENIN,千葉県,0,,-
9th style,BAD BOY BASS!! (dj Remo-con MIX),0,,-,928,KI.,千葉県,1401,ISSIKI,千葉県,1796,NYARU.,千葉県,0,,-
9th style,ATOMIC AGE,0,,-,364,WALTZ,千葉県,655,TSUJI,千葉県,1326,U*TAKA,千葉県,0,,-
9th style,ACT,0,,-,1038,SMILY.,千葉県,1643,HMKM.R,千葉県,1828,PSY6CK,千葉県,0,,-
9th style,Abyss -The Heavens Remix-,575,SMILY.,千葉県,1484,WALTZ,千葉県,1846,HMKM.R,千葉県,2368,NYARU.,千葉県,0,,-
10th style,雪月花,0,,-,1234,SMILY.,千葉県,1848,ORANGE,千葉県,2527,SEIRYU,千葉県,0,,-
10th style,システムロマンス,0,,-,893,WALTZ,千葉県,1765,A.CRYS,千葉県,2035,NYARU.,千葉県,0,,-
10th style,SPACE FIGHT,0,,-,636,WALTZ,千葉県,1465,HMKM.R,千葉県,2249,SEIRYU,千葉県,0,,-
10th style,SHOOTING STAR,0,,-,1267,WALTZ,千葉県,1603,3TNO.D,千葉県,2276,NYARU.,千葉県,0,,-
10th style,Rise'n Beauty,0,,-,1290,SMILY.,千葉県,1580,HMKM.R,千葉県,2169,NYARU.,千葉県,0,,-
10th style,rainbow rainbow,0,,-,1531,WALTZ,千葉県,2161,TAEVAS,千葉県,2734,U*TAKA,千葉県,0,,-
10th style,pandora,0,,-,891,WALTZ,千葉県,1628,HMKM.R,千葉県,1852,SEIRYU,千葉県,0,,-
10th style,One More Lovely,0,,-,876,SMILY.,千葉県,1625,TSUJI,千葉県,2886,U*TAKA,千葉県,0,,-
10th style,No.13,0,,-,1640,WALTZ,千葉県,2534,TAEVAS,千葉県,3176,SEIRYU,千葉県,0,,-
10th style,Narcissus At Oasis,0,,-,766,TAEVAS,千葉県,1556,HMKM.R,千葉県,1664,NYARU.,千葉県,0,,-
10th style,Lucy,0,,-,967,ONESHO,千葉県,1767,3TNO.D,千葉県,2307,TENIN,千葉県,0,,-
10th style,Love Is Eternity,0,,-,1216,WALTZ,千葉県,1919,A.CRYS,千葉県,2401,ISSIKI,千葉県,0,,-
10th style,Innocent Walls,0,,-,1633,TSUJI,千葉県,2480,NYARU.,千葉県,2834,SEIRYU,千葉県,0,,-
10th style,HIGH,0,,-,917,TAEVAS,千葉県,1854,KIRA,千葉県,2160,TENIN,千葉県,0,,-
10th style,GRADIUS -FULL SPEED-,0,,-,668,YAMATO,千葉県,1188,3TNO.D,千葉県,2119,U*TAKA,千葉県,0,,-
