バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,769,EIKRA7,富山県,964,LIME,富山県,1139,SUBA67,富山県,0,,-
1st&substream,RUGGED ASH,0,,-,370,EIKRA7,富山県,392,KE2BAN,富山県,1046,SO*FLY,富山県,2022,RIOO,富山県
1st&substream,R3,0,,-,622,Y.HIKI,富山県,655,AN-BM-,富山県,883,SO*FLY,富山県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,560,EIKRA7,富山県,689,DEATH!,富山県,1084,MARE,富山県,0,,-
1st&substream,Macho Gang,0,,-,338,DEATH!,富山県,941,ABCDEF,富山県,1585,WATAME,富山県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,196,EIKRA7,富山県,244,EIKRA7,富山県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,811,DUTCH,富山県,973,RISHA.,富山県,1186,CRZ-K.,富山県,0,,-
1st&substream,gentle stress,0,,-,344,EIKRA7,富山県,678,CRZ-K.,富山県,1429,WATAME,富山県,0,,-
1st&substream,GENOM SCREAMS,0,,-,419,EIKRA7,富山県,782,CRZ-R.,富山県,1057,MA2NO3,富山県,0,,-
1st&substream,GAMBOL,0,,-,274,EIKRA7,富山県,274,EIKRA7,富山県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,408,EIKRA7,富山県,478,AN-BM-,富山県,568,LIME,富山県,0,,-
1st&substream,deep in you,0,,-,444,M.K710,富山県,448,M.K710,富山県,649,SO*FLY,富山県,0,,-
1st&substream,5.1.1.,0,,-,198,EIKRA7,富山県,945,OZ,富山県,1559,RIOO,富山県,0,,-
1st&substream,22DUNK,0,,-,517,Y43,富山県,584,IIHITO,富山県,633,CRZ-K.,富山県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,508,EIKRA7,富山県,615,EIKRA7,富山県,643,EIKRA7,富山県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,528,YAMA,富山県,847,Y43,富山県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,831,IIHITO,富山県,929,M.K710,富山県,1203,MA2NO3,富山県,0,,-
2nd style,I Was The One,0,,-,537,EIKRA7,富山県,576,-REI-,富山県,678,MA2NO3,富山県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,689,M.K710,富山県,817,DEATH!,富山県,1044,SENJU,富山県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,648,DEATH!,富山県,924,AIM.,富山県,1106,Y43,富山県,0,,-
2nd style,.59,0,,-,660,M.K710,富山県,1017,RIOO,富山県,1163,RIOO,富山県,0,,-
3rd style,THE SAFARI,366,EIKRA7,富山県,1126,Y.HIKI,富山県,1730,AAABBB,富山県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,282,EIKRA7,富山県,394,RIOO,富山県,0,,-,0,,-
3rd style,Skyscraper,0,,-,672,S-NITE,富山県,1023,YAMAYA,富山県,1223,SO*FLY,富山県,0,,-
3rd style,Schlagwerk,0,,-,745,M.K710,富山県,1174,M.K710,富山県,1664,MARI6N,富山県,0,,-
3rd style,REINCARNATION,0,,-,783,M.K710,富山県,874,DEATH!,富山県,1251,CRZ-K.,富山県,0,,-
3rd style,R5,0,,-,774,EIKRA7,富山県,1118,LIME,富山県,1775,RIOO,富山県,0,,-
3rd style,Presto,0,,-,543,EIKRA7,富山県,959,EIKRA7,富山県,1011,RIOO,富山県,0,,-
3rd style,LEADING CYBER,0,,-,782,M.K710,富山県,1200,MA2NO3,富山県,1269,RIOO,富山県,0,,-
3rd style,Holic,0,,-,683,Y.HIKI,富山県,1203,Y43,富山県,1729,RIOO,富山県,0,,-
3rd style,era (nostalmix),0,,-,758,DEATH!,富山県,1083,RIOO,富山県,1534,RIOO,富山県,0,,-
3rd style,Don't Stop!,0,,-,772,EIKRA7,富山県,766,YAMA,富山県,899,SO*FLY,富山県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,619,EIKRA7,富山県,1223,SO*FLY,富山県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,895,EIKRA7,富山県,1251,RIOO,富山県,1323,RIOO,富山県,0,,-
4th style,SWEET LAB,0,,-,508,M.K710,富山県,802,AIM.,富山県,1294,WATAME,富山県,0,,-
4th style,starmine,448,EIKRA7,富山県,829,ABESHI,富山県,1372,CRZ-K.,富山県,1569,RISHA.,富山県,0,,-
4th style,Mr.T.(take me higher),0,,-,784,ABESHI,富山県,918,AN-BM-,富山県,1717,MA2NO3,富山県,0,,-
4th style,minimalian,0,,-,489,ABESHI,富山県,945,IIDX28,富山県,1384,Y43,富山県,0,,-
4th style,LOVE WILL・・・,0,,-,516,ABESHI,富山県,751,EIKRA7,富山県,1458,SO*FLY,富山県,0,,-
4th style,KAMIKAZE,0,,-,1014,EIKRA7,富山県,1393,IIHITO,富山県,2269,RIOO,富山県,0,,-
4th style,Jam&Marmalade,0,,-,710,ABESHI,富山県,761,AN-BM-,富山県,1002,WATAME,富山県,0,,-
4th style,Hitch Hiker2,0,,-,726,M.K710,富山県,1123,Y.HIKI,富山県,1294,SO*FLY,富山県,1943,RIOO,富山県
4th style,HIGHER,0,,-,538,EIKRA7,富山県,839,M.K710,富山県,1264,SO*FLY,富山県,0,,-
4th style,FLOWERS for ALBION,0,,-,221,IIHITO,富山県,443,RIOO,富山県,0,,-,0,,-
4th style,era (step mix),0,,-,977,ABESHI,富山県,1135,M.K710,富山県,1718,RIOO,富山県,0,,-
4th style,empathy,0,,-,784,ABESHI,富山県,1310,LIME,富山県,1416,SHUN,富山県,0,,-
4th style,DXY!,0,,-,1274,EIKRA7,富山県,1755,SO*FLY,富山県,2256,RIOO,富山県,0,,-
4th style,Clione,0,,-,528,EIKRA7,富山県,875,NONAME,富山県,1604,RIOO,富山県,2170,RIOO,富山県
4th style,CHECKING YOU OUT,0,,-,559,ABESHI,富山県,833,RISHA.,富山県,1355,RIOO,富山県,0,,-
4th style,Burnin' The Floor,0,,-,586,EIKRA7,富山県,884,KURE,富山県,1437,RIOO,富山県,0,,-
4th style,Broken My Heart,0,,-,832,ABESHI,富山県,1224,YAMAYA,富山県,1774,WATAME,富山県,0,,-
4th style,B4U,0,,-,947,ABESHI,富山県,1439,Y.HIKI,富山県,1967,Y43,富山県,0,,-
4th style,ABSOLUTE,0,,-,1212,ABESHI,富山県,1662,TAMA,富山県,2315,SAK!-S,富山県,2665,Y43,富山県
4th style,250bpm,0,,-,630,493KSK,富山県,993,LIME,富山県,1347,WATAME,富山県,0,,-
5th style,V,346,EIKRA7,富山県,1248,TKYS,富山県,2439,CRZ-K.,富山県,3000,RIOO,富山県,0,,-
5th style,THE SHINING POLARIS,0,,-,931,EIKRA7,富山県,1156,KURE,富山県,1548,AMBER,富山県,0,,-
5th style,THE CUBE,0,,-,682,ABESHI,富山県,1186,Y.HIKI,富山県,1334,SENJU,富山県,0,,-
5th style,sync,0,,-,1073,LIME,富山県,1849,Y43,富山県,2386,RIOO,富山県,0,,-
5th style,still my words,0,,-,854,M.K710,富山県,1210,EIKRA7,富山県,0,,-,0,,-
5th style,STILL IN MY HEART,0,,-,938,ABESHI,富山県,1115,YAMAYA,富山県,1870,WATAME,富山県,0,,-
5th style,Spin the disc,0,,-,789,EIKRA7,富山県,1093,NONAME,富山県,1306,MA27GA,富山県,0,,-
5th style,RISLIM,0,,-,844,TAKOST,富山県,1198,WATAME,富山県,0,,-,0,,-
5th style,RIDE ON THE LIGHT (HI GREAT MIX),0,,-,842,ABESHI,富山県,951,Y.HIKI,富山県,1690,RIOO,富山県,1800,RIOO,富山県
5th style,Regulus,0,,-,1048,EIKRA7,富山県,1283,DUTCH,富山県,1721,RIOO,富山県,0,,-
5th style,Real,0,,-,1109,EIKRA7,富山県,1400,IIHITO,富山県,1829,RIOO,富山県,0,,-
5th style,Radical Faith,0,,-,1067,ABESHI,富山県,1276,AIM.,富山県,1269,AMBER,富山県,0,,-
5th style,QQQ,0,,-,1151,ABESHI,富山県,1810,CRZ-K.,富山県,2126,WATAME,富山県,0,,-
5th style,outer wall,0,,-,853,ABESHI,富山県,1206,Y.HIKI,富山県,1724,MA2NO3,富山県,0,,-
5th style,LOVE AGAIN TONIGHT～for Mellisa mix～,0,,-,756,EIKRA7,富山県,924,KURE,富山県,1119,RIOO,富山県,0,,-
5th style,in my eyes,0,,-,950,EIKRA7,富山県,1405,LETTY.,富山県,1527,SENJU,富山県,0,,-
5th style,Abyss,0,,-,1171,ABESHI,富山県,1606,WATAME,富山県,1855,MA2NO3,富山県,0,,-
6th style,電人イェーガーのテーマ(Theme of DENJIN J),0,,-,1020,ABESHI,富山県,1518,SO*FLY,富山県,0,,-,0,,-
6th style,こっちを向いてよ,0,,-,765,ABESHI,富山県,1074,YAMAYA,富山県,1383,RIOO,富山県,0,,-
6th style,VJ ARMY,0,,-,1224,PALACE,富山県,1677,CRZ-K.,富山県,2194,RIOO,富山県,0,,-
6th style,Take It Easy,0,,-,1323,ABESHI,富山県,2227,IIHITO,富山県,2531,RIOO,富山県,0,,-
6th style,Summer Vacation(CU mix),0,,-,1130,YAMAYA,富山県,1783,Y43,富山県,0,,-,0,,-
6th style,SOMETHING WONDERFUL,0,,-,808,DEATH!,富山県,1268,LETTY.,富山県,1882,SO*FLY,富山県,0,,-
6th style,route 80s,0,,-,827,ABESHI,富山県,1028,YAMAYA,富山県,1480,MARI6N,富山県,0,,-
6th style,rottel-da-sun,0,,-,803,EIKRA7,富山県,1185,OOTA.,富山県,1839,WATAME,富山県,0,,-
6th style,NEMESIS,0,,-,896,ABESHI,富山県,1366,DELTA,富山県,1921,RIOO,富山県,0,,-
6th style,Linus,0,,-,884,ABESHI,富山県,1366,NOPPO?,富山県,2191,RIOO,富山県,0,,-
6th style,G2,0,,-,1387,OZ,富山県,1461,AIM.,富山県,2363,RIOO,富山県,0,,-
6th style,Frozen Ray (original mix),0,,-,1192,YAMAYA,富山県,1694,Y43,富山県,1798,RIOO,富山県,0,,-
6th style,Free Style,0,,-,852,ABESHI,富山県,929,M.K710,富山県,1275,WATAME,富山県,0,,-
6th style,fly through the night,0,,-,817,AN-BM-,富山県,1162,YAMAYA,富山県,1678,RISHA.,富山県,0,,-
6th style,DIVE ～INTO YOUR HEART～,0,,-,1198,IIHITO,富山県,1693,Y.HIKI,富山県,2035,AAABBB,富山県,0,,-
6th style,Colors (radio edit),0,,-,1355,ABESHI,富山県,1755,TAMA,富山県,2452,RIOO,富山県,0,,-
6th style,Buffalo,0,,-,930,AN-BM-,富山県,1237,YAMAYA,富山県,1744,Y43,富山県,2524,RIOO,富山県
6th style,Blueberry Stream,0,,-,771,ABESHI,富山県,1288,IIHITO,富山県,1599,WATAME,富山県,0,,-
6th style,BALLAD FOR YOU～想いの雨～,0,,-,538,YAMA,富山県,715,YANTYA,富山県,1069,RISHA.,富山県,0,,-
6th style,"19,November",0,,-,1013,DEATH!,富山県,1298,ABCDEF,富山県,1753,MA2NO3,富山県,0,,-
7th style,革命,0,,-,699,AN-BM-,富山県,1791,NOPPO?,富山県,2326,RIOO,富山県,0,,-
7th style,ZERO-ONE,0,,-,1024,ABESHI,富山県,1559,NYAN,富山県,2188,WATAME,富山県,0,,-
7th style,traces,0,,-,1456,LIME,富山県,1808,LIME,富山県,2107,MA2NO3,富山県,0,,-
7th style,Tomorrow Perfume,0,,-,1158,Y.HIKI,富山県,1651,HARU1.,富山県,2052,SUBA67,富山県,0,,-
7th style,stoic,0,,-,1556,Y.HIKI,富山県,2221,MNIMNI,富山県,2577,RIOO,富山県,0,,-
7th style,Spica,0,,-,643,EIKRA7,富山県,1252,ABCDEF,富山県,2278,RIOO,富山県,0,,-
7th style,Love Me Do,0,,-,1045,ABESHI,富山県,1552,YAMAYA,富山県,2098,WATAME,富山県,0,,-
7th style,Let the Snow Paint Me,0,,-,845,EIKRA7,富山県,981,YAMAYA,富山県,1231,SO*FLY,富山県,0,,-
7th style,Last Message,0,,-,932,Y.HIKI,富山県,1244,LIME,富山県,1589,SO*FLY,富山県,0,,-
7th style,Happy Wedding,0,,-,1113,IIHITO,富山県,1442,IIDX28,富山県,1849,RIOO,富山県,0,,-
7th style,Glorious Days,0,,-,481,ABESHI,富山県,683,YANTYA,富山県,912,RIOO,富山県,0,,-
7th style,foreplay,0,,-,630,M.K710,富山県,1160,Y43,富山県,1276,Y43,富山県,0,,-
7th style,DESTINY,0,,-,994,ABESHI,富山県,1273,BEAR3L,富山県,1836,RIOO,富山県,0,,-
7th style,D2R,0,,-,932,UMEKOO,富山県,1092,YAMAYA,富山県,1600,WATAME,富山県,0,,-
7th style,Cheer Train,0,,-,913,EIKRA7,富山県,1044,YAMAYA,富山県,1737,RIOO,富山県,0,,-
7th style,Burning Heat! (Full Option Mix),0,,-,618,M.K710,富山県,807,M.K710,富山県,1446,WATAME,富山県,0,,-
7th style,Bad Routine,0,,-,1011,EIKRA7,富山県,1273,YAMAYA,富山県,1890,WATAME,富山県,0,,-
7th style,AVE DE RAPINA,0,,-,1250,ABESHI,富山県,1473,M.K710,富山県,1761,Y43,富山県,0,,-
7th style,A,0,,-,1238,ABESHI,富山県,1907,LIME,富山県,2492,RIOO,富山県,0,,-
8th style,蒼い衝動,0,,-,877,ABESHI,富山県,1169,WANI,富山県,1579,MA2NO3,富山県,0,,-
8th style,桜,0,,-,906,NEET-F,富山県,1476,CRZ-K.,富山県,2032,WATAME,富山県,0,,-
8th style,xenon,0,,-,1021,ABESHI,富山県,1578,LETTY.,富山県,2738,RIOO,富山県,0,,-
8th style,World Wide Love,0,,-,640,ABESHI,富山県,976,AN-BM-,富山県,1099,SO*FLY,富山県,0,,-
8th style,WAR GAME,0,,-,872,ABESHI,富山県,1410,LAGEAS,富山県,2141,WATAME,富山県,0,,-
8th style,thunder,0,,-,1090,ABESHI,富山県,1544,Y43,富山県,1827,SAK!-S,富山県,0,,-
8th style,symbolic,0,,-,1326,ABESHI,富山県,1733,LETTY.,富山県,2208,MA2NO3,富山県,0,,-
8th style,rainbow flyer,0,,-,767,ABESHI,富山県,1438,KURE,富山県,2093,MA2NO3,富山県,0,,-
8th style,PLEASE DON'T GO,0,,-,951,EIKRA7,富山県,1211,47CHI9,富山県,2477,RIOO,富山県,0,,-
8th style,MUSIC TO YOUR HEAD,0,,-,824,EIKRA7,富山県,1187,YAMAYA,富山県,1689,RIOO,富山県,0,,-
8th style,murmur twins,0,,-,1056,ABESHI,富山県,1522,DELTA,富山県,2384,RIOO,富山県,0,,-
8th style,Monkey Dance,0,,-,753,ABESHI,富山県,1349,CRZ-K.,富山県,1951,MA2NO3,富山県,0,,-
8th style,memories,0,,-,1023,AN-BM-,富山県,1782,IKRAKM,富山県,2164,SO*FLY,富山県,0,,-
8th style,Luv 2 Feel Your Body,0,,-,805,IIHITO,富山県,910,YAMAYA,富山県,1599,Y43,富山県,0,,-
8th style,LOVE IS ORANGE,0,,-,798,EIKRA7,富山県,972,YAMAYA,富山県,1799,RIOO,富山県,2104,RIOO,富山県
8th style,LAB,0,,-,984,ABESHI,富山県,1713,Y.HIKI,富山県,2033,MA2NO3,富山県,0,,-
8th style,HYPER BOUNDARY GATE,0,,-,1117,YAMAYA,富山県,1809,LETTY.,富山県,2189,RIOO,富山県,0,,-
8th style,Halfway of promise,0,,-,900,ABESHI,富山県,1455,KAZTR*,富山県,1775,MA2NO3,富山県,0,,-
8th style,Giudecca,0,,-,829,M.K710,富山県,1760,OOTA.,富山県,2717,RIOO,富山県,0,,-
8th style,dual control,0,,-,671,ABESHI,富山県,1133,YAMAYA,富山県,1897,RIOO,富山県,0,,-
