バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,744,DUKE,石川県,1051,NEZKY,石川県,1141,NEZKY,石川県,0,,-
1st&substream,RUGGED ASH,0,,-,354,DUKE,石川県,384,DUKE,石川県,1063,NEZKY,石川県,1976,MIA,石川県
1st&substream,R3,0,,-,623,DUKE,石川県,675,AKISTE,石川県,888,NEZKY,石川県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,524,KANON,石川県,722,DUKE,石川県,1102,YASTIN,石川県,0,,-
1st&substream,Macho Gang,0,,-,363,DUKE,石川県,952,NUIT,石川県,1607,NEZKY,石川県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,188,DUKE,石川県,243,NEZKY,石川県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,849,DUKE,石川県,921,FIND-L,石川県,1187,NEZKY,石川県,0,,-
1st&substream,gentle stress,0,,-,338,DUKE,石川県,643,DUKE,石川県,1440,6UNIX9,石川県,0,,-
1st&substream,GENOM SCREAMS,0,,-,405,DUKE,石川県,821,446,石川県,1061,6UNIX9,石川県,0,,-
1st&substream,GAMBOL,0,,-,266,DUKE,石川県,271,7GIKY,石川県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,372,DUKE,石川県,484,DUKE,石川県,572,NEZKY,石川県,0,,-
1st&substream,deep in you,0,,-,469,DUKE,石川県,463,DUKE,石川県,660,NEZKY,石川県,0,,-
1st&substream,5.1.1.,0,,-,198,RIS.KS,石川県,919,RYOKI.,石川県,1558,MAC11N,石川県,0,,-
1st&substream,22DUNK,0,,-,496,KEY&CO,石川県,620,TAK875,石川県,647,NEZKY,石川県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,483,DUKE,石川県,605,D-HYAN,石川県,645,NEZKY,石川県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,539,DUKE,石川県,859,6UNIX9,石川県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,820,DUKE,石川県,1026,RYOKI.,石川県,1213,NEZKY,石川県,0,,-
2nd style,I Was The One,0,,-,512,DUKE,石川県,626,DUKE,石川県,687,NEZKY,石川県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,729,DUKE,石川県,881,DUKE,石川県,1054,NEZKY,石川県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,688,DUKE,石川県,970,DUKE,石川県,1102,NEZKY,石川県,0,,-
2nd style,.59,0,,-,678,KANON,石川県,953,RYOKI.,石川県,1147,NEZKY,石川県,0,,-
3rd style,THE SAFARI,354,DUKE,石川県,1085,RYOKI.,石川県,1732,MAC11N,石川県,0,,-,0,,-
