バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,0,,-,917,SRI*MA,福井県,1106,OFPAKO,福井県,0,,-
1st&substream,RUGGED ASH,0,,-,303,MELL,福井県,385,SRI*MA,福井県,987,*YOU3*,福井県,1972,84RISK,福井県
1st&substream,R3,0,,-,397,YASU,福井県,664,2HOU,福井県,886,IWAZO,福井県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,481,TAKANA,福井県,591,NAMMI,福井県,1051,KOBA84,福井県,0,,-
1st&substream,Macho Gang,0,,-,288,MELL,福井県,956,KOMAKI,福井県,1537,*YOU3*,福井県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,181,MONO,福井県,240,IWAZO,福井県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,807,RIA,福井県,922,LIT,福井県,1181,IWAZO,福井県,0,,-
1st&substream,gentle stress,0,,-,316,?,福井県,655,RIKI-P,福井県,1430,SPCHAN,福井県,0,,-
1st&substream,GENOM SCREAMS,0,,-,276,YOH,福井県,699,SUBARU,福井県,1056,84RISK,福井県,0,,-
1st&substream,GAMBOL,0,,-,250,RALM,福井県,264,INDEX,福井県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,383,KOMAKI,福井県,496,84LISK,福井県,567,KYUN7G,福井県,0,,-
1st&substream,deep in you,0,,-,325,CHIKA,福井県,466,KOMAKI,福井県,629,NK,福井県,0,,-
1st&substream,5.1.1.,0,,-,171,X68K,福井県,985,KOMAKI,福井県,1538,MG-CAL,福井県,0,,-
1st&substream,22DUNK,0,,-,476,2HOU,福井県,569,SUBARU,福井県,620,KYUN7G,福井県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,452,I4CHAN,福井県,0,,-,634,KYUN7G,福井県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,530,RIA,福井県,833,MG-CAL,福井県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,813,MONO,福井県,964,KOMAKI,福井県,1204,MG-CAL,福井県,0,,-
2nd style,I Was The One,0,,-,510,2HOU,福井県,569,SUBARU,福井県,674,KYUN7G,福井県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,739,TUINTR,福井県,876,SUBARU,福井県,1013,RGVSY,福井県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,448,CHIKA,福井県,975,KOMAKI,福井県,1102,84RISK,福井県,0,,-
2nd style,.59,0,,-,685,RIKI-P,福井県,898,SRI*MA,福井県,1137,84RISK,福井県,0,,-
3rd style,THE SAFARI,139,HIBNK,福井県,1054,SRI*MA,福井県,1708,MG-CAL,福井県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,270,X68K,福井県,387,KYUN7G,福井県,0,,-,0,,-
3rd style,Skyscraper,0,,-,680,LIT,福井県,1042,SUBARU,福井県,1220,KENJI,福井県,0,,-
3rd style,Schlagwerk,0,,-,0,,-,1228,KOMAKI,福井県,1544,TUINTR,福井県,0,,-
3rd style,REINCARNATION,0,,-,630,MELL,福井県,966,KOMAKI,福井県,1192,AYN,福井県,0,,-
3rd style,R5,0,,-,442,NOOOOO,福井県,1103,KOMAKI,福井県,1730,SAEKI.,福井県,0,,-
3rd style,Presto,0,,-,196,KRENNA,福井県,934,RIKI-P,福井県,987,IWAZO,福井県,0,,-
3rd style,LEADING CYBER,0,,-,0,,-,1115,RUBY,福井県,1186,TUINTR,福井県,0,,-
3rd style,Holic,0,,-,0,,-,1186,MO84MI,福井県,1632,COZY,福井県,0,,-
3rd style,era (nostalmix),0,,-,701,I4CHAN,福井県,1023,TUINTR,福井県,1488,MAD2KI,福井県,0,,-
3rd style,Don't Stop!,0,,-,401,NOOOOO,福井県,825,RIKI-P,福井県,898,84RISK,福井県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,549,SRI*MA,福井県,1244,84RISK,福井県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,839,MONO,福井県,1047,KOMAKI,福井県,1271,SAEKI.,福井県,0,,-
4th style,SWEET LAB,0,,-,28,HAMGMS,福井県,683,X68K,福井県,1248,MG-CAL,福井県,0,,-
4th style,starmine,219,FJSK,福井県,780,RIA,福井県,1304,MAHU,福井県,1568,SLAY.,福井県,0,,-
4th style,Mr.T.(take me higher),0,,-,720,RIA,福井県,392,SRI*MA,福井県,1700,MAD2KI,福井県,0,,-
4th style,minimalian,0,,-,204,NOOOOO,福井県,622,NATE,福井県,1375,84RISK,福井県,0,,-
4th style,LOVE WILL・・・,0,,-,497,2HOU,福井県,720,84LISK,福井県,1432,IWAZO,福井県,0,,-
4th style,KAMIKAZE,0,,-,635,ZUNDA3,福井県,1155,X68K,福井県,2206,KINOKO,福井県,0,,-
4th style,Jam&Marmalade,0,,-,0,,-,531,-39Y,福井県,966,RGVSY,福井県,0,,-
4th style,Hitch Hiker2,0,,-,0,,-,1145,MO84MI,福井県,1273,KENJI,福井県,1886,84RISK,福井県
4th style,HIGHER,0,,-,288,KRENNA,福井県,848,KOMAKI,福井県,1251,KENJI,福井県,0,,-
4th style,FLOWERS for ALBION,0,,-,180,MELL,福井県,433,QWOP,福井県,0,,-,0,,-
4th style,era (step mix),0,,-,916,RIA,福井県,1222,2HOU,福井県,1608,84LISK,福井県,0,,-
4th style,empathy,0,,-,0,,-,1293,MO84MI,福井県,1385,KYUN7G,福井県,0,,-
4th style,DXY!,0,,-,791,YASU,福井県,1790,HAG-A,福井県,2161,R-ALI,福井県,0,,-
4th style,Clione,0,,-,357,CHIKA,福井県,899,MO84MI,福井県,1563,KINOKO,福井県,2095,MAD2KI,福井県
4th style,CHECKING YOU OUT,0,,-,464,I4CHAN,福井県,845,MONO,福井県,1264,SAEKI.,福井県,0,,-
