バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,739,40KNOT,長野県,979,40KNOT,長野県,1144,BGI#34,長野県,0,,-
1st&substream,RUGGED ASH,0,,-,359,40KNOT,長野県,399,HIROTA,長野県,1078,BGI#34,長野県,1982,SYAKU8,長野県
1st&substream,R3,0,,-,541,ZED,長野県,708,YZXXZ,長野県,879,2KADA.,長野県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,502,ZED,長野県,722,40KNOT,長野県,1109,AP.INA,長野県,0,,-
1st&substream,Macho Gang,0,,-,371,BGI#34,長野県,981,AOBA,長野県,1595,BGI#34,長野県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,189,INSIDE,長野県,242,AP.INA,長野県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,720,7UJM,長野県,956,CHORO1,長野県,1160,DACHS,長野県,0,,-
1st&substream,gentle stress,0,,-,340,HIROTA,長野県,630,YZXXZ,長野県,1419,BGI#34,長野県,0,,-
1st&substream,GENOM SCREAMS,0,,-,384,EDEN-G,長野県,774,40KNOT,長野県,1065,AP.INA,長野県,0,,-
1st&substream,GAMBOL,0,,-,269,HIROTA,長野県,272,HIROTA,長野県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,349,ZED,長野県,477,KMP,長野県,564,LELEI,長野県,0,,-
1st&substream,deep in you,0,,-,431,HANABI,長野県,455,40KNOT,長野県,658,AP.INA,長野県,0,,-
1st&substream,5.1.1.,0,,-,198,CHORO1,長野県,987,40KNOT,長野県,1563,SYAKU8,長野県,0,,-
1st&substream,22DUNK,0,,-,497,40KNOT,長野県,616,YZXXZ,長野県,652,BGI#34,長野県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,495,40KNOT,長野県,615,40KNOT,長野県,636,IMOSY,長野県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,549,INSIDE,長野県,865,BGI#34,長野県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,795,JUN,長野県,1003,EDEN-G,長野県,1198,AP.INA,長野県,0,,-
2nd style,I Was The One,0,,-,515,8PIRON,長野県,616,YZXXZ,長野県,690,BGI#34,長野県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,729,40KNOT,長野県,883,40KNOT,長野県,1069,BGI#34,長野県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,688,40KNOT,長野県,957,40KNOT,長野県,1120,BGI#34,長野県,0,,-
2nd style,.59,0,,-,622,ZED,長野県,990,YZXXZ,長野県,1118,2KADA.,長野県,0,,-
3rd style,THE SAFARI,350,40KNOT,長野県,1129,KAZU,長野県,1733,ERUASA,長野県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,282,HIROTA,長野県,394,2KADA.,長野県,0,,-,0,,-
3rd style,Skyscraper,0,,-,628,VEGA,長野県,1138,YZXXZ,長野県,1244,SYAKU8,長野県,0,,-
3rd style,Schlagwerk,0,,-,691,MSRO,長野県,1241,YZXXZ,長野県,1674,BGI#34,長野県,0,,-
3rd style,REINCARNATION,0,,-,656,MSRO,長野県,994,R.KUZE,長野県,1272,AP.INA,長野県,0,,-
3rd style,R5,0,,-,592,UME,長野県,1130,OKAVON,長野県,1758,ERUASA,長野県,0,,-
3rd style,Presto,0,,-,482,S*TOKO,長野県,941,HILO-G,長野県,995,BGI#34,長野県,0,,-
3rd style,LEADING CYBER,0,,-,777,ELZAM,長野県,1062,RAC.#9,長野県,1252,BGI#34,長野県,0,,-
3rd style,Holic,0,,-,550,7UJM,長野県,1162,YZXXZ,長野県,1694,SYAKU8,長野県,0,,-
3rd style,era (nostalmix),0,,-,796,KAN2ME,長野県,1083,BGI#34,長野県,1452,2KADA.,長野県,0,,-
3rd style,Don't Stop!,0,,-,737,40KNOT,長野県,775,RAC.#9,長野県,884,4-EYES,長野県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,487,MSRO,長野県,1244,AP.INA,長野県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,851,40KNOT,長野県,1082,40KNOT,長野県,1321,BGI#34,長野県,0,,-
4th style,SWEET LAB,0,,-,469,SUZ,長野県,884,EDEN-G,長野県,1300,BGI#34,長野県,0,,-
4th style,starmine,436,HIROTA,長野県,778,MSRO,長野県,1341,NO-PAN,長野県,1578,SYAKU8,長野県,0,,-
4th style,Mr.T.(take me higher),0,,-,818,40KNOT,長野県,932,RAC.#9,長野県,1733,BGI#34,長野県,0,,-
4th style,minimalian,0,,-,437,SUZ,長野県,1068,3NATSU,長野県,1406,SYAKU8,長野県,0,,-
4th style,LOVE WILL・・・,0,,-,509,ZED,長野県,719,KMP,長野県,1443,BGI#34,長野県,0,,-
4th style,KAMIKAZE,0,,-,926,ELZAM,長野県,1410,R.KUZE,長野県,2262,BGI#34,長野県,0,,-
4th style,Jam&Marmalade,0,,-,715,40KNOT,長野県,817,EDEN-G,長野県,969,HILO-G,長野県,0,,-
4th style,Hitch Hiker2,0,,-,749,ELZAM,長野県,1157,OSTMMK,長野県,1306,BGI#34,長野県,1913,BGI#34,長野県
4th style,HIGHER,0,,-,420,SUZ,長野県,847,RAC.#9,長野県,1270,BGI#34,長野県,0,,-
4th style,FLOWERS for ALBION,0,,-,244,HIROTA,長野県,443,BGI#34,長野県,0,,-,0,,-
4th style,era (step mix),0,,-,1010,40KNOT,長野県,1312,OKAVON,長野県,1651,T-RA,長野県,0,,-
4th style,empathy,0,,-,732,SHUN36,長野県,1328,2KADA.,長野県,1434,BGI#34,長野県,0,,-
4th style,DXY!,0,,-,1089,AIRA,長野県,1699,NO-PAN,長野県,2239,SYAKU8,長野県,0,,-
4th style,Clione,0,,-,461,SHUN36,長野県,898,OSTMMK,長野県,1576,TMT,長野県,2127,AP.INA,長野県
4th style,CHECKING YOU OUT,0,,-,617,CHORO1,長野県,890,BGI#34,長野県,1321,SYAKU8,長野県,0,,-
4th style,Burnin' The Floor,0,,-,488,SUZ,長野県,886,RAC.#9,長野県,1420,AP.INA,長野県,0,,-
4th style,Broken My Heart,0,,-,633,MSRO,長野県,1385,40KNOT,長野県,1783,TMT,長野県,0,,-
