バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,747,PAQY,静岡県,1016,PAQY,静岡県,1154,K-CHA*,静岡県,0,,-
1st&substream,RUGGED ASH,0,,-,342,NOBU28,静岡県,397,ARRAGI,静岡県,1054,ORIGIN,静岡県,1956,RAN9,静岡県
1st&substream,R3,0,,-,637,QB*LIA,静岡県,733,*ALEX*,静岡県,900,*ALEX*,静岡県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,540,PAQY,静岡県,712,YU-KI*,静岡県,1101,*ALEX*,静岡県,0,,-
1st&substream,Macho Gang,0,,-,353,NOBU28,静岡県,1024,PAQY,静岡県,1600,KPL,静岡県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,184,OPHAZE,静岡県,242,*ALEX*,静岡県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,863,MOOON*,静岡県,993,*ALEX*,静岡県,1197,*ALEX*,静岡県,0,,-
1st&substream,gentle stress,0,,-,339,SA2RIM,静岡県,654,VELGER,静岡県,1446,K-CHA*,静岡県,0,,-
1st&substream,GENOM SCREAMS,0,,-,373,NOBU28,静岡県,753,ANDKN5,静岡県,1043,ORIGIN,静岡県,0,,-
1st&substream,GAMBOL,0,,-,268,PPTR,静岡県,274,LEON,静岡県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,389,PAQY,静岡県,508,ARRAGI,静岡県,578,*ALEX*,静岡県,0,,-
1st&substream,deep in you,0,,-,430,JUN,静岡県,440,YU-KI*,静岡県,659,*ALEX*,静岡県,0,,-
1st&substream,5.1.1.,0,,-,198,-YMTM-,静岡県,1015,*ALEX*,静岡県,1555,*ALEX*,静岡県,0,,-
1st&substream,22DUNK,0,,-,489,PAQY,静岡県,630,MOOON*,静岡県,650,*ALEX*,静岡県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,494,PAQY,静岡県,591,YU-KI*,静岡県,645,*ALEX*,静岡県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,552,PAQY,静岡県,859,*ALEX*,静岡県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,823,PAQY,静岡県,1094,MOOON*,静岡県,1216,*ALEX*,静岡県,0,,-
2nd style,I Was The One,0,,-,499,NOBU28,静岡県,604,F15H,静岡県,690,*ALEX*,静岡県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,713,JEDAIT,静岡県,928,ARRAGI,静岡県,1060,*ALEX*,静岡県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,672,NOBU28,静岡県,975,YU-KI*,静岡県,1126,*ALEX*,静岡県,0,,-
2nd style,.59,0,,-,641,PAQY,静岡県,1015,*ALEX*,静岡県,1151,*ALEX*,静岡県,0,,-
3rd style,THE SAFARI,350,HOSOUS,静岡県,1060,MARLEY,静岡県,1738,ORIGIN,静岡県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,281,HOSOUS,静岡県,393,*ALEX*,静岡県,0,,-,0,,-
3rd style,Skyscraper,0,,-,618,NOBU28,静岡県,1123,ANSWER,静岡県,1241,ORIGIN,静岡県,0,,-
3rd style,Schlagwerk,0,,-,706,NOBU28,静岡県,1316,*ALEX*,静岡県,1675,*ALEX*,静岡県,0,,-
3rd style,REINCARNATION,0,,-,811,PAQY,静岡県,1043,*ALEX*,静岡県,1276,K-CHA*,静岡県,0,,-
3rd style,R5,0,,-,729,XEXEX,静岡県,1153,*ALEX*,静岡県,1755,NANAMI,静岡県,0,,-
3rd style,Presto,0,,-,492,NOBU28,静岡県,986,*ALEX*,静岡県,1009,K-CHA*,静岡県,0,,-
3rd style,LEADING CYBER,0,,-,735,NOBU28,静岡県,1175,TO4-KI,静岡県,1277,K-CHA*,静岡県,0,,-
3rd style,Holic,0,,-,703,CLOUD9,静岡県,1166,PAQY,静岡県,1720,K-CHA*,静岡県,0,,-
3rd style,era (nostalmix),0,,-,770,AKR.,静岡県,1069,K-CHA*,静岡県,1488,03-6NE,静岡県,0,,-
3rd style,Don't Stop!,0,,-,730,CLOUD9,静岡県,819,PAQY,静岡県,901,*ALEX*,静岡県,0,,-
