バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,741,MICHI,京都府,1020,M4S1R0,京都府,1147,TKY,京都府,0,,-
1st&substream,RUGGED ASH,0,,-,353,SRAMNE,京都府,386,M4S1R0,京都府,1081,FFFFFF,京都府,2002,KOREA*,京都府
1st&substream,R3,0,,-,614,UJICHA,京都府,722,M4S1R0,京都府,901,*TASUQ,京都府,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,493,KAREN,京都府,710,MICHI,京都府,1102,TKY,京都府,0,,-
1st&substream,Macho Gang,0,,-,366,BGI#44,京都府,1045,M4S1R0,京都府,1589,PIMAN,京都府,0,,-
1st&substream,KEEP ON MOVIN',0,,-,193,M4S1R0,京都府,243,TKY,京都府,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,832,PLASTI,京都府,945,TOSHI,京都府,1203,TKY,京都府,0,,-
1st&substream,gentle stress,0,,-,334,YOU,京都府,645,M4S1R0,京都府,1447,TKY,京都府,0,,-
1st&substream,GENOM SCREAMS,0,,-,315,FLAT-N,京都府,783,FUNNY,京都府,1065,FFFFFF,京都府,0,,-
1st&substream,GAMBOL,0,,-,269,FLADY,京都府,274,TKY,京都府,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,370,YU-RE.,京都府,464,MK.K,京都府,574,TKY,京都府,0,,-
1st&substream,deep in you,0,,-,450,KAZEAZ,京都府,499,M4S1R0,京都府,661,FLADY,京都府,0,,-
1st&substream,5.1.1.,0,,-,195,FLADY,京都府,1000,M4S1R0,京都府,1559,*TASUQ,京都府,0,,-
1st&substream,22DUNK,0,,-,512,M4S1R0,京都府,617,M4S1R0,京都府,648,TKY,京都府,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,483,MICHI,京都府,575,RAN.S,京都府,648,TKY,京都府,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,474,FLAT-N,京都府,860,*TASUQ,京都府,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,794,DNA,京都府,1080,M4S1R0,京都府,1204,TKY,京都府,0,,-
2nd style,I Was The One,0,,-,448,MMM,京都府,632,M4S1R0,京都府,691,TKY,京都府,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,757,M4S1R0,京都府,934,M4S1R0,京都府,1048,TKY,京都府,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,673,#U#,京都府,1013,M4S1R0,京都府,1115,H-CHA*,京都府,0,,-
2nd style,.59,0,,-,622,RAN.S,京都府,979,M4S1R0,京都府,1139,*TASUQ,京都府,0,,-
3rd style,THE SAFARI,336,RAN.S,京都府,1148,M4S1R0,京都府,1763,FLADY,京都府,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,237,TAKUMA,京都府,395,TKY,京都府,0,,-,0,,-
3rd style,Skyscraper,0,,-,718,DBCAT,京都府,1125,TOSHI,京都府,1244,*TASUQ,京都府,0,,-
