バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,774,HIYOBU,大阪府,1006,4KO4MA,大阪府,1123,GINCH4,大阪府,0,,-
1st&substream,RUGGED ASH,0,,-,342,DIOMED,大阪府,394,HIYOBU,大阪府,1078,9.,大阪府,2033,HAKKA,大阪府
1st&substream,R3,0,,-,608,IZUMI,大阪府,704,U-KE,大阪府,901,SESELI,大阪府,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,524,DB.C,大阪府,745,BRANZ*,大阪府,1101,SESELI,大阪府,0,,-
1st&substream,Macho Gang,0,,-,378,-100K,大阪府,1029,SOUYUU,大阪府,1607,ALNIO,大阪府,0,,-
1st&substream,KEEP ON MOVIN',0,,-,192,SAYUKI,大阪府,242,MASSU-,大阪府,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,821,DB.C,大阪府,977,ANILA,大阪府,1192,SLAYER,大阪府,0,,-
1st&substream,gentle stress,0,,-,338,OTACON,大阪府,668,BU319!,大阪府,1444,SESELI,大阪府,0,,-
1st&substream,GENOM SCREAMS,0,,-,369,E.2MN,大阪府,763,BU319!,大阪府,1069,OVER.V,大阪府,0,,-
1st&substream,GAMBOL,0,,-,269,SAYUKI,大阪府,274,GGG,大阪府,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,394,ANILA,大阪府,515,BRANZ*,大阪府,575,RUIKO,大阪府,0,,-
1st&substream,deep in you,0,,-,426,DB.C,大阪府,451,DB.C,大阪府,651,X-FILE,大阪府,0,,-
1st&substream,5.1.1.,0,,-,196,INANNA,大阪府,981,KUROSU,大阪府,1561,SESELI,大阪府,0,,-
1st&substream,22DUNK,0,,-,514,SAE,大阪府,616,MSY-8,大阪府,651,IIDX28,大阪府,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,479,16DORI,大阪府,621,BRANZ*,大阪府,645,IIDX28,大阪府,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,531,E.2MN,大阪府,852,X-FILE,大阪府,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,793,DIOMED,大阪府,1072,BU319!,大阪府,1216,IIDX28,大阪府,0,,-
2nd style,I Was The One,0,,-,533,SAE,大阪府,622,SAYUKI,大阪府,686,ANILA,大阪府,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,703,MESI,大阪府,929,BU319!,大阪府,1067,CAZ,大阪府,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,684,CHANTE,大阪府,1047,HIYOBU,大阪府,1113,X-FILE,大阪府,0,,-
2nd style,.59,0,,-,623,DIOMED,大阪府,981,SESELI,大阪府,1149,YU-G,大阪府,0,,-
3rd style,THE SAFARI,358,BAOL,大阪府,1179,AABBCC,大阪府,1756,KANON,大阪府,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,275,SAE,大阪府,394,GGG,大阪府,0,,-,0,,-
3rd style,Skyscraper,0,,-,687,LATIAS,大阪府,1140,BU319!,大阪府,1247,SESELI,大阪府,0,,-
3rd style,Schlagwerk,0,,-,734,LATIAS,大阪府,1233,BU319!,大阪府,1677,LEVI,大阪府,0,,-
3rd style,REINCARNATION,0,,-,757,16DORI,大阪府,992,BU319!,大阪府,1269,SESELI,大阪府,0,,-
3rd style,R5,0,,-,731,OYUU,大阪府,1148,HIYOBU,大阪府,1757,C-GYM,大阪府,0,,-
3rd style,Presto,0,,-,499,7GA3WA,大阪府,973,LLTH.S,大阪府,998,9.,大阪府,0,,-
3rd style,LEADING CYBER,0,,-,628,UKYO*,大阪府,1100,ALF,大阪府,1255,WWW.M,大阪府,0,,-
3rd style,Holic,0,,-,766,HIYOBU,大阪府,1155,BU319!,大阪府,1684,LEVI,大阪府,0,,-
3rd style,era (nostalmix),0,,-,815,LATIAS,大阪府,1093,OVER.V,大阪府,1510,SIRON,大阪府,0,,-
3rd style,Don't Stop!,0,,-,667,UKYO*,大阪府,837,MSY-8,大阪府,899,X-FILE,大阪府,0,,-
