バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,577,NAKA,香川県,987,02GIRI,香川県,1120,JINJER,香川県,0,,-
1st&substream,RUGGED ASH,0,,-,319,NAKA,香川県,369,GOEBBE,香川県,1036,TM,香川県,2001,M.CAFE,香川県
1st&substream,R3,0,,-,541,HYU,香川県,671,TOMY,香川県,877,FTB294,香川県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,450,NAKA,香川県,693,256EXE,香川県,1074,NA,香川県,0,,-
1st&substream,Macho Gang,0,,-,349,M-2-BR,香川県,919,LE,香川県,1558,FTB294,香川県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,181,PSYCHE,香川県,231,REM,香川県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,601,BLOOD,香川県,763,256EXE,香川県,1159,KIKYO,香川県,0,,-
1st&substream,gentle stress,0,,-,332,LE,香川県,655,T,香川県,1456,M.CAFE,香川県,0,,-
1st&substream,GENOM SCREAMS,0,,-,0,,-,719,GOEBBE,香川県,1062,M.CAFE,香川県,0,,-
1st&substream,GAMBOL,0,,-,246,KAEDE,香川県,262,256EXE,香川県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,322,FUJI,香川県,468,256EXE,香川県,565,KIKYO,香川県,0,,-
1st&substream,deep in you,0,,-,379,CAFEGG,香川県,0,,-,651,M.CAFE,香川県,0,,-
1st&substream,5.1.1.,0,,-,193,TEA-KB,香川県,897,GOEBBE,香川県,1536,TRD*N,香川県,0,,-
1st&substream,22DUNK,0,,-,426,SHELA,香川県,471,256EXE,香川県,641,JINJER,香川県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,233,YKHR,香川県,0,,-,641,TM,香川県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,493,SHELA,香川県,836,M-2-BR,香川県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,689,SHELA,香川県,1000,TOMY,香川県,1234,M.CAFE,香川県,0,,-
2nd style,I Was The One,0,,-,493,256EXE,香川県,261,YKHR,香川県,681,JINJER,香川県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,608,NAKA,香川県,911,PSYCHE,香川県,1022,TM,香川県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,572,CAFEGG,香川県,918,GOEBBE,香川県,1043,VAN27,香川県,0,,-
2nd style,.59,0,,-,552,CAFEGG,香川県,945,TOMY,香川県,1107,VAN3,香川県,0,,-
3rd style,THE SAFARI,352,LE,香川県,993,1DAY,香川県,1753,M.CAFE,香川県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,238,NAKA,香川県,390,M.CAFE,香川県,0,,-,0,,-
3rd style,Skyscraper,0,,-,575,NAKA,香川県,1021,YU-R,香川県,1248,M.CAFE,香川県,0,,-
3rd style,Schlagwerk,0,,-,0,,-,1181,TOMY,香川県,1603,YU-YAN,香川県,0,,-
3rd style,REINCARNATION,0,,-,662,NAKA,香川県,0,,-,1195,KYLE.A,香川県,0,,-
3rd style,R5,0,,-,607,NAKA,香川県,1012,DZF4R,香川県,1771,M.CAFE,香川県,0,,-
3rd style,Presto,0,,-,419,NAKA,香川県,945,M-2-BR,香川県,961,02GIRI,香川県,0,,-
3rd style,LEADING CYBER,0,,-,606,CAFEGG,香川県,1102,LE,香川県,1189,NA,香川県,0,,-
3rd style,Holic,0,,-,681,GOEBBE,香川県,1092,TOMY,香川県,1728,M.CAFE,香川県,0,,-
3rd style,era (nostalmix),0,,-,626,CAFEGG,香川県,1059,GNSCCI,香川県,1465,JINJER,香川県,0,,-
3rd style,Don't Stop!,0,,-,737,TCF,香川県,0,,-,896,JINJER,香川県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,501,NAKA,香川県,1209,M-2-BR,香川県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,720,SHELA,香川県,1187,ENBRY,香川県,1308,M.CAFE,香川県,0,,-
4th style,SWEET LAB,0,,-,205,YKHR,香川県,877,LE,香川県,1375,M.CAFE,香川県,0,,-
4th style,starmine,432,LE,香川県,851,TOMY,香川県,1363,KYLE.A,香川県,1534,TM,香川県,0,,-
4th style,Mr.T.(take me higher),0,,-,649,NAKA,香川県,0,,-,1741,WL2,香川県,0,,-
4th style,minimalian,0,,-,462,SHELA,香川県,1047,02GIRI,香川県,1339,4RSN4L,香川県,0,,-
4th style,LOVE WILL・・・,0,,-,464,HYU,香川県,676,TANAKA,香川県,1458,M.CAFE,香川県,0,,-
4th style,KAMIKAZE,0,,-,816,K,香川県,1102,FUJI,香川県,2230,ENBRY,香川県,0,,-
4th style,Jam&Marmalade,0,,-,604,NAKA,香川県,814,TOMY,香川県,930,KIKYO,香川県,0,,-
4th style,Hitch Hiker2,0,,-,682,HYU,香川県,809,OJISAN,香川県,1213,TM,香川県,1927,M.CAFE,香川県
4th style,HIGHER,0,,-,341,HARUU,香川県,823,PASERI,香川県,1275,M.CAFE,香川県,0,,-
4th style,FLOWERS for ALBION,0,,-,146,VAN27,香川県,438,M.CAFE,香川県,0,,-,0,,-
4th style,era (step mix),0,,-,848,NAKA,香川県,1103,PASERI,香川県,1597,02GIRI,香川県,0,,-
4th style,empathy,0,,-,0,,-,1148,GOEBBE,香川県,1316,SULUME,香川県,0,,-
4th style,DXY!,0,,-,1064,GOEBBE,香川県,1722,MATO,香川県,2258,M.CAFE,香川県,0,,-
4th style,Clione,0,,-,441,NAKA,香川県,910,VAN3,香川県,1535,KIKYO,香川県,2014,VAN73,香川県
4th style,CHECKING YOU OUT,0,,-,578,LE,香川県,915,M.CAFE,香川県,1352,M.CAFE,香川県,0,,-
4th style,Burnin' The Floor,0,,-,484,NAKA,香川県,503,CAFEGG,香川県,1435,M.CAFE,香川県,0,,-
4th style,Broken My Heart,0,,-,672,OJISAN,香川県,1137,MANA,香川県,1739,NA,香川県,0,,-
4th style,B4U,0,,-,975,ADB,香川県,1445,VAN73,香川県,1998,M.CAFE,香川県,0,,-
4th style,ABSOLUTE,0,,-,1079,CAFEGG,香川県,1631,TOMY,香川県,2249,REM,香川県,2616,VAN3,香川県
4th style,250bpm,0,,-,495,SHELA,香川県,900,TOMY,香川県,1315,KIKYO,香川県,0,,-
5th style,V,341,LE,香川県,1191,TOMY,香川県,2454,VAN3,香川県,3016,M.CAFE,香川県,0,,-
5th style,THE SHINING POLARIS,0,,-,721,PASERI,香川県,1228,TOMY,香川県,1576,M.CAFE,香川県,0,,-
5th style,THE CUBE,0,,-,731,FTB294,香川県,1168,TOMY,香川県,1270,JINJER,香川県,0,,-
5th style,sync,0,,-,1038,TOMY,香川県,1865,M-2-BR,香川県,2401,M.CAFE,香川県,0,,-
5th style,still my words,0,,-,742,NAKA,香川県,1206,JINJER,香川県,0,,-,0,,-
5th style,STILL IN MY HEART,0,,-,0,,-,1264,02GIRI,香川県,1934,M.CAFE,香川県,0,,-
5th style,Spin the disc,0,,-,627,NAKA,香川県,1011,HYU,香川県,1294,VAN3,香川県,0,,-
5th style,RISLIM,0,,-,668,NAKA,香川県,1230,M.CAFE,香川県,0,,-,0,,-
