バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,558,ERIWO,愛媛県,981,TAKOSS,愛媛県,1121,18KING,愛媛県,0,,-
1st&substream,RUGGED ASH,0,,-,345,ERIWO,愛媛県,340,ERIWO,愛媛県,1081,A-SCR,愛媛県,1913,18KING,愛媛県
1st&substream,R3,0,,-,591,VOLT,愛媛県,715,TAKOSS,愛媛県,871,NG,愛媛県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,515,REAL#G,愛媛県,696,TAKOSS,愛媛県,1082,NG,愛媛県,0,,-
1st&substream,Macho Gang,0,,-,367,AAAAAA,愛媛県,921,VOLT,愛媛県,1572,A-SCR,愛媛県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,165,ERIWO,愛媛県,243,18KING,愛媛県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,825,VOLT,愛媛県,939,TAKOSS,愛媛県,1154,18KING,愛媛県,0,,-
1st&substream,gentle stress,0,,-,300,UNI-19,愛媛県,590,MIZUKI,愛媛県,1423,18KING,愛媛県,0,,-
1st&substream,GENOM SCREAMS,0,,-,296,ERIWO,愛媛県,738,TAKOSS,愛媛県,1043,18KING,愛媛県,0,,-
1st&substream,GAMBOL,0,,-,263,VOLT,愛媛県,269,Z0RA,愛媛県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,375,VOLT,愛媛県,481,VOLT,愛媛県,559,-631*-,愛媛県,0,,-
1st&substream,deep in you,0,,-,356,ERIWO,愛媛県,463,VOLT,愛媛県,633,18KING,愛媛県,0,,-
1st&substream,5.1.1.,0,,-,191,KA5ME,愛媛県,991,KA5ME,愛媛県,1546,KU4KA2,愛媛県,0,,-
1st&substream,22DUNK,0,,-,497,VOLT,愛媛県,613,TAKOSS,愛媛県,622,NG,愛媛県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,456,ERIWO,愛媛県,586,MIZUKI,愛媛県,629,18KING,愛媛県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,447,NEKO,愛媛県,807,ALAZIF,愛媛県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,657,ERIWO,愛媛県,1047,VOLT,愛媛県,1173,18KING,愛媛県,0,,-
2nd style,I Was The One,0,,-,441,ERIWO,愛媛県,609,VOLT,愛媛県,681,Z0RA,愛媛県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,722,VOLT,愛媛県,912,VOLT,愛媛県,1044,Z0RA,愛媛県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,633,MIZUKI,愛媛県,758,UNI-19,愛媛県,1051,MOTZ,愛媛県,0,,-
2nd style,.59,0,,-,683,VOLT,愛媛県,944,VOLT,愛媛県,1116,MOMOMO,愛媛県,0,,-
3rd style,THE SAFARI,331,OJIN,愛媛県,1090,AIR,愛媛県,1741,OSE-9,愛媛県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,158,D,愛媛県,367,ZATR,愛媛県,0,,-,0,,-
3rd style,Skyscraper,0,,-,0,,-,974,D-ZERO,愛媛県,1203,KU4KA2,愛媛県,0,,-
3rd style,Schlagwerk,0,,-,0,,-,1251,TAKOSS,愛媛県,1634,18KING,愛媛県,0,,-
3rd style,REINCARNATION,0,,-,515,RU$T,愛媛県,954,R1C3.S,愛媛県,1213,-631*-,愛媛県,0,,-
3rd style,R5,0,,-,642,MIZUKI,愛媛県,1111,KA5ME,愛媛県,1733,A-SCR,愛媛県,0,,-
3rd style,Presto,0,,-,218,CURE-M,愛媛県,974,OSE-9,愛媛県,990,18KING,愛媛県,0,,-
3rd style,LEADING CYBER,0,,-,0,,-,1121,TAKOSS,愛媛県,1236,18KING,愛媛県,0,,-
3rd style,Holic,0,,-,570,MTD981,愛媛県,1144,ONARA,愛媛県,1709,OSE-9,愛媛県,0,,-
3rd style,era (nostalmix),0,,-,748,REAL#G,愛媛県,992,YO4NO,愛媛県,1430,OSE-9,愛媛県,0,,-
3rd style,Don't Stop!,0,,-,735,KA5ME,愛媛県,638,ERIWO,愛媛県,890,18KING,愛媛県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,417,MTD981,愛媛県,1224,18KING,愛媛県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,869,KA5ME,愛媛県,1194,A-SCR,愛媛県,1244,18KING,愛媛県,0,,-
4th style,SWEET LAB,0,,-,0,,-,812,MF#ARR,愛媛県,1249,MUNAX,愛媛県,0,,-
4th style,starmine,404,UNI-19,愛媛県,711,UNI-19,愛媛県,1295,RQWA2!,愛媛県,1570,A-SCR,愛媛県,0,,-
4th style,Mr.T.(take me higher),0,,-,369,ERRITA,愛媛県,885,ANNA,愛媛県,1678,GYAREN,愛媛県,0,,-
4th style,minimalian,0,,-,145,TORO,愛媛県,719,NONAME,愛媛県,1352,-631*-,愛媛県,0,,-
4th style,LOVE WILL・・・,0,,-,473,ERIWO,愛媛県,173,NANASI,愛媛県,1435,18KING,愛媛県,0,,-
4th style,KAMIKAZE,0,,-,712,I$,愛媛県,1170,MIZUKI,愛媛県,2243,LEMON*,愛媛県,0,,-
4th style,Jam&Marmalade,0,,-,659,MIZUKI,愛媛県,841,TAKOSS,愛媛県,958,KOUZI,愛媛県,0,,-
4th style,Hitch Hiker2,0,,-,0,,-,856,ERIWO,愛媛県,1262,GYAREN,愛媛県,1922,OSE-9,愛媛県
4th style,HIGHER,0,,-,245,TORO,愛媛県,669,ERIWO,愛媛県,1230,-631*-,愛媛県,0,,-
