バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,0,,-,1011,ILLYA.,高知県,1080,MAHO.,高知県,0,,-
1st&substream,RUGGED ASH,0,,-,280,NOPI,高知県,402,NOIK.K,高知県,1012,INI,高知県,1942,NOOKEN,高知県
1st&substream,R3,0,,-,462,NOPI,高知県,505,NOPI,高知県,877,NOIK.K,高知県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,550,ILLYA.,高知県,676,KOMODO,高知県,1039,ILLYA.,高知県,0,,-
1st&substream,Macho Gang,0,,-,329,NETTIE,高知県,966,SEA&,高知県,1564,Z,高知県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,178,IIDX27,高知県,235,TOGE,高知県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,855,ILLYA.,高知県,0,,-,1118,Z,高知県,0,,-
1st&substream,gentle stress,0,,-,0,,-,0,,-,1388,TMMCRS,高知県,0,,-
1st&substream,GENOM SCREAMS,0,,-,159,RONUEI,高知県,0,,-,986,315PRO,高知県,0,,-
1st&substream,GAMBOL,0,,-,0,,-,265,Z,高知県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,181,AIR,高知県,486,TOGE,高知県,568,ILLYA.,高知県,0,,-
1st&substream,deep in you,0,,-,0,,-,0,,-,627,ILLYA.,高知県,0,,-
1st&substream,5.1.1.,0,,-,191,ILLYA.,高知県,1004,ILLYA.,高知県,1542,FULFUL,高知県,0,,-
1st&substream,22DUNK,0,,-,0,,-,0,,-,612,ILLYA.,高知県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,0,,-,558,KOMODO,高知県,624,ILLYA.,高知県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,0,,-,848,Z,高知県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,0,,-,957,N8K,高知県,1163,NOIK.K,高知県,0,,-
2nd style,I Was The One,0,,-,488,NETTIE,高知県,0,,-,678,ILLYA.,高知県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,0,,-,0,,-,1001,ILLYA.,高知県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,0,,-,69,123,高知県,1059,ILLYA.,高知県,0,,-
2nd style,.59,0,,-,541,NOPI,高知県,787,CREA,高知県,1107,HAWK-I,高知県,0,,-
3rd style,THE SAFARI,334,TACA,高知県,1136,ILLYA.,高知県,1711,Z,高知県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,117,NEKO,高知県,389,ILLYA.,高知県,0,,-,0,,-
3rd style,Skyscraper,0,,-,0,,-,0,,-,1141,315PRO,高知県,0,,-
3rd style,Schlagwerk,0,,-,0,,-,690,KIRO.,高知県,1595,IKAROS,高知県,0,,-
3rd style,REINCARNATION,0,,-,812,CL-CIL,高知県,0,,-,1216,Z,高知県,0,,-
3rd style,R5,0,,-,657,13,高知県,1074,ILLYA.,高知県,1733,Z,高知県,0,,-
3rd style,Presto,0,,-,289,NOPI,高知県,965,NOIK.K,高知県,993,Z,高知県,0,,-
3rd style,LEADING CYBER,0,,-,0,,-,986,UTUME,高知県,1181,TMMCRS,高知県,0,,-
3rd style,Holic,0,,-,0,,-,1118,ILLYA.,高知県,1634,Z,高知県,0,,-
3rd style,era (nostalmix),0,,-,708,NOPI,高知県,1006,TOGE,高知県,1448,13TREE,高知県,0,,-
3rd style,Don't Stop!,0,,-,614,NOPI,高知県,820,ILLYA.,高知県,884,ILLYA.,高知県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,445,NOPI,高知県,1225,Z,高知県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,671,KIRO.,高知県,1013,SEA&,高知県,1287,NOOKEN,高知県,0,,-
4th style,SWEET LAB,0,,-,0,,-,0,,-,1222,315PRO,高知県,0,,-
4th style,starmine,425,TACA,高知県,739,KIRO.,高知県,1330,ILLYA.,高知県,1515,MAHO.,高知県,0,,-
4th style,Mr.T.(take me higher),0,,-,281,RONUEI,高知県,866,KOMODO,高知県,1624,ILLYA.,高知県,0,,-
4th style,minimalian,0,,-,152,RONUEI,高知県,1021,ILLYA.,高知県,1220,ILLYA.,高知県,0,,-
4th style,LOVE WILL・・・,0,,-,0,,-,731,ILLYA.,高知県,1446,Z,高知県,0,,-
4th style,KAMIKAZE,0,,-,0,,-,0,,-,2236,Z,高知県,0,,-
4th style,Jam&Marmalade,0,,-,559,KIRO.,高知県,0,,-,992,NOIK.K,高知県,0,,-
4th style,Hitch Hiker2,0,,-,0,,-,561,KIRO.,高知県,1218,ILLYA.,高知県,1898,NOOKEN,高知県
4th style,HIGHER,0,,-,442,NOPI,高知県,660,NOPI,高知県,1255,Z,高知県,0,,-
4th style,FLOWERS for ALBION,0,,-,0,,-,440,Z,高知県,0,,-,0,,-
4th style,era (step mix),0,,-,806,KIRO.,高知県,1101,SHANTK,高知県,1617,HAWK-I,高知県,0,,-
4th style,empathy,0,,-,628,KIRO.,高知県,1290,ILLYA.,高知県,1266,SEA&,高知県,0,,-
4th style,DXY!,0,,-,1110,RAAJJE,高知県,1768,HAWK-I,高知県,2129,FULFUL,高知県,0,,-
4th style,Clione,0,,-,207,RYO,高知県,0,,-,1571,Z,高知県,2078,VTUBER,高知県
4th style,CHECKING YOU OUT,0,,-,429,NOPI,高知県,850,HAWK-I,高知県,1251,HAWK-I,高知県,0,,-
4th style,Burnin' The Floor,0,,-,0,,-,0,,-,1383,ILLYA.,高知県,0,,-
4th style,Broken My Heart,0,,-,0,,-,0,,-,1700,MAHO.,高知県,0,,-
4th style,B4U,0,,-,995,ILLYA.,高知県,1369,CANON*,高知県,1947,Z,高知県,0,,-
4th style,ABSOLUTE,0,,-,890,NOPI,高知県,1789,Z,高知県,2337,Z,高知県,2599,NOOKEN,高知県
4th style,250bpm,0,,-,0,,-,969,ILLYA.,高知県,1379,FULFUL,高知県,0,,-
5th style,V,335,TACA,高知県,1126,KOMODO,高知県,2365,Z,高知県,2859,MAHO.,高知県,0,,-
5th style,THE SHINING POLARIS,0,,-,647,KIRO.,高知県,917,SOTIY.,高知県,1487,ILLYA.,高知県,0,,-
5th style,THE CUBE,0,,-,694,U-SKE,高知県,1125,TACA,高知県,1272,ILLYA.,高知県,0,,-
5th style,sync,0,,-,1040,ILLYA.,高知県,1219,IIDX28,高知県,2320,FULFUL,高知県,0,,-
5th style,still my words,0,,-,0,,-,1179,ILLYA.,高知県,0,,-,0,,-
5th style,STILL IN MY HEART,0,,-,0,,-,1138,SEA&,高知県,1798,Z,高知県,0,,-
5th style,Spin the disc,0,,-,591,KIRO.,高知県,1117,SEA&,高知県,1216,TOGE,高知県,0,,-
5th style,RISLIM,0,,-,732,KIRO.,高知県,1135,IKAROS,高知県,0,,-,0,,-
