バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,717,NOEL*,福岡県,1023,MAKITA,福岡県,1147,SOSEI,福岡県,0,,-
1st&substream,RUGGED ASH,0,,-,323,KSRIES,福岡県,397,AMI*,福岡県,1089,KENTAN,福岡県,1995,LOOT,福岡県
1st&substream,R3,0,,-,617,O.T!,福岡県,690,TOUKA?,福岡県,901,SOSEI,福岡県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,495,KAK,福岡県,722,YUKINO,福岡県,1106,KURIBO,福岡県,0,,-
1st&substream,Macho Gang,0,,-,371,MIGITE,福岡県,987,NOESIS,福岡県,1631,MR2N,福岡県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,193,TOUKA?,福岡県,244,*TKNS*,福岡県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,848,MISAKI,福岡県,905,SGKINO,福岡県,1200,MR2N,福岡県,0,,-
1st&substream,gentle stress,0,,-,327,KYUKAN,福岡県,647,VER.28,福岡県,1441,SOSEI,福岡県,0,,-
1st&substream,GENOM SCREAMS,0,,-,371,KSRIES,福岡県,797,*TKNS*,福岡県,1058,MR2N,福岡県,0,,-
1st&substream,GAMBOL,0,,-,268,TERA.,福岡県,271,*TKNS*,福岡県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,329,*MYAU*,福岡県,481,YUKINO,福岡県,576,KENTAN,福岡県,0,,-
1st&substream,deep in you,0,,-,401,KSRIES,福岡県,474,YUKINO,福岡県,664,SOSEI,福岡県,0,,-
1st&substream,5.1.1.,0,,-,194,TALK5,福岡県,991,10G6A2,福岡県,1566,KENTAN,福岡県,0,,-
1st&substream,22DUNK,0,,-,473,TOMOCN,福岡県,608,YUKINO,福岡県,656,SOSEI,福岡県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,448,TOFU,福岡県,598,O.T!,福岡県,647,SLMNDR,福岡県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,490,IIDX99,福岡県,862,SOSEI,福岡県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,746,TOFU,福岡県,1041,YUKINO,福岡県,1220,SOSEI,福岡県,0,,-
2nd style,I Was The One,0,,-,511,LEVEL6,福岡県,596,YUKINO,福岡県,694,SOSEI,福岡県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,622,TTRO.,福岡県,895,YUKINO,福岡県,1067,SOSEI,福岡県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,635,TOMOCN,福岡県,971,YUKINO,福岡県,1128,MR2N,福岡県,0,,-
2nd style,.59,0,,-,634,TTRO.,福岡県,966,ME4M,福岡県,1162,SOSEI,福岡県,0,,-
3rd style,THE SAFARI,362,VER.28,福岡県,1152,LEVEL6,福岡県,1748,LOOT,福岡県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,244,RIESE,福岡県,395,*TKNS*,福岡県,0,,-,0,,-
3rd style,Skyscraper,0,,-,154,AAAAAA,福岡県,1116,TOUKA?,福岡県,1248,SOSEI,福岡県,0,,-
3rd style,Schlagwerk,0,,-,747,BALDEZ,福岡県,1212,YUKINO,福岡県,1684,MR2N,福岡県,0,,-
3rd style,REINCARNATION,0,,-,749,BALDEZ,福岡県,1000,*MYAU*,福岡県,1272,MR2N,福岡県,0,,-
3rd style,R5,0,,-,707,RANJI,福岡県,1129,TEXT,福岡県,1765,SOSEI,福岡県,0,,-
3rd style,Presto,0,,-,507,TOUKA?,福岡県,986,*TKNS*,福岡県,1007,SOSEI,福岡県,0,,-
3rd style,LEADING CYBER,0,,-,780,NOEL*,福岡県,1154,NOYAN,福岡県,1269,KURIBO,福岡県,0,,-
3rd style,Holic,0,,-,688,KTY,福岡県,1140,YUKINO,福岡県,1706,KENTAN,福岡県,0,,-
3rd style,era (nostalmix),0,,-,773,KAK,福岡県,1067,VER.28,福岡県,1517,KENTAN,福岡県,0,,-
3rd style,Don't Stop!,0,,-,748,NOEL*,福岡県,823,YUKINO,福岡県,905,USA,福岡県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,561,SHINRO,福岡県,1251,MR2N,福岡県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,787,MARINE,福岡県,1225,DETTEU,福岡県,1323,KENTAN,福岡県,0,,-
4th style,SWEET LAB,0,,-,488,KYUKAN,福岡県,843,H.K!,福岡県,1359,MR2N,福岡県,0,,-
4th style,starmine,439,TERA.,福岡県,773,JNX24,福岡県,1342,AMI*,福岡県,1594,KENTAN,福岡県,0,,-
4th style,Mr.T.(take me higher),0,,-,396,SIO,福岡県,774,MIKAN,福岡県,1765,KENTAN,福岡県,0,,-
4th style,minimalian,0,,-,422,JNX24,福岡県,996,YUKINO,福岡県,1406,MR2N,福岡県,0,,-
4th style,LOVE WILL・・・,0,,-,309,MZ,福岡県,731,*NOBU*,福岡県,1459,MR2N,福岡県,0,,-
4th style,KAMIKAZE,0,,-,927,MARINE,福岡県,1368,TOUKA?,福岡県,2282,MR2N,福岡県,0,,-
4th style,Jam&Marmalade,0,,-,685,BALDEZ,福岡県,851,YUKINO,福岡県,1015,MR2N,福岡県,0,,-
4th style,Hitch Hiker2,0,,-,714,BALDEZ,福岡県,1147,YUKINO,福岡県,1313,MR2N,福岡県,1939,KENTAN,福岡県
4th style,HIGHER,0,,-,457,RANJI,福岡県,893,YUKINO,福岡県,1276,LOOT,福岡県,0,,-
4th style,FLOWERS for ALBION,0,,-,135,MIYAGI,福岡県,439,KENTAN,福岡県,0,,-,0,,-
4th style,era (step mix),0,,-,1013,KAK,福岡県,1287,YA-15C,福岡県,1667,MR2N,福岡県,0,,-
4th style,empathy,0,,-,737,BALDEZ,福岡県,1172,R.U.I.,福岡県,1454,MR2N,福岡県,0,,-
4th style,DXY!,0,,-,1026,KAK,福岡県,1771,CONCON,福岡県,2179,SOSEI,福岡県,0,,-
4th style,Clione,0,,-,472,NAKA.F,福岡県,898,*GGXX*,福岡県,1608,MR2N,福岡県,2157,SOSEI,福岡県
4th style,CHECKING YOU OUT,0,,-,604,Y-AX!S,福岡県,910,RV*B.L,福岡県,1344,MR2N,福岡県,0,,-
4th style,Burnin' The Floor,0,,-,472,TEKUNI,福岡県,858,KAZAMI,福岡県,1438,USA,福岡県,0,,-
4th style,Broken My Heart,0,,-,827,RANJI,福岡県,1366,O.T!,福岡県,1797,MR2N,福岡県,0,,-
4th style,B4U,0,,-,904,TOMOCN,福岡県,1402,YA-15C,福岡県,1996,SLMNDR,福岡県,0,,-
4th style,ABSOLUTE,0,,-,1162,BALDEZ,福岡県,1691,*MYAU*,福岡県,2372,SOSEI,福岡県,2733,KENTAN,福岡県
4th style,250bpm,0,,-,582,BALDEZ,福岡県,949,*MYAU*,福岡県,1421,MR2N,福岡県,0,,-
5th style,V,339,TERA.,福岡県,1137,NOESIS,福岡県,2445,SIMADA,福岡県,2986,SOMORI,福岡県,0,,-
5th style,THE SHINING POLARIS,0,,-,770,IIDX99,福岡県,1174,R.U.I.,福岡県,1579,SOSEI,福岡県,0,,-
5th style,THE CUBE,0,,-,609,BALDEZ,福岡県,1222,MOKA,福岡県,1358,MR2N,福岡県,0,,-
5th style,sync,0,,-,1023,LEVEL6,福岡県,1718,YUKINO,福岡県,2365,LOOT,福岡県,0,,-
5th style,still my words,0,,-,836,FR21AT,福岡県,1233,USA,福岡県,0,,-,0,,-
5th style,STILL IN MY HEART,0,,-,807,MAIKO,福岡県,1204,TAKE.M,福岡県,1880,MR2N,福岡県,0,,-
5th style,Spin the disc,0,,-,636,3G4,福岡県,1243,MADOKA,福岡県,1338,KENTAN,福岡県,0,,-
5th style,RISLIM,0,,-,394,AAAAAA,福岡県,1228,SOSEI,福岡県,0,,-,0,,-
5th style,RIDE ON THE LIGHT (HI GREAT MIX),0,,-,821,FM,福岡県,974,POYU,福岡県,1714,MR2N,福岡県,1833,SOMORI,福岡県
5th style,Regulus,0,,-,806,MARU-9,福岡県,1312,M-12YR,福岡県,1695,SOSEI,福岡県,0,,-
5th style,Real,0,,-,904,KAK,福岡県,1469,M-12YR,福岡県,1807,MR2N,福岡県,0,,-
5th style,Radical Faith,0,,-,971,CPR,福岡県,1501,MR2N,福岡県,1303,MR2N,福岡県,0,,-
5th style,QQQ,0,,-,1094,BALDEZ,福岡県,1843,RV*B.L,福岡県,2137,KIRYU,福岡県,0,,-
5th style,outer wall,0,,-,757,RANJI,福岡県,1230,YUKINO,福岡県,1751,MR2N,福岡県,0,,-
5th style,LOVE AGAIN TONIGHT～for Mellisa mix～,0,,-,678,CPR,福岡県,968,*MYAU*,福岡県,1114,SLMNDR,福岡県,0,,-
5th style,in my eyes,0,,-,719,KSRIES,福岡県,1237,TAITYO,福岡県,1581,SLMNDR,福岡県,0,,-
5th style,Abyss,0,,-,1135,MARINE,福岡県,1619,MR2N,福岡県,1865,MR2N,福岡県,0,,-
6th style,電人イェーガーのテーマ(Theme of DENJIN J),0,,-,860,KSRIES,福岡県,1573,SOSEI,福岡県,0,,-,0,,-
6th style,こっちを向いてよ,0,,-,748,MARINE,福岡県,1173,YUKINO,福岡県,1374,MR2N,福岡県,0,,-
6th style,VJ ARMY,0,,-,1121,.KECAK,福岡県,1628,VER.28,福岡県,2209,KENTAN,福岡県,0,,-
6th style,Take It Easy,0,,-,1325,R.U.I.,福岡県,2337,KOH,福岡県,2526,KENTAN,福岡県,0,,-
6th style,Summer Vacation(CU mix),0,,-,1146,TOMOCN,福岡県,1834,SOSEI,福岡県,0,,-,0,,-
6th style,SOMETHING WONDERFUL,0,,-,771,RENA-P,福岡県,1238,H.K!,福岡県,1983,SOSEI,福岡県,0,,-
6th style,route 80s,0,,-,767,TEKUNI,福岡県,1075,YUKINO,福岡県,1502,MR2N,福岡県,0,,-
6th style,rottel-da-sun,0,,-,740,BALDEZ,福岡県,1286,*NOBU*,福岡県,1866,KENTAN,福岡県,0,,-
6th style,NEMESIS,0,,-,876,BALDEZ,福岡県,1386,NOEL*,福岡県,1884,KENTAN,福岡県,0,,-
6th style,Linus,0,,-,838,BALDEZ,福岡県,1459,TEXT,福岡県,2178,SOSEI,福岡県,0,,-
6th style,G2,0,,-,1355,MOKA,福岡県,1633,MUNZU!,福岡県,2264,SOSEI,福岡県,0,,-
6th style,Frozen Ray (original mix),0,,-,1074,TEKUNI,福岡県,1564,P-A.M.,福岡県,1780,SOSEI,福岡県,0,,-
6th style,Free Style,0,,-,880,UDONGE,福岡県,1071,MOF,福岡県,1294,MR2N,福岡県,0,,-
6th style,fly through the night,0,,-,769,SHINRO,福岡県,1294,MOKA,福岡県,1701,MR2N,福岡県,0,,-
6th style,DIVE ～INTO YOUR HEART～,0,,-,930,KSRIES,福岡県,1731,UDONGE,福岡県,2093,SOSEI,福岡県,0,,-
6th style,Colors (radio edit),0,,-,1244,MARINE,福岡県,1868,SHIKI*,福岡県,2440,SOMORI,福岡県,0,,-
6th style,Buffalo,0,,-,825,KSRIES,福岡県,1297,R.U.I.,福岡県,1824,LOOT,福岡県,2524,MR2N,福岡県
6th style,Blueberry Stream,0,,-,698,RANJI,福岡県,1375,SAY-4.,福岡県,1623,MR2N,福岡県,0,,-
6th style,BALLAD FOR YOU～想いの雨～,0,,-,542,SHINRO,福岡県,712,YUKINO,福岡県,1069,*TKNS*,福岡県,0,,-
6th style,"19,November",0,,-,956,CPR,福岡県,1214,MIKAN,福岡県,1793,SOSEI,福岡県,0,,-
7th style,革命,0,,-,717,MOKA,福岡県,1896,Y-AX!S,福岡県,2313,MASSY.,福岡県,0,,-
