バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,749,E.CH4N,佐賀県,970,E.CH4N,佐賀県,1094,R,佐賀県,0,,-
1st&substream,RUGGED ASH,0,,-,0,,-,0,,-,1013,ACTY-7,佐賀県,1950,MARORO,佐賀県
1st&substream,R3,0,,-,605,97....,佐賀県,660,97....,佐賀県,901,MARORO,佐賀県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,531,E.CH4N,佐賀県,0,,-,1107,MARORO,佐賀県,0,,-
1st&substream,Macho Gang,0,,-,0,,-,975,E.CH4N,佐賀県,1502,29O7HO,佐賀県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,99,SAKIT,佐賀県,228,WATTMA,佐賀県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,0,,-,906,97....,佐賀県,1129,ZAP.,佐賀県,0,,-
1st&substream,gentle stress,0,,-,267,TEARS,佐賀県,655,E.CH4N,佐賀県,1391,R,佐賀県,0,,-
1st&substream,GENOM SCREAMS,0,,-,257,SAKIT,佐賀県,429,SAKIT,佐賀県,1005,SHO,佐賀県,0,,-
1st&substream,GAMBOL,0,,-,255,97....,佐賀県,260,WATTMA,佐賀県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,384,ACTY-7,佐賀県,480,ACTY-7,佐賀県,544,SATUKI,佐賀県,0,,-
1st&substream,deep in you,0,,-,337,PONSK,佐賀県,473,E.CH4N,佐賀県,626,ZAP.,佐賀県,0,,-
1st&substream,5.1.1.,0,,-,61,TAKE,佐賀県,0,,-,1553,MARORO,佐賀県,0,,-
1st&substream,22DUNK,0,,-,0,,-,584,E.CH4N,佐賀県,620,HIRO.F,佐賀県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,423,AAAAAA,佐賀県,597,E.CH4N,佐賀県,644,MARORO,佐賀県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,0,,-,856,MARORO,佐賀県,0,,-,0,,-
