バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,0,,-,878,MAJIN,宮崎県,1072,S.RUKI,宮崎県,0,,-
1st&substream,RUGGED ASH,0,,-,359,NANA-4,宮崎県,150,MASTER,宮崎県,989,ISLAY,宮崎県,1870,F,宮崎県
1st&substream,R3,0,,-,623,CESSY.,宮崎県,626,MAJIN,宮崎県,854,YUU39N,宮崎県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,0,,-,675,SIE,宮崎県,1066,135,宮崎県,0,,-
1st&substream,Macho Gang,0,,-,0,,-,942,FORTE.,宮崎県,1505,135,宮崎県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,105,KERACK,宮崎県,241,FIA,宮崎県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,405,4KRGSK,宮崎県,785,MAJIN,宮崎県,1133,YUU39N,宮崎県,0,,-
1st&substream,gentle stress,0,,-,0,,-,632,SIE,宮崎県,1410,COBOL,宮崎県,0,,-
1st&substream,GENOM SCREAMS,0,,-,264,TDW,宮崎県,627,KATU,宮崎県,1021,S.RUKI,宮崎県,0,,-
1st&substream,GAMBOL,0,,-,242,RIDER1,宮崎県,263,NANA-4,宮崎県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,338,HS0.5,宮崎県,313,KERO,宮崎県,560,ANO8ER,宮崎県,0,,-
1st&substream,deep in you,0,,-,225,BABARL,宮崎県,256,BABARL,宮崎県,629,ANO8ER,宮崎県,0,,-
1st&substream,5.1.1.,0,,-,183,ZACCO,宮崎県,986,IKKI##,宮崎県,1546,COBOL,宮崎県,0,,-
1st&substream,22DUNK,0,,-,0,,-,564,MAJIN,宮崎県,620,ANO8ER,宮崎県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,454,RIDER1,宮崎県,592,CESSY.,宮崎県,639,ANO8ER,宮崎県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,0,,-,822,YUU39N,宮崎県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,603,KERO,宮崎県,0,,-,1164,S.RUKI,宮崎県,0,,-
2nd style,I Was The One,0,,-,309,**!,宮崎県,0,,-,678,ANO8ER,宮崎県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,428,LOGRET,宮崎県,497,TDW,宮崎県,1016,S.RUKI,宮崎県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,406,BABARL,宮崎県,73,RIDER1,宮崎県,1049,ANO8ER,宮崎県,0,,-
2nd style,.59,0,,-,429,KERO,宮崎県,936,K3333O,宮崎県,1108,YUU39N,宮崎県,0,,-
3rd style,THE SAFARI,351,FIA,宮崎県,882,FORTE.,宮崎県,1646,YUU39N,宮崎県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,246,HS0.5,宮崎県,386,FIA,宮崎県,0,,-,0,,-
3rd style,Skyscraper,0,,-,0,,-,0,,-,1144,ALEX44,宮崎県,0,,-
3rd style,Schlagwerk,0,,-,549,RILIA,宮崎県,722,GG,宮崎県,1544,FIA,宮崎県,0,,-
3rd style,REINCARNATION,0,,-,571,KERO,宮崎県,0,,-,1214,YUU39N,宮崎県,0,,-
3rd style,R5,0,,-,358,4KRGSK,宮崎県,1135,IKKI##,宮崎県,1697,HB-101,宮崎県,0,,-
3rd style,Presto,0,,-,0,,-,940,PC....,宮崎県,963,TOGETU,宮崎県,0,,-
3rd style,LEADING CYBER,0,,-,637,RIDER1,宮崎県,955,MAJIN,宮崎県,1180,135,宮崎県,0,,-
3rd style,Holic,0,,-,551,LISTED,宮崎県,1044,SKY,宮崎県,1667,HB-101,宮崎県,0,,-
3rd style,era (nostalmix),0,,-,671,RIDER1,宮崎県,1010,LEVEL8,宮崎県,1391,ARIA-P,宮崎県,0,,-
3rd style,Don't Stop!,0,,-,622,TDW,宮崎県,826,FBI,宮崎県,875,ANO8ER,宮崎県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,0,,-,1217,HB-101,宮崎県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,0,,-,0,,-,1250,HB-101,宮崎県,0,,-
4th style,SWEET LAB,0,,-,259,KERACK,宮崎県,871,FIA,宮崎県,1279,COBOL,宮崎県,0,,-
4th style,starmine,381,GHDA?,宮崎県,576,TDW,宮崎県,1294,ALEX44,宮崎県,1549,HB-101,宮崎県,0,,-
4th style,Mr.T.(take me higher),0,,-,0,,-,716,KO-NO,宮崎県,1593,ALEX44,宮崎県,0,,-
4th style,minimalian,0,,-,0,,-,947,LEVEL8,宮崎県,1346,S.RUKI,宮崎県,0,,-
4th style,LOVE WILL・・・,0,,-,0,,-,609,RIDER1,宮崎県,1426,*UNSU*,宮崎県,0,,-
4th style,KAMIKAZE,0,,-,0,,-,1051,RIDER1,宮崎県,2190,109.C,宮崎県,0,,-
4th style,Jam&Marmalade,0,,-,543,RIDER1,宮崎県,0,,-,927,LEVEL8,宮崎県,0,,-
4th style,Hitch Hiker2,0,,-,0,,-,678,NAPORI,宮崎県,1246,TOGETU,宮崎県,1860,HB-101,宮崎県
4th style,HIGHER,0,,-,378,ITOKON,宮崎県,0,,-,1246,HB-101,宮崎県,0,,-
