バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,0,,-,932,NICOLE,鹿児島県,1140,INOKI!,鹿児島県,0,,-
1st&substream,RUGGED ASH,0,,-,246,KAZU,鹿児島県,338,JUST..,鹿児島県,1001,RAM.,鹿児島県,1959,FUSI,鹿児島県
1st&substream,R3,0,,-,134,DPY25$,鹿児島県,652,SEKKEN,鹿児島県,889,FUSI,鹿児島県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,363,SPROUT,鹿児島県,708,NICOLE,鹿児島県,1088,HIRO99,鹿児島県,0,,-
1st&substream,Macho Gang,0,,-,339,KAI046,鹿児島県,912,SEKKEN,鹿児島県,1627,HIRO99,鹿児島県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,180,OUT!!!,鹿児島県,242,FUSI,鹿児島県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,390,ZIZOU*,鹿児島県,867,SEKKEN,鹿児島県,1188,FUSI,鹿児島県,0,,-
1st&substream,gentle stress,0,,-,318,831,鹿児島県,624,0000,鹿児島県,1419,AITHON,鹿児島県,0,,-
1st&substream,GENOM SCREAMS,0,,-,196,ZIZOU*,鹿児島県,729,HAKU*,鹿児島県,979,DEPOES,鹿児島県,0,,-
1st&substream,GAMBOL,0,,-,264,HAKU*,鹿児島県,272,FUSI,鹿児島県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,199,RUTO,鹿児島県,484,SEKKEN,鹿児島県,564,N,鹿児島県,0,,-
1st&substream,deep in you,0,,-,0,,-,430,LEVIN,鹿児島県,661,SUMIRE,鹿児島県,0,,-
1st&substream,5.1.1.,0,,-,184,NICOLE,鹿児島県,963,NICOLE,鹿児島県,1556,AITHON,鹿児島県,0,,-
1st&substream,22DUNK,0,,-,304,ZIZOU*,鹿児島県,579,SEKKEN,鹿児島県,624,SACHI,鹿児島県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,236,MUGESI,鹿児島県,596,ALICE,鹿児島県,629,SACHI,鹿児島県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,168,SOL,鹿児島県,827,SACHI,鹿児島県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,0,,-,988,SEKKEN,鹿児島県,1204,AITHON,鹿児島県,0,,-
2nd style,I Was The One,0,,-,407,CAHAC,鹿児島県,601,SEKKEN,鹿児島県,671,SACHI,鹿児島県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,492,KEN,鹿児島県,827,LEVIN,鹿児島県,1039,MAX.RV,鹿児島県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,0,,-,927,HAKU*,鹿児島県,1108,SACHI,鹿児島県,0,,-
2nd style,.59,0,,-,360,SPROUT,鹿児島県,937,TOM,鹿児島県,1140,SACHI,鹿児島県,0,,-
3rd style,THE SAFARI,115,SUNA.A,鹿児島県,1010,NICOLE,鹿児島県,1717,SACHI,鹿児島県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,0,,-,389,SACHI,鹿児島県,0,,-,0,,-
3rd style,Skyscraper,0,,-,283,MUGESI,鹿児島県,985,SEINA.,鹿児島県,1222,SACHI,鹿児島県,0,,-
3rd style,Schlagwerk,0,,-,313,RUTO,鹿児島県,1204,HAKU*,鹿児島県,1647,MAX.RV,鹿児島県,0,,-
3rd style,REINCARNATION,0,,-,0,,-,906,NICOLE,鹿児島県,1248,SACHI,鹿児島県,0,,-
3rd style,R5,0,,-,0,,-,1146,EEE.,鹿児島県,1753,SUMIRE,鹿児島県,0,,-
