バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,725,HUNGRY,韓国,1025,NODEGI,韓国,1158,FAFNIR,韓国,0,,-
1st&substream,RUGGED ASH,0,,-,361,HUNGRY,韓国,398,SHION,韓国,1102,LEVEL3,韓国,2053,DON*,韓国
1st&substream,R3,0,,-,600,WONTIK,韓国,693,HUNGRY,韓国,906,SIGSIG,韓国,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,530,HUNGRY,韓国,732,MAPLE*,韓国,1117,LEVEL3,韓国,0,,-
1st&substream,Macho Gang,0,,-,378,MINY,韓国,912,HTTPS.,韓国,1636,LEVEL3,韓国,0,,-
1st&substream,KEEP ON MOVIN',0,,-,194,MINY,韓国,244,INTE,韓国,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,801,ZINC,韓国,963,CTPLT*,韓国,1204,SIGSIG,韓国,0,,-
1st&substream,gentle stress,0,,-,331,HUNGRY,韓国,662,CHEERS,韓国,1451,SHION,韓国,0,,-
1st&substream,GENOM SCREAMS,0,,-,279,KYARU!,韓国,826,RUSHIA,韓国,1068,ZIGUN,韓国,0,,-
1st&substream,GAMBOL,0,,-,272,LICA-,韓国,274,JUN,韓国,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,398,MINY,韓国,519,NODEGI,韓国,580,RAPID3,韓国,0,,-
1st&substream,deep in you,0,,-,490,INTE,韓国,496,INTE,韓国,661,SIGSIG,韓国,0,,-
1st&substream,5.1.1.,0,,-,198,SUNSUN,韓国,1004,NO2,韓国,1572,LEVEL3,韓国,0,,-
1st&substream,22DUNK,0,,-,473,330.,韓国,617,VIOL3T,韓国,652,SIGSIG,韓国,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,496,NODEGI,韓国,594,K.H.B,韓国,648,DNBD,韓国,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,564,BYERDN,韓国,863,SIGSIG,韓国,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,737,L.DASH,韓国,1031,K.H.B,韓国,1230,DON*,韓国,0,,-
2nd style,I Was The One,0,,-,524,NO2,韓国,611,AQUA,韓国,695,SIGSIG,韓国,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,745,HUNGRY,韓国,939,NODEGI,韓国,1065,RAPID3,韓国,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,686,TT.120,韓国,1041,NO2,韓国,1127,RAPID3,韓国,0,,-
2nd style,.59,0,,-,638,330.,韓国,992,NO2,韓国,1152,SIGSIG,韓国,0,,-
3rd style,THE SAFARI,339,MIN,韓国,1047,Q?,韓国,1792,DON*,韓国,0,,-,0,,-
3rd style,Tangerine Stream,66,LINCLE,韓国,267,NO2,韓国,394,SIGSIG,韓国,0,,-,0,,-
3rd style,Skyscraper,0,,-,708,HUNGRY,韓国,1183,NODEGI,韓国,1255,LEVEL3,韓国,0,,-
3rd style,Schlagwerk,0,,-,767,HUNGRY,韓国,1295,NODEGI,韓国,1687,NOROOT,韓国,0,,-
3rd style,REINCARNATION,0,,-,799,SCHRIK,韓国,978,KRABER,韓国,1282,LEVEL3,韓国,0,,-
3rd style,R5,0,,-,679,L.DASH,韓国,1171,DON*X1,韓国,1770,LEVEL3,韓国,0,,-
3rd style,Presto,0,,-,530,BYERDN,韓国,985,SIGSIG,韓国,1009,DON*,韓国,0,,-
3rd style,LEADING CYBER,0,,-,813,HUNGRY,韓国,1144,KANAKO,韓国,1281,SIGSIG,韓国,0,,-
3rd style,Holic,0,,-,712,MTPINN,韓国,1222,GOGI!?,韓国,1750,DON*,韓国,0,,-
3rd style,era (nostalmix),0,,-,837,SILON,韓国,1103,LEVEL3,韓国,1560,LEVEL3,韓国,0,,-
3rd style,Don't Stop!,0,,-,727,330.,韓国,826,OBS-D,韓国,901,SIGSIG,韓国,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,591,KRABER,韓国,1255,DNBD,韓国,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,782,HTTPS.,韓国,1236,DNBD,韓国,1332,ZIGUN,韓国,0,,-
4th style,SWEET LAB,0,,-,501,L.DASH,韓国,930,KOUHEI,韓国,1380,LEVEL3,韓国,0,,-
4th style,starmine,424,S.SHIR,韓国,832,HUNGRY,韓国,1411,BYERDN,韓国,1594,LEVEL3,韓国,0,,-
4th style,Mr.T.(take me higher),0,,-,824,HUNGRY,韓国,939,SONINM,韓国,1767,LEVEL3,韓国,0,,-
4th style,minimalian,0,,-,382,-!MING,韓国,1001,IZ*,韓国,1404,SHION,韓国,0,,-
4th style,LOVE WILL・・・,0,,-,520,RWBY-Y,韓国,731,OBS-D,韓国,1464,LEVEL3,韓国,0,,-
4th style,KAMIKAZE,0,,-,992,HUNGRY,韓国,1359,K.H.B,韓国,2297,SIGSIG,韓国,0,,-
4th style,Jam&Marmalade,0,,-,701,NIXX*,韓国,773,NIXX*,韓国,1021,LEVEL3,韓国,0,,-
4th style,Hitch Hiker2,0,,-,752,KRABER,韓国,1090,KRABER,韓国,1328,LEVEL3,韓国,1947,DON*,韓国
4th style,HIGHER,0,,-,531,NO2,韓国,931,SIGSIG,韓国,1276,RAPID3,韓国,0,,-
4th style,FLOWERS for ALBION,0,,-,241,LEVEL3,韓国,442,LEVEL3,韓国,0,,-,0,,-
4th style,era (step mix),0,,-,976,HTTPS.,韓国,1318,IZUKU,韓国,1721,F,韓国,0,,-
4th style,empathy,0,,-,716,HTTPS.,韓国,1252,K.H.B,韓国,1466,LEVEL3,韓国,0,,-
4th style,DXY!,0,,-,1286,LEVEL3,韓国,1851,CHEERS,韓国,2302,DON*,韓国,0,,-
4th style,Clione,0,,-,500,HUNGRY,韓国,871,SOAP.,韓国,1620,LEVEL3,韓国,2187,LEVEL3,韓国
4th style,CHECKING YOU OUT,0,,-,668,LEVEL3,韓国,924,FAFNIR,韓国,1382,LEVEL3,韓国,0,,-
4th style,Burnin' The Floor,0,,-,532,L.DASH,韓国,871,K.H.B,韓国,1440,SIGSIG,韓国,0,,-
4th style,Broken My Heart,0,,-,861,MIN,韓国,1465,EUN-!?,韓国,1815,SIGSIG,韓国,0,,-
4th style,B4U,0,,-,924,IIDX28,韓国,1474,MAPLE*,韓国,2024,DON*,韓国,0,,-
4th style,ABSOLUTE,0,,-,1215,MIN,韓国,1770,DON*X1,韓国,2420,DON*,韓国,2802,DON*,韓国
4th style,250bpm,0,,-,634,MIN,韓国,897,K.H.B,韓国,1428,LEVEL3,韓国,0,,-
5th style,V,329,S.SHIR,韓国,1285,SHION,韓国,2466,ERII.,韓国,3033,DON*,韓国,0,,-
5th style,THE SHINING POLARIS,0,,-,914,OBS-D,韓国,1267,ANB,韓国,1591,LEVEL3,韓国,0,,-
5th style,THE CUBE,0,,-,675,L.DASH,韓国,1139,K.H.B,韓国,1361,LEVEL3,韓国,0,,-
5th style,sync,0,,-,1081,NO2,韓国,1946,BANARI,韓国,2388,SAMGYE,韓国,0,,-
5th style,still my words,0,,-,788,RWBY-Y,韓国,1234,DON*,韓国,0,,-,0,,-
5th style,STILL IN MY HEART,0,,-,965,HOLDEN,韓国,1248,S.SHIR,韓国,1933,DON*,韓国,0,,-
5th style,Spin the disc,0,,-,760,HUNGRY,韓国,1174,K.H.B,韓国,1341,LEVEL3,韓国,0,,-
5th style,RISLIM,0,,-,873,HUNGRY,韓国,1238,CO2FER,韓国,0,,-,0,,-
5th style,RIDE ON THE LIGHT (HI GREAT MIX),0,,-,816,KRABER,韓国,1089,SAMGYE,韓国,1721,LEVEL3,韓国,1849,DNBD,韓国
5th style,Regulus,0,,-,991,HUNGRY,韓国,1414,OBS-D,韓国,1725,LEVEL3,韓国,0,,-
5th style,Real,0,,-,1086,SILON,韓国,1559,S.SHIR,韓国,1828,LEVEL3,韓国,0,,-
5th style,Radical Faith,0,,-,1138,HUNGRY,韓国,1512,SIGSIG,韓国,1308,LEVEL3,韓国,0,,-
5th style,QQQ,0,,-,1110,RWBY-Y,韓国,1879,NO2,韓国,2176,DON*,韓国,0,,-
5th style,outer wall,0,,-,836,SOAP.,韓国,1104,HTTPS.,韓国,1782,LEVEL3,韓国,0,,-
5th style,LOVE AGAIN TONIGHT～for Mellisa mix～,0,,-,720,L.DASH,韓国,937,SOAP.,韓国,1122,LEVEL3,韓国,0,,-
5th style,in my eyes,0,,-,932,SILON,韓国,1353,K.H.B,韓国,1583,SIGSIG,韓国,0,,-
5th style,Abyss,0,,-,1243,EUN-!?,韓国,1618,SIGSIG,韓国,1884,LEVEL3,韓国,0,,-
6th style,電人イェーガーのテーマ(Theme of DENJIN J),0,,-,1045,MIN,韓国,1585,LEVEL3,韓国,0,,-,0,,-
6th style,こっちを向いてよ,0,,-,826,HUNGRY,韓国,1050,SOAP.,韓国,1389,FAFNIR,韓国,0,,-
6th style,VJ ARMY,0,,-,1182,HUNGRY,韓国,1629,WYI,韓国,2235,LEVEL3,韓国,0,,-
6th style,Take It Easy,0,,-,1400,KRABER,韓国,2423,LEVEL3,韓国,2529,LEVEL3,韓国,0,,-
6th style,Summer Vacation(CU mix),0,,-,1267,BYERDN,韓国,1877,DON*,韓国,0,,-,0,,-
6th style,SOMETHING WONDERFUL,0,,-,875,HUNGRY,韓国,1233,HUNGRY,韓国,2001,LEVEL3,韓国,0,,-
6th style,route 80s,0,,-,819,HUNGRY,韓国,1065,K.H.B,韓国,1532,LEVEL3,韓国,0,,-
6th style,rottel-da-sun,0,,-,751,HUNGRY,韓国,1222,K.H.B,韓国,1872,LEVEL3,韓国,0,,-
6th style,NEMESIS,0,,-,919,FUMIKA,韓国,1613,BANARI,韓国,1934,DON*,韓国,0,,-
6th style,Linus,0,,-,757,SERAM*,韓国,1425,KAGARI,韓国,2203,LEVEL3,韓国,0,,-
6th style,G2,0,,-,1284,HUNGRY,韓国,1615,HUNGRY,韓国,2361,DON*,韓国,0,,-
6th style,Frozen Ray (original mix),0,,-,1209,KRABER,韓国,1719,MINY,韓国,1811,LEVEL3,韓国,0,,-
6th style,Free Style,0,,-,757,HTTPS.,韓国,1102,BYERDN,韓国,1315,LEVEL3,韓国,0,,-
6th style,fly through the night,0,,-,868,HUNGRY,韓国,1251,OBS-D,韓国,1717,LEVEL3,韓国,0,,-
6th style,DIVE ～INTO YOUR HEART～,0,,-,1260,INTE,韓国,1800,NODEGI,韓国,2122,LEVEL3,韓国,0,,-
6th style,Colors (radio edit),0,,-,1447,INTE,韓国,1885,LCH,韓国,2487,KKM*,韓国,0,,-
6th style,Buffalo,0,,-,968,HUNGRY,韓国,1297,R.,韓国,1847,LEVEL3,韓国,2542,LEVEL3,韓国
6th style,Blueberry Stream,0,,-,789,MIN,韓国,1474,BYERDN,韓国,1662,LEVEL3,韓国,0,,-
6th style,BALLAD FOR YOU～想いの雨～,0,,-,584,MIYA,韓国,719,S.SHIR,韓国,1074,DNBD,韓国,0,,-
6th style,"19,November",0,,-,1061,HUNGRY,韓国,1243,SOAP.,韓国,1815,LEVEL3,韓国,0,,-
7th style,革命,0,,-,629,HTTPS.,韓国,1935,NO2,韓国,2340,DON*,韓国,0,,-
7th style,ZERO-ONE,0,,-,824,JOY-S,韓国,1729,ZIGUN,韓国,2264,DON*,韓国,0,,-
7th style,traces,0,,-,1207,HTTPS.,韓国,1944,BANARI,韓国,2155,LEVEL3,韓国,0,,-
7th style,Tomorrow Perfume,0,,-,1045,HTTPS.,韓国,1913,BANARI,韓国,2145,LEVEL3,韓国,0,,-
7th style,stoic,0,,-,1566,ZUIZUI,韓国,2237,IIDX23,韓国,2598,DON*,韓国,0,,-
7th style,Spica,0,,-,624,OBS-D,韓国,1400,IZUKU,韓国,2292,DON*,韓国,0,,-
7th style,Love Me Do,0,,-,1059,L.DASH,韓国,1699,TT.005,韓国,2116,LEVEL3,韓国,0,,-
