バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,573,ELECKS,インドネシア,949,RE-LEO,インドネシア,1111,KENKEN,インドネシア,0,,-
1st&substream,RUGGED ASH,0,,-,356,TAKES,インドネシア,370,H-CUP!,インドネシア,1010,AAAAAA,インドネシア,1898,H-CUP!,インドネシア
1st&substream,R3,0,,-,431,ELECKS,インドネシア,688,*#06#,インドネシア,859,*#06#,インドネシア,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,390,DARY16,インドネシア,655,YAMORI,インドネシア,1027,MOMI.G,インドネシア,0,,-
1st&substream,Macho Gang,0,,-,351,SANYA,インドネシア,863,JYXLCE,インドネシア,1511,SANYA,インドネシア,0,,-
1st&substream,KEEP ON MOVIN',0,,-,129,TACO!,インドネシア,236,DHIONA,インドネシア,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,772,TAKES,インドネシア,800,IIDX28,インドネシア,1187,KENKEN,インドネシア,0,,-
1st&substream,gentle stress,0,,-,318,HIMIKO,インドネシア,604,YAMORI,インドネシア,1425,KENKEN,インドネシア,0,,-
1st&substream,GENOM SCREAMS,0,,-,400,SANYA,インドネシア,726,RE-LEO,インドネシア,1017,*#06#,インドネシア,0,,-
1st&substream,GAMBOL,0,,-,246,OSARA*,インドネシア,261,TASO,インドネシア,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,318,ELECKS,インドネシア,502,*#06#,インドネシア,549,*#06#,インドネシア,0,,-
1st&substream,deep in you,0,,-,353,ELECKS,インドネシア,459,YAMORI,インドネシア,631,*#06#,インドネシア,0,,-
1st&substream,5.1.1.,0,,-,190,H-CUP!,インドネシア,982,HIMIKO,インドネシア,1545,TASO,インドネシア,0,,-
1st&substream,22DUNK,0,,-,330,NULL,インドネシア,387,ELECKS,インドネシア,570,MIGI,インドネシア,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,375,TACO!,インドネシア,596,*#06#,インドネシア,553,JYXLCE,インドネシア,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,395,TACO!,インドネシア,820,P!GEON,インドネシア,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,589,TACO!,インドネシア,0,,-,1160,INDMAN,インドネシア,0,,-
2nd style,I Was The One,0,,-,412,TACO!,インドネシア,623,*#06#,インドネシア,670,DHIONA,インドネシア,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,522,TACO!,インドネシア,769,YAMORI,インドネシア,969,BC.DZ,インドネシア,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,551,CROSS,インドネシア,0,,-,1085,KENKEN,インドネシア,0,,-
2nd style,.59,0,,-,463,ELECKS,インドネシア,933,HIMIKO,インドネシア,1081,OSU7K,インドネシア,0,,-
3rd style,THE SAFARI,337,HIMIKO,インドネシア,969,YAMORI,インドネシア,1654,DHIONA,インドネシア,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,0,,-,305,ELECKS,インドネシア,0,,-,0,,-
3rd style,Skyscraper,0,,-,348,IGAH,インドネシア,850,DJDUCK,インドネシア,1107,K.K.E.,インドネシア,0,,-
3rd style,Schlagwerk,0,,-,0,,-,1228,BC.DZ,インドネシア,1633,KENKEN,インドネシア,0,,-
3rd style,REINCARNATION,0,,-,0,,-,0,,-,1268,KENKEN,インドネシア,0,,-
3rd style,R5,0,,-,518,ELECKS,インドネシア,1126,TAKES,インドネシア,1734,SANYA,インドネシア,0,,-
3rd style,Presto,0,,-,344,ELECKS,インドネシア,889,KBTIT,インドネシア,980,*#06#,インドネシア,0,,-
3rd style,LEADING CYBER,0,,-,472,ELECKS,インドネシア,800,DJDUCK,インドネシア,1215,DHIONA,インドネシア,0,,-
3rd style,Holic,0,,-,625,EB,インドネシア,1126,P3K0!!,インドネシア,1633,KENKEN,インドネシア,0,,-
3rd style,era (nostalmix),0,,-,625,DJDUCK,インドネシア,1051,KENKEN,インドネシア,1438,VOID.,インドネシア,0,,-
3rd style,Don't Stop!,0,,-,409,AYETEX,インドネシア,617,ELECKS,インドネシア,820,SSSSSS,インドネシア,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,322,PIXY77,インドネシア,1229,KENKEN,インドネシア,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,519,ZEINO,インドネシア,1118,TAKES,インドネシア,1268,DHIONA,インドネシア,0,,-
4th style,SWEET LAB,0,,-,473,K.A.PI,インドネシア,838,HIMIKO,インドネシア,1248,TASO,インドネシア,0,,-
