バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,0,,-,971,IIDX28,フィリピン,1090,S-RAN,フィリピン,0,,-
1st&substream,RUGGED ASH,0,,-,0,,-,394,KZSD-!,フィリピン,1034,SELEN*,フィリピン,1868,TAKO,フィリピン
1st&substream,R3,0,,-,0,,-,0,,-,771,MAYAMA,フィリピン,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,275,JSER12,フィリピン,713,KZSD-!,フィリピン,1023,YASU10,フィリピン,0,,-
1st&substream,Macho Gang,0,,-,0,,-,1010,KZSD-!,フィリピン,1535,465.,フィリピン,0,,-
1st&substream,KEEP ON MOVIN',0,,-,90,CIGAR,フィリピン,236,TAKO,フィリピン,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,0,,-,0,,-,1115,TTY*TL,フィリピン,0,,-
1st&substream,gentle stress,0,,-,0,,-,658,KZSD-!,フィリピン,1341,AFRICA,フィリピン,0,,-
1st&substream,GENOM SCREAMS,0,,-,100,DAESOO,フィリピン,790,KZSD-!,フィリピン,1005,TAKO,フィリピン,0,,-
1st&substream,GAMBOL,0,,-,256,TAKO,フィリピン,259,KZSD-!,フィリピン,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,265,KOTO,フィリピン,504,KZSD-!,フィリピン,558,OGRCAP,フィリピン,0,,-
1st&substream,deep in you,0,,-,0,,-,500,KZSD-!,フィリピン,632,CPU69,フィリピン,0,,-
1st&substream,5.1.1.,0,,-,180,E.F-D,フィリピン,822,00000,フィリピン,1530,465.,フィリピン,0,,-
1st&substream,22DUNK,0,,-,0,,-,0,,-,617,TTY*TL,フィリピン,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,0,,-,599,KZSD-!,フィリピン,627,OGRCAP,フィリピン,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,299,KOTO,フィリピン,824,KZSD-!,フィリピン,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,0,,-,1080,KZSD-!,フィリピン,1131,KZSD-!,フィリピン,0,,-
2nd style,I Was The One,0,,-,306,KOTO,フィリピン,624,KZSD-!,フィリピン,677,KZSD-!,フィリピン,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,351,KOTO,フィリピン,936,KZSD-!,フィリピン,1027,KZSD-!,フィリピン,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,0,,-,1002,KZSD-!,フィリピン,1078,KZSD-!,フィリピン,0,,-
2nd style,.59,0,,-,359,AAAAAA,フィリピン,980,KZSD-!,フィリピン,1107,KZSD-!,フィリピン,0,,-
3rd style,THE SAFARI,352,KZSD-!,フィリピン,867,HIMI,フィリピン,1696,KMSR,フィリピン,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,0,,-,373,KZSD-!,フィリピン,0,,-,0,,-
3rd style,Skyscraper,0,,-,727,KZSD-!,フィリピン,1186,KZSD-!,フィリピン,1196,KZSD-!,フィリピン,0,,-
3rd style,Schlagwerk,0,,-,797,KZSD-!,フィリピン,1267,KZSD-!,フィリピン,1615,TTY*TL,フィリピン,0,,-
3rd style,REINCARNATION,0,,-,817,KZSD-!,フィリピン,1023,KZSD-!,フィリピン,1228,KZSD-!,フィリピン,0,,-
3rd style,R5,0,,-,0,,-,1065,KZSD-!,フィリピン,1725,OGRCAP,フィリピン,0,,-
3rd style,Presto,0,,-,50,RKS709,フィリピン,903,CPU69,フィリピン,960,TKYK.K,フィリピン,0,,-
3rd style,LEADING CYBER,0,,-,808,KZSD-!,フィリピン,1186,KZSD-!,フィリピン,1225,KZSD-!,フィリピン,0,,-
3rd style,Holic,0,,-,0,,-,1160,KZSD-!,フィリピン,1621,465.,フィリピン,0,,-
3rd style,era (nostalmix),0,,-,0,,-,1035,KZSD-!,フィリピン,1433,465.,フィリピン,0,,-
3rd style,Don't Stop!,0,,-,0,,-,804,KZSD-!,フィリピン,874,OGRCAP,フィリピン,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,298,AAAAAA,フィリピン,1197,TAKO,フィリピン,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,0,,-,0,,-,1259,IIDX28,フィリピン,0,,-
4th style,SWEET LAB,0,,-,0,,-,0,,-,1196,KZSD-!,フィリピン,0,,-
4th style,starmine,442,KZSD-!,フィリピン,0,,-,1358,KZSD-!,フィリピン,1490,KZSD-!,フィリピン,0,,-
4th style,Mr.T.(take me higher),0,,-,0,,-,1003,KZSD-!,フィリピン,1660,KZSD-!,フィリピン,0,,-
4th style,minimalian,0,,-,0,,-,1038,KZSD-!,フィリピン,1317,AA-VIP,フィリピン,0,,-
4th style,LOVE WILL・・・,0,,-,0,,-,696,IIDX28,フィリピン,1416,KZSD-!,フィリピン,0,,-
4th style,KAMIKAZE,0,,-,0,,-,1415,KZSD-!,フィリピン,2185,YASU10,フィリピン,0,,-
4th style,Jam&Marmalade,0,,-,0,,-,0,,-,977,KMSR,フィリピン,0,,-
4th style,Hitch Hiker2,0,,-,0,,-,1143,KZSD-!,フィリピン,1243,KZSD-!,フィリピン,1900,IIDX28,フィリピン
4th style,HIGHER,0,,-,0,,-,0,,-,1243,KZSD-!,フィリピン,0,,-
4th style,FLOWERS for ALBION,0,,-,143,NU11,フィリピン,405,UNTBRB,フィリピン,0,,-,0,,-
4th style,era (step mix),0,,-,0,,-,0,,-,1587,465.,フィリピン,0,,-
4th style,empathy,0,,-,0,,-,0,,-,1425,KMSR,フィリピン,0,,-
4th style,DXY!,0,,-,0,,-,1682,IIDX28,フィリピン,2146,S-RAN,フィリピン,0,,-
4th style,Clione,0,,-,0,,-,924,KZSD-!,フィリピン,1535,MRZ,フィリピン,2122,IIDX28,フィリピン
4th style,CHECKING YOU OUT,0,,-,0,,-,699,KZSD-!,フィリピン,1250,465.,フィリピン,0,,-
4th style,Burnin' The Floor,0,,-,253,AAAAAA,フィリピン,384,AAAAAA,フィリピン,1373,KZSD-!,フィリピン,0,,-
4th style,Broken My Heart,0,,-,0,,-,0,,-,1752,KMSR,フィリピン,0,,-
4th style,B4U,0,,-,958,SELEN*,フィリピン,1027,DORO-2,フィリピン,1949,IIDX28,フィリピン,0,,-
4th style,ABSOLUTE,0,,-,0,,-,1631,89,フィリピン,2253,MRZ,フィリピン,2620,IIDX28,フィリピン
4th style,250bpm,0,,-,0,,-,1001,KZSD-!,フィリピン,1351,YAGIU,フィリピン,0,,-
5th style,V,339,KZSD-!,フィリピン,918,AAAAAA,フィリピン,2345,OGRCAP,フィリピン,2846,TY,フィリピン,0,,-
5th style,THE SHINING POLARIS,0,,-,0,,-,681,BUCK!?,フィリピン,1482,AFRICA,フィリピン,0,,-
5th style,THE CUBE,0,,-,231,BIPPS,フィリピン,0,,-,0,,-,0,,-
5th style,sync,0,,-,1018,84*,フィリピン,1234,DORO-2,フィリピン,2315,465.,フィリピン,0,,-
5th style,still my words,0,,-,0,,-,1194,KZSD-!,フィリピン,0,,-,0,,-
5th style,STILL IN MY HEART,0,,-,0,,-,801,SHIRON,フィリピン,1737,KZSD-!,フィリピン,0,,-
5th style,Spin the disc,0,,-,394,HDMR,フィリピン,0,,-,1297,YAGIU,フィリピン,0,,-
5th style,RISLIM,0,,-,0,,-,1169,KZSD-!,フィリピン,0,,-,0,,-
5th style,RIDE ON THE LIGHT (HI GREAT MIX),0,,-,0,,-,0,,-,1598,MAYAMA,フィリピン,1675,TTY*TL,フィリピン
5th style,Regulus,0,,-,0,,-,1337,CPU69,フィリピン,1577,KZSD-!,フィリピン,0,,-
5th style,Real,0,,-,0,,-,1531,KZSD-!,フィリピン,1663,KZSD-!,フィリピン,0,,-
5th style,Radical Faith,0,,-,0,,-,0,,-,1211,TAKO,フィリピン,0,,-
5th style,QQQ,0,,-,0,,-,1777,KZSD-!,フィリピン,2077,465.,フィリピン,0,,-
5th style,outer wall,0,,-,0,,-,0,,-,1658,TKYK.K,フィリピン,0,,-
5th style,LOVE AGAIN TONIGHT～for Mellisa mix～,0,,-,0,,-,979,KZSD-!,フィリピン,0,,-,0,,-
5th style,in my eyes,0,,-,0,,-,0,,-,1559,IIDX28,フィリピン,0,,-
5th style,Abyss,0,,-,0,,-,1586,KZSD-!,フィリピン,1782,SELEN*,フィリピン,0,,-
6th style,電人イェーガーのテーマ(Theme of DENJIN J),0,,-,1067,KZSD-!,フィリピン,1380,OGRCAP,フィリピン,0,,-,0,,-
6th style,こっちを向いてよ,0,,-,820,KZSD-!,フィリピン,0,,-,1283,KZSD-!,フィリピン,0,,-
6th style,VJ ARMY,0,,-,1230,KZSD-!,フィリピン,1673,KZSD-!,フィリピン,1974,KZSD-!,フィリピン,0,,-
6th style,Take It Easy,0,,-,0,,-,1712,96,フィリピン,2442,465.,フィリピン,0,,-
6th style,Summer Vacation(CU mix),0,,-,0,,-,1725,KZSD-!,フィリピン,0,,-,0,,-
6th style,SOMETHING WONDERFUL,0,,-,0,,-,1270,MAYAMA,フィリピン,1802,KZSD-!,フィリピン,0,,-
6th style,route 80s,0,,-,0,,-,1119,KZSD-!,フィリピン,1451,KMSR,フィリピン,0,,-
