バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,0,,-,1056,ROCHER,マカオ,1155,ROCHER,マカオ,0,,-
1st&substream,RUGGED ASH,0,,-,229,DEZZYY,マカオ,402,ROCHER,マカオ,1073,ROCHER,マカオ,1962,ROCHER,マカオ
1st&substream,R3,0,,-,433,NORAMI,マカオ,712,ERA,マカオ,858,NA2ME.,マカオ,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,458,MA!,マカオ,695,YU$QQQ,マカオ,1106,ROCHER,マカオ,0,,-
1st&substream,Macho Gang,0,,-,378,ROCHER,マカオ,886,YU$QQQ,マカオ,1619,ROCHER,マカオ,0,,-
1st&substream,KEEP ON MOVIN',0,,-,181,MS.SJV,マカオ,244,ROCHER,マカオ,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,367,YU$QQQ,マカオ,258,RAAA,マカオ,1151,T-BACK,マカオ,0,,-
1st&substream,gentle stress,0,,-,331,-KYO-,マカオ,478,K-KUN,マカオ,1438,ROCHER,マカオ,0,,-
1st&substream,GENOM SCREAMS,0,,-,246,JEBUS!,マカオ,824,ROCHER,マカオ,1061,ROCHER,マカオ,0,,-
1st&substream,GAMBOL,0,,-,248,C4Z.VI,マカオ,274,ROCHER,マカオ,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,85,SHOTA6,マカオ,362,R-BOX,マカオ,576,ROCHER,マカオ,0,,-
1st&substream,deep in you,0,,-,437,YU$QQQ,マカオ,0,,-,661,ROCHER,マカオ,0,,-
1st&substream,5.1.1.,0,,-,181,ULTIMA,マカオ,889,DNAIL,マカオ,1562,ROCHER,マカオ,0,,-
1st&substream,22DUNK,0,,-,205,DORGON,マカオ,541,YU$QQQ,マカオ,622,T-BACK,マカオ,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,348,ON9,マカオ,490,EVER,マカオ,630,T-BACK,マカオ,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,282,ISOLA,マカオ,842,ROCHER,マカオ,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,366,45RIN,マカオ,972,YU$QQQ,マカオ,1160,ZIP.,マカオ,0,,-
2nd style,I Was The One,0,,-,503,YU$QQQ,マカオ,645,MA25DX,マカオ,666,ZIP.,マカオ,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,402,DORGON,マカオ,910,ULTIMA,マカオ,1056,ROCHER,マカオ,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,446,ON9,マカオ,0,,-,1077,T-BACK,マカオ,0,,-
2nd style,.59,0,,-,524,HTB--,マカオ,797,ERROR,マカオ,1095,SCALEJ,マカオ,0,,-
3rd style,THE SAFARI,276,MASUNI,マカオ,1039,RCHE,マカオ,1746,ROCHER,マカオ,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,96,KURATA,マカオ,393,ROCHER,マカオ,0,,-,0,,-
3rd style,Skyscraper,0,,-,84,SIM-R3,マカオ,882,SORATO,マカオ,1247,ROCHER,マカオ,0,,-
3rd style,Schlagwerk,0,,-,0,,-,1205,RUDOLF,マカオ,1647,OSKNOM,マカオ,0,,-
3rd style,REINCARNATION,0,,-,503,WUNSCH,マカオ,844,******,マカオ,1204,T-BACK,マカオ,0,,-
3rd style,R5,0,,-,626,ERROR,マカオ,1126,R-BOX,マカオ,1768,ROCHER,マカオ,0,,-
3rd style,Presto,0,,-,202,45RIN,マカオ,970,ROCHER,マカオ,985,MA25DX,マカオ,0,,-
3rd style,LEADING CYBER,0,,-,414,WAOWA,マカオ,1105,QQQQ,マカオ,1128,T-BACK,マカオ,0,,-
3rd style,Holic,0,,-,383,######,マカオ,1087,QQQQ,マカオ,1681,ROCHER,マカオ,0,,-
3rd style,era (nostalmix),0,,-,509,YUMU,マカオ,1082,ROCHER,マカオ,1515,ROCHER,マカオ,0,,-
3rd style,Don't Stop!,0,,-,0,,-,535,******,マカオ,902,ROCHER,マカオ,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,565,YU$QQQ,マカオ,1171,T-BACK,マカオ,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,0,,-,1233,ROCHER,マカオ,1318,ROCHER,マカオ,0,,-
4th style,SWEET LAB,0,,-,229,KARSH,マカオ,0,,-,1344,ROCHER,マカオ,0,,-
4th style,starmine,299,DORGON,マカオ,654,EVER,マカオ,1160,NGTR3,マカオ,1478,HOIMIN,マカオ,0,,-
4th style,Mr.T.(take me higher),0,,-,446,######,マカオ,786,TOSHI8,マカオ,1706,ERA,マカオ,0,,-
4th style,minimalian,0,,-,106,45RIN,マカオ,784,DARUMA,マカオ,1345,ZIP.,マカオ,0,,-
4th style,LOVE WILL・・・,0,,-,0,,-,617,RYO*84,マカオ,1461,ROCHER,マカオ,0,,-
4th style,KAMIKAZE,0,,-,0,,-,982,ASMR,マカオ,2265,ROCHER,マカオ,0,,-
4th style,Jam&Marmalade,0,,-,0,,-,0,,-,1010,ROCHER,マカオ,0,,-
4th style,Hitch Hiker2,0,,-,626,TOSHI8,マカオ,0,,-,1188,R-BOX,マカオ,1940,ROCHER,マカオ
4th style,HIGHER,0,,-,374,ISOLA,マカオ,587,******,マカオ,1282,ROCHER,マカオ,0,,-
4th style,FLOWERS for ALBION,0,,-,231,ZIP.,マカオ,443,ROCHER,マカオ,0,,-,0,,-
