バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,725,WESLEY,アメリカ,962,DBDR!?,アメリカ,1124,HOTDOG,アメリカ,0,,-
1st&substream,RUGGED ASH,0,,-,283,HTG,アメリカ,380,COZY.C,アメリカ,1064,PUNK,アメリカ,1965,YESICA,アメリカ
1st&substream,R3,0,,-,614,DJMAKI,アメリカ,700,WWE,アメリカ,888,KEV.,アメリカ,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,506,WESLEY,アメリカ,674,ASHURA,アメリカ,1104,HOTDOG,アメリカ,0,,-
1st&substream,Macho Gang,0,,-,377,B-MORE,アメリカ,988,WWE,アメリカ,1605,YESICA,アメリカ,0,,-
1st&substream,KEEP ON MOVIN',0,,-,191,ASHURA,アメリカ,243,ARK,アメリカ,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,693,QUILLY,アメリカ,959,WWE,アメリカ,1190,PUNK,アメリカ,0,,-
1st&substream,gentle stress,0,,-,341,WWE,アメリカ,627,AVALON,アメリカ,1444,HOTDOG,アメリカ,0,,-
1st&substream,GENOM SCREAMS,0,,-,262,PSYKO,アメリカ,742,FUSEI3,アメリカ,1052,HOTDOG,アメリカ,0,,-
1st&substream,GAMBOL,0,,-,263,AKUMA,アメリカ,266,YESICA,アメリカ,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,329,SUPAHG,アメリカ,462,COZY.C,アメリカ,553,PUNK,アメリカ,0,,-
1st&substream,deep in you,0,,-,346,TOFU,アメリカ,450,COZY.C,アメリカ,657,BIGC,アメリカ,0,,-
1st&substream,5.1.1.,0,,-,193,CIREZD,アメリカ,954,ASHURA,アメリカ,1544,YESICA,アメリカ,0,,-
1st&substream,22DUNK,0,,-,512,WWE,アメリカ,580,WESLEY,アメリカ,642,PUNK,アメリカ,0,,-
