バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,739,40KNOT,長野県,938,40KNOT,長野県,1144,BGI#34,長野県,0,,-
1st&substream,RUGGED ASH,0,,-,359,40KNOT,長野県,399,MAD2K1,長野県,1078,BGI#34,長野県,1962,.$TORM,長野県
1st&substream,R3,0,,-,541,ZED,長野県,708,YZXXZ,長野県,879,2KADA.,長野県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,502,ZED,長野県,722,40KNOT,長野県,1109,.$TORM,長野県,0,,-
1st&substream,Macho Gang,0,,-,357,GAZER,長野県,981,WOITEK,長野県,1591,.$TORM,長野県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,187,MAD2K1,長野県,242,.$TORM,長野県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,695,ZED,長野県,956,CHORO1,長野県,1131,DELTA,長野県,0,,-
1st&substream,gentle stress,0,,-,340,MAD2K1,長野県,630,YZXXZ,長野県,1418,BGI#34,長野県,0,,-
1st&substream,GENOM SCREAMS,0,,-,384,EDEN-G,長野県,717,40KNOT,長野県,1065,.$TORM,長野県,0,,-
1st&substream,GAMBOL,0,,-,269,MAD2K1,長野県,272,MAD2K1,長野県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,345,VEGA,長野県,477,KMP,長野県,564,LELEI,長野県,0,,-
1st&substream,deep in you,0,,-,431,HANABI,長野県,455,40KNOT,長野県,658,.$TORM,長野県,0,,-
1st&substream,5.1.1.,0,,-,198,CHORO1,長野県,939,RAC.#9,長野県,1529,SPWEEK,長野県,0,,-
1st&substream,22DUNK,0,,-,497,40KNOT,長野県,616,YZXXZ,長野県,647,.$TORM,長野県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,495,40KNOT,長野県,615,40KNOT,長野県,636,IMOSY,長野県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,365,VALKYD,長野県,858,BGI#34,長野県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,795,JUN,長野県,1002,RATSEL,長野県,1198,.$TORM,長野県,0,,-
2nd style,I Was The One,0,,-,505,EDEN-G,長野県,616,YZXXZ,長野県,690,BGI#34,長野県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,729,40KNOT,長野県,883,40KNOT,長野県,1064,BGI#34,長野県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,688,40KNOT,長野県,957,40KNOT,長野県,1120,BGI#34,長野県,0,,-
2nd style,.59,0,,-,622,ZED,長野県,913,CATSBS,長野県,1099,MIZORE,長野県,0,,-
3rd style,THE SAFARI,350,40KNOT,長野県,1129,KAZU,長野県,1714,ERUASA,長野県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,282,MAD2K1,長野県,394,2KADA.,長野県,0,,-,0,,-
3rd style,Skyscraper,0,,-,628,VEGA,長野県,1064,RAC.#9,長野県,1199,O.SEM.,長野県,0,,-
3rd style,Schlagwerk,0,,-,691,MSRO,長野県,1241,YZXXZ,長野県,1670,BGI#34,長野県,0,,-
3rd style,REINCARNATION,0,,-,656,MSRO,長野県,994,R.KUZE,長野県,1272,.$TORM,長野県,0,,-
3rd style,R5,0,,-,592,UME,長野県,1093,40KNOT,長野県,1758,ERUASA,長野県,0,,-
3rd style,Presto,0,,-,280,TAKA3,長野県,941,M2KADA,長野県,995,BGI#34,長野県,0,,-
3rd style,LEADING CYBER,0,,-,777,RATSEL,長野県,1062,RAC.#9,長野県,1252,BGI#34,長野県,0,,-
3rd style,Holic,0,,-,550,7UJM,長野県,1162,YZXXZ,長野県,1666,BGI#34,長野県,0,,-
3rd style,era (nostalmix),0,,-,796,KAN2ME,長野県,1037,OOOOOO,長野県,1452,2KADA.,長野県,0,,-
3rd style,Don't Stop!,0,,-,737,40KNOT,長野県,775,RAC.#9,長野県,876,4-EYES,長野県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,487,MSRO,長野県,1244,.$TORM,長野県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,851,40KNOT,長野県,1072,40KNOT,長野県,1321,BGI#34,長野県,0,,-
4th style,SWEET LAB,0,,-,469,SUZ,長野県,832,RATSEL,長野県,1296,.$TORM,長野県,0,,-
4th style,starmine,425,40KNOT,長野県,735,UME,長野県,1341,NO-PAN,長野県,1568,ERUASA,長野県,0,,-
4th style,Mr.T.(take me higher),0,,-,818,40KNOT,長野県,932,RAC.#9,長野県,1721,T-RA,長野県,0,,-
4th style,minimalian,0,,-,437,SUZ,長野県,1015,EDEN-G,長野県,1376,BGI#34,長野県,0,,-
4th style,LOVE WILL・・・,0,,-,509,ZED,長野県,719,KMP,長野県,1443,BGI#34,長野県,0,,-
4th style,KAMIKAZE,0,,-,926,RATSEL,長野県,1410,R.KUZE,長野県,2262,BGI#34,長野県,0,,-
4th style,Jam&Marmalade,0,,-,715,40KNOT,長野県,815,RAC.#9,長野県,957,LELEI,長野県,0,,-
4th style,Hitch Hiker2,0,,-,749,RATSEL,長野県,1112,40KNOT,長野県,1254,LELEI,長野県,1913,BGI#34,長野県
4th style,HIGHER,0,,-,420,SUZ,長野県,575,BLAST,長野県,1264,BGI#34,長野県,0,,-
4th style,FLOWERS for ALBION,0,,-,244,MAD2K1,長野県,442,BGI#34,長野県,0,,-,0,,-
4th style,era (step mix),0,,-,1010,40KNOT,長野県,1312,OKAVON,長野県,1651,T-RA,長野県,0,,-
4th style,empathy,0,,-,716,MSRO,長野県,1248,40KNOT,長野県,1433,.$TORM,長野県,0,,-
4th style,DXY!,0,,-,1083,HANABI,長野県,1699,NO-PAN,長野県,2128,BGI#34,長野県,0,,-
4th style,Clione,0,,-,461,SHUN36,長野県,898,YEAH!!,長野県,1576,HEY88-,長野県,2127,.$TORM,長野県
4th style,CHECKING YOU OUT,0,,-,617,CHORO1,長野県,826,GAZER,長野県,1303,BGI#34,長野県,0,,-
4th style,Burnin' The Floor,0,,-,488,SUZ,長野県,863,KMP,長野県,1420,.$TORM,長野県,0,,-
4th style,Broken My Heart,0,,-,633,MSRO,長野県,1385,40KNOT,長野県,1768,.$TORM,長野県,0,,-
4th style,B4U,0,,-,962,EDEN-G,長野県,1468,NO-PAN,長野県,1968,.$TORM,長野県,0,,-
4th style,ABSOLUTE,0,,-,1238,40KNOT,長野県,1728,NO-PAN,長野県,2222,DACHS,長野県,2691,.$TORM,長野県
4th style,250bpm,0,,-,644,40KNOT,長野県,952,OKAVON,長野県,1338,T-RA,長野県,0,,-
5th style,V,338,40KNOT,長野県,1179,RATSEL,長野県,2335,CHORO1,長野県,2935,ERUASA,長野県,0,,-
5th style,THE SHINING POLARIS,0,,-,770,ZED,長野県,1140,RAC.#9,長野県,1555,2KADA.,長野県,0,,-
5th style,THE CUBE,0,,-,509,MSRO,長野県,1205,YZXXZ,長野県,1319,LELEI,長野県,0,,-
5th style,sync,0,,-,1047,40KNOT,長野県,1790,40KNOT,長野県,2326,ERUASA,長野県,0,,-
5th style,still my words,0,,-,717,MSRO,長野県,1216,2KADA.,長野県,0,,-,0,,-
5th style,STILL IN MY HEART,0,,-,491,VALKYD,長野県,1260,CHORO1,長野県,1896,K.HALO,長野県,0,,-
5th style,Spin the disc,0,,-,549,UME,長野県,1168,40KNOT,長野県,1313,SAZA73,長野県,0,,-
5th style,RISLIM,0,,-,677,909,長野県,1226,BGI#34,長野県,0,,-,0,,-
5th style,RIDE ON THE LIGHT (HI GREAT MIX),0,,-,801,RATSEL,長野県,1052,BGI#34,長野県,1648,T-RA,長野県,1776,MOCAPO,長野県
5th style,Regulus,0,,-,1008,40KNOT,長野県,1370,EDEN-G,長野県,1702,K.HALO,長野県,0,,-
5th style,Real,0,,-,1042,40KNOT,長野県,1535,40KNOT,長野県,1797,.$TORM,長野県,0,,-
5th style,Radical Faith,0,,-,1134,40KNOT,長野県,1385,CHORO1,長野県,1230,LELEI,長野県,0,,-
5th style,QQQ,0,,-,1042,MSRO,長野県,1818,NO-PAN,長野県,2130,ERUASA,長野県,0,,-
5th style,outer wall,0,,-,817,40KNOT,長野県,1235,40KNOT,長野県,1665,M2KADA,長野県,0,,-
5th style,LOVE AGAIN TONIGHT～for Mellisa mix～,0,,-,726,EDEN-G,長野県,932,MYTHIC,長野県,1080,LELEI,長野県,0,,-
5th style,in my eyes,0,,-,892,40KNOT,長野県,1365,40KNOT,長野県,1549,.$TORM,長野県,0,,-
5th style,Abyss,0,,-,1240,KAIGI,長野県,1599,2KADA.,長野県,1854,BGI#34,長野県,0,,-
6th style,電人イェーガーのテーマ(Theme of DENJIN J),0,,-,1029,40KNOT,長野県,1492,NO-PAN,長野県,0,,-,0,,-
6th style,こっちを向いてよ,0,,-,777,RATSEL,長野県,1205,40KNOT,長野県,1349,2KADA.,長野県,0,,-
6th style,VJ ARMY,0,,-,1160,CHRONO,長野県,1606,OKAVON,長野県,2127,.$TORM,長野県,0,,-
6th style,Take It Easy,0,,-,1071,ZED,長野県,2284,INYUK,長野県,2480,.$TORM,長野県,0,,-
6th style,Summer Vacation(CU mix),0,,-,1201,40KNOT,長野県,1797,BGI#34,長野県,0,,-,0,,-
6th style,SOMETHING WONDERFUL,0,,-,806,HANABI,長野県,1173,S.HIRO,長野県,1926,CHOME*,長野県,0,,-
6th style,route 80s,0,,-,815,40KNOT,長野県,1045,KMP,長野県,1500,BGI#34,長野県,0,,-
6th style,rottel-da-sun,0,,-,727,RATSEL,長野県,1222,40KNOT,長野県,1809,BGI#34,長野県,0,,-
6th style,NEMESIS,0,,-,937,40KNOT,長野県,1451,OKAVON,長野県,1766,SOOR&,長野県,0,,-
6th style,Linus,0,,-,891,RATSEL,長野県,1465,CHORO1,長野県,2164,ERUASA,長野県,0,,-
6th style,G2,0,,-,905,ABO,長野県,1671,OKAVON,長野県,2300,K.HALO,長野県,0,,-
6th style,Frozen Ray (original mix),0,,-,1181,KAN2ME,長野県,1665,40KNOT,長野県,1764,BGI#34,長野県,0,,-
6th style,Free Style,0,,-,801,RATSEL,長野県,1014,40KNOT,長野県,1282,.$TORM,長野県,0,,-
6th style,fly through the night,0,,-,830,RATSEL,長野県,1245,40KNOT,長野県,1674,BGI#34,長野県,0,,-
6th style,DIVE ～INTO YOUR HEART～,0,,-,1197,40KNOT,長野県,1707,40KNOT,長野県,2057,K.HALO,長野県,0,,-
6th style,Colors (radio edit),0,,-,1199,AIRA,長野県,1884,OKAVON,長野県,2383,ERUASA,長野県,0,,-
6th style,Buffalo,0,,-,928,40KNOT,長野県,1375,40KNOT,長野県,1729,T-RA,長野県,2455,.$TORM,長野県
6th style,Blueberry Stream,0,,-,767,CHORO1,長野県,1361,CHORO1,長野県,1599,1KADA.,長野県,0,,-
6th style,BALLAD FOR YOU～想いの雨～,0,,-,579,EDEN-G,長野県,730,KRO,長野県,1067,BGI#34,長野県,0,,-
6th style,"19,November",0,,-,856,MSRO,長野県,1366,40KNOT,長野県,1727,SAZA73,長野県,0,,-
7th style,革命,0,,-,528,MOTI,長野県,1801,SKULD*,長野県,2197,M321M,長野県,0,,-
7th style,ZERO-ONE,0,,-,727,MSRO,長野県,1549,40KNOT,長野県,2128,SOOR&,長野県,0,,-
7th style,traces,0,,-,1448,40KNOT,長野県,1761,40KNOT,長野県,2114,.$TORM,長野県,0,,-
7th style,Tomorrow Perfume,0,,-,1144,RATSEL,長野県,1748,OKAVON,長野県,1950,5G4M0N,長野県,0,,-
7th style,stoic,0,,-,1444,.47,長野県,2271,NO-PAN,長野県,2407,1KADA.,長野県,0,,-
7th style,Spica,0,,-,460,TEA.,長野県,1359,OKAVON,長野県,2134,BGI#34,長野県,0,,-
7th style,Love Me Do,0,,-,1093,40KNOT,長野県,1574,40KNOT,長野県,2090,BGI#34,長野県,0,,-
7th style,Let the Snow Paint Me,0,,-,785,KAN2ME,長野県,936,KMP,長野県,1220,.$TORM,長野県,0,,-
7th style,Last Message,0,,-,803,ZED,長野県,1202,40KNOT,長野県,1592,ERUASA,長野県,0,,-
7th style,Happy Wedding,0,,-,1046,RATSEL,長野県,1522,40KNOT,長野県,1785,.$TORM,長野県,0,,-
7th style,Glorious Days,0,,-,500,MAD2K1,長野県,759,MAD2K1,長野県,876,M2KADA,長野県,0,,-
7th style,foreplay,0,,-,629,RATSEL,長野県,1144,40KNOT,長野県,1316,BGI#34,長野県,0,,-
7th style,DESTINY,0,,-,783,ZED,長野県,1271,40KNOT,長野県,1816,BGI#34,長野県,0,,-
7th style,D2R,0,,-,412,VALKYD,長野県,1287,BGI#34,長野県,1572,.$TORM,長野県,0,,-
7th style,Cheer Train,0,,-,751,ZED,長野県,1088,RAC.#9,長野県,1710,.$TORM,長野県,0,,-
7th style,Burning Heat! (Full Option Mix),0,,-,626,RATSEL,長野県,906,40KNOT,長野県,1430,SOOR&,長野県,0,,-
7th style,Bad Routine,0,,-,968,40KNOT,長野県,1290,40KNOT,長野県,1880,BGI#34,長野県,0,,-
7th style,AVE DE RAPINA,0,,-,1114,VEGA,長野県,1585,NO-PAN,長野県,1830,K.HALO,長野県,0,,-
7th style,A,0,,-,1217,40KNOT,長野県,2008,NO-PAN,長野県,2409,.$TORM,長野県,0,,-
8th style,蒼い衝動,0,,-,780,SHUN36,長野県,1286,40KNOT,長野県,1559,2KADA.,長野県,0,,-
8th style,桜,0,,-,922,40KNOT,長野県,1447,NO-PAN,長野県,2110,.$TORM,長野県,0,,-
8th style,xenon,0,,-,1034,40KNOT,長野県,1501,40KNOT,長野県,2648,HEY88-,長野県,0,,-
8th style,World Wide Love,0,,-,565,LOUD.,長野県,1005,40KNOT,長野県,1086,YZXXZ,長野県,0,,-
8th style,WAR GAME,0,,-,853,MSRO,長野県,1493,NATSU,長野県,2127,ERUASA,長野県,0,,-
8th style,thunder,0,,-,1015,RATSEL,長野県,1484,40KNOT,長野県,1832,BGI#34,長野県,0,,-
8th style,symbolic,0,,-,1305,40KNOT,長野県,1733,40KNOT,長野県,2215,ERUASA,長野県,0,,-
8th style,rainbow flyer,0,,-,650,UME,長野県,1529,40KNOT,長野県,2085,ERUASA,長野県,0,,-
8th style,PLEASE DON'T GO,0,,-,931,40KNOT,長野県,1349,T-RA,長野県,2388,.$TORM,長野県,0,,-
8th style,MUSIC TO YOUR HEAD,0,,-,769,40KNOT,長野県,1312,40KNOT,長野県,1634,BGI#34,長野県,0,,-
8th style,murmur twins,0,,-,970,MSRO,長野県,1556,40KNOT,長野県,2359,K.HALO,長野県,0,,-
8th style,Monkey Dance,0,,-,767,40KNOT,長野県,1344,2KADA.,長野県,1891,BGI#34,長野県,0,,-
8th style,memories,0,,-,742,F,長野県,1888,40KNOT,長野県,2241,.$TORM,長野県,0,,-
8th style,Luv 2 Feel Your Body,0,,-,636,LOUD.,長野県,1001,40KNOT,長野県,1610,BGI#34,長野県,0,,-
8th style,LOVE IS ORANGE,0,,-,665,MSRO,長野県,991,40KNOT,長野県,1784,K.HALO,長野県,2081,.$TORM,長野県
8th style,LAB,0,,-,1002,40KNOT,長野県,1837,OKAVON,長野県,2024,MOCAPO,長野県,0,,-
8th style,HYPER BOUNDARY GATE,0,,-,1124,RATSEL,長野県,1846,0$D,長野県,2159,.$TORM,長野県,0,,-
8th style,Halfway of promise,0,,-,5,NEV,長野県,1337,KMP,長野県,1803,K.HALO,長野県,0,,-
8th style,Giudecca,0,,-,502,VALKYD,長野県,1798,NO-PAN,長野県,2550,YKR,長野県,0,,-
8th style,dual control,0,,-,700,40KNOT,長野県,1309,CHORO1,長野県,1836,BGI#34,長野県,0,,-
8th style,Colors -Y&Co. Eurobeat Remix-,0,,-,1084,RATSEL,長野県,1923,40KNOT,長野県,2152,.$TORM,長野県,0,,-
8th style,CELEBRATE NITE,0,,-,864,CHORO1,長野県,1102,40KNOT,長野県,1391,.$TORM,長野県,0,,-
8th style,Blame,0,,-,1136,40KNOT,長野県,1432,40KNOT,長野県,1847,3NATSU,長野県,0,,-
8th style,bit mania,0,,-,561,VALKYD,長野県,1161,RAC.#9,長野県,1845,BGI#34,長野県,0,,-
8th style,Attitude,0,,-,564,YOZORA,長野県,1251,M,長野県,1746,.$TORM,長野県,0,,-
8th style,ALL RIGHT,0,,-,820,KAZ64,長野県,1189,RAC.#9,長野県,1609,.$TORM,長野県,0,,-
8th style,airflow,0,,-,549,40KNOT,長野県,709,40KNOT,長野県,1417,ERUASA,長野県,0,,-
8th style,abstract,0,,-,851,IIDX27,長野県,1507,NO-PAN,長野県,1799,NO-PAN,長野県,0,,-
9th style,真夏の花・真夏の夢,0,,-,782,RATSEL,長野県,1144,NIN,長野県,1454,.$TORM,長野県,0,,-
9th style,ライオン好き,0,,-,619,40KNOT,長野県,1116,RATSEL,長野県,1487,.$TORM,長野県,0,,-
9th style,SWEETEST SAVAGE,0,,-,447,LOUD.,長野県,1184,RAC.#9,長野県,1766,BGI#34,長野県,0,,-
9th style,Sweet Sweet Magic,0,,-,837,ZED,長野県,1426,40KNOT,長野県,2018,.$TORM,長野県,0,,-
9th style,STAR FIELD,0,,-,613,ZED,長野県,1467,40KNOT,長野県,1833,BGI#34,長野県,0,,-
9th style,SNOW,0,,-,689,HAGU!,長野県,1306,40KNOT,長野県,1946,MOCAPO,長野県,0,,-
9th style,Silvia Drive,0,,-,799,40KNOT,長野県,1473,40KNOT,長野県,2000,BGI#34,長野県,0,,-
9th style,rottel-the-Mercury,0,,-,872,R!NX,長野県,1837,SRAN,長野県,2242,BGI#34,長野県,0,,-
9th style,RISLIM -Remix-,0,,-,744,RATSEL,長野県,903,40KNOT,長野県,1846,.$TORM,長野県,0,,-
9th style,Really Love,0,,-,656,BGI#34,長野県,982,BGI#34,長野県,1726,BGI#34,長野県,0,,-
9th style,Quickening,0,,-,890,40KNOT,長野県,1642,INYUK,長野県,1990,T-RA,長野県,0,,-
9th style,quasar,0,,-,915,UME,長野県,1634,RURURU,長野県,2278,ERUASA,長野県,0,,-
9th style,one or eight,0,,-,1241,40KNOT,長野県,1735,5G4M0N,長野県,2168,.$TORM,長野県,0,,-
9th style,moon_child,0,,-,969,RATSEL,長野県,1849,YZXXZ,長野県,2467,HEY88-,長野県,0,,-
9th style,MARIA (I believe... ),0,,-,681,RATSEL,長野県,1504,40KNOT,長野県,1908,.$TORM,長野県,0,,-
9th style,Make A Difference,0,,-,451,VALKYD,長野県,1460,40KNOT,長野県,2139,BGI#34,長野県,0,,-
9th style,lower world,0,,-,1287,40KNOT,長野県,1710,40KNOT,長野県,2127,CHOME*,長野県,0,,-
9th style,LOVE SHINE,502,40KNOT,長野県,786,RATSEL,長野県,1794,IBRA**,長野県,2069,K.HALO,長野県,0,,-
9th style,lights,0,,-,678,40KNOT,長野県,1351,40KNOT,長野県,1747,BGI#34,長野県,0,,-
9th style,Karma,0,,-,1027,ZED,長野県,1589,40KNOT,長野県,1714,5G4M0N,長野県,0,,-
9th style,I Was The One (80's EUROBEAT STYLE),0,,-,338,Z3PT0,長野県,1170,CASKET,長野県,1422,2KADA.,長野県,0,,-
9th style,HYPER EUROBEAT (2DX style),0,,-,523,VALKYD,長野県,1463,40KNOT,長野県,1928,.$TORM,長野県,0,,-
9th style,Golden Horn,0,,-,677,40KNOT,長野県,1169,40KNOT,長野県,1431,2KADA.,長野県,0,,-
9th style,e-motion 2003  -romantic extra-,0,,-,1240,NO-PAN,長野県,1554,40KNOT,長野県,1967,.$TORM,長野県,0,,-
9th style,Distress,0,,-,1225,40KNOT,長野県,1810,.$TORM,長野県,0,,-,0,,-
9th style,Cradle,0,,-,862,RATSEL,長野県,1374,SANATS,長野県,1549,2KADA.,長野県,0,,-
9th style,BRIGHTNESS DARKNESS,0,,-,683,40KNOT,長野県,1384,NO-PAN,長野県,1753,.$TORM,長野県,0,,-
9th style,bag,0,,-,785,ZED,長野県,1164,40KNOT,長野県,1877,BGI#34,長野県,0,,-
9th style,BAD BOY BASS!! (dj Remo-con MIX),0,,-,0,,-,1330,40KNOT,長野県,1781,.$TORM,長野県,0,,-
9th style,ATOMIC AGE,0,,-,360,MAD2K1,長野県,654,YZXXZ,長野県,1284,BGI#34,長野県,0,,-
9th style,ACT,0,,-,1011,40KNOT,長野県,1574,40KNOT,長野県,1833,.$TORM,長野県,0,,-
9th style,Abyss -The Heavens Remix-,549,40KNOT,長野県,1375,40KNOT,長野県,1746,NO-PAN,長野県,2312,YKR,長野県,0,,-
10th style,雪月花,0,,-,1163,40KNOT,長野県,1889,HEY88-,長野県,2517,K.HALO,長野県,0,,-
10th style,システムロマンス,0,,-,865,40KNOT,長野県,1723,2KADA.,長野県,2015,.$TORM,長野県,0,,-
10th style,SPACE FIGHT,0,,-,620,RATSEL,長野県,1338,KAZ,長野県,2178,ERUASA,長野県,0,,-
10th style,SHOOTING STAR,0,,-,1222,40KNOT,長野県,1565,OKAVON,長野県,2231,BGI#34,長野県,0,,-
10th style,Rise'n Beauty,0,,-,886,ZED,長野県,1550,YEAH!!,長野県,2110,.$TORM,長野県,0,,-
10th style,rainbow rainbow,0,,-,1457,40KNOT,長野県,2060,0$D,長野県,2677,ERUASA,長野県,0,,-
10th style,pandora,0,,-,726,ZED,長野県,1542,40KNOT,長野県,1809,.$TORM,長野県,0,,-
10th style,One More Lovely,0,,-,729,MSRO,長野県,1542,CASKET,長野県,2819,K.HALO,長野県,0,,-
10th style,No.13,0,,-,1302,SYAVA,長野県,2260,14.,長野県,3161,K.HALO,長野県,0,,-
10th style,Narcissus At Oasis,0,,-,731,NEKKI,長野県,1430,DELTA,長野県,1641,.$TORM,長野県,0,,-
10th style,Lucy,0,,-,849,MSRO,長野県,1635,CHORO1,長野県,2296,K.HALO,長野県,0,,-
10th style,Love Is Eternity,0,,-,741,7UJM,長野県,1801,R.KUZE,長野県,2312,BGI#34,長野県,0,,-
10th style,Innocent Walls,0,,-,1526,NO-PAN,長野県,2410,.$TORM,長野県,2786,K.HALO,長野県,0,,-
10th style,HIGH,0,,-,909,40KNOT,長野県,1869,INYUK,長野県,2134,BGI#34,長野県,0,,-
10th style,GRADIUS -FULL SPEED-,0,,-,644,40KNOT,長野県,960,RATSEL,長野県,1939,#MIYA,長野県,0,,-
10th style,GHOST REVIVAL,0,,-,527,VALKYD,長野県,1852,40KNOT,長野県,2512,.$TORM,長野県,0,,-
10th style,Freezing atmosphere,0,,-,741,SHELF,長野県,1112,2KADA.,長野県,1468,BGI#34,長野県,0,,-
10th style,FEEL IT,0,,-,590,VALKYD,長野県,1535,NO-PAN,長野県,1931,BGI#34,長野県,0,,-
10th style,Feedback,0,,-,1000,40KNOT,長野県,1453,40KNOT,長野県,1927,K.HALO,長野県,0,,-
10th style,EXE,0,,-,819,40KNOT,長野県,1548,INYUK,長野県,2217,.$TORM,長野県,0,,-
10th style,DoLL,349,MAD2K1,長野県,759,ZED,長野県,1183,40KNOT,長野県,1592,4-EYES,長野県,0,,-
10th style,desolation,0,,-,487,MAD2K1,長野県,598,KMP,長野県,734,MAD2K1,長野県,0,,-
10th style,Debtty Daddy,0,,-,992,40KNOT,長野県,1789,OKAVON,長野県,2598,3NATSU,長野県,0,,-
10th style,Daisuke,454,RATSEL,長野県,1162,KAN2ME,長野県,1518,OUKA!,長野県,2390,ERUASA,長野県,0,,-
10th style,CARRY ON NIGHT (English version),0,,-,634,BOUSHI,長野県,1284,40KNOT,長野県,2029,BGI#34,長野県,0,,-
10th style,Boundary,0,,-,752,ZED,長野県,1735,40KNOT,長野県,1988,.$TORM,長野県,0,,-
10th style,Back Into The Light,0,,-,1117,NO-PAN,長野県,1546,40KNOT,長野県,2133,BGI#34,長野県,0,,-
