バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,705,TIOXZ,愛知県,1019,F,愛知県,1158,KUREI,愛知県,0,,-
1st&substream,RUGGED ASH,0,,-,357,GARU-R,愛知県,402,YUDEX2,愛知県,1087,YOPPY,愛知県,2031,PEACE,愛知県
1st&substream,R3,0,,-,627,TIOXZ,愛知県,709,MIKOTI,愛知県,903,40B444,愛知県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,536,TIOXZ,愛知県,744,TAKPOP,愛知県,1113,EDOGER,愛知県,0,,-
1st&substream,Macho Gang,0,,-,375,TMR089,愛知県,1067,YUDEX2,愛知県,1661,40B444,愛知県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,196,YUDEX2,愛知県,244,EDOGER,愛知県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,822,VVTUNE,愛知県,1001,MARCH.,愛知県,1203,RKS-32,愛知県,0,,-
1st&substream,gentle stress,0,,-,344,TMR089,愛知県,682,F,愛知県,1447,EDOGER,愛知県,0,,-
1st&substream,GENOM SCREAMS,0,,-,345,BASS,愛知県,830,TRIAL,愛知県,1069,40B444,愛知県,0,,-
1st&substream,GAMBOL,0,,-,270,TMR089,愛知県,274,EDOGER,愛知県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,402,TMR089,愛知県,516,TMR089,愛知県,579,MARCH.,愛知県,0,,-
1st&substream,deep in you,0,,-,462,REIREI,愛知県,498,TAKPOP,愛知県,665,40B444,愛知県,0,,-
1st&substream,5.1.1.,0,,-,198,YUDEX2,愛知県,1018,MONO,愛知県,1567,KUREI,愛知県,0,,-
1st&substream,22DUNK,0,,-,503,YOUMU,愛知県,636,F,愛知県,654,EDOGER,愛知県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,484,UMETYA,愛知県,610,TIOXZ,愛知県,648,EDOGER,愛知県,0,,-
