バージョン,タイトル,ジャンル,アーティスト,プレー回数,NORMAL 難易度,NORMAL EXスコア,NORMAL PGreat,NORMAL Great,NORMAL ミスカウント,NORMAL クリアタイプ,NORMAL DJ LEVEL,HYPER 難易度,HYPER EXスコア,HYPER PGreat,HYPER Great,HYPER ミスカウント,HYPER クリアタイプ,HYPER DJ LEVEL,ANOTHER 難易度,ANOTHER EXスコア,ANOTHER PGreat,ANOTHER Great,ANOTHER ミスカウント,ANOTHER クリアタイプ,ANOTHER DJ LEVEL,最終プレー日時
Rootage,Angels & Demons,DRUM & BASS,月代 彩,1,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,10,2355,1130,95,4,HARD CLEAR,AAA,2018-11-24 10:25
Rootage,Cranberry City ft. Luschel,GARAGE,lapix,18,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,10,2389,1159,71,1,FULLCOMBO CLEAR,AAA,2018-12-30 15:33
Rootage,dAuntl3ss,HARDER DANCE MUSIC,DJ Noriken,1,6,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,3364,1602,160,9,HARD CLEAR,AAA,2018-12-15 10:42
Rootage,Digital Skipper,HYBRID,BEMANI Sound Team "Expander",1,6,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,10,2201,1075,51,8,HARD CLEAR,AAA,2018-11-24 10:01
Rootage,Ember Lights,FUSION TRANCE,Nhato,3,5,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,11,2653,1289,75,4,HARD CLEAR,AAA,2018-12-30 13:48
Rootage,GIGA THRASH,DUBSTEP,Blacklolita,6,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,11,2638,1253,132,9,HARD CLEAR,AAA,2018-12-30 14:53
Rootage,Glory,EDM,kradness,5,4,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,9,2239,1063,113,5,HARD CLEAR,AAA,2018-12-22 09:13
Rootage,HEISEI,ELECTRONIC RHAPSODY,BEMANI Sound Team "dj TAKA",10,6,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,11,2533,1245,43,1,FULLCOMBO CLEAR,AAA,2018-12-30 14:26
Rootage,HOT LIMIT,IIDX EDITION,Remixed by BEMANI Sound Team "HuΣeR feat.PON",5,5,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,10,2481,1207,67,2,HARD CLEAR,AAA,2018-12-30 15:08
Rootage,Hurry Hurry,RAVE SXXX,Masayoshi Iimori,1,4,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,9,2046,1002,42,1,FULLCOMBO CLEAR,AAA,2018-11-24 09:09
Rootage,IDOL syndrome.,PSYCHEDELIC ROCK,RINA,9,4,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,10,2178,1070,38,1,FULLCOMBO CLEAR,AAA,2018-12-30 15:30
Rootage,KILL EACH OTHER,PSYSTYLE,BEMANI Sound Team "L.E.D. VS. L.E.D.-G",1,7,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,3602,1690,222,18,HARD CLEAR,AAA,2018-12-22 13:45
