バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,783,RECALL,千葉県,1045,NEKO.G,千葉県,1157,HO1KO6,千葉県
1st&substream,RUGGED ASH,370,NEKO.G,千葉県,402,NEKO.G,千葉県,1088,PRINNY,千葉県
1st&substream,R3,652,SHIU,千葉県,734,NEKO.G,千葉県,902,ROEN,千葉県
1st&substream,PARANOIA MAX～DIRTY MIX～,550,QUALFY,千葉県,744,NEKO.G,千葉県,1099,HO1KO6,千葉県
1st&substream,Macho Gang,374,SHIU,千葉県,1051,QUALFY,千葉県,1614,LAHAR*,千葉県
1st&substream,KEEP ON MOVIN',196,NEKO.G,千葉県,244,NEKO.G,千葉県,0,,未設定
1st&substream,GRADIUSIC CYBER,866,SHIU,千葉県,972,SHIU,千葉県,1188,LAHAR*,千葉県
1st&substream,GENOM SCREAMS,415,NEKO.G,千葉県,823,TEPMON,千葉県,1060,PRINNY,千葉県
1st&substream,GAMBOL,274,NEKO.G,千葉県,274,NEKO.G,千葉県,0,,未設定
1st&substream,Dr.LOVE,408,SHIU,千葉県,515,SHIU,千葉県,575,LINKER,千葉県
1st&substream,deep in you,488,SHIU,千葉県,503,SHIU,千葉県,655,HO1KO6,千葉県
1st&substream,BRILLIANT 2U,534,S-RAN,千葉県,650,ONESHO,千葉県,722,SIMO3,千葉県
1st&substream,5.1.1.,198,NEKO.G,千葉県,1010,NEKO.G,千葉県,1561,SABO10,千葉県
1st&substream,22DUNK,523,SHIU,千葉県,641,NEKO.G,千葉県,653,TOGA-C,千葉県
2nd style,SP-TRIP MACHINE(for beatmania II),505,SHIU,千葉県,618,SHIU,千葉県,645,ROEN,千葉県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),575,SHIU,千葉県,860,NEKO.G,千葉県,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),872,SHIU,千葉県,1083,GEMA,千葉県,1211,TEPMON,千葉県
2nd style,I Was The One,539,SHIU,千葉県,649,KYM!N.,千葉県,691,LAHAR*,千葉県
2nd style,Electro Tuned(the SubS mix),767,NEKO.G,千葉県,913,ONESHO,千葉県,1062,HO1KO6,千葉県
2nd style,Digital MinD(A/T Libra mix),735,SHIU,千葉県,1033,KYM!N.,千葉県,1126,ROEN,千葉県
2nd style,Dancin' Into The Night,428,S-RAN,千葉県,466,HO1KO6,千葉県,0,,未設定
2nd style,.59,719,NEKO.G,千葉県,1007,NEKO.G,千葉県,1147,TOGA-C,千葉県
3rd style,THE SAFARI,1203,TEPMON,千葉県,1747,TOGA-C,千葉県,0,,未設定
3rd style,Tangerine Stream,282,NEKO.G,千葉県,395,NEKO.G,千葉県,0,,未設定
3rd style,Skyscraper,725,SHIU,千葉県,1206,NEKO.G,千葉県,1245,TOGA-C,千葉県
3rd style,Schlagwerk,813,NEKO.G,千葉県,1297,NEKO.G,千葉県,1682,ROEN,千葉県
3rd style,REINCARNATION,840,S-RAN,千葉県,1016,NEKO.G,千葉県,1273,TOGA-C,千葉県
3rd style,R5,766,S-RAN,千葉県,1152,NEKO.G,千葉県,1769,XAN.7,千葉県
3rd style,Presto,541,SHIU,千葉県,974,NEKO.G,千葉県,1004,HO1KO6,千葉県
3rd style,LEADING CYBER,859,NEKO.G,千葉県,1203,NEKO.G,千葉県,1277,ROEN,千葉県
3rd style,Holic,768,S-RAN,千葉県,1232,NEKO.G,千葉県,1691,TOGA-C,千葉県
3rd style,era (nostalmix),831,NENIGE,千葉県,1082,TOGA-C,千葉県,1511,POW-L?,千葉県
3rd style,Don't Stop!,777,SHIU,千葉県,851,NEKO.G,千葉県,903,TOGA-C,千葉県
3rd style,CAN'T STOP FALLIN'IN LOVE,602,A1CO.T,千葉県,1252,TOGA-C,千葉県,0,,未設定
4th style,Voltage (feat. Hidemaru),924,NEKO.G,千葉県,1219,NEKO.G,千葉県,1319,TOGA-C,千葉県
4th style,Under Construction,816,S-RAN,千葉県,996,NEKO.G,千葉県,1149,ROEN,千葉県
4th style,ULTRA HIGH-HEELS,741,MIKOKO,千葉県,888,ONESHO,千葉県,992,LAHAR*,千葉県
4th style,starmine,882,S-RAN,千葉県,1419,NEKO.G,千葉県,1579,TOGA-C,千葉県
4th style,Nasty!,568,S-RAN,千葉県,945,POW-L?,千葉県,1529,NEKO.G,千葉県
4th style,Mr.T.(take me higher),851,SHIU,千葉県,1008,RECALL,千葉県,1757,ROEN,千葉県
4th style,minimalian,529,S-RAN,千葉県,1091,NEKO.G,千葉県,1402,ROEN,千葉県
4th style,LOVE WILL・・・,557,NEKO.G,千葉県,756,NEKO.G,千葉県,1457,AYATK,千葉県
4th style,KAMIKAZE,1009,NEKO-P,千葉県,1471,NEKO.G,千葉県,2275,ROEN,千葉県
4th style,Jam&Marmalade,773,RECALL,千葉県,891,NEKO.G,千葉県,1007,HO1KO6,千葉県
4th style,Hitch Hiker2,835,NEKO.G,千葉県,1203,NEKO.G,千葉県,1318,TOGA-C,千葉県
4th style,HIGHER,537,SHIU,千葉県,931,NEKO.G,千葉県,1272,TOGA-C,千葉県
4th style,FLOWERS for ALBION,237,S-RAN,千葉県,439,TOGA-C,千葉県,0,,未設定
4th style,era (step mix),1079,NEKO-P,千葉県,1363,NENIGE,千葉県,1682,TOGA-C,千葉県
4th style,empathy,824,QUALFY,千葉県,1361,NEKO.G,千葉県,1455,TOGA-C,千葉県
4th style,DXY!,1230,YM-RO,千葉県,1823,OPAN.2,千葉県,2221,HO1KO6,千葉県
4th style,Clione,525,S-RAN,千葉県,949,NEKO.G,千葉県,1607,ROEN,千葉県
4th style,CHECKING YOU OUT,608,S-RAN,千葉県,856,PRINNY,千葉県,1277,LAHAR*,千葉県
4th style,Burnin' The Floor,570,S-RAN,千葉県,946,NEKO.G,千葉県,1436,TOGA-C,千葉県
4th style,Broken My Heart,923,RECALL,千葉県,1489,NEKO.G,千葉県,1810,HO1KO6,千葉県
4th style,B4U,1039,S-RAN,千葉県,1541,TEPMON,千葉県,1987,HO1KO6,千葉県
4th style,ABSOLUTE,1327,NEKO.G,千葉県,1810,TOGA-C,千葉県,2375,ROEN,千葉県
4th style,250bpm,679,S-RAN,千葉県,970,TOGA-4,千葉県,1394,LAHAR*,千葉県
5th style,V,1279,NEKO.G,千葉県,2467,TOGA-C,千葉県,2965,KONOMI,千葉県
5th style,THE SHINING POLARIS,942,S-RAN,千葉県,1313,NEKO.G,千葉県,1581,TOGA-C,千葉県
