バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,761,YUURA,和歌山県,970,MONOMI,和歌山県,1142,RIZE,和歌山県
1st&substream,RUGGED ASH,338,SIMPLE,和歌山県,375,MAKOTO,和歌山県,1079,RIZE,和歌山県
1st&substream,R3,512,RIOT,和歌山県,693,SPH,和歌山県,889,IRUMY,和歌山県
1st&substream,PARANOIA MAX～DIRTY MIX～,492,10.5,和歌山県,681,SPH,和歌山県,1092,RIZE,和歌山県
1st&substream,Macho Gang,358,IRUMY,和歌山県,917,BOODLE,和歌山県,1586,IRUMY,和歌山県
1st&substream,KEEP ON MOVIN',192,KUMA-C,和歌山県,243,T.T,和歌山県,0,,未設定
1st&substream,GRADIUSIC CYBER,798,TANBOY,和歌山県,891,SPH,和歌山県,1185,RAITO.,和歌山県
1st&substream,GENOM SCREAMS,296,KEI,和歌山県,729,NM9R.K,和歌山県,1053,MYZ,和歌山県
1st&substream,GAMBOL,267,YUURA,和歌山県,274,RIZE,和歌山県,0,,未設定
1st&substream,Dr.LOVE,394,T.T,和歌山県,506,YUURA,和歌山県,568,RAD-W*,和歌山県
1st&substream,deep in you,424,TANBOY,和歌山県,481,DARUMA,和歌山県,649,IRUMY,和歌山県
1st&substream,BRILLIANT 2U,511,YUURA,和歌山県,608,BOUNCE,和歌山県,708,IRUMY,和歌山県
1st&substream,5.1.1.,189,BOUNCE,和歌山県,972,T.T,和歌山県,1556,MYZ,和歌山県
1st&substream,22DUNK,452,NIKURO,和歌山県,641,RIZE,和歌山県,625,KO2ME,和歌山県
2nd style,SP-TRIP MACHINE(for beatmania II),500,MARIN,和歌山県,610,RAD-W*,和歌山県,633,ANIM8,和歌山県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),533,SOMA,和歌山県,837,SUSO,和歌山県,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),815,YUURA,和歌山県,952,FUWA,和歌山県,1196,IRUMY,和歌山県
