バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,769,AIMA01,群馬県,989,..,群馬県,1142,-ENA-,群馬県
1st&substream,RUGGED ASH,363,SYARO,群馬県,401,SIDE-M,群馬県,1069,K0Z0!?,群馬県
1st&substream,R3,652,SIDE-M,群馬県,713,BELLE.,群馬県,901,-ENA-,群馬県
1st&substream,PARANOIA MAX～DIRTY MIX～,540,SYARO,群馬県,718,HII,群馬県,1100,-ENA-,群馬県
1st&substream,Macho Gang,368,SYARO,群馬県,1027,..,群馬県,1587,XAN.H,群馬県
1st&substream,KEEP ON MOVIN',192,SIDE-M,群馬県,242,RINNE*,群馬県,0,,未設定
1st&substream,GRADIUSIC CYBER,862,HAKA!,群馬県,968,DA1ZU*,群馬県,1183,SILXEA,群馬県
1st&substream,GENOM SCREAMS,400,RINNE*,群馬県,783,SESS,群馬県,1061,K0Z0!?,群馬県
1st&substream,GAMBOL,272,HAKA!,群馬県,271,KICHEE,群馬県,0,,未設定
1st&substream,Dr.LOVE,403,$EVAN$,群馬県,507,BELLE.,群馬県,575,K0Z0!?,群馬県
1st&substream,deep in you,460,MEGANE,群馬県,475,..,群馬県,658,-ENA-,群馬県
1st&substream,BRILLIANT 2U,512,SYARO,群馬県,636,..,群馬県,710,SIDE-M,群馬県
1st&substream,5.1.1.,198,SIDE-M,群馬県,999,BELLE.,群馬県,1543,BELLE.,群馬県
1st&substream,22DUNK,504,$EVAN$,群馬県,636,K0Z0!?,群馬県,652,K0Z0!?,群馬県
2nd style,SP-TRIP MACHINE(for beatmania II),502,$EVAN$,群馬県,609,..,群馬県,646,-ENA-,群馬県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),551,$EVAN$,群馬県,852,K0Z0!?,群馬県,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),832,N-AI..,群馬県,1090,SUGURI,群馬県,1211,-ENA-,群馬県
2nd style,I Was The One,525,HII,群馬県,642,..,群馬県,692,K0Z0!?,群馬県
2nd style,Electro Tuned(the SubS mix),756,YKSM,群馬県,932,..,群馬県,1060,SILXEA,群馬県
2nd style,Digital MinD(A/T Libra mix),721,YKSM,群馬県,1021,SUGURI,群馬県,1119,-ENA-,群馬県
2nd style,Dancin' Into The Night,423,HAKA!,群馬県,469,K0Z0!?,群馬県,0,,未設定
2nd style,.59,706,HAKA!,群馬県,957,HII,群馬県,1151,K0Z0!?,群馬県
3rd style,THE SAFARI,1199,W,群馬県,1737,SILXEA,群馬県,0,,未設定
3rd style,Tangerine Stream,281,HAKA!,群馬県,394,BELLE.,群馬県,0,,未設定
3rd style,Skyscraper,703,TAQAN,群馬県,1193,K0Z0!?,群馬県,1239,-ENA-,群馬県
3rd style,Schlagwerk,779,OH,群馬県,1268,*NOSU7,群馬県,1670,-ENA-,群馬県
3rd style,REINCARNATION,818,*NOSU7,群馬県,998,..,群馬県,1265,-ENA-,群馬県
3rd style,R5,763,MAGO2D,群馬県,1168,K0Z0!?,群馬県,1761,-ENA-,群馬県
3rd style,Presto,509,ZUZULI,群馬県,977,W,群馬県,1003,-ENA-,群馬県
3rd style,LEADING CYBER,831,*NOSU7,群馬県,1146,..,群馬県,1265,-ENA-,群馬県
3rd style,Holic,750,DA1ZU*,群馬県,1207,W,群馬県,1680,SILXEA,群馬県
3rd style,era (nostalmix),815,SYARO,群馬県,1063,SIDE-M,群馬県,1507,-ENA-,群馬県
3rd style,Don't Stop!,757,FLG.,群馬県,850,ENA-L,群馬県,898,K0Z0!?,群馬県
3rd style,CAN'T STOP FALLIN'IN LOVE,613,MAGO2D,群馬県,1225,K0Z0!?,群馬県,0,,未設定
4th style,Voltage (feat. Hidemaru),854,SYARO,群馬県,1180,SUGURI,群馬県,1313,-ENA-,群馬県
4th style,Under Construction,772,SYARO,群馬県,971,..,群馬県,1157,-ENA-,群馬県
4th style,ULTRA HIGH-HEELS,728,8SLAGI,群馬県,885,..,群馬県,987,-ENA-,群馬県
4th style,starmine,865,TAQAN,群馬県,1421,W,群馬県,1556,MAGO2D,群馬県
4th style,Nasty!,543,FLG.,群馬県,938,SESS,群馬県,1546,-ENA-,群馬県
4th style,Mr.T.(take me higher),798,MEGANE,群馬県,969,..,群馬県,1750,-ENA-,群馬県
4th style,minimalian,523,FLG.,群馬県,1077,K0Z0!?,群馬県,1386,-ENA-,群馬県
4th style,LOVE WILL・・・,542,$EVAN$,群馬県,748,BELLE.,群馬県,1456,-ENA-,群馬県
4th style,KAMIKAZE,988,$EVAN$,群馬県,1472,K0Z0!?,群馬県,2271,EBIBI3,群馬県
4th style,Jam&Marmalade,735,TAQAN,群馬県,874,..,群馬県,998,SIDE-M,群馬県
4th style,Hitch Hiker2,785,TAQAN,群馬県,1147,BELLE.,群馬県,1310,-ENA-,群馬県
4th style,HIGHER,525,SYARO,群馬県,906,..,群馬県,1277,-ENA-,群馬県
