バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,605,DAKEN,島根県,920,YUA,島根県,1116,KEH,島根県
1st&substream,RUGGED ASH,355,TAKANA,島根県,397,.T4R,島根県,1057,KEH,島根県
1st&substream,R3,552,PORUTA,島根県,651,YUA,島根県,865,.T4R,島根県
1st&substream,PARANOIA MAX～DIRTY MIX～,479,AMELIA,島根県,680,RAN.S,島根県,1057,KEH,島根県
1st&substream,Macho Gang,356,KTP,島根県,949,AGE,島根県,1548,KEH,島根県
1st&substream,KEEP ON MOVIN',192,5.1.1.,島根県,238,.T4R,島根県,0,,未設定
1st&substream,GRADIUSIC CYBER,869,.T4R,島根県,926,RAN.S,島根県,1156,BE210G,島根県
1st&substream,GENOM SCREAMS,375,RAN.S,島根県,715,KTP,島根県,1026,KEH,島根県
1st&substream,GAMBOL,262,5.1.1.,島根県,256,5.1.1.,島根県,0,,未設定
1st&substream,Dr.LOVE,367,YUNO,島根県,451,YUA,島根県,555,.T4R,島根県
1st&substream,deep in you,406,UMEBOC,島根県,441,FLYING,島根県,640,.T4R,島根県
1st&substream,BRILLIANT 2U,481,NNA!?,島根県,617,YUA,島根県,672,YUA,島根県
1st&substream,5.1.1.,197,5.1.1.,島根県,993,BE210G,島根県,1499,BE210G,島根県
1st&substream,22DUNK,485,ZIRYO9,島根県,586,ZIRYO9,島根県,621,.T4R,島根県
2nd style,SP-TRIP MACHINE(for beatmania II),474,ZIRYO9,島根県,586,TAKANA,島根県,616,YUA,島根県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),452,TRSN,島根県,843,KEH,島根県,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),802,KTP,島根県,999,KTP,島根県,1164,KEH,島根県
2nd style,I Was The One,498,UMEBOC,島根県,619,.T4R,島根県,678,.T4R,島根県
