バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,735,YADO,滋賀県,1029,B-RABI,滋賀県,1125,VERSUS,滋賀県
1st&substream,RUGGED ASH,370,B-RABI,滋賀県,401,*99*,滋賀県,1101,AAAAAA,滋賀県
1st&substream,R3,518,CCA,滋賀県,725,-SB-,滋賀県,881,KOTA,滋賀県
1st&substream,PARANOIA MAX～DIRTY MIX～,523,YADO,滋賀県,746,B-RABI,滋賀県,1106,B-RABI,滋賀県
1st&substream,Macho Gang,318,XX02,滋賀県,1052,B-RABI,滋賀県,1607,*99*,滋賀県
1st&substream,KEEP ON MOVIN',196,KOTA,滋賀県,241,♡,滋賀県,,,
1st&substream,GRADIUSIC CYBER,765,N1C0M1,滋賀県,964,-SB-,滋賀県,1158,N.KJ,滋賀県
1st&substream,GENOM SCREAMS,373,YADO,滋賀県,764,AAAAAA,滋賀県,1055,B-RABI,滋賀県
1st&substream,GAMBOL,274,CHII-8,滋賀県,272,KOTA,滋賀県,,,
1st&substream,Dr.LOVE,355,AA,滋賀県,514,-SB-,滋賀県,558,CHII-8,滋賀県
1st&substream,deep in you,373,SEGACH,滋賀県,458,YADO,滋賀県,644,KOTA,滋賀県
1st&substream,BRILLIANT 2U,469,NYARO,滋賀県,583,AA,滋賀県,721,*99*,滋賀県
1st&substream,5.1.1.,198,KOTA,滋賀県,1009,B-RABI,滋賀県,1551,AAAAAA,滋賀県
1st&substream,22DUNK,451,EIGHT,滋賀県,624,-SB-,滋賀県,634,810AP,滋賀県
2nd style,SP-TRIP MACHINE(for beatmania II),473,YADO,滋賀県,622,-SB-,滋賀県,641,KOTA,滋賀県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),544,YADO,滋賀県,846,CELES,滋賀県,,,
2nd style,Indigo Vision(full flavour hide around mix),785,YADO,滋賀県,1019,YUKI.,滋賀県,1188,KOTA,滋賀県
2nd style,I Was The One,507,YUKI.,滋賀県,642,-SB-,滋賀県,692,AAAAAA,滋賀県
2nd style,Electro Tuned(the SubS mix),725,YADO,滋賀県,931,-SB-,滋賀県,1052,KOTA,滋賀県
2nd style,Digital MinD(A/T Libra mix),686,YADO,滋賀県,1056,-SB-,滋賀県,1098,KOTA,滋賀県
2nd style,Dancin' Into The Night,395,XX02,滋賀県,468,N.KJ,滋賀県,,,
2nd style,.59,654,YADO,滋賀県,884,AOI,滋賀県,1146,AAAAAA,滋賀県
3rd style,THE SAFARI,1214,B-RABI,滋賀県,1751,AAAAAA,滋賀県,,,
3rd style,Tangerine Stream,279,KOTA,滋賀県,390,-SB-,滋賀県,,,
3rd style,Skyscraper,709,YADO,滋賀県,1164,CHII-8,滋賀県,1236,KOTA,滋賀県
3rd style,Schlagwerk,780,YADO,滋賀県,1136,AA,滋賀県,1648,KOTA,滋賀県
3rd style,REINCARNATION,816,YADO,滋賀県,1009,-SB-,滋賀県,1234,N.KJ,滋賀県
3rd style,R5,725,YADO,滋賀県,1162,B-RABI,滋賀県,1749,B-RABI,滋賀県
3rd style,Presto,504,YADO,滋賀県,922,YADO,滋賀県,985,KOTA,滋賀県
