バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,679,SIVILL,京都府,1046,577777,京都府,1144,577777,京都府
1st&substream,RUGGED ASH,358,NORTH,京都府,397,KEISUK,京都府,1076,-*X*-,京都府
1st&substream,R3,612,REI,京都府,698,VIEW,京都府,895,577777,京都府
1st&substream,PARANOIA MAX～DIRTY MIX～,522,LSNT,京都府,717,LSNT,京都府,1097,HIRO-T,京都府
1st&substream,Macho Gang,369,CHIKA,京都府,950,TOXIC.,京都府,1596,*BACA*,京都府
1st&substream,KEEP ON MOVIN',187,LSNT,京都府,244,577777,京都府,,,
1st&substream,GRADIUSIC CYBER,806,MKTAXI,京都府,910,YOURAY,京都府,1181,U1HARU,京都府
1st&substream,GENOM SCREAMS,383,RZ#TDZ,京都府,785,Z-HARD,京都府,1061,-*X*-,京都府
1st&substream,GAMBOL,274,21E,京都府,274,21E,京都府,,,
1st&substream,Dr.LOVE,388,RZ#TDZ,京都府,492,RAI,京都府,571,*BACA*,京都府
1st&substream,deep in you,438,KAZER,京都府,457,RAI,京都府,656,*BACA*,京都府
1st&substream,BRILLIANT 2U,527,LSNT,京都府,645,KEISUK,京都府,719,577777,京都府
1st&substream,5.1.1.,189,FSERIA,京都府,990,21E,京都府,1556,-HT-,京都府
1st&substream,22DUNK,449,RERE,京都府,638,577777,京都府,645,-HT-,京都府
2nd style,SP-TRIP MACHINE(for beatmania II),490,RZ#TDZ,京都府,598,RAI,京都府,643,577777,京都府
2nd style,PUT YOUR FAITH IN ME(for beatmania II),510,YEAH,京都府,852,-*X*-,京都府,,,
2nd style,Indigo Vision(full flavour hide around mix),754,CHANTE,京都府,937,#TA-K,京都府,1211,HIRO-T,京都府
2nd style,I Was The One,512,RZ#TDZ,京都府,643,CHIKA,京都府,689,*BACA*,京都府
2nd style,Electro Tuned(the SubS mix),715,MKTAXI,京都府,860,RAI,京都府,1059,*BACA*,京都府
2nd style,Digital MinD(A/T Libra mix),661,.MASA.,京都府,986,K-NEKO,京都府,1110,21E,京都府
2nd style,Dancin' Into The Night,421,LSNT,京都府,458,LSNT,京都府,,,
2nd style,.59,634,KAZE,京都府,1013,-*X*-,京都府,1143,-*X*-,京都府
3rd style,THE SAFARI,1125,SHURA.,京都府,1755,HIRO-T,京都府,,,
3rd style,Tangerine Stream,276,LSNT,京都府,395,577777,京都府,,,
3rd style,Skyscraper,650,TWANS,京都府,1059,YOSHI,京都府,1237,*BACA*,京都府
3rd style,Schlagwerk,687,TWANS,京都府,1274,21E,京都府,1661,577777,京都府
3rd style,REINCARNATION,768,DNA,京都府,972,YOURAY,京都府,1266,HIRO-T,京都府
3rd style,R5,730,RAI,京都府,1122,KEISUK,京都府,1757,HIRO-T,京都府
3rd style,Presto,512,TOXIC.,京都府,933,KEISUK,京都府,996,Q,京都府
3rd style,LEADING CYBER,781,KUNERU,京都府,1196,577777,京都府,1228,577777,京都府
3rd style,Holic,729,AZR-C-,京都府,1174,Z-HARD,京都府,1702,Q,京都府
3rd style,era (nostalmix),800,RZ#TDZ,京都府,1037,LSNT,京都府,1505,-*X*-,京都府
3rd style,Don't Stop!,715,CHANTE,京都府,820,RAI,京都府,899,*BACA*,京都府
3rd style,CAN'T STOP FALLIN'IN LOVE,570,STF,京都府,1244,HIRO-T,京都府,,,
4th style,Voltage (feat. Hidemaru),869,MKTAXI,京都府,1134,CHIKA,京都府,1299,Q,京都府
4th style,ULTRA HIGH-HEELS,702,SHURA.,京都府,822,STF,京都府,991,HIRO-T,京都府
4th style,starmine,821,MKTAXI,京都府,1411,U1HARU,京都府,1571,21E,京都府
4th style,Nasty!,476,CHANTE,京都府,851,Y.U.I.,京都府,1514,WASAV,京都府
4th style,Mr.T.(take me higher),769,YEAH,京都府,966,SKR,京都府,1744,21E,京都府
4th style,minimalian,510,AZR-C-,京都府,1081,U1HARU,京都府,1386,-SORA-,京都府
4th style,LOVE WILL・・・,518,AZR-C-,京都府,733,U1HARU,京都府,1455,577777,京都府
4th style,KAMIKAZE,981,VIEW,京都府,1394,FUGA,京都府,2267,Q,京都府
4th style,Jam&Marmalade,754,CHIKA,京都府,861,MOBE,京都府,1009,577777,京都府
4th style,Hitch Hiker2,609,CLAUDE,京都府,1141,IIDX58,京都府,1312,*BACA*,京都府
4th style,HIGHER,480,YEAH,京都府,869,TOKINO,京都府,1262,577777,京都府
4th style,FLOWERS for ALBION,229,RAI,京都府,420,AKI,京都府,,,
4th style,era (step mix),968,STF,京都府,1347,YOURAY,京都府,1654,Q,京都府
4th style,empathy,797,VIEW,京都府,1243,FUGA,京都府,1384,WASAV,京都府
4th style,DXY!,1110,STF,京都府,1807,577777,京都府,2189,Q,京都府
4th style,Clione†,,,,,,,2119,Q,京都府
4th style,Clione,485,RYU,京都府,879,M33-4T,京都府,1601,HIRO-T,京都府
4th style,CHECKING YOU OUT,566,TOXIC.,京都府,832,AKI,京都府,1258,577777,京都府
4th style,Burnin' The Floor,579,577777,京都府,947,577777,京都府,1427,577777,京都府
4th style,Broken My Heart,886,VIEW,京都府,1445,YAMADA,京都府,1796,Q,京都府
4th style,B4U,973,LSNT,京都府,1508,577777,京都府,1970,Q,京都府
4th style,ABSOLUTE,1240,MKTAXI,京都府,1705,KEISUK,京都府,2378,Q,京都府
4th style,250bpm,649,E,京都府,971,KEISUK,京都府,1381,Q,京都府
5th style,V,1219,21E,京都府,2386,PIRIKA,京都府,2957,HIRO-T,京都府
5th style,THE SHINING POLARIS,848,RZ#TDZ,京都府,1294,U1HARU,京都府,1573,AQUA.G,京都府
5th style,THE CUBE,661,TOSHI,京都府,1255,577777,京都府,1336,WASAV,京都府
