バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,732,ASDC,和歌山県,845,YMGUTI,和歌山県,1134,DARUMA,和歌山県
1st&substream,RUGGED ASH,351,MA0SIA,和歌山県,401,GIGANT,和歌山県,1071,RAD-W*,和歌山県
1st&substream,R3,635,T.T,和歌山県,692,T,和歌山県,901,GIGANT,和歌山県
1st&substream,PARANOIA MAX～DIRTY MIX～,523,ASDC,和歌山県,610,MEW,和歌山県,1097,DARUMA,和歌山県
1st&substream,Macho Gang,356,MADDOG,和歌山県,921,UME,和歌山県,1599,MILL,和歌山県
1st&substream,KEEP ON MOVIN',196,O2KA03,和歌山県,242,O2KA03,和歌山県,,,
1st&substream,GRADIUSIC CYBER,794,ASDC,和歌山県,881,UME,和歌山県,1188,MILL,和歌山県
1st&substream,GENOM SCREAMS,409,T.T,和歌山県,798,RAD-W*,和歌山県,1049,RAD-W*,和歌山県
1st&substream,GAMBOL,268,MA,和歌山県,271,..76..,和歌山県,,,
1st&substream,Dr.LOVE,391,ASDC,和歌山県,502,CRASS,和歌山県,574,DARUMA,和歌山県
1st&substream,deep in you,471,T.T,和歌山県,439,LEN,和歌山県,648,DARUMA,和歌山県
1st&substream,BRILLIANT 2U,538,GIGANT,和歌山県,626,GIGANT,和歌山県,708,DARUMA,和歌山県
1st&substream,5.1.1.,194,CRASS,和歌山県,984,T,和歌山県,1560,GIGANT,和歌山県
1st&substream,22DUNK,459,LEN,和歌山県,511,KENSEI,和歌山県,633,RAD-W*,和歌山県
2nd style,SP-TRIP MACHINE(for beatmania II),453,F.K!,和歌山県,623,GIGANT,和歌山県,646,GIGANT,和歌山県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),497,LEN,和歌山県,841,DARUMA,和歌山県,,,
2nd style,Indigo Vision(full flavour hide around mix),748,F.K!,和歌山県,1035,MA,和歌山県,1199,MILL,和歌山県
2nd style,I Was The One,484,MSR,和歌山県,597,MADDOG,和歌山県,683,DARUMA,和歌山県
2nd style,Electro Tuned(the SubS mix),740,T,和歌山県,885,ASDC,和歌山県,1049,DARUMA,和歌山県
2nd style,Digital MinD(A/T Libra mix),636,LEN,和歌山県,1058,O2KA03,和歌山県,1106,DARUMA,和歌山県
2nd style,Dancin' Into The Night,411,T,和歌山県,461,DARUMA,和歌山県,,,
2nd style,.59,658,ANIM8,和歌山県,979,T.T,和歌山県,1123,DARUMA,和歌山県
3rd style,THE SAFARI,972,MA0SIA,和歌山県,1727,MILL,和歌山県,,,
3rd style,Tangerine Stream,266,CRASS,和歌山県,394,T.T,和歌山県,,,
3rd style,Skyscraper,343,KANADE,和歌山県,1118,KENTAN,和歌山県,1225,DARUMA,和歌山県
3rd style,Schlagwerk,733,MA0SIA,和歌山県,1303,GIGANT,和歌山県,1645,GIGANT,和歌山県
3rd style,REINCARNATION,795,T,和歌山県,985,BOB,和歌山県,1246,DARUMA,和歌山県
3rd style,R5,631,MA0SIA,和歌山県,1130,MILL,和歌山県,1746,GIGANT,和歌山県
3rd style,Presto,481,LEN,和歌山県,946,CRASS,和歌山県,995,DARUMA,和歌山県
3rd style,LEADING CYBER,839,T,和歌山県,1165,KENTAN,和歌山県,1271,GIGANT,和歌山県
3rd style,Holic,729,ELM-G,和歌山県,1160,T.T,和歌山県,1671,F.,和歌山県
3rd style,era (nostalmix),768,LEN,和歌山県,1047,CRASS,和歌山県,1472,MILL,和歌山県
3rd style,Don't Stop!,756,T,和歌山県,827,KENTAN,和歌山県,899,GIGANT,和歌山県
3rd style,CAN'T STOP FALLIN'IN LOVE,590,Q-NO,和歌山県,1251,GIGANT,和歌山県,,,
4th style,Voltage (feat. Hidemaru),720,52149,和歌山県,1114,T,和歌山県,1260,DARUMA,和歌山県
4th style,ULTRA HIGH-HEELS,584,MIM.,和歌山県,809,YMGUTI,和歌山県,976,DARUMA,和歌山県
4th style,starmine,869,T.T,和歌山県,1425,GIGANT,和歌山県,1556,DARUMA,和歌山県
4th style,Nasty!,475,LEN,和歌山県,901,T,和歌山県,1509,DARUMA,和歌山県
4th style,Mr.T.(take me higher),738,LEN,和歌山県,985,CRASS,和歌山県,1731,MILL,和歌山県
4th style,minimalian,473,LEN,和歌山県,1095,GIGANT,和歌山県,1375,GIGANT,和歌山県
4th style,LOVE WILL・・・,538,T,和歌山県,732,T,和歌山県,1447,DARUMA,和歌山県
4th style,KAMIKAZE,853,52149,和歌山県,1189,NAIBUS,和歌山県,2225,DARUMA,和歌山県
4th style,Jam&Marmalade,734,ELM-G,和歌山県,835,BOB,和歌山県,1002,MILL,和歌山県
4th style,Hitch Hiker2,,,,884,NAIBUS,和歌山県,1316,GIGANT,和歌山県
4th style,HIGHER,477,LEN,和歌山県,804,YMGUTI,和歌山県,1262,O2KA03,和歌山県
4th style,FLOWERS for ALBION,210,MSR,和歌山県,425,T.T,和歌山県,,,
4th style,era (step mix),791,52149,和歌山県,1422,GIGANT,和歌山県,1630,DARUMA,和歌山県
4th style,empathy,697,52149,和歌山県,1067,YMGUTI,和歌山県,1412,CRASS,和歌山県
4th style,DXY!,1176,ASDC,和歌山県,1848,O2KA03,和歌山県,2170,GIGANT,和歌山県
4th style,Clione†,,,,,,,2114,MYZ,和歌山県
4th style,Clione,514,T.T,和歌山県,892,T,和歌山県,1574,DARUMA,和歌山県
4th style,CHECKING YOU OUT,467,F.K!,和歌山県,778,T.T,和歌山県,1297,GIGANT,和歌山県
4th style,Burnin' The Floor,558,ASDC,和歌山県,848,I626,和歌山県,1428,DARUMA,和歌山県
4th style,Broken My Heart,886,BU.LNB,和歌山県,1482,GIGANT,和歌山県,1789,MILL,和歌山県
4th style,B4U,966,T.T,和歌山県,1422,PIXX,和歌山県,1979,GIGANT,和歌山県
4th style,ABSOLUTE,1078,F.K!,和歌山県,1814,GIGANT,和歌山県,2323,DARUMA,和歌山県
4th style,250bpm,647,T.T,和歌山県,1028,GIGANT,和歌山県,1395,GIGANT,和歌山県
5th style,V,1086,KENSEI,和歌山県,2507,GIGANT,和歌山県,2929,MILL,和歌山県
5th style,THE SHINING POLARIS,938,T.T,和歌山県,1327,GIGANT,和歌山県,1570,O2KA03,和歌山県
5th style,THE CUBE,689,T.T,和歌山県,1171,T,和歌山県,1319,DARUMA,和歌山県
5th style,sync,897,52149,和歌山県,1924,GIGANT,和歌山県,2314,GIGANT,和歌山県
5th style,still my words,875,T.T,和歌山県,1201,DARUMA,和歌山県,,,
5th style,STILL IN MY HEART,623,HALULI,和歌山県,1374,GIGANT,和歌山県,1904,GIGANT,和歌山県
5th style,Spin the disc,780,T.T,和歌山県,1298,GIGANT,和歌山県,1296,DARUMA,和歌山県
5th style,RISLIM,667,AAAAAA,和歌山県,1213,GIGANT,和歌山県,,,
5th style,RIDE ON THE LIGHT (HI GREAT MIX) †,,,,,,,1789,MYZ,和歌山県
