バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,727,AGE,島根県,957,AGE,島根県,1050,QMA3KO,島根県
1st&substream,RUGGED ASH,348,AGE,島根県,376,AGE,島根県,1065,QMA3KO,島根県
1st&substream,R3,595,K*N.SY,島根県,672,K*N.SY,島根県,881,QMA3KO,島根県
1st&substream,PARANOIA MAX～DIRTY MIX～,479,TAKKUN,島根県,717,AGE,島根県,997,HI-TA.,島根県
1st&substream,Macho Gang,351,AGE,島根県,977,AGE,島根県,1564,QMA3KO,島根県
1st&substream,KEEP ON MOVIN',186,YUA,島根県,226,AGE,島根県,,,
1st&substream,GRADIUSIC CYBER,731,TRSN,島根県,715,RENA,島根県,1141,QMA3KO,島根県
1st&substream,GENOM SCREAMS,391,AGE,島根県,580,RENJAQ,島根県,986,AGE,島根県
1st&substream,GAMBOL,258,HAL3NO,島根県,268,QMA3KO,島根県,,,
1st&substream,Dr.LOVE,344,PIYO,島根県,506,AGE,島根県,571,QMA3KO,島根県
1st&substream,deep in you,464,AGE,島根県,477,AGE,島根県,589,YUA,島根県
1st&substream,BRILLIANT 2U,514,AGE,島根県,587,K*N.SY,島根県,684,AGE,島根県
1st&substream,5.1.1.,191,3GOKUN,島根県,906,NNANNA,島根県,1515,QMA3KO,島根県
1st&substream,22DUNK,507,AGE,島根県,616,K*N.SY,島根県,645,QMA3KO,島根県
2nd style,SP-TRIP MACHINE(for beatmania II),485,AGE,島根県,601,AGE,島根県,624,AGE,島根県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),540,AGE,島根県,785,YUA,島根県,,,
2nd style,Indigo Vision(full flavour hide around mix),817,AGE,島根県,958,K*N.SY,島根県,1145,QMA3KO,島根県
2nd style,I Was The One,435,XIAN,島根県,627,AGE,島根県,652,YUA,島根県
2nd style,Electro Tuned(the SubS mix),671,PIYO,島根県,806,RENJAQ,島根県,1064,QMA3KO,島根県
2nd style,Digital MinD(A/T Libra mix),703,AGE,島根県,997,AGE,島根県,1058,AGE,島根県
2nd style,Dancin' Into The Night,409,AGE,島根県,441,YUA,島根県,,,
2nd style,.59,649,YUA,島根県,917,YUA,島根県,1106,3GOKUN,島根県
3rd style,THE SAFARI,1063,HI-TA.,島根県,1646,3GOKUN,島根県,,,
3rd style,Tangerine Stream,265,AGE,島根県,380,AGE,島根県,,,
3rd style,Skyscraper,692,AGE,島根県,944,RENJAQ,島根県,1228,QMA3KO,島根県
3rd style,Schlagwerk,,,,1207,AGE,島根県,1631,QMA3KO,島根県
3rd style,REINCARNATION,795,AGE,島根県,952,AGE,島根県,1252,QMA3KO,島根県
