バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,781,7-11,奈良県,1025,*YOSHI,奈良県,1125,*TASUQ,奈良県
1st&substream,RUGGED ASH,364,NZOMBI,奈良県,396,Z-HARD,奈良県,1069,O4BORI,奈良県
1st&substream,R3,627,NZOMBI,奈良県,723,7-11,奈良県,896,*TASUQ,奈良県
1st&substream,PARANOIA MAX～DIRTY MIX～,431,ENSA06,奈良県,739,EVO69,奈良県,1093,EVO69,奈良県
1st&substream,Macho Gang,361,ZOLA,奈良県,1045,7-11,奈良県,1596,D1CHAN,奈良県
1st&substream,KEEP ON MOVIN',195,NZOMBI,奈良県,240,*YOSHI,奈良県,0,,未設定
1st&substream,GRADIUSIC CYBER,778,M.I.A.,奈良県,980,*YOSHI,奈良県,1188,*TASUQ,奈良県
1st&substream,GENOM SCREAMS,407,NZOMBI,奈良県,712,NATTOU,奈良県,1042,*TASUQ,奈良県
1st&substream,GAMBOL,266,LIME-S,奈良県,272,BELTRE,奈良県,0,,未設定
1st&substream,Dr.LOVE,399,NZOMBI,奈良県,510,7-11,奈良県,572,*TASUQ,奈良県
1st&substream,deep in you,485,NZOMBI,奈良県,498,JOYFUL,奈良県,654,*TASUQ,奈良県
1st&substream,BRILLIANT 2U,524,NZOMBI,奈良県,635,BELTRE,奈良県,712,*TASUQ,奈良県
1st&substream,5.1.1.,186,LIGHT,奈良県,904,ALT.I,奈良県,1546,*TASUQ,奈良県
1st&substream,22DUNK,503,NZOMBI,奈良県,610,BELTRE,奈良県,649,*YOSHI,奈良県
2nd style,SP-TRIP MACHINE(for beatmania II),500,NZOMBI,奈良県,576,HIR2,奈良県,644,BELTRE,奈良県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),559,NZOMBI,奈良県,847,Z-HARD,奈良県,0,,未設定
