"version","title","normalScore","normalDJName","normalPrefecture","hyperScore","hyperDJName","hyperPrefecture","anotherScore","anotherDJName","anotherPrefecture"
"1st&substream","22DUNK","530","TART",,"645","CARP*S",,"655","CARP*S",
"1st&substream","5.1.1.","198","UNYO",,"1020","CARP*S",,"1568","*KNST*",
"1st&substream","diving money","262","TART",,"394","BLOVA",,,,
"1st&substream","Dr.LOVE","408","*TAM*",,"522","*TAM*",,"580","TART",
"1st&substream","GAMBOL","274","UNYO",,"261","WAIL",,,,
"1st&substream","GRADIUSIC CYBER","878","10RURI",,"1006","CARP*S",,"1210","CARP*S",
"1st&substream","LUV TO ME(disco mix)","895","SAKAKI",,"928","BLOVA",,"992","OP*PO*",
"1st&substream","Prince on a star","664","TART",,"856","BLOVA",,"995","CARP*S",
"1st&substream","R3","660","SZANNE",,"736","CARP*S",,"903","NEFF",
"1st&substream","Special energy","502","TART",,"603","BLOVA",,"813","CARP*S",
"1st&substream","BRILLIANT 2U","540","TART",,"660","SZANNE",,"723","XEMN",
"1st&substream","deep in you","499","MASAKI",,"509","BLOVA",,"662","CARP*S",
"1st&substream","GENOM SCREAMS","422","TART",,"826","UNYO",,"1066","-SEVA-",
"1st&substream","gentle stress","464","*TAM*",,"699","DDN",,,,
"1st&substream","KEEP ON MOVIN'","196","BON",,"244","RAVI*",,,,
"1st&substream","Macho Gang","382","SZANNE",,"1084","CARP*S",,"1637","DO",
"1st&substream","RUGGED ASH","370","TART",,"402","SAKAKI",,"1090","KURU-C",
"1st&substream","THE EARTH LIGHT","792","SZANNE",,"1052","CARP*S",,"1155","*KNST*",
"2nd style",".59","717","TART",,"1024","CARP*S",,"1155","CARP*S",
"2nd style","Digital MinD(A/T Libra mix...","745","DDN",,"1070","BLOVA",,"1132","*KNST*",
"2nd style","Electro Tuned(the SubS mix...","777","TART",,"962","CARP*S",,"1069","CHIAKI",
"2nd style","I Was The One","544","10RURI",,"652","BLOVA",,"696","DDN",
"2nd style","Indigo Vision(full flavour...","881","TART",,"1131","UNYO",,"1225","TANMEN",
"2nd style","SP-TRIP MACHINE(for beatma...","508","SAKAKI",,"626","TART",,"648","DOLCE.",
"3rd style","CAN'T STOP FALLIN'IN LOVE","620","SZANNE",,"1253","CARP*S",,,,
"3rd style","Don't Stop!","778","ERO-GG",,"856","CARP*S",,"905","HIGEX.",
"3rd style","DYNAMITE RAVE","688","TART",,"1191","CARP*S",,"1224","TANMEN",
"3rd style","END OF THE CENTURY","926","63-K",,"1376","LLV",,"1434","WIMPS.",
"3rd style","era(nostal mix)","866","T",,"1094","SHORNE",,"1529","*HUYU*",
"3rd style","Holic","785","SAKAKI",,"1237","CARP*S",,"1730","LIFULL",
"3rd style","IS THIS LOVE?","598","TART",,"874","CARP*S",,"884","CARP*S",
"3rd style","LEADING CYBER","863","DDN",,"1213","BLOVA",,"1275","CHIAKI",
"3rd style","never let you down","814","SZANNE",,"1148","UNYO",,"1158","CARP*S",
"3rd style","Presto","546","SAKAKI",,"992","CARP*S",,"1009","CARP*S",
"3rd style","R5","774","SAKAKI",,"1171","SE2NA*",,"1768","HANDA",
"3rd style","REINCARNATION","845","UNYO",,"1045","CARP*S",,"1271","CARP*S",
"3rd style","Schlagwerk","826","SZANNE",,"1317","CARP*S",,"1684","DOLCE.",
"3rd style","Sense","872","UNYO",,"1129","BLOVA",,"1308","RIE.",
"3rd style","Skyscraper","743","TART",,"1213","CARP*S",,"1251","CARP*S",
"3rd style","Tangerine Stream","282","NAO10",,"396","SZANNE",,,,
"3rd style","The SAFARI","1228","EXIT",,"1766","LA",,,,
"4th style","250bpm","701","N!?",,"1029","CARP*S",,"1404","*HUYU*",
"4th style","ABSOLUTE","1345","DDN",,"1835","CARP*S",,,,
"4th style","B4U","1064","ATIA",,"1574","CARP*S",,"2002","HANDA",
"4th style","Broken My Heart","944","10RURI",,"1491","CARP*S",,"1813","DO",
"4th style","Burnin' The Floor","586","TART",,"955","CARP*S",,"1438","CARP*S",
"4th style","CHECKING YOU OUT","650","TART",,"890","5THMAN",,"1321","DO",
"4th style","Clione","528","TART",,"957","*KNST*",,,,
"4th style","DXY!","1289","SAKAKI",,"1891","CARP*S",,"2238","DOLCE.",
"4th style","empathy","832","TART",,"1388","CARP*S",,"1463","TORORO",
"4th style","era(step mix)","1115","63-K",,"1421","N!?",,"1702","EMT2",
"4th style","GET ON BEAT(WILD STYLE)","1432","MARIO$",,"1762","CARP*S",,"2120","DOLCE.",
"4th style","HIGHER","540","SAKAKI",,"934","BLOVA",,"1278","CARP*S",
"4th style","Hitch Hiker2","834","TART",,"1207","CARP*S",,"1323","CARP*S",
"4th style","JIVE INTO THE NIGHT","1057","TURTLE",,"1751","CARP*S",,"2204","DOLCE.",
