バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,737,GINROO,宮城県,1046,EBI,宮城県,1141,EBI,宮城県
1st&substream,RUGGED ASH,367,HYU-.,宮城県,396,MARIMO,宮城県,1088,EBI,宮城県
1st&substream,R3,647,MARIMO,宮城県,721,KAZANE,宮城県,900,SSSSSS,宮城県
1st&substream,PARANOIA MAX～DIRTY MIX～,550,$TN,宮城県,737,MARIMO,宮城県,1098,SSSSSS,宮城県
1st&substream,Macho Gang,369,TEAR.S,宮城県,1004,MINERV,宮城県,1613,EBI,宮城県
1st&substream,KEEP ON MOVIN',193,KR-K10,宮城県,242,KR-K10,宮城県,0,,未設定
1st&substream,GRADIUSIC CYBER,850,YOSSHI,宮城県,966,RENPOU,宮城県,1192,EBI,宮城県
1st&substream,GENOM SCREAMS,404,KR-K10,宮城県,814,EBI,宮城県,1060,KEEL,宮城県
1st&substream,GAMBOL,273,RENPOU,宮城県,274,TEAR.S,宮城県,0,,未設定
1st&substream,Dr.LOVE,402,3839,宮城県,510,MARIMO,宮城県,572,KEEL,宮城県
1st&substream,deep in you,490,MURA,宮城県,498,EBI,宮城県,655,KEEL,宮城県
1st&substream,BRILLIANT 2U,526,KR-K10,宮城県,636,KAZANE,宮城県,720,SSSSSS,宮城県
1st&substream,5.1.1.,196,ABYSS.,宮城県,992,$TN,宮城県,1560,UDON-G,宮城県
1st&substream,22DUNK,514,KR-K10,宮城県,635,LIERRE,宮城県,649,SYARIN,宮城県
2nd style,SP-TRIP MACHINE(for beatmania II),496,AKSN,宮城県,618,MARIMO,宮城県,645,KEEL,宮城県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),558,AKA2KI,宮城県,853,KEEL,宮城県,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),851,KTPY,宮城県,1047,SIN,宮城県,1211,EBI,宮城県
2nd style,I Was The One,533,KAZANE,宮城県,647,TEAR.S,宮城県,686,EBI,宮城県
2nd style,Electro Tuned(the SubS mix),749,$TN,宮城県,911,MARIMO,宮城県,1061,EBI,宮城県
2nd style,Digital MinD(A/T Libra mix),692,KR-K10,宮城県,1013,$TN,宮城県,1137,SSSSSS,宮城県
2nd style,Dancin' Into The Night,420,KR-K10,宮城県,462,EBI,宮城県,0,,未設定
2nd style,.59,691,HAMCHK,宮城県,969,MARIMO,宮城県,1135,TEAR.S,宮城県
3rd style,THE SAFARI,1176,$TN,宮城県,1762,EBI,宮城県,0,,未設定
3rd style,Tangerine Stream,279,ABYSS.,宮城県,394,TEAR.S,宮城県,0,,未設定
3rd style,Skyscraper,723,$TN,宮城県,1170,EBI,宮城県,1234,UDON-G,宮城県
3rd style,Schlagwerk,805,$TN,宮城県,1247,MARIMO,宮城県,1664,SYARIN,宮城県
3rd style,REINCARNATION,819,$TN,宮城県,991,MARIMO,宮城県,1268,SYARIN,宮城県
3rd style,R5,746,$TN,宮城県,1140,RENPOU,宮城県,1762,TEAR.S,宮城県
3rd style,Presto,532,KAZANE,宮城県,962,EBI,宮城県,1005,MURA,宮城県
3rd style,LEADING CYBER,829,$TN,宮城県,1155,KR-K10,宮城県,1267,SYARIN,宮城県
3rd style,Holic,768,KAZANE,宮城県,1211,EBI,宮城県,1704,KEEL,宮城県
3rd style,era (nostalmix),814,RENPOU,宮城県,1040,KR-K10,宮城県,1489,TEAR.S,宮城県
3rd style,Don't Stop!,738,W-CUBE,宮城県,840,MARIMO,宮城県,895,EBI,宮城県
3rd style,CAN'T STOP FALLIN'IN LOVE,601,RENPOU,宮城県,1244,SSSSSS,宮城県,0,,未設定
4th style,Voltage (feat. Hidemaru),884,$TN,宮城県,1185,EBI,宮城県,1290,UDON-G,宮城県
4th style,Under Construction,800,$TN,宮城県,957,MARIMO,宮城県,1146,KEEL,宮城県
4th style,ULTRA HIGH-HEELS,729,$TN,宮城県,894,MARIMO,宮城県,986,SSSSSS,宮城県
4th style,starmine,895,MARIMO,宮城県,1393,KAZANE,宮城県,1585,KEEL,宮城県
4th style,Nasty!,580,TEAR.S,宮城県,923,MARIMO,宮城県,1539,KEEL,宮城県
4th style,Mr.T.(take me higher),821,RENPOU,宮城県,1003,EBI,宮城県,1747,EBI,宮城県
4th style,minimalian,516,W-CUBE,宮城県,1079,KAZANE,宮城県,1384,SSSSSS,宮城県
4th style,LOVE WILL・・・,523,W-CUBE,宮城県,737,MARIMO,宮城県,1455,KEEL,宮城県
4th style,KAMIKAZE,998,RENPOU,宮城県,1418,RENPOU,宮城県,2278,KEEL,宮城県
4th style,Jam&Marmalade,753,$TN,宮城県,886,EBI,宮城県,1012,SSSSSS,宮城県
4th style,Hitch Hiker2,806,$TN,宮城県,1151,MARIMO,宮城県,1306,EBI,宮城県
4th style,HIGHER,531,MURA,宮城県,914,EBI,宮城県,1271,KEEL,宮城県
4th style,FLOWERS for ALBION,241,4-ON-3,宮城県,434,TEAR.S,宮城県,0,,未設定
4th style,era (step mix),1048,HAMCHK,宮城県,1352,EBI,宮城県,1675,KEEL,宮城県
4th style,empathy,810,$TN,宮城県,1307,EBI,宮城県,1440,EBI,宮城県
4th style,DXY!,1251,TEAR.S,宮城県,1828,EBI,宮城県,2199,KEEL,宮城県
4th style,Clione,520,$TN,宮城県,933,KAZANE,宮城県,1609,RYU23,宮城県
4th style,CHECKING YOU OUT,626,4-ON-3,宮城県,861,EBI,宮城県,1305,EBI,宮城県
4th style,Burnin' The Floor,574,ABYSS.,宮城県,926,MARIMO,宮城県,1434,SSSSSS,宮城県
4th style,Broken My Heart,921,EBI,宮城県,1428,MARIMO,宮城県,1789,TEAR.S,宮城県
4th style,B4U,1011,$TN,宮城県,1545,EBI,宮城県,1992,KEEL,宮城県
4th style,ABSOLUTE,1301,$TN,宮城県,1794,EBI,宮城県,2371,KEEL,宮城県
4th style,250bpm,662,ITSUJI,宮城県,978,MARIMO,宮城県,1381,SSSSSS,宮城県
5th style,V,1257,EBI,宮城県,2451,TEAR.S,宮城県,2973,KEEL,宮城県
5th style,THE SHINING POLARIS,930,$TN,宮城県,1254,MARIMO,宮城県,1582,KEEL,宮城県
5th style,THE CUBE,716,SIN,宮城県,1220,MARIMO,宮城県,1347,SYARIN,宮城県
5th style,sync,1063,KTPY,宮城県,1800,MARIMO,宮城県,2343,RYU23,宮城県
5th style,still my words,910,$TN,宮城県,1227,SSSSSS,宮城県,0,,未設定
5th style,STILL IN MY HEART,986,$TN,宮城県,1302,EBI,宮城県,1904,KEEL,宮城県
5th style,Spin the disc,775,$TN,宮城県,1264,EBI,宮城県,1330,EBI,宮城県
5th style,RISLIM,887,$TN,宮城県,1232,KEEL,宮城県,0,,未設定
5th style,RIDE ON THE LIGHT (HI GREAT MIX),884,MARIMO,宮城県,1058,MARIMO,宮城県,1712,RYU23,宮城県
5th style,Regulus,1031,$TN,宮城県,1469,KAZANE,宮城県,1690,EBI,宮城県
5th style,Real,1100,TEAR.S,宮城県,1582,ABYSS.,宮城県,1771,SYARIN,宮城県
5th style,Radical Faith,1171,$TN,宮城県,1494,SYARIN,宮城県,1284,TEAR.S,宮城県
5th style,QQQ,1202,$TN,宮城県,1852,EBI,宮城県,2150,KEEL,宮城県
5th style,outer wall,889,4-ON-3,宮城県,1334,EBI,宮城県,1738,TEAR.S,宮城県
5th style,LOVE AGAIN TONIGHT～for Mellisa mix～,749,KR-K10,宮城県,984,KAZANE,宮城県,1109,KEEL,宮城県
5th style,Kiss me all night long,914,$TN,宮城県,1217,EBI,宮城県,1471,SSSSSS,宮城県
5th style,in my eyes,932,$TN,宮城県,1390,MARIMO,宮城県,1578,KEEL,宮城県
5th style,Abyss,1197,W-CUBE,宮城県,1581,CHOCO*,宮城県,1867,KEEL,宮城県
6th style,電人イェーガーのテーマ(Theme of DENJIN J),1087,$TN,宮城県,1570,SYARIN,宮城県,0,,未設定
6th style,こっちを向いてよ,826,$TN,宮城県,1237,4-ON-3,宮城県,1374,SSSSSS,宮城県
6th style,Take It Easy,1398,$TN,宮城県,2378,EBI,宮城県,2506,EBI,宮城県
6th style,Summer Vacation(CU mix),1244,$TN,宮城県,1833,RYU23,宮城県,0,,未設定
6th style,route 80s,868,$TN,宮城県,1208,EBI,宮城県,1502,KEEL,宮城県
6th style,rottel-da-sun,788,4-ON-3,宮城県,1274,MARIMO,宮城県,1832,RISKY*,宮城県
6th style,NEMESIS,1010,EBI,宮城県,1475,TETU,宮城県,1864,KEEL,宮城県
6th style,Linus,942,$TN,宮城県,1474,MARIMO,宮城県,2166,KEEL,宮城県
6th style,G2,1414,$TN,宮城県,1810,EBI,宮城県,2294,KEEL,宮城県
6th style,Frozen Ray (original mix),1291,$TN,宮城県,1702,$TN,宮城県,1781,KEEL,宮城県
6th style,Free Style,889,$TN,宮城県,1116,TEAR.S,宮城県,1301,EBI,宮城県
6th style,fly through the night,864,$TN,宮城県,1289,MARIMO,宮城県,1686,RYU23,宮城県
6th style,DIVE ～INTO YOUR HEART～,1250,$TN,宮城県,1720,MARIMO,宮城県,2060,EBI,宮城県
6th style,Colors (radio edit),1489,TEAR.S,宮城県,1904,EBI,宮城県,2413,KEEL,宮城県
6th style,Buffalo,984,EBI,宮城県,1455,SSSSSS,宮城県,1788,EBI,宮城県
6th style,Blueberry Stream,810,$TN,宮城県,1502,EBI,宮城県,1623,KEEL,宮城県
6th style,BALLAD FOR YOU～想いの雨～,578,D.LOCK,宮城県,759,MARIMO,宮城県,1065,UDON-G,宮城県
6th style,"19,November",1063,W-CUBE,宮城県,1378,KR-K10,宮城県,1767,SYARIN,宮城県
7th style,革命,740,$TN,宮城県,1946,EBI,宮城県,2285,EBI,宮城県
7th style,ZERO-ONE,1070,$TN,宮城県,1600,SASAMI,宮城県,2206,RYU23,宮城県
7th style,traces,1492,$TN,宮城県,1860,AKU464,宮城県,2106,SYARIN,宮城県
7th style,Tomorrow Perfume,1267,4-ON-3,宮城県,1838,KAZANE,宮城県,2091,KEEL,宮城県
7th style,stoic,1679,EBI,宮城県,2353,KAZANE,宮城県,2502,KEEL,宮城県
7th style,Spica,649,TEAR.S,宮城県,1457,EBI,宮城県,2248,MURA,宮城県
7th style,MAX 300,1096,TEAR.S,宮城県,1889,TEAR.S,宮城県,0,,未設定
7th style,Marmalade Reverie,854,MARIMO,宮城県,983,MARIMO,宮城県,1259,EBI,宮城県
7th style,Love Me Do,1119,MARIMO,宮城県,1660,MARIMO,宮城県,2091,TEAR.S,宮城県
7th style,Let the Snow Paint Me,845,$TN,宮城県,1041,MARIMO,宮城県,1237,TEAR.S,宮城県
7th style,Last Message,974,$TN,宮城県,1316,KAZANE,宮城県,1590,SSSSSS,宮城県
7th style,Happy Wedding,1170,$TN,宮城県,1669,TEAR.S,宮城県,1821,KEEL,宮城県
7th style,Glorious Days,503,ITSUJI,宮城県,776,4-ON-3,宮城県,905,EBI,宮城県
7th style,foreplay,676,$TN,宮城県,1164,AKSN,宮城県,1319,EBI,宮城県
7th style,entrance,896,$TN,宮城県,1418,EBI,宮城県,1665,EBI,宮城県
7th style,DESTINY,1049,$TN,宮城県,1325,MARIMO,宮城県,1827,EBI,宮城県
7th style,D2R,935,$TN,宮城県,1302,KAZANE,宮城県,1626,SSSSSS,宮城県
7th style,Cheer Train,887,4-ON-3,宮城県,1190,MARIMO,宮城県,1707,SYARIN,宮城県
7th style,Burning Heat! (Full Option Mix),667,JOSEPH,宮城県,912,4-ON-3,宮城県,1479,SSSSSS,宮城県
7th style,BRING HER DOWN,993,W-CUBE,宮城県,1364,MARIMO,宮城県,1761,KEEL,宮城県
7th style,Bad Routine,1007,KTPY,宮城県,1364,MARIMO,宮城県,1910,SSSSSS,宮城県
7th style,AVE DE RAPINA,1373,EBI,宮城県,1630,MARIMO,宮城県,1823,EBI,宮城県
7th style,A,1264,4-ON-3,宮城県,2102,EBI,宮城県,2437,KEEL,宮城県
8th style,蒼い衝動,891,W-CUBE,宮城県,1317,MARIMO,宮城県,1588,MURA,宮城県
8th style,桜,953,4-ON-3,宮城県,1483,EBI,宮城県,2101,KEEL,宮城県
