バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,715,MAR,福島県,976,ONIO84,福島県,1133,TEGONE,福島県
1st&substream,RUGGED ASH,358,DANNA,福島県,396,WRC,福島県,1073,TEGONE,福島県
1st&substream,R3,641,WRC,福島県,720,WRC,福島県,898,*RICE*,福島県
1st&substream,PARANOIA MAX～DIRTY MIX～,521,CHAPPY,福島県,729,*RICE*,福島県,1089,KOME-S,福島県
1st&substream,Macho Gang,363,AHIRU3,福島県,1006,CHAPPY,福島県,1559,TEGONE,福島県
1st&substream,KEEP ON MOVIN',196,KOME-S,福島県,243,KOME-S,福島県,0,,未設定
1st&substream,GRADIUSIC CYBER,843,0MANK0,福島県,958,8TENBA,福島県,1202,KOME-S,福島県
1st&substream,GENOM SCREAMS,385,DD,福島県,738,CHAPPY,福島県,1059,KOME-S,福島県
1st&substream,GAMBOL,274,KOME-S,福島県,274,KOME-S,福島県,0,,未設定
1st&substream,Dr.LOVE,386,NEVECO,福島県,499,CHAPPY,福島県,576,KOME-S,福島県
1st&substream,deep in you,463,PICO*N,福島県,471,CHAPPY,福島県,651,KOME-S,福島県
1st&substream,BRILLIANT 2U,514,NEVECO,福島県,630,CHAPPY,福島県,716,KOME-S,福島県
1st&substream,5.1.1.,198,KOME-S,福島県,951,KAICHO,福島県,1549,TEGONE,福島県
1st&substream,22DUNK,499,WYSE,福島県,624,KOME-S,福島県,645,TEGONE,福島県
2nd style,SP-TRIP MACHINE(for beatmania II),501,8TENBA,福島県,606,KAICHO,福島県,646,KOME-S,福島県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),545,SATEN,福島県,856,TEGONE,福島県,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),808,MAR,福島県,1105,KOME-S,福島県,1203,TEGONE,福島県
2nd style,I Was The One,528,KOME-S,福島県,650,TEGONE,福島県,690,KOME-S,福島県
2nd style,Electro Tuned(the SubS mix),755,WRC,福島県,948,KOME-S,福島県,1050,KOME-S,福島県
2nd style,Digital MinD(A/T Libra mix),701,KAICHO,福島県,1015,CHAPPY,福島県,1101,KOME-S,福島県
2nd style,Dancin' Into The Night,432,KOME-S,福島県,467,KOME-S,福島県,0,,未設定
2nd style,.59,663,KENTO9,福島県,958,IIDX17,福島県,1129,KOME-S,福島県
3rd style,THE SAFARI,1115,KAICHO,福島県,1723,TEGONE,福島県,0,,未設定
3rd style,Tangerine Stream,282,KOME-S,福島県,395,KOME-S,福島県,0,,未設定
3rd style,Skyscraper,687,W*AXIS,福島県,1143,8TENBA,福島県,1229,KOME-S,福島県
