バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,765,*HYUI*,山口県,997,*HYUI*,山口県,1134,Y.,山口県
1st&substream,RUGGED ASH,362,NANAKI,山口県,392,*HYUI*,山口県,1062,Y.,山口県
1st&substream,R3,637,*HYUI*,山口県,715,396,山口県,897,Y.,山口県
1st&substream,PARANOIA MAX～DIRTY MIX～,536,HK,山口県,706,*HYUI*,山口県,1078,KOTA,山口県
1st&substream,Macho Gang,369,*4N4L*,山口県,993,*HYUI*,山口県,1578,Y.,山口県
1st&substream,KEEP ON MOVIN',195,MIGI.,山口県,241,Y.,山口県,0,,未設定
1st&substream,GRADIUSIC CYBER,811,BRANCH,山口県,953,INAKA.,山口県,1185,KOTA,山口県
1st&substream,GENOM SCREAMS,403,*HYUI*,山口県,789,*HYUI*,山口県,1047,Y.,山口県
1st&substream,GAMBOL,272,Y.,山口県,274,MIGI.,山口県,0,,未設定
1st&substream,Dr.LOVE,396,BRANCH,山口県,498,IST,山口県,571,Y.,山口県
1st&substream,deep in you,482,*HYUI*,山口県,480,BOB*NR,山口県,652,Y.,山口県
1st&substream,BRILLIANT 2U,505,BOB*NR,山口県,626,AZM!,山口県,716,KOTA,山口県
1st&substream,5.1.1.,198,KOTA,山口県,1008,MIGI.,山口県,1539,KOTA,山口県
1st&substream,22DUNK,497,*HYUI*,山口県,605,IST,山口県,643,Y.,山口県
2nd style,SP-TRIP MACHINE(for beatmania II),489,*HYUI*,山口県,609,D96CHN,山口県,630,AAA,山口県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),541,*HYUI*,山口県,827,D96CHN,山口県,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),837,TARUN$,山口県,1037,TARUN$,山口県,1154,KOTA,山口県
2nd style,I Was The One,523,396,山口県,647,MIGI.,山口県,680,Y.,山口県
2nd style,Electro Tuned(the SubS mix),729,TARUN$,山口県,880,*HYUI*,山口県,1059,Y.,山口県
2nd style,Digital MinD(A/T Libra mix),701,BRANCH,山口県,988,*HYUI*,山口県,1114,KOTA,山口県
2nd style,Dancin' Into The Night,407,ASTEA,山口県,464,Y.,山口県,0,,未設定
2nd style,.59,676,HK,山口県,954,396,山口県,1114,MIGI.,山口県
3rd style,THE SAFARI,1135,*HYUI*,山口県,1710,KOTA,山口県,0,,未設定
