バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,728,KANTOQ,愛媛県,976,MT2Y0H,愛媛県,1117,MOGAMI,愛媛県
1st&substream,RUGGED ASH,360,S.M,愛媛県,392,ADB,愛媛県,1076,HEYSUN,愛媛県
1st&substream,R3,596,S.M,愛媛県,716,HEYSUN,愛媛県,884,MOGAMI,愛媛県
1st&substream,PARANOIA MAX～DIRTY MIX～,493,*315*,愛媛県,681,SO-KAI,愛媛県,1046,HINA.S,愛媛県
1st&substream,Macho Gang,337,HIKE,愛媛県,957,SHU,愛媛県,1583,*PAPU*,愛媛県
1st&substream,KEEP ON MOVIN',190,ZZ,愛媛県,237,HINA.S,愛媛県,0,,未設定
1st&substream,GRADIUSIC CYBER,832,HA4MOT,愛媛県,923,MT2Y0H,愛媛県,1186,HEYSUN,愛媛県
1st&substream,GENOM SCREAMS,404,AZUMA,愛媛県,747,S*AKI,愛媛県,1039,MOGAMI,愛媛県
1st&substream,GAMBOL,268,Z0RA,愛媛県,273,K.Y,愛媛県,0,,未設定
1st&substream,Dr.LOVE,392,S.M,愛媛県,484,S.M,愛媛県,561,AZUMA,愛媛県
1st&substream,deep in you,468,AZUMA,愛媛県,464,AZUMA,愛媛県,640,KEN&GO,愛媛県
1st&substream,BRILLIANT 2U,504,MARCO,愛媛県,633,YAKU,愛媛県,692,HINO.S,愛媛県
1st&substream,5.1.1.,190,MT2Y0H,愛媛県,942,QLK,愛媛県,1533,HEYSUN,愛媛県
1st&substream,22DUNK,492,ZAN.,愛媛県,607,Z0RA,愛媛県,628,AERITH,愛媛県
2nd style,SP-TRIP MACHINE(for beatmania II),470,96NOAH,愛媛県,592,TAKA,愛媛県,637,762,愛媛県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),554,AZUMA,愛媛県,832,Z0RA,愛媛県,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),842,AZUMA,愛媛県,1025,S.M,愛媛県,1182,ALAZIF,愛媛県
2nd style,I Was The One,531,762,愛媛県,640,ALAZIF,愛媛県,684,HEYSUN,愛媛県
2nd style,Electro Tuned(the SubS mix),751,AZUMA,愛媛県,894,S.M,愛媛県,1032,762,愛媛県
2nd style,Digital MinD(A/T Libra mix),711,AZUMA,愛媛県,992,AKIYA,愛媛県,1118,HEYSUN,愛媛県
2nd style,Dancin' Into The Night,415,HA4MOT,愛媛県,461,Z0RA,愛媛県,0,,未設定
2nd style,.59,684,KANTOQ,愛媛県,969,TAWA4,愛媛県,1111,762,愛媛県
3rd style,THE SAFARI,1122,MARCO,愛媛県,1709,U.59,愛媛県,0,,未設定
3rd style,Tangerine Stream,275,Z0RA,愛媛県,391,HINA.S,愛媛県,0,,未設定
3rd style,Skyscraper,678,TATSU,愛媛県,1124,S*AKI,愛媛県,1235,*PAPU*,愛媛県
3rd style,Schlagwerk,736,OJIN,愛媛県,1208,RICKY,愛媛県,1661,U.59,愛媛県
3rd style,REINCARNATION,736,AZUMA,愛媛県,942,LAPIS,愛媛県,1244,762,愛媛県
3rd style,R5,706,Z.O.E.,愛媛県,1120,HIJIKI,愛媛県,1735,JUS&CO,愛媛県
3rd style,Presto,517,AZUMA,愛媛県,929,HINA.S,愛媛県,994,KEN&GO,愛媛県
3rd style,LEADING CYBER,750,AOC#,愛媛県,1169,AERITH,愛媛県,1238,MOGAMI,愛媛県
3rd style,Holic,681,HIKE,愛媛県,1127,S*AKI,愛媛県,1668,MOGAMI,愛媛県
3rd style,era (nostalmix),818,QLK,愛媛県,1023,TAWA4,愛媛県,1457,HEYSUN,愛媛県
3rd style,Don't Stop!,744,AZUMA,愛媛県,827,AZUMA,愛媛県,893,HINA.S,愛媛県
3rd style,CAN'T STOP FALLIN'IN LOVE,586,S.M,愛媛県,1209,K-TORA,愛媛県,0,,未設定
4th style,Voltage (feat. Hidemaru),790,*315*,愛媛県,1124,KANTOQ,愛媛県,1296,KEN&GO,愛媛県
4th style,Under Construction,724,*315*,愛媛県,895,RICKY,愛媛県,1136,KEN&GO,愛媛県
4th style,ULTRA HIGH-HEELS,699,KYOBI,愛媛県,850,S.M,愛媛県,971,*NSX*,愛媛県
4th style,starmine,791,YANN,愛媛県,1285,K.Y,愛媛県,1557,U.59,愛媛県
4th style,Nasty!,547,AZUMA,愛媛県,824,BMN,愛媛県,1537,KEN&GO,愛媛県
4th style,Mr.T.(take me higher),797,S.M,愛媛県,899,DANG,愛媛県,1726,MOGAMI,愛媛県
4th style,minimalian,517,AZUMA,愛媛県,998,SUMIPE,愛媛県,1388,KEN&GO,愛媛県
4th style,LOVE WILL・・・,496,IMO,愛媛県,663,PANNYA,愛媛県,1455,HEYSUN,愛媛県
4th style,KAMIKAZE,900,KANA.1,愛媛県,1362,KYOBI,愛媛県,2230,HEYSUN,愛媛県
4th style,Jam&Marmalade,736,ADB,愛媛県,869,KANTOQ,愛媛県,1001,MOGAMI,愛媛県
4th style,Hitch Hiker2,801,AZUMA,愛媛県,1120,-XJR-,愛媛県,1297,KEN&GO,愛媛県
4th style,HIGHER,523,AZUMA,愛媛県,894,AZUMA,愛媛県,1266,KEN&GO,愛媛県
4th style,FLOWERS for ALBION,224,*315*,愛媛県,416,Z0RA,愛媛県,0,,未設定
4th style,era (step mix),991,RICKY,愛媛県,1238,SAKU*4,愛媛県,1622,MOGAMI,愛媛県
4th style,empathy,766,GS5963,愛媛県,1240,SUMIPE,愛媛県,1423,HEYSUN,愛媛県
4th style,DXY!,1203,ADB,愛媛県,1826,MOGAMI,愛媛県,2147,MOGAMI,愛媛県
