バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,762,*RINA*,長崎県,962,ABABA,長崎県,1112,JARO.,長崎県
1st&substream,RUGGED ASH,365,*RINA*,長崎県,401,*RINA*,長崎県,1061,FOV*,長崎県
1st&substream,R3,636,*RINA*,長崎県,652,G3BAR3,長崎県,887,JARO.,長崎県
1st&substream,PARANOIA MAX～DIRTY MIX～,545,*RINA*,長崎県,723,*RINA*,長崎県,1067,JARO.,長崎県
1st&substream,Macho Gang,365,*RINA*,長崎県,981,Z-GIRL,長崎県,1542,JARO.,長崎県
1st&substream,KEEP ON MOVIN',194,*RINA*,長崎県,238,JARO.,長崎県,0,,未設定
1st&substream,GRADIUSIC CYBER,841,FATE.L,長崎県,933,*RINA*,長崎県,1163,7S.ZIP,長崎県
1st&substream,GENOM SCREAMS,413,*RINA*,長崎県,745,ABABA,長崎県,1021,JARO.,長崎県
1st&substream,GAMBOL,272,*RINA*,長崎県,273,.,長崎県,0,,未設定
1st&substream,Dr.LOVE,403,*RINA*,長崎県,496,29,長崎県,570,JARO.,長崎県
1st&substream,deep in you,474,*RINA*,長崎県,474,*RINA*,長崎県,649,JARO.,長崎県
1st&substream,BRILLIANT 2U,513,*RINA*,長崎県,627,*RINA*,長崎県,718,JARO.,長崎県
1st&substream,5.1.1.,193,*RINA*,長崎県,969,*RINA*,長崎県,1531,MOCCOS,長崎県
1st&substream,22DUNK,508,BMKYUN,長崎県,599,*RINA*,長崎県,647,JARO.,長崎県
2nd style,SP-TRIP MACHINE(for beatmania II),495,*RINA*,長崎県,591,G3BAR3,長崎県,638,JARO.,長崎県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),551,*RINA*,長崎県,839,HEIPON,長崎県,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),832,*RINA*,長崎県,1033,G,長崎県,1187,.,長崎県
2nd style,I Was The One,525,*RINA*,長崎県,645,.,長崎県,681,JARO.,長崎県
2nd style,Electro Tuned(the SubS mix),729,*RINA*,長崎県,856,KAZ,長崎県,1045,JARO.,長崎県
2nd style,Digital MinD(A/T Libra mix),707,*RINA*,長崎県,1003,JARO.,長崎県,1092,HEIPON,長崎県
2nd style,Dancin' Into The Night,422,*RINA*,長崎県,464,JARO.,長崎県,0,,未設定
2nd style,.59,687,DEL,長崎県,936,*RINA*,長崎県,1102,TAIKI*,長崎県
3rd style,THE SAFARI,1141,MER,長崎県,1735,NAYU,長崎県,0,,未設定
3rd style,Tangerine Stream,276,*RINA*,長崎県,393,*RINA*,長崎県,0,,未設定
3rd style,Skyscraper,686,HETALE,長崎県,1124,MER,長崎県,1228,.,長崎県
3rd style,Schlagwerk,792,*RINA*,長崎県,1218,*RINA*,長崎県,1634,JARO.,長崎県
3rd style,REINCARNATION,812,G,長崎県,937,MER,長崎県,1249,7S.ZIP,長崎県
