バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,778,EZR,埼玉県,1041,HITSU,埼玉県,1144,.LA,埼玉県
1st&substream,RUGGED ASH,365,SETZER,埼玉県,399,EZR,埼玉県,1093,10KURA,埼玉県
1st&substream,R3,651,TUBASA,埼玉県,724,ZE,埼玉県,901,SHIMOZ,埼玉県
1st&substream,PARANOIA MAX～DIRTY MIX～,550,MILY,埼玉県,742,SHI.C,埼玉県,1104,MOCHI,埼玉県
1st&substream,Macho Gang,372,AIR-3L,埼玉県,1054,OKAPY*,埼玉県,1625,.LA,埼玉県
1st&substream,KEEP ON MOVIN',195,HITSU,埼玉県,244,MOCHI,埼玉県,0,,未設定
1st&substream,GRADIUSIC CYBER,862,QED495,埼玉県,978,HIDE,埼玉県,1198,K.F,埼玉県
1st&substream,GENOM SCREAMS,409,TUBASA,埼玉県,818,OKAPY*,埼玉県,1066,.LA,埼玉県
1st&substream,GAMBOL,272,SYOW,埼玉県,274,AR8.YU,埼玉県,0,,未設定
1st&substream,Dr.LOVE,398,TUBASA,埼玉県,510,BRAVO.,埼玉県,580,TAXMEN,埼玉県
1st&substream,deep in you,492,EZR,埼玉県,501,ZE,埼玉県,661,AR8.YU,埼玉県
1st&substream,BRILLIANT 2U,530,89MAI,埼玉県,636,89MAI,埼玉県,724,TAXMEN,埼玉県
1st&substream,5.1.1.,198,KEI,埼玉県,1006,.,埼玉県,1570,54GAYA,埼玉県
1st&substream,22DUNK,522,LAB***,埼玉県,641,ZE,埼玉県,655,AR8.YU,埼玉県
2nd style,SP-TRIP MACHINE(for beatmania II),503,XM8,埼玉県,616,89MAI,埼玉県,648,AR8.YU,埼玉県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),572,T.FULL,埼玉県,864,MOCHI,埼玉県,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),853,PAMELA,埼玉県,1101,KIKRIN,埼玉県,1214,LA.,埼玉県
2nd style,I Was The One,536,TUBASA,埼玉県,640,EZR,埼玉県,694,AR8.YU,埼玉県
2nd style,Electro Tuned(the SubS mix),763,BLUE,埼玉県,948,.WA,埼玉県,1069,AR8.YU,埼玉県
2nd style,Digital MinD(A/T Libra mix),730,EZR,埼玉県,1042,OKAPY*,埼玉県,1125,.LA,埼玉県
2nd style,Dancin' Into The Night,428,EZR,埼玉県,470,MOCHI,埼玉県,0,,未設定
2nd style,.59,708,HITSU,埼玉県,984,NAKKY-,埼玉県,1154,LA.,埼玉県
3rd style,THE SAFARI,1200,SAVITA,埼玉県,1775,.LA,埼玉県,0,,未設定
3rd style,Tangerine Stream,280,EZR,埼玉県,396,MOCHI,埼玉県,0,,未設定
3rd style,Skyscraper,726,TUBASA,埼玉県,1171,89MAI,埼玉県,1246,K.F,埼玉県
3rd style,Schlagwerk,805,BRAVO.,埼玉県,1278,P.B.E.,埼玉県,1683,LA.,埼玉県
3rd style,REINCARNATION,826,EZR,埼玉県,1022,OKAPY*,埼玉県,1275,.LA,埼玉県
3rd style,R5,773,HITSU,埼玉県,1169,AR8.YU,埼玉県,1764,K.F,埼玉県
3rd style,Presto,531,BLUE,埼玉県,967,HITSU,埼玉県,1008,AR8.YU,埼玉県
3rd style,LEADING CYBER,847,P.B.E.,埼玉県,1191,OKAPY*,埼玉県,1274,.LA,埼玉県
3rd style,Holic,767,TUBASA,埼玉県,1186,FEBRI,埼玉県,1713,OP*PO*,埼玉県
3rd style,era (nostalmix),835,AIRSUN,埼玉県,1076,INTAI,埼玉県,1529,*****U,埼玉県
3rd style,Don't Stop!,771,INTAI,埼玉県,843,FEBRI,埼玉県,906,AR8.YU,埼玉県
3rd style,CAN'T STOP FALLIN'IN LOVE,613,EZR,埼玉県,1252,.LA,埼玉県,0,,未設定
4th style,Voltage (feat. Hidemaru),906,3106.,埼玉県,1231,TAXMEN,埼玉県,1318,*****U,埼玉県
4th style,Under Construction,818,HITSU,埼玉県,997,OKAPY*,埼玉県,1137,DONMAR,埼玉県
4th style,ULTRA HIGH-HEELS,746,BLUE,埼玉県,896,TUBASA,埼玉県,989,SOPHIE,埼玉県
4th style,starmine,882,EZR,埼玉県,1404,43,埼玉県,1582,K.F,埼玉県
4th style,Nasty!,573,89MAI,埼玉県,922,89MAI,埼玉県,1563,.LA,埼玉県
4th style,Mr.T.(take me higher),837,TUBASA,埼玉県,986,EZR,埼玉県,1760,*****U,埼玉県
4th style,minimalian,518,EZR,埼玉県,1072,OKAPY*,埼玉県,1404,CHERRY,埼玉県
4th style,LOVE WILL・・・,537,EZR,埼玉県,752,TUBASA,埼玉県,1464,TAXMEN,埼玉県
4th style,KAMIKAZE,1010,PAMELA,埼玉県,1428,TUBASA,埼玉県,2290,OP*PO*,埼玉県
4th style,Jam&Marmalade,755,K!RA,埼玉県,904,OKAPY*,埼玉県,1010,MOCHI,埼玉県
4th style,Hitch Hiker2,814,BRAVO.,埼玉県,1153,MILLAN,埼玉県,1318,AR8.YU,埼玉県
4th style,HIGHER,533,89MAI,埼玉県,916,EZR,埼玉県,1273,AR8.YU,埼玉県
4th style,FLOWERS for ALBION,235,TUBASA,埼玉県,438,MOCHI,埼玉県,0,,未設定
4th style,era (step mix),1070,TUBASA,埼玉県,1392,*****U,埼玉県,1679,TAXMEN,埼玉県
4th style,empathy,816,TUBASA,埼玉県,1332,MIMI*Z,埼玉県,1457,K.F,埼玉県
4th style,DXY!,1278,SHI.C,埼玉県,1880,AR8.YU,埼玉県,2230,CHERRY,埼玉県
4th style,Clione,526,EZR,埼玉県,949,87DD,埼玉県,1613,.LA,埼玉県
