バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,785,POW-L?,千葉県,1037,NEKO.G,千葉県,1148,STRESS,千葉県
1st&substream,RUGGED ASH,361,RHBIRI,千葉県,400,NEKO.G,千葉県,1085,ROEN,千葉県
1st&substream,R3,655,NEKO.G,千葉県,729,S!N,千葉県,899,STRESS,千葉県
1st&substream,PARANOIA MAX～DIRTY MIX～,553,NEKO.G,千葉県,732,ONESHO,千葉県,1097,ROEN,千葉県
1st&substream,Macho Gang,371,NEKO.G,千葉県,1056,NEKO.G,千葉県,1607,ROEN,千葉県
1st&substream,KEEP ON MOVIN',196,NEKO.G,千葉県,244,STRESS,千葉県,0,,未設定
1st&substream,GRADIUSIC CYBER,875,NEKO.G,千葉県,995,POW-L?,千葉県,1197,LUV*AT,千葉県
1st&substream,GENOM SCREAMS,409,POW-L?,千葉県,783,TOGA-4,千葉県,1063,PRINNY,千葉県
1st&substream,GAMBOL,274,NEKO.G,千葉県,274,NEKO.G,千葉県,0,,未設定
1st&substream,Dr.LOVE,405,NEKO-P,千葉県,509,SUNDAY,千葉県,576,TAKAVO,千葉県
1st&substream,deep in you,480,IIDX31,千葉県,484,MAYA.,千葉県,657,ROEN,千葉県
1st&substream,BRILLIANT 2U,535,9BEMAN,千葉県,658,NEKO.G,千葉県,721,ROEN,千葉県
1st&substream,5.1.1.,198,NEKO.G,千葉県,1009,9BEMAN,千葉県,1558,ROEN,千葉県
1st&substream,22DUNK,525,NOBUNA,千葉県,634,9BEMAN,千葉県,648,NEKO.G,千葉県
2nd style,SP-TRIP MACHINE(for beatmania II),502,NEKO-P,千葉県,617,9BEMAN,千葉県,647,ROEN,千葉県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),578,NEKO.G,千葉県,860,ROEN,千葉県,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),861,RHBIRI,千葉県,1115,QALFY,千葉県,1208,ROEN,千葉県
2nd style,I Was The One,534,HASH,千葉県,639,9BEMAN,千葉県,693,ROEN,千葉県
2nd style,Electro Tuned(the SubS mix),755,G.K,千葉県,941,NEKO.R,千葉県,1071,ROEN,千葉県
2nd style,Digital MinD(A/T Libra mix),710,T.ZAMA,千葉県,1038,9BEMAN,千葉県,1123,NEKO.G,千葉県
2nd style,Dancin' Into The Night,426,NAS-15,千葉県,467,NEKO.G,千葉県,0,,未設定
2nd style,.59,713,NEKO.G,千葉県,993,ONESHO,千葉県,1155,ROEN,千葉県
3rd style,THE SAFARI,1215,NEKO.G,千葉県,1774,LAHAR*,千葉県,0,,未設定
3rd style,Tangerine Stream,282,NEKO.G,千葉県,394,ROEN,千葉県,0,,未設定
3rd style,Skyscraper,730,TACT-3,千葉県,1196,NEKO.G,千葉県,1243,ROEN,千葉県
3rd style,Schlagwerk,803,MURI9Q,千葉県,1311,NEKO.G,千葉県,1682,ROEN,千葉県
3rd style,REINCARNATION,842,NEKO.G,千葉県,1008,NEKO-P,千葉県,1261,NEKO.G,千葉県
3rd style,R5,772,NEKO.G,千葉県,1155,2,千葉県,1764,ROEN,千葉県
3rd style,Presto,527,DREAM,千葉県,972,NEKO.G,千葉県,1006,LAHAR*,千葉県
3rd style,LEADING CYBER,839,CLOVER,千葉県,1199,NEKO.G,千葉県,1265,PRECOG,千葉県
3rd style,Holic,778,NEKO.G,千葉県,1193,9BEMAN,千葉県,1708,PRINNY,千葉県
3rd style,era (nostalmix),851,NEKO.G,千葉県,1088,DARK-I,千葉県,1508,DARK-I,千葉県
3rd style,Don't Stop!,775,9BEMAN,千葉県,848,9BEMAN,千葉県,902,STRESS,千葉県
3rd style,CAN'T STOP FALLIN'IN LOVE,620,NEKO.G,千葉県,1246,STRESS,千葉県,0,,未設定
4th style,Voltage (feat. Hidemaru),900,NYARU.,千葉県,1188,RECALL,千葉県,1316,STRESS,千葉県
4th style,Under Construction,829,NEKO.G,千葉県,973,HASH,千葉県,1146,NEKO.G,千葉県
4th style,ULTRA HIGH-HEELS,748,NEKO.G,千葉県,891,NEKO-P,千葉県,987,ROEN,千葉県
4th style,starmine,887,NYARU.,千葉県,1369,NEKO.R,千葉県,1588,PRINNY,千葉県
4th style,Nasty!,554,FINNEL,千葉県,934,UNION,千葉県,1543,LAST.,千葉県
4th style,Mr.T.(take me higher),849,QALFY,千葉県,1009,QALFY,千葉県,1757,ROEN,千葉県
4th style,minimalian,518,N04,千葉県,1098,NEKO.G,千葉県,1401,STRESS,千葉県
4th style,LOVE WILL・・・,533,NEKO.S,千葉県,752,NEKO.G,千葉県,1456,NEKO.G,千葉県
4th style,KAMIKAZE,1001,O2HIME,千葉県,1446,ONESHO,千葉県,2286,LAHAR*,千葉県
4th style,Jam&Marmalade,768,NEKO.G,千葉県,899,NEKO.G,千葉県,1011,ROEN,千葉県
4th style,Hitch Hiker2,822,9BEMAN,千葉県,1199,NEKO.G,千葉県,1316,STRESS,千葉県
4th style,HIGHER,521,TYAMA.,千葉県,920,O2HIME,千葉県,1276,PRINNY,千葉県
4th style,FLOWERS for ALBION,232,TACT-3,千葉県,439,NEKO.G,千葉県,0,,未設定
4th style,era (step mix),1101,NEKO.G,千葉県,1420,DARK-I,千葉県,1696,DARK-I,千葉県
4th style,empathy,825,RECALL,千葉県,1358,NEKO.G,千葉県,1438,LAHAR*,千葉県
4th style,DXY!,1282,NEKO.G,千葉県,1889,ROEN,千葉県,2201,HO1KO6,千葉県
4th style,Clione,515,TYAMA.,千葉県,940,NEKO.G,千葉県,1609,LAHAR*,千葉県
4th style,CHECKING YOU OUT,620,NEKO-P,千葉県,879,MINCHO,千葉県,1307,LAHAR*,千葉県
4th style,Burnin' The Floor,574,C&E,千葉県,947,NEKO.G,千葉県,1435,STRESS,千葉県
4th style,Broken My Heart,932,NEKO.G,千葉県,1494,NEKO.G,千葉県,1801,YAMA*S,千葉県
4th style,B4U,1033,MSX.98,千葉県,1516,NEKO.G,千葉県,1991,STRESS,千葉県
4th style,ABSOLUTE,1323,POW-L?,千葉県,1751,NOBUNA,千葉県,2383,LAHAR*,千葉県
4th style,250bpm,668,TYEN,千葉県,1020,TAKAVO,千葉県,1410,LAHAR*,千葉県
5th style,V,1288,NEKO.G,千葉県,2504,.52GAL,千葉県,2956,U*TAKA,千葉県
5th style,THE SHINING POLARIS,948,POW-L?,千葉県,1287,TOGA-4,千葉県,1579,ROEN,千葉県
5th style,THE CUBE,738,NEKO.G,千葉県,1269,NEKO.G,千葉県,1362,STRESS,千葉県
5th style,sync,1077,MSX.98,千葉県,1924,TAKAVO,千葉県,2360,LAST.,千葉県
5th style,still my words,916,NEKO.G,千葉県,1232,STRESS,千葉県,0,,未設定
5th style,STILL IN MY HEART,1028,NEKO.G,千葉県,1376,NEKO.G,千葉県,1905,LAHAR*,千葉県
5th style,Spin the disc,760,LMTAK,千葉県,1278,NEKO.G,千葉県,1327,STRESS,千葉県
5th style,RISLIM,922,NEKO.G,千葉県,1219,ROEN,千葉県,0,,未設定
5th style,RIDE ON THE LIGHT (HI GREAT MIX),894,NEKO.G,千葉県,1035,NOBUNA,千葉県,1707,STRESS,千葉県
5th style,Regulus,1069,NEKO.G,千葉県,1426,MATSU,千葉県,1689,ROEN,千葉県
5th style,Real,1124,NEKO.G,千葉県,1605,2,千葉県,1808,LAHAR*,千葉県
5th style,Radical Faith,1156,9BEMAN,千葉県,1487,NEKO.G,千葉県,1288,ROEN,千葉県
5th style,QQQ,1226,NEKO.G,千葉県,1859,NEKO.G,千葉県,2132,STRESS,千葉県
5th style,outer wall,942,NEKO.G,千葉県,1346,NEKO.G,千葉県,1767,STRESS,千葉県
5th style,LOVE AGAIN TONIGHT～for Mellisa mix～,760,64PAGE,千葉県,963,ONESHO,千葉県,1113,NEKO.G,千葉県
5th style,Kiss me all night long,881,FAD,千葉県,1203,S!N,千葉県,1468,LAHAR*,千葉県
5th style,in my eyes,932,C&E,千葉県,1462,NEKO.G,千葉県,1581,STRESS,千葉県
5th style,Abyss,1269,NEKO.G,千葉県,1611,NEKO.G,千葉県,1868,STRESS,千葉県
6th style,電人イェーガーのテーマ(Theme of DENJIN J),1080,TYAMA.,千葉県,1561,LUV*AT,千葉県,0,,未設定
6th style,こっちを向いてよ,800,9BEMAN,千葉県,1211,MIYAKO,千葉県,1374,PRINNY,千葉県
6th style,Take It Easy,1434,*CREE*,千葉県,2305,TACT-3,千葉県,2495,LAHAR*,千葉県
6th style,Summer Vacation(CU mix),1286,CHASER,千葉県,1851,LAHAR*,千葉県,0,,未設定
6th style,route 80s,907,NEKO.G,千葉県,1205,NEKO.G,千葉県,1509,ROEN,千葉県
6th style,rottel-da-sun,813,LUV*AT,千葉県,1356,TOGA-4,千葉県,1835,*HARE*,千葉県
6th style,NEMESIS,965,SITTA*,千葉県,1596,NEKO.G,千葉県,1863,PRINNY,千葉県
6th style,Linus,957,RECALL,千葉県,1541,TAKAVO,千葉県,2166,ROEN,千葉県
6th style,G2,1427,COS,千葉県,1731,MINCHO,千葉県,2290,PRECOG,千葉県
6th style,Frozen Ray (original mix),1308,NEKO.G,千葉県,1731,2,千葉県,1783,LAST.,千葉県
6th style,Free Style,910,9BEMAN,千葉県,1088,2,千葉県,1293,DENKA0,千葉県
6th style,fly through the night,868,NAS-15,千葉県,1350,NEKO.G,千葉県,1701,ROEN,千葉県
6th style,DIVE ～INTO YOUR HEART～,1298,NEKO.G,千葉県,1832,NEKO.G,千葉県,2079,LAHAR*,千葉県
6th style,Colors (radio edit),1411,ZRX-II,千葉県,1972,POW-L?,千葉県,2413,PRINNY,千葉県
6th style,Buffalo,989,2,千葉県,1460,NEKO.G,千葉県,1798,LAHAR*,千葉県
6th style,Blueberry Stream,816,2,千葉県,1433,NOBUNA,千葉県,1611,CHASER,千葉県
6th style,BALLAD FOR YOU～想いの雨～,586,NAS-15,千葉県,767,NEKO-P,千葉県,1069,43.,千葉県
6th style,"19,November",1104,NEKO.G,千葉県,1443,NEKO.G,千葉県,1787,LAHAR*,千葉県
7th style,革命,757,LOCUST,千葉県,1959,POW-L?,千葉県,2311,STRESS,千葉県
7th style,ZERO-ONE,1068,9BEMAN,千葉県,1628,QALFY,千葉県,2216,LAHAR*,千葉県
7th style,traces,1525,NEKO.G,千葉県,1910,TEPMON,千葉県,2136,LAHAR*,千葉県
7th style,Tomorrow Perfume,1307,RECALL,千葉県,1833,RECALL,千葉県,2104,LAHAR*,千葉県
