バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,790,G2,新潟県,1018,YO-MU*,新潟県,1146,*SHO*,新潟県
1st&substream,RUGGED ASH,370,G2,新潟県,398,G2,新潟県,1068,*SHO*,新潟県
1st&substream,R3,657,G2,新潟県,729,G2,新潟県,907,*SHO*,新潟県
1st&substream,PARANOIA MAX～DIRTY MIX～,560,G2,新潟県,719,HATA,新潟県,1106,*SHO*,新潟県
1st&substream,Macho Gang,357,Y-AN,新潟県,1062,9MAMON,新潟県,1627,*SHO*,新潟県
1st&substream,KEEP ON MOVIN',193,D.H,新潟県,244,9MAMON,新潟県,0,,未設定
1st&substream,GRADIUSIC CYBER,868,G2,新潟県,981,*SHO*,新潟県,1193,*SHO*,新潟県
1st&substream,GENOM SCREAMS,419,G2,新潟県,816,9MAMON,新潟県,1064,*SHO*,新潟県
1st&substream,GAMBOL,273,9MAMON,新潟県,274,9MAMON,新潟県,0,,未設定
1st&substream,Dr.LOVE,403,MR3TAN,新潟県,497,SAI,新潟県,577,9MAMON,新潟県
1st&substream,deep in you,464,D3,新潟県,496,9MAMON,新潟県,657,9MAMON,新潟県
1st&substream,BRILLIANT 2U,539,G2,新潟県,655,9MAMON,新潟県,720,*SHO*,新潟県
1st&substream,5.1.1.,198,9MAMON,新潟県,1017,G2,新潟県,1553,*SHO*,新潟県
1st&substream,22DUNK,520,G2,新潟県,623,9MAMON,新潟県,654,*SHO*,新潟県
2nd style,SP-TRIP MACHINE(for beatmania II),507,9MAMON,新潟県,615,*SHO*,新潟県,643,*SHO*,新潟県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),574,G2,新潟県,856,*SHO*,新潟県,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),874,G2,新潟県,1089,LOVELY,新潟県,1219,*SHO*,新潟県
2nd style,I Was The One,524,D3,新潟県,647,G2,新潟県,690,*SHO*,新潟県
2nd style,Electro Tuned(the SubS mix),758,MR3TAN,新潟県,919,D.H,新潟県,1062,*SHO*,新潟県
2nd style,Digital MinD(A/T Libra mix),709,FR02EN,新潟県,1055,G2,新潟県,1120,*SHO*,新潟県
2nd style,Dancin' Into The Night,410,CORNE,新潟県,470,*SHO*,新潟県,0,,未設定
2nd style,.59,686,NGMNLF,新潟県,995,G2,新潟県,1153,*SHO*,新潟県
3rd style,THE SAFARI,1185,KURIYA,新潟県,1766,*SHO*,新潟県,0,,未設定
3rd style,Tangerine Stream,280,9MAMON,新潟県,396,9MAMON,新潟県,0,,未設定
3rd style,Skyscraper,739,G2,新潟県,1160,OUTER,新潟県,1247,*SHO*,新潟県
3rd style,Schlagwerk,780,FR02EN,新潟県,1290,G2,新潟県,1675,*SHO*,新潟県
3rd style,REINCARNATION,756,OUTER,新潟県,1013,TU9-NE,新潟県,1251,*SHO*,新潟県
3rd style,R5,771,9MAMON,新潟県,1162,9MAMON,新潟県,1761,REO,新潟県
