バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,667,KORO,山梨県,979,Y*KUN,山梨県,1121,J-USAO,山梨県
1st&substream,RUGGED ASH,329,LEIA,山梨県,339,RUCHI,山梨県,1010,FLOW,山梨県
1st&substream,R3,631,NO4MCR,山梨県,649,TERU,山梨県,871,NO4MCR,山梨県
1st&substream,PARANOIA MAX～DIRTY MIX～,524,BOLT,山梨県,707,LUNA**,山梨県,1043,FLOW,山梨県
1st&substream,Macho Gang,329,ARIE,山梨県,982,BOLT,山梨県,1437,SA-ART,山梨県
1st&substream,KEEP ON MOVIN',182,ALISIA,山梨県,240,NO4XTK,山梨県,0,,未設定
1st&substream,GRADIUSIC CYBER,846,LUNA**,山梨県,942,MEWTWO,山梨県,1117,NI-HAO,山梨県
1st&substream,GENOM SCREAMS,365,KORO,山梨県,733,BOLT,山梨県,1050,NO4MCR,山梨県
1st&substream,GAMBOL,265,BOLT,山梨県,260,BOLT,山梨県,0,,未設定
1st&substream,Dr.LOVE,380,KRT.,山梨県,427,PEA,山梨県,537,ALISIA,山梨県
1st&substream,deep in you,422,HIBARI,山梨県,466,BOLT,山梨県,647,J-USAO,山梨県
1st&substream,BRILLIANT 2U,434,ENE,山梨県,574,IRIS-M,山梨県,704,J-USAO,山梨県
1st&substream,5.1.1.,180,SA-ART,山梨県,1014,NO4MCR,山梨県,1514,AYAME,山梨県
1st&substream,22DUNK,504,SQUEEZ,山梨県,576,HIBARI,山梨県,608,Q.E.D.,山梨県
2nd style,SP-TRIP MACHINE(for beatmania II),468,SAMUEL,山梨県,607,BOLT,山梨県,587,ALISIA,山梨県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),537,Я,山梨県,833,J-USAO,山梨県,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),865,NO4MCR,山梨県,1040,TFN,山梨県,1177,J-USAO,山梨県
2nd style,I Was The One,485,9-TAIL,山梨県,570,LEIA,山梨県,682,NO4XTK,山梨県
2nd style,Electro Tuned(the SubS mix),745,BOLT,山梨県,897,Я,山梨県,1033,J-USAO,山梨県
2nd style,Digital MinD(A/T Libra mix),671,VEIN,山梨県,1060,NO4MCR,山梨県,1040,BOLT,山梨県
2nd style,Dancin' Into The Night,377,LEIA,山梨県,445,NON&K,山梨県,0,,未設定
2nd style,.59,677,LUNA**,山梨県,920,S2000,山梨県,1128,J-USAO,山梨県
3rd style,THE SAFARI,1090,AZUSA,山梨県,1701,YKN.JP,山梨県,0,,未設定
3rd style,Tangerine Stream,275,Я,山梨県,379,FLOW,山梨県,0,,未設定
3rd style,Skyscraper,707,BOLT,山梨県,1062,SYAM,山梨県,1197,NON&K,山梨県
3rd style,Schlagwerk,792,Я,山梨県,1250,Я,山梨県,1526,LUNA**,山梨県
3rd style,REINCARNATION,783,REGRIA,山梨県,874,R!SONA,山梨県,1242,J-USAO,山梨県
3rd style,R5,761,NO4MCR,山梨県,1096,Y*KUN,山梨県,1726,NO4MCR,山梨県
3rd style,Presto,514,AYAME,山梨県,886,LUNA**,山梨県,969,J-USAO,山梨県
3rd style,LEADING CYBER,635,NEDGY,山梨県,1040,Я,山梨県,1213,Я,山梨県
3rd style,Holic,754,Q.E.D.,山梨県,1053,SYAM,山梨県,1652,NO4MCR,山梨県
3rd style,era (nostalmix),767,JUN!,山梨県,1018,CARINA,山梨県,1490,J-USAO,山梨県
3rd style,Don't Stop!,696,REGRIA,山梨県,769,JUN!,山梨県,860,NON&K,山梨県
3rd style,CAN'T STOP FALLIN'IN LOVE,566,HIBARI,山梨県,1199,FLOW,山梨県,0,,未設定
4th style,Voltage (feat. Hidemaru),861,BOLT,山梨県,931,JUN!,山梨県,1313,J-USAO,山梨県
4th style,Under Construction,710,MH9M,山梨県,915,JUN!,山梨県,1131,J-USAO,山梨県
4th style,ULTRA HIGH-HEELS,557,ABCD,山梨県,852,BOLT,山梨県,980,NO4XTK,山梨県
4th style,starmine,691,MY4U,山梨県,1327,CRU*2,山梨県,1549,J-USAO,山梨県
4th style,Nasty!,476,REGRIA,山梨県,822,JUN!,山梨県,1515,J-USAO,山梨県
4th style,Mr.T.(take me higher),747,HIBARI,山梨県,859,JUN!,山梨県,1684,AYAME,山梨県
4th style,minimalian,451,SYAM,山梨県,973,Y*KUN,山梨県,1283,SA-ART,山梨県
4th style,LOVE WILL・・・,495,REGRIA,山梨県,690,JUN!,山梨県,1359,NON&K,山梨県
4th style,KAMIKAZE,931,REGRIA,山梨県,1306,REGRIA,山梨県,2281,NO4XTK,山梨県
4th style,Jam&Marmalade,577,DONBUL,山梨県,766,010!,山梨県,941,CARINA,山梨県
4th style,Hitch Hiker2,774,ZEAL,山梨県,901,NEDGY,山梨県,1227,Y*KUN,山梨県
4th style,HIGHER,399,MOREXX,山梨県,806,JUN!,山梨県,1225,NON&K,山梨県
4th style,FLOWERS for ALBION,230,JUN!,山梨県,410,FLOW,山梨県,0,,未設定
4th style,era (step mix),1101,NO4MCR,山梨県,1303,CARINA,山梨県,1686,NO4MCR,山梨県
4th style,empathy,747,REGRIA,山梨県,1174,010!,山梨県,1397,J-USAO,山梨県
4th style,DXY!,1094,SAMUEL,山梨県,1684,HIBARI,山梨県,2134,NO4MCR,山梨県
4th style,Clione,453,SOLT,山梨県,848,REGRIA,山梨県,1562,J-USAO,山梨県
4th style,CHECKING YOU OUT,382,MOREXX,山梨県,728,BOLT,山梨県,1265,NO4XTK,山梨県
4th style,Burnin' The Floor,552,KRT.,山梨県,852,010!,山梨県,1412,J-USAO,山梨県
4th style,Broken My Heart,888,BOLT,山梨県,1399,BOLT,山梨県,1796,YKN.JP,山梨県
4th style,B4U,1025,Я,山梨県,1390,KRT.,山梨県,1975,NO4MCR,山梨県
4th style,ABSOLUTE,1212,VEIN,山梨県,1748,VECO,山梨県,2348,YKN.JP,山梨県
4th style,250bpm,636,OGSWRA,山梨県,1012,NO4MCR,山梨県,1357,J-USAO,山梨県
5th style,V,1222,Я,山梨県,2378,CARINA,山梨県,2908,YKN.JP,山梨県
5th style,THE SHINING POLARIS,600,ATTIN,山梨県,1269,AYAME,山梨県,1521,AYAME,山梨県
5th style,THE CUBE,548,SERRA,山梨県,1078,010!,山梨県,1301,VECO,山梨県
5th style,sync,1070,NO4MCR,山梨県,1785,Y*KUN,山梨県,2308,YKN.JP,山梨県
5th style,still my words,724,ATTIN,山梨県,1168,NON&K,山梨県,0,,未設定
5th style,STILL IN MY HEART,733,RUNASA,山梨県,1290,Я,山梨県,1893,YKN.JP,山梨県
5th style,Spin the disc,538,RUCHI,山梨県,1093,010!,山梨県,1283,AYAME,山梨県
5th style,RISLIM,763,DAI-R,山梨県,1156,FLOW,山梨県,0,,未設定
5th style,RIDE ON THE LIGHT (HI GREAT MIX),847,BOLT,山梨県,964,JUN!,山梨県,1689,NO4XTK,山梨県
5th style,Regulus,944,HIBARI,山梨県,1351,Y*KUN,山梨県,1676,NO4XTK,山梨県
5th style,Real,812,EICA,山梨県,1536,Y*KUN,山梨県,1587,SA-ART,山梨県
5th style,Radical Faith,913,ATTIN,山梨県,1306,ALISIA,山梨県,1233,BOLT,山梨県
5th style,QQQ,810,ATTIN,山梨県,1777,CARINA,山梨県,2114,NO4MCR,山梨県
5th style,outer wall,562,ATTIN,山梨県,1212,BOLT,山梨県,1587,SA-ART,山梨県
5th style,LOVE AGAIN TONIGHT～for Mellisa mix～,665,REGRIA,山梨県,788,JUN!,山梨県,1102,J-USAO,山梨県
5th style,Kiss me all night long,437,ATTIN,山梨県,1075,JUN!,山梨県,1429,J-USAO,山梨県
5th style,in my eyes,610,YM-34,山梨県,1218,JUN!,山梨県,1376,ALISIA,山梨県
5th style,Abyss,1060,LEIA,山梨県,1513,Я,山梨県,1833,J-USAO,山梨県
6th style,電人イェーガーのテーマ(Theme of DENJIN J),991,LUNA**,山梨県,1538,NO4MCR,山梨県,0,,未設定
6th style,こっちを向いてよ,648,ENE,山梨県,1055,IKAROS,山梨県,1303,Я,山梨県
6th style,Take It Easy,1465,NO4MCR,山梨県,2190,LUNA**,山梨県,2426,J-USAO,山梨県
6th style,Summer Vacation(CU mix),1129,LUNA**,山梨県,1786,J-USAO,山梨県,0,,未設定
6th style,route 80s,821,Y*KUN,山梨県,1059,010!,山梨県,1462,J-USAO,山梨県
6th style,rottel-da-sun,685,REGRIA,山梨県,1096,CRU*2,山梨県,1664,MYOTIN,山梨県
6th style,NEMESIS,949,Я,山梨県,1536,Я,山梨県,1822,NO4MCR,山梨県
6th style,Linus,800,REGRIA,山梨県,1477,CARINA,山梨県,2140,NO4MCR,山梨県
6th style,G2,1313,HIBARI,山梨県,1595,LUNA**,山梨県,2271,NO4MCR,山梨県
6th style,Frozen Ray (original mix),1197,REGRIA,山梨県,1640,Y*KUN,山梨県,1759,J-USAO,山梨県
6th style,Free Style,796,COX,山梨県,906,JUN!,山梨県,1252,J-USAO,山梨県
6th style,fly through the night,681,NAPPA,山梨県,1246,Y*KUN,山梨県,1544,CARINA,山梨県
6th style,DIVE ～INTO YOUR HEART～,1072,KORO,山梨県,1613,010!,山梨県,2053,YKN.JP,山梨県
6th style,Colors (radio edit),1119,SYAM,山梨県,1836,CARINA,山梨県,2362,YKN.JP,山梨県
6th style,Buffalo,978,Я,山梨県,1312,CHAI,山梨県,1749,J-USAO,山梨県
6th style,Blueberry Stream,723,REGRIA,山梨県,1250,010!,山梨県,1589,J-USAO,山梨県
6th style,BALLAD FOR YOU～想いの雨～,517,REGRIA,山梨県,708,CHAI,山梨県,1049,Q.E.D.,山梨県
6th style,"19,November",1038,BOLT,山梨県,1250,MERU*,山梨県,1744,J-USAO,山梨県
7th style,革命,518,KORO,山梨県,1808,KRT.,山梨県,2254,NO4MCR,山梨県
7th style,ZERO-ONE,950,JUN!,山梨県,1573,Я,山梨県,2200,YKN.JP,山梨県
7th style,traces,1510,NO4MCR,山梨県,1687,S2000,山梨県,2113,NO4MCR,山梨県
7th style,Tomorrow Perfume,1010,NAKSON,山梨県,1563,IKAROS,山梨県,2027,J-USAO,山梨県
7th style,stoic,1549,ZEAL,山梨県,2109,RURI.G,山梨県,2507,NO4XTK,山梨県
7th style,Spica,515,ENE,山梨県,1409,VECO,山梨県,2115,NO4XTK,山梨県
7th style,MAX 300,1029,HIBARI,山梨県,1870,NO4MCR,山梨県,0,,未設定
7th style,Marmalade Reverie,832,BOLT,山梨県,928,JUN!,山梨県,1189,AZUSA,山梨県
7th style,Love Me Do,744,ATTIN,山梨県,1600,AYA2ME,山梨県,2026,FLOW,山梨県
7th style,Let the Snow Paint Me,771,REGRIA,山梨県,932,JUN!,山梨県,1144,OGSWRA,山梨県
7th style,Last Message,740,ATTIN,山梨県,1273,CARINA,山梨県,1560,J-USAO,山梨県
7th style,Happy Wedding,1149,BOLT,山梨県,1512,Y*KUN,山梨県,1762,J-USAO,山梨県
7th style,Glorious Days,442,S*!54,山梨県,703,S*!54,山梨県,866,CRU*2,山梨県
7th style,foreplay,564,KORO,山梨県,965,010!,山梨県,1295,J-USAO,山梨県
7th style,entrance,895,Я,山梨県,1241,KMA,山梨県,1643,J-USAO,山梨県
7th style,DESTINY,1024,BOLT,山梨県,1315,BOLT,山梨県,1800,J-USAO,山梨県
7th style,D2R,756,NAPPA,山梨県,1219,TFN,山梨県,1588,J-USAO,山梨県
7th style,Cheer Train,698,HAYA*,山梨県,1017,JUN!,山梨県,1692,J-USAO,山梨県
7th style,Burning Heat! (Full Option Mix),648,HIBARI,山梨県,936,NO4MCR,山梨県,1403,VECO,山梨県
7th style,BRING HER DOWN,773,LEIA,山梨県,1219,010!,山梨県,1733,J-USAO,山梨県
7th style,Bad Routine,753,ATTIN,山梨県,1343,AYAME,山梨県,1867,J-USAO,山梨県
7th style,AVE DE RAPINA,1300,Я,山梨県,1540,MINI*,山梨県,1769,J-USAO,山梨県
7th style,A,1073,JUN!,山梨県,2099,YKN.JP,山梨県,2411,NO4XTK,山梨県
8th style,蒼い衝動,797,NAPPA,山梨県,1276,KRT.,山梨県,1527,AYAME,山梨県
8th style,桜,945,AYA2ME,山梨県,1286,OPFER,山梨県,2018,NO4MCR,山梨県
8th style,合体せよ！ストロングイェーガー！！,1445,LUNA**,山梨県,1699,NO4MCR,山梨県,0,,未設定
8th style,xenon,908,WMARIO,山梨県,1631,AYAME,山梨県,2646,NO4MCR,山梨県
8th style,World Wide Love,664,HIBARI,山梨県,932,HAYA*,山梨県,1089,FLOW,山梨県
8th style,WAR GAME,887,WMARIO,山梨県,1280,SHIN,山梨県,2043,J-USAO,山梨県
8th style,thunder,984,WMARIO,山梨県,1492,CARINA,山梨県,1820,J-USAO,山梨県
8th style,symbolic,1424,NO4MCR,山梨県,1725,HIBARI,山梨県,2203,NO4MCR,山梨県
8th style,STAR DREAM,658,WMARIO,山梨県,1187,ALISIA,山梨県,1280,BOT,山梨県
8th style,rainbow flyer,529,RUNASA,山梨県,1470,VEIN,山梨県,2065,J-USAO,山梨県
8th style,PLEASE DON'T GO,836,WMARIO,山梨県,1318,Y*KUN,山梨県,2377,NO4XTK,山梨県
8th style,MUSIC TO YOUR HEAD,696,REGRIA,山梨県,1331,Y*KUN,山梨県,1403,9071.,山梨県
8th style,murmur twins,1029,WMARIO,山梨県,1549,BOLT,山梨県,2350,NO4MCR,山梨県
8th style,Monkey Dance,670,NEDGY,山梨県,1295,CARINA,山梨県,1912,AYAME,山梨県
8th style,memories,972,WMARIO,山梨県,1786,010!,山梨県,2018,OPFER,山梨県
8th style,LOVE IS ORANGE,666,RUNASA,山梨県,932,JUN!,山梨県,1753,CARINA,山梨県
8th style,LAB,929,IKAROS,山梨県,1858,Y*KUN,山梨県,2085,NO4MCR,山梨県
