バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,779,PASTEL,長野県,941,AXCX,長野県,1139,COUGAR,長野県
1st&substream,RUGGED ASH,366,HIR0TA,長野県,402,HIR0TA,長野県,1074,PPJT,長野県
1st&substream,R3,652,PASTEL,長野県,711,LATIOS,長野県,888,MA68KA,長野県
1st&substream,PARANOIA MAX～DIRTY MIX～,550,MOZZY,長野県,732,KIRGIR,長野県,1078,YOSHI,長野県
1st&substream,Macho Gang,373,PASTEL,長野県,1020,CALPIS,長野県,1602,PPJT,長野県
1st&substream,KEEP ON MOVIN',194,PASTEL,長野県,243,COUGAR,長野県,0,,未設定
1st&substream,GRADIUSIC CYBER,860,MUTA,長野県,946,TILIA,長野県,1172,PPJT,長野県
1st&substream,GENOM SCREAMS,415,PASTEL,長野県,785,ARAI,長野県,1064,PPJT,長野県
1st&substream,GAMBOL,274,HIR0TA,長野県,274,COUGAR,長野県,0,,未設定
1st&substream,Dr.LOVE,407,PASTEL,長野県,494,MOZZY,長野県,565,PPJT,長野県
1st&substream,deep in you,490,PASTEL,長野県,499,YOSHI,長野県,654,PPJT,長野県
1st&substream,BRILLIANT 2U,527,PASTEL,長野県,629,YZXXZ,長野県,707,2KADAX,長野県
1st&substream,5.1.1.,195,KIRGIR,長野県,958,MOZZY,長野県,1549,PPJT,長野県
1st&substream,22DUNK,512,PASTEL,長野県,630,COUGAR,長野県,648,COUGAR,長野県
2nd style,SP-TRIP MACHINE(for beatmania II),503,PASTEL,長野県,611,ANZ92F,長野県,639,PPJT,長野県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),561,MUTA,長野県,857,COUGAR,長野県,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),833,MOZZY,長野県,1044,0$D,長野県,1216,PPJT,長野県
2nd style,I Was The One,524,REISEN,長野県,637,KIRGIR,長野県,682,YOSHI,長野県
2nd style,Electro Tuned(the SubS mix),747,MR.CID,長野県,905,ANZ92F,長野県,1056,PPJT,長野県
2nd style,Digital MinD(A/T Libra mix),727,PASTEL,長野県,1029,NULLPO,長野県,1112,PPJT,長野県
2nd style,Dancin' Into The Night,420,REISEN,長野県,463,COUGAR,長野県,0,,未設定
2nd style,.59,702,KIRGIR,長野県,977,ANZ92F,長野県,1126,YOSHI,長野県
3rd style,THE SAFARI,1196,PASTEL,長野県,1734,PPJT,長野県,0,,未設定
3rd style,Tangerine Stream,282,HIR0TA,長野県,395,HIR0TA,長野県,0,,未設定
3rd style,Skyscraper,724,MUTA,長野県,1110,LEHM,長野県,1232,PPJT,長野県
3rd style,Schlagwerk,799,COUGAR,長野県,1225,YZXXZ,長野県,1639,COUGAR,長野県
3rd style,REINCARNATION,816,TILIA,長野県,954,KAEPON,長野県,1251,LATIOS,長野県
3rd style,R5,770,PASTEL,長野県,1147,2834.,長野県,1756,ERUA$A,長野県
3rd style,Presto,528,MR.CID,長野県,937,ANZ92F,長野県,998,PPJT,長野県
3rd style,LEADING CYBER,825,GAZER,長野県,1148,0$D,長野県,1232,PPJT,長野県
3rd style,Holic,738,40KNOT,長野県,1175,AUL.23,長野県,1693,PPJT,長野県
3rd style,era (nostalmix),800,YUTTER,長野県,1049,2KADAX,長野県,1502,PPJT,長野県
3rd style,Don't Stop!,755,MOZZY,長野県,848,COUGAR,長野県,895,ANZ92F,長野県
3rd style,CAN'T STOP FALLIN'IN LOVE,601,PASTEL,長野県,1221,AZURE*,長野県,0,,未設定
4th style,Voltage (feat. Hidemaru),890,ANZ92F,長野県,1142,MOZZY,長野県,1322,PPJT,長野県
4th style,Under Construction,786,LEHM,長野県,953,0$D,長野県,1116,2834.,長野県
