バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,781,MTBKRE,兵庫県,1042,S.S.E,兵庫県,1112,LX7R,兵庫県
1st&substream,RUGGED ASH,367,MTBKRE,兵庫県,402,MTBKRE,兵庫県,1094,S.S.E,兵庫県
1st&substream,R3,638,MTBKRE,兵庫県,729,S.S.E,兵庫県,901,S.S.E,兵庫県
1st&substream,PARANOIA MAX～DIRTY MIX～,556,S.S.E,兵庫県,747,S.S.E,兵庫県,1098,S.S.E,兵庫県
1st&substream,Macho Gang,357,LCON$,兵庫県,1070,S.S.E,兵庫県,1583,BONO*2,兵庫県
1st&substream,KEEP ON MOVIN',196,S.S.E,兵庫県,243,S.S.E,兵庫県,0,,未設定
1st&substream,GRADIUSIC CYBER,868,MTBKRE,兵庫県,991,S.S.E,兵庫県,1212,S.S.E,兵庫県
1st&substream,GENOM SCREAMS,396,BOUZ,兵庫県,820,S.S.E,兵庫県,1049,BORO*2,兵庫県
1st&substream,GAMBOL,274,S.S.E,兵庫県,274,S.S.E,兵庫県,0,,未設定
1st&substream,Dr.LOVE,403,BOSS,兵庫県,519,S.S.E,兵庫県,578,BUTA,兵庫県
1st&substream,deep in you,494,MTBKRE,兵庫県,506,S.S.E,兵庫県,657,BUTA,兵庫県
1st&substream,BRILLIANT 2U,538,S.S.E,兵庫県,648,S.S.E,兵庫県,717,BUTA,兵庫県
1st&substream,5.1.1.,194,MTBKRE,兵庫県,1012,S.S.E,兵庫県,1544,S.S.E,兵庫県
1st&substream,22DUNK,521,MTBKRE,兵庫県,639,S.S.E,兵庫県,652,S.S.E,兵庫県
2nd style,SP-TRIP MACHINE(for beatmania II),504,MTBKRE,兵庫県,621,S.S.E,兵庫県,637,YYY,兵庫県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),572,MTBKRE,兵庫県,860,S.S.E,兵庫県,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),825,MOCHI,兵庫県,1118,S.S.E,兵庫県,1209,S.S.E,兵庫県
2nd style,I Was The One,535,MTBKRE,兵庫県,648,S.S.E,兵庫県,692,BUTA,兵庫県
2nd style,Electro Tuned(the SubS mix),763,MTBKRE,兵庫県,951,S.S.E,兵庫県,1037,BUTA,兵庫県
2nd style,Digital MinD(A/T Libra mix),741,S.S.E,兵庫県,1065,S.S.E,兵庫県,1123,S.S.E,兵庫県
2nd style,Dancin' Into The Night,404,SUTAO,兵庫県,463,BUTA,兵庫県,0,,未設定
2nd style,.59,679,YUCKY,兵庫県,1017,S.S.E,兵庫県,1153,S.S.E,兵庫県
3rd style,THE SAFARI,1223,S.S.E,兵庫県,1742,YYY,兵庫県,0,,未設定
3rd style,Tangerine Stream,276,K-$,兵庫県,396,BUTA,兵庫県,0,,未設定
3rd style,Skyscraper,732,S.S.E,兵庫県,1207,S.S.E,兵庫県,1238,BUTA,兵庫県
