バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,742,SND,広島県,1013,BECK69,広島県,1105,NATTSU,広島県
1st&substream,RUGGED ASH,353,YOH,広島県,400,-AKI-,広島県,1056,ICOK30,広島県
1st&substream,R3,638,TOITOI,広島県,720,NATTSU,広島県,889,ICOK30,広島県
1st&substream,PARANOIA MAX～DIRTY MIX～,537,AL,広島県,704,TERA.P,広島県,1078,NATTSU,広島県
1st&substream,Macho Gang,348,SAKU!,広島県,969,TTI,広島県,1533,96ETTO,広島県
1st&substream,KEEP ON MOVIN',191,TERA.P,広島県,236,TA5WA3,広島県,0,,未設定
1st&substream,GRADIUSIC CYBER,850,RAIR,広島県,971,SKYLY,広島県,1176,ICOK30,広島県
1st&substream,GENOM SCREAMS,404,SND,広島県,738,5KIJET,広島県,1033,ICOK30,広島県
1st&substream,GAMBOL,270,R.POS,広島県,274,BECK69,広島県,0,,未設定
1st&substream,Dr.LOVE,388,KEN!MA,広島県,512,SND,広島県,568,RYOCEL,広島県
1st&substream,deep in you,437,D,広島県,477,RAIR,広島県,648,RYOCEL,広島県
1st&substream,BRILLIANT 2U,524,*OB*,広島県,615,TERA.P,広島県,695,JUN,広島県
1st&substream,5.1.1.,193,-AKI-,広島県,1006,*PINE*,広島県,1540,-AKI-,広島県
1st&substream,22DUNK,476,YOH,広島県,612,SND,広島県,637,YU-HI,広島県
2nd style,SP-TRIP MACHINE(for beatmania II),501,MAJIN,広島県,617,MAJIN,広島県,638,MAJIN,広島県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),546,MASA.I,広島県,852,YU-HI,広島県,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),864,NATTSU,広島県,1042,RAIR,広島県,1171,ICOK30,広島県
2nd style,I Was The One,521,GESSO-,広島県,633,R.POS,広島県,673,MELT,広島県
2nd style,Electro Tuned(the SubS mix),743,KEN!MA,広島県,901,RAIR,広島県,1059,-AKI-,広島県
2nd style,Digital MinD(A/T Libra mix),697,D,広島県,982,RAIR,広島県,1083,NATTSU,広島県
2nd style,Dancin' Into The Night,416,R.POS,広島県,459,NATTSU,広島県,0,,未設定
2nd style,.59,691,SND,広島県,998,BECK69,広島県,1113,YU-HI,広島県
3rd style,THE SAFARI,1173,MAJIN,広島県,1731,ICOK30,広島県,0,,未設定
3rd style,Tangerine Stream,278,BECK69,広島県,392,BECK69,広島県,0,,未設定
3rd style,Skyscraper,676,FEDKIA,広島県,1115,WELS,広島県,1223,ICOK30,広島県
3rd style,Schlagwerk,766,D,広島県,1264,BECK69,広島県,1645,ICOK30,広島県
3rd style,REINCARNATION,810,D,広島県,959,DEMON,広島県,1237,TATSU.,広島県
3rd style,R5,746,AL,広島県,1142,YUTAKA,広島県,1733,IIDX21,広島県
3rd style,Presto,526,BECK69,広島県,969,NATTSU,広島県,991,ICOK30,広島県
3rd style,LEADING CYBER,794,YOH,広島県,1149,DEMON,広島県,1248,ICOK30,広島県
3rd style,Holic,755,TEN-IN,広島県,1175,IJIRO*,広島県,1647,TKHR-1,広島県
3rd style,era (nostalmix),809,AL,広島県,1027,NATTSU,広島県,1463,TKHR-1,広島県
3rd style,Don't Stop!,758,NATTSU,広島県,815,RAIR,広島県,898,NATTSU,広島県
3rd style,CAN'T STOP FALLIN'IN LOVE,586,D,広島県,1202,NATTSU,広島県,0,,未設定
4th style,Voltage (feat. Hidemaru),886,NOMA,広島県,1116,MO,広島県,1246,TATSU.,広島県
4th style,Under Construction,768,D,広島県,946,TOM,広島県,1127,NATTSU,広島県
4th style,ULTRA HIGH-HEELS,722,D,広島県,848,DEMON,広島県,964,TEN-IN,広島県
