バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,758,IYOAZM,愛媛県,1029,KEN&GO,愛媛県,1112,HINA.S,愛媛県
1st&substream,RUGGED ASH,352,HAZUKI,愛媛県,372,PACHE,愛媛県,1081,NOIK.S,愛媛県
1st&substream,R3,620,BIG-O,愛媛県,669,ROD-DS,愛媛県,900,ROSIER,愛媛県
1st&substream,PARANOIA MAX～DIRTY MIX～,517,YOIYOI,愛媛県,736,KEN&GO,愛媛県,1083,ROSIER,愛媛県
1st&substream,Macho Gang,349,S.M,愛媛県,989,MT2Y0H,愛媛県,1573,ROSIER,愛媛県
1st&substream,KEEP ON MOVIN',180,YOIYOI,愛媛県,238,KANTOQ,愛媛県,0,,未設定
1st&substream,GRADIUSIC CYBER,843,IYOAZM,愛媛県,985,ALAZIF,愛媛県,1178,PAPER.,愛媛県
1st&substream,GENOM SCREAMS,364,SO-KAI,愛媛県,766,IYOAZM,愛媛県,1044,ROSIER,愛媛県
1st&substream,GAMBOL,261,KANTOQ,愛媛県,265,HINA.S,愛媛県,0,,未設定
1st&substream,Dr.LOVE,390,MARCO,愛媛県,464,BIG-O,愛媛県,567,AERITH,愛媛県
1st&substream,deep in you,434,OKOJYO,愛媛県,462,IIDX22,愛媛県,630,L#WIND,愛媛県
1st&substream,BRILLIANT 2U,488,HAZUKI,愛媛県,624,IIDX22,愛媛県,701,TAKA.,愛媛県
1st&substream,5.1.1.,191,MT2Y0H,愛媛県,964,IIDX22,愛媛県,1546,*PAPU*,愛媛県
1st&substream,22DUNK,447,134,愛媛県,613,IYOAZM,愛媛県,632,IYOAZM,愛媛県
2nd style,SP-TRIP MACHINE(for beatmania II),469,DEER,愛媛県,610,IYOAZM,愛媛県,637,HINA.S,愛媛県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),529,HAZUKI,愛媛県,831,HINA.S,愛媛県,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),799,OKOJYO,愛媛県,1046,IYOAZM,愛媛県,1149,HINA.S,愛媛県
2nd style,I Was The One,501,ATA5.,愛媛県,628,MT2Y0H,愛媛県,684,ROSIER,愛媛県
2nd style,Electro Tuned(the SubS mix),734,MT2Y0H,愛媛県,929,ALAZIF,愛媛県,1061,NOIK.S,愛媛県
2nd style,Digital MinD(A/T Libra mix),704,KANTOQ,愛媛県,1025,IYOAZM,愛媛県,1111,ROSIER,愛媛県
2nd style,Dancin' Into The Night,400,KANTOQ,愛媛県,458,NYAN45,愛媛県,0,,未設定
2nd style,.59,688,IYOAZM,愛媛県,950,TAWA4,愛媛県,1129,NYAN45,愛媛県
3rd style,THE SAFARI,1192,ALAZIF,愛媛県,1734,NYAN45,愛媛県,0,,未設定
3rd style,Tangerine Stream,256,KYOBIQ,愛媛県,392,ROSIER,愛媛県,0,,未設定
3rd style,Skyscraper,712,IYOAZM,愛媛県,1161,IYOAZM,愛媛県,1234,KEN&GO,愛媛県
3rd style,Schlagwerk,804,IYOAZM,愛媛県,1267,KEN&GO,愛媛県,1662,PAPER.,愛媛県
3rd style,REINCARNATION,827,ALAZIF,愛媛県,945,ZETTON,愛媛県,1254,ROSIER,愛媛県
3rd style,R5,744,QLK,愛媛県,1154,KEN&GO,愛媛県,1748,-LARD-,愛媛県
3rd style,Presto,448,YRHM,愛媛県,956,ALAZIF,愛媛県,988,KEN&GO,愛媛県
3rd style,LEADING CYBER,837,IYOAZM,愛媛県,1124,ZETTON,愛媛県,1260,ROSIER,愛媛県
3rd style,Holic,763,ALAZIF,愛媛県,1111,S.M,愛媛県,1671,MASHU*,愛媛県
3rd style,era (nostalmix),843,IYOAZM,愛媛県,1041,KEN&GO,愛媛県,1458,MASHU*,愛媛県
3rd style,Don't Stop!,698,ZETTON,愛媛県,789,JAYD,愛媛県,889,HINA.S,愛媛県
3rd style,CAN'T STOP FALLIN'IN LOVE,529,REISEN,愛媛県,1205,HINA.S,愛媛県,0,,未設定
4th style,Voltage (feat. Hidemaru),895,MT2Y0H,愛媛県,1130,IYOAZM,愛媛県,1264,ROSIER,愛媛県
4th style,Under Construction,733,SO-KAI,愛媛県,911,KYOBIQ,愛媛県,1132,ROSIER,愛媛県
4th style,ULTRA HIGH-HEELS,729,IYOAZM,愛媛県,828,AQUAS,愛媛県,978,L#WIND,愛媛県
4th style,starmine,859,IYOAZM,愛媛県,1368,KEN&GO,愛媛県,1575,NYAN45,愛媛県
4th style,Nasty!,497,OJIN,愛媛県,895,IYOAZM,愛媛県,1482,TAKA.,愛媛県
