バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,733,BMKYUN,長崎県,972,R!V*,長崎県,1134,JARO.,長崎県
1st&substream,RUGGED ASH,369,KYOU**,長崎県,399,KYOU**,長崎県,1073,KYOU**,長崎県
1st&substream,R3,611,BMKYUN,長崎県,674,404,長崎県,882,HEIPOP,長崎県
1st&substream,PARANOIA MAX～DIRTY MIX～,542,ASUKA*,長崎県,715,ASUKA*,長崎県,1078,*KYON*,長崎県
1st&substream,Macho Gang,361,ASUKA*,長崎県,963,ABABA,長崎県,1557,JARO.,長崎県
1st&substream,KEEP ON MOVIN',194,ASUKA*,長崎県,243,KYOU**,長崎県,0,,未設定
1st&substream,GRADIUSIC CYBER,857,KYOU**,長崎県,948,KISA.,長崎県,1161,HEIPOP,長崎県
1st&substream,GENOM SCREAMS,392,DROP,長崎県,804,KYOU**,長崎県,1033,JARO.,長崎県
1st&substream,GAMBOL,273,KYOU**,長崎県,274,STEAK,長崎県,0,,未設定
1st&substream,Dr.LOVE,401,ASUKA*,長崎県,504,HEIPOP,長崎県,572,KYOU**,長崎県
1st&substream,deep in you,459,404,長崎県,485,29,長崎県,644,HEIPOP,長崎県
1st&substream,BRILLIANT 2U,501,BMKYUN,長崎県,643,KYOU**,長崎県,709,HEIPOP,長崎県
1st&substream,5.1.1.,195,HARUKA,長崎県,985,KISA.,長崎県,1545,*KYON*,長崎県
1st&substream,22DUNK,511,BMKYUN,長崎県,596,BINARY,長崎県,643,TAU,長崎県
2nd style,SP-TRIP MACHINE(for beatmania II),505,KYOU**,長崎県,558,NAOMAR,長崎県,640,KYOU**,長崎県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),559,BMKYUN,長崎県,853,KYOU**,長崎県,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),811,404,長崎県,1042,HT-G.,長崎県,1191,HARUKA,長崎県
2nd style,I Was The One,523,ASUKA*,長崎県,637,HEIPOP,長崎県,685,KYOU**,長崎県
2nd style,Electro Tuned(the SubS mix),723,404,長崎県,871,ABABA,長崎県,1045,FOV,長崎県
2nd style,Digital MinD(A/T Libra mix),695,NAO,長崎県,950,TE97,長崎県,1095,HEIPOP,長崎県
2nd style,Dancin' Into The Night,421,HEIPOP,長崎県,464,HEIPOP,長崎県,0,,未設定
2nd style,.59,670,404,長崎県,994,HEIPOP,長崎県,1121,*KYON*,長崎県
3rd style,THE SAFARI,1176,TAU,長崎県,1729,NAYU,長崎県,0,,未設定
3rd style,Tangerine Stream,281,ASUKA*,長崎県,394,KYOU**,長崎県,0,,未設定
3rd style,Skyscraper,714,BMKYUN,長崎県,1111,404,長崎県,1232,JARO.,長崎県
3rd style,Schlagwerk,769,404,長崎県,1285,KYOU**,長崎県,1633,JARO.,長崎県
3rd style,REINCARNATION,833,HEIPOP,長崎県,969,FATE.L,長崎県,1253,JARO.,長崎県
3rd style,R5,765,KYOU**,長崎県,1150,KYOU**,長崎県,1740,STEAK,長崎県
3rd style,Presto,536,KYOU**,長崎県,963,KYOU**,長崎県,987,HARUKA,長崎県
3rd style,LEADING CYBER,812,BMKYUN,長崎県,1112,MER,長崎県,1240,JARO.,長崎県
3rd style,Holic,736,ASUKA*,長崎県,1125,HAMMAH,長崎県,1665,NAYU,長崎県
