バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,733,0000,鹿児島県,991,ORAN-G,鹿児島県,1114,ORAN-G,鹿児島県
1st&substream,RUGGED ASH,362,CAOSDX,鹿児島県,376,NNN,鹿児島県,1041,ORAN-G,鹿児島県
1st&substream,R3,609,R.D.,鹿児島県,713,SACHI,鹿児島県,867,SUQNE*,鹿児島県
1st&substream,PARANOIA MAX～DIRTY MIX～,535,CAOSDX,鹿児島県,647,-MARU-,鹿児島県,1057,SUQNE*,鹿児島県
1st&substream,Macho Gang,354,HIQ,鹿児島県,946,MIKAGE,鹿児島県,1594,A6PACA,鹿児島県
1st&substream,KEEP ON MOVIN',191,2-4-11,鹿児島県,243,AAABBB,鹿児島県,0,,未設定
1st&substream,GRADIUSIC CYBER,858,D.ARK.,鹿児島県,954,A6PACA,鹿児島県,1164,INOKI!,鹿児島県
1st&substream,GENOM SCREAMS,357,ESKEYS,鹿児島県,697,K,鹿児島県,1044,A6PACA,鹿児島県
1st&substream,GAMBOL,268,INOKI!,鹿児島県,274,AAABBB,鹿児島県,0,,未設定
1st&substream,Dr.LOVE,378,0000,鹿児島県,480,MEKE,鹿児島県,556,ORAN-G,鹿児島県
1st&substream,deep in you,432,SHILVA,鹿児島県,401,HAKU*,鹿児島県,633,SUQNE*,鹿児島県
1st&substream,BRILLIANT 2U,503,RYUSAN,鹿児島県,629,KECAK.,鹿児島県,705,RYUNET,鹿児島県
1st&substream,5.1.1.,180,SI,鹿児島県,954,R.D.,鹿児島県,1520,A6PACA,鹿児島県
1st&substream,22DUNK,445,HAKU*,鹿児島県,628,SACHI,鹿児島県,625,FUSI,鹿児島県
2nd style,SP-TRIP MACHINE(for beatmania II),479,SIR,鹿児島県,595,R.D.,鹿児島県,626,FUSI,鹿児島県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),530,RYUSAN,鹿児島県,843,INOKI!,鹿児島県,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),830,MIKAGE,鹿児島県,1013,KECAK.,鹿児島県,1203,INOKI!,鹿児島県
2nd style,I Was The One,478,NNN,鹿児島県,631,CAOSDX,鹿児島県,669,FUSI,鹿児島県
2nd style,Electro Tuned(the SubS mix),717,5FDP,鹿児島県,886,NMKR,鹿児島県,1046,A6PACA,鹿児島県
2nd style,Digital MinD(A/T Libra mix),666,R.D.,鹿児島県,978,NMKR,鹿児島県,1079,ORAN-G,鹿児島県
2nd style,Dancin' Into The Night,386,831,鹿児島県,453,FUSI,鹿児島県,0,,未設定
2nd style,.59,693,D.ARK.,鹿児島県,969,5FDP,鹿児島県,1137,INOKI!,鹿児島県
3rd style,THE SAFARI,1218,A6PACA,鹿児島県,1740,INOKI!,鹿児島県,0,,未設定
3rd style,Tangerine Stream,254,K-RANE,鹿児島県,387,RYUNET,鹿児島県,0,,未設定
3rd style,Skyscraper,595,TARO*,鹿児島県,1041,AXL,鹿児島県,1206,SUQNE*,鹿児島県
3rd style,Schlagwerk,792,A6PACA,鹿児島県,1214,TOMO#,鹿児島県,1633,RYUNET,鹿児島県
3rd style,REINCARNATION,793,CAOSDX,鹿児島県,915,HRK,鹿児島県,1214,SUQNE*,鹿児島県
3rd style,R5,640,STPO,鹿児島県,1081,SABANI,鹿児島県,1754,INOKI!,鹿児島県
3rd style,Presto,514,CAOSDX,鹿児島県,930,NMKR,鹿児島県,994,INOKI!,鹿児島県
3rd style,LEADING CYBER,666,TARO*,鹿児島県,863,AXL,鹿児島県,1200,RYUNET,鹿児島県
3rd style,Holic,645,HAKU*,鹿児島県,1113,CROSS,鹿児島県,1669,INOKI!,鹿児島県
3rd style,era (nostalmix),707,AAZZ,鹿児島県,1036,SACHI,鹿児島県,1503,SACHI,鹿児島県
3rd style,Don't Stop!,732,RYUSAN,鹿児島県,770,AXL,鹿児島県,902,AAABBB,鹿児島県
3rd style,CAN'T STOP FALLIN'IN LOVE,571,MIKI.H,鹿児島県,1231,A6PACA,鹿児島県,0,,未設定
4th style,Voltage (feat. Hidemaru),642,UUKISS,鹿児島県,1093,CAOSDX,鹿児島県,1230,FUSI,鹿児島県
4th style,Under Construction,588,UUKISS,鹿児島県,919,CAOSDX,鹿児島県,1100,FUSI,鹿児島県
4th style,ULTRA HIGH-HEELS,709,CAOSDX,鹿児島県,798,GAMI,鹿児島県,992,AAABBB,鹿児島県
4th style,starmine,852,CAOSDX,鹿児島県,1307,D.ARK.,鹿児島県,1532,ORAN-G,鹿児島県
