バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,699,KAL,海外,921,UMASAK,海外,1112,RED*,海外
1st&substream,RUGGED ASH,348,HOSHEY,海外,384,HOSHEY,海外,1062,LANRAN,海外
1st&substream,R3,648,LANRAN,海外,706,LANRAN,海外,884,RED*,海外
1st&substream,PARANOIA MAX～DIRTY MIX～,498,TE1T07,海外,721,LANRAN,海外,1046,WALTZ.,海外
1st&substream,Macho Gang,349,HOSHEY,海外,931,ZIP.,海外,1585,LANRAN,海外
1st&substream,KEEP ON MOVIN',191,RED*,海外,240,TKN4MU,海外,0,,未設定
1st&substream,GRADIUSIC CYBER,858,TKN4MU,海外,983,TKN4MU,海外,1158,ROCHER,海外
1st&substream,GENOM SCREAMS,362,MAS&CO,海外,764,ZZZ2,海外,1015,RED*,海外
1st&substream,GAMBOL,267,TK,海外,268,RED*,海外,0,,未設定
1st&substream,Dr.LOVE,381,HOSHEY,海外,478,LILIAN,海外,573,RED*,海外
1st&substream,deep in you,459,NEPNEP,海外,469,MAS&CO,海外,606,NEPNEP,海外
1st&substream,BRILLIANT 2U,520,LANRAN,海外,654,RED*,海外,709,RED*,海外
1st&substream,5.1.1.,188,GRIND.,海外,987,WALTZ.,海外,1552,HTPPK*,海外
1st&substream,22DUNK,465,HOSHEY,海外,592,NEPNEP,海外,643,HTPPK*,海外
2nd style,SP-TRIP MACHINE(for beatmania II),471,KAL,海外,603,GRIND.,海外,634,TK,海外
2nd style,PUT YOUR FAITH IN ME(for beatmania II),558,GRIND.,海外,853,RED*,海外,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),866,LANRAN,海外,1069,TK,海外,1187,LANRAN,海外
2nd style,I Was The One,525,RED*,海外,623,YANA77,海外,679,RED*,海外
2nd style,Electro Tuned(the SubS mix),754,.,海外,931,ASHN*,海外,1030,LANRAN,海外
2nd style,Digital MinD(A/T Libra mix),714,.,海外,974,OLAF,海外,1103,.,海外
2nd style,Dancin' Into The Night,422,LL,海外,456,TK,海外,0,,未設定
2nd style,.59,687,NOSHOW,海外,963,NEPNEP,海外,1127,RED*,海外
3rd style,THE SAFARI,1212,RED*,海外,1713,LANRAN,海外,0,,未設定
3rd style,Tangerine Stream,272,CHIHYA,海外,388,JT.CAT,海外,0,,未設定
3rd style,Skyscraper,708,GRIND.,海外,1195,RED*,海外,1220,LANRAN,海外
3rd style,Schlagwerk,670,TE1T07,海外,1242,NEPNEP,海外,1631,RED*,海外
3rd style,REINCARNATION,744,RANDOM,海外,965,NEPNEP,海外,1265,AAAAAA,海外
3rd style,R5,750,AOKI,海外,1145,TOMBOI,海外,1736,AAAAAA,海外
3rd style,Presto,510,W,海外,887,XMCGCG,海外,983,RED*,海外
3rd style,LEADING CYBER,803,GRIND.,海外,933,A,海外,1165,LILIAN,海外
3rd style,Holic,660,NOINNE,海外,1183,ASHN*,海外,1667,.,海外
3rd style,era (nostalmix),745,POINT,海外,1028,YANA77,海外,1483,LANRAN,海外
3rd style,Don't Stop!,680,KAL,海外,815,24MURA,海外,877,TK,海外
3rd style,CAN'T STOP FALLIN'IN LOVE,596,.,海外,1226,RED*,海外,0,,未設定
4th style,Voltage (feat. Hidemaru),709,TE1T07,海外,1075,NOINNE,海外,1278,AAAAAA,海外
4th style,Under Construction,618,TE1T07,海外,868,NOINNE,海外,1084,KUUUUU,海外
4th style,ULTRA HIGH-HEELS,722,TK,海外,870,GRIND.,海外,950,ARAKES,海外
4th style,starmine,876,LANRAN,海外,1336,NEPNEP,海外,1559,ROCHER,海外
4th style,Nasty!,510,HOSHEY,海外,889,YANA77,海外,1515,RED*,海外
4th style,Mr.T.(take me higher),767,HOSHEY,海外,934,IIDX22,海外,1705,RED*,海外
