バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,793,ZARBON,神奈川県,1055,RICK.,神奈川県,1149,SEKI,神奈川県
1st&substream,RUGGED ASH,370,LARK!M,神奈川県,400,KUN,神奈川県,1090,MOB,神奈川県
1st&substream,R3,660,JULIUS,神奈川県,728,STEEL*,神奈川県,903,RICK.,神奈川県
1st&substream,PARANOIA MAX～DIRTY MIX～,560,JULIUS,神奈川県,750,STEEL*,神奈川県,1113,RICK.,神奈川県
1st&substream,Macho Gang,382,LARK!M,神奈川県,1073,RICK.,神奈川県,1657,MOB,神奈川県
1st&substream,KEEP ON MOVIN',196,LARK!M,神奈川県,244,STEEL*,神奈川県,,,
1st&substream,GRADIUSIC CYBER,869,STEEL*,神奈川県,1008,RICK.,神奈川県,1183,GOEMON,神奈川県
1st&substream,GENOM SCREAMS,422,LARK!M,神奈川県,828,*9N2*,神奈川県,1072,RICK.,神奈川県
1st&substream,GAMBOL,274,JULIUS,神奈川県,274,JULIUS,神奈川県,,,
1st&substream,Dr.LOVE,408,JULIUS,神奈川県,520,ZARBON,神奈川県,580,STEEL*,神奈川県
1st&substream,deep in you,500,7STAR,神奈川県,505,ZARBON,神奈川県,666,RICK.,神奈川県
1st&substream,BRILLIANT 2U,540,JULIUS,神奈川県,658,ZARBON,神奈川県,720,SEKI,神奈川県
1st&substream,5.1.1.,198,JULIUS,神奈川県,1016,RICK.,神奈川県,1562,MOB,神奈川県
1st&substream,22DUNK,528,LARK!M,神奈川県,644,ZARBON,神奈川県,653,SEKI,神奈川県
2nd style,SP-TRIP MACHINE(for beatmania II),505,*9N2*,神奈川県,624,*9N2*,神奈川県,648,RICK.,神奈川県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),582,JULIUS,神奈川県,863,DINASO,神奈川県,,,
2nd style,Indigo Vision(full flavour hide around mix),879,LARK!M,神奈川県,1136,RICK.,神奈川県,1217,KEN,神奈川県
2nd style,I Was The One,542,LARK!M,神奈川県,650,ZARBON,神奈川県,692,SEKI,神奈川県
2nd style,Electro Tuned(the SubS mix),777,STEEL*,神奈川県,961,RICK.,神奈川県,1062,SEKI,神奈川県
2nd style,Digital MinD(A/T Libra mix),743,STEEL*,神奈川県,1080,RICK.,神奈川県,1120,KEN,神奈川県
2nd style,Dancin' Into The Night,432,JULIUS,神奈川県,469,STEEL*,神奈川県,,,
2nd style,.59,717,*9N2*,神奈川県,1020,RICK.,神奈川県,1150,*9N2*,神奈川県
3rd style,THE SAFARI,1214,*9N2*,神奈川県,1781,IGAWA,神奈川県,,,
3rd style,Tangerine Stream,282,LARK!M,神奈川県,396,LARK!M,神奈川県,,,
3rd style,Skyscraper,740,ZARBON,神奈川県,1210,RICK.,神奈川県,1244,GOEMON,神奈川県
3rd style,Schlagwerk,822,LARK!M,神奈川県,1304,STEEL*,神奈川県,1677,SEKI,神奈川県
3rd style,REINCARNATION,844,LARK!M,神奈川県,1039,*9N2*,神奈川県,1273,DINASO,神奈川県
3rd style,R5,774,JULIUS,神奈川県,1158,*9N2*,神奈川県,1774,MOB,神奈川県
3rd style,Presto,546,JULIUS,神奈川県,976,GOEMON,神奈川県,1008,RICK.,神奈川県
