バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,778,PASTEL,長野県,996,PASTEL,長野県,1127,YOSHI,長野県
1st&substream,RUGGED ASH,368,YZXXZ,長野県,402,HIROTA,長野県,1070,YOSHI,長野県
1st&substream,R3,619,0$D,長野県,677,HAGE,長野県,878,SMCLUB,長野県
1st&substream,PARANOIA MAX～DIRTY MIX～,548,PASTEL,長野県,699,KMP,長野県,1084,YOSHI,長野県
1st&substream,Macho Gang,367,PASTEL,長野県,1035,CHIERI,長野県,1522,KSTERA,長野県
1st&substream,KEEP ON MOVIN',196,HIROTA,長野県,242,MUTA,長野県,,,
1st&substream,GRADIUSIC CYBER,848,0$D,長野県,969,0$D,長野県,1173,PPJT,長野県
1st&substream,GENOM SCREAMS,410,0$D,長野県,786,CHIERI,長野県,1060,PPJT,長野県
1st&substream,GAMBOL,272,HIROTA,長野県,273,SMCLUB,長野県,,,
1st&substream,Dr.LOVE,401,HIROTA,長野県,497,0$D,長野県,573,SMCLUB,長野県
1st&substream,deep in you,466,0$D,長野県,483,CHIERI,長野県,642,KSTERA,長野県
1st&substream,BRILLIANT 2U,505,ELZAM,長野県,618,0$D,長野県,710,KSTERA,長野県
1st&substream,5.1.1.,196,PASTEL,長野県,999,PASTEL,長野県,1547,CALPIS,長野県
1st&substream,22DUNK,512,0$D,長野県,604,0$D,長野県,652,SMCLUB,長野県
2nd style,SP-TRIP MACHINE(for beatmania II),493,0$D,長野県,615,PASTEL,長野県,632,493SUN,長野県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),567,PASTEL,長野県,853,SMCLUB,長野県,,,
2nd style,Indigo Vision(full flavour hide around mix),860,CHIERI,長野県,1066,MOZZY,長野県,1202,PPJT,長野県
2nd style,I Was The One,520,0$D,長野県,618,0$D,長野県,682,KSTERA,長野県
2nd style,Electro Tuned(the SubS mix),739,0$D,長野県,909,INSIDE,長野県,1048,YOSHI,長野県
2nd style,Digital MinD(A/T Libra mix),702,0$D,長野県,1023,CHIERI,長野県,1080,YUZU.K,長野県
2nd style,Dancin' Into The Night,421,PASTEL,長野県,456,493SUN,長野県,,,
2nd style,.59,659,0$D,長野県,991,YZXXZ,長野県,1132,SMCLUB,長野県
3rd style,THE SAFARI,1200,PASTEL,長野県,1712,ERUA$A,長野県,,,
3rd style,Tangerine Stream,282,HIROTA,長野県,396,PASTEL,長野県,,,
3rd style,Skyscraper,664,ELZAM,長野県,1185,CHIERI,長野県,1209,KSTERA,長野県
3rd style,Schlagwerk,807,CHIERI,長野県,1245,YZXXZ,長野県,1635,YOSHI,長野県
3rd style,REINCARNATION,774,ELZAM,長野県,956,0$D,長野県,1235,YOSHI,長野県
3rd style,R5,772,PASTEL,長野県,1149,PASTEL,長野県,1757,PPJT,長野県
3rd style,Presto,498,ELZAM,長野県,947,YZXXZ,長野県,992,PPJT,長野県
3rd style,LEADING CYBER,729,ELZAM,長野県,1182,CHIERI,長野県,1194,M321M,長野県
3rd style,Holic,775,CHIERI,長野県,1172,CHIERI,長野県,1650,ERUA$A,長野県
3rd style,era (nostalmix),830,CHIERI,長野県,1038,YUZU.K,長野県,1504,PPJT,長野県
3rd style,Don't Stop!,723,ELZAM,長野県,845,CHIERI,長野県,892,CHIERI,長野県
3rd style,CAN'T STOP FALLIN'IN LOVE,601,0$D,長野県,1215,ARAI,長野県,,,
4th style,Voltage (feat. Hidemaru),890,0$D,長野県,1070,0$D,長野県,1272,KSTERA,長野県
4th style,ULTRA HIGH-HEELS,744,MOZZY,長野県,892,PASTEL,長野県,975,CHIERI,長野県
4th style,starmine,884,PASTEL,長野県,1326,0$D,長野県,1551,YOSHI,長野県
4th style,Nasty!,527,ELZAM,長野県,882,0$D,長野県,1518,YOSHI,長野県
4th style,Mr.T.(take me higher),829,0$D,長野県,937,0$D,長野県,1733,PPJT,長野県
4th style,minimalian,485,ELZAM,長野県,1000,0$D,長野県,1363,KSTERA,長野県
4th style,LOVE WILL・・・,547,HIROTA,長野県,732,MOZZY,長野県,1439,INAMAN,長野県
4th style,KAMIKAZE,941,ELZAM,長野県,1391,0$D,長野県,2240,LATIOS,長野県
4th style,Jam&Marmalade,752,PASTEL,長野県,849,0$D,長野県,998,PPJT,長野県
4th style,Hitch Hiker2,783,CHIERI,長野県,1119,MOZZY,長野県,1278,KSTERA,長野県
4th style,HIGHER,526,KSTERA,長野県,917,CHIERI,長野県,1250,KSTERA,長野県
4th style,FLOWERS for ALBION,243,HIROTA,長野県,430,ARAI,長野県,,,
4th style,era (step mix),960,ELZAM,長野県,1228,K,長野県,1645,YOSHI,長野県
4th style,empathy,795,MOZZY,長野県,1292,PASTEL,長野県,1419,TUGARU,長野県
4th style,DXY!,1110,MANIAX,長野県,1722,*,長野県,2112,1782,長野県
4th style,Clione†,,,,,,,2127,PPJT,長野県
4th style,Clione,525,PASTEL,長野県,906,INSIDE,長野県,1578,1782,長野県
4th style,CHECKING YOU OUT,639,SMCLUB,長野県,876,SMCLUB,長野県,1269,SMCLUB,長野県
4th style,Burnin' The Floor,571,MOZZY,長野県,937,PASTEL,長野県,1420,YOSHI,長野県
4th style,Broken My Heart,905,PASTEL,長野県,1413,PASTEL,長野県,1765,EROA$A,長野県
4th style,B4U,1050,CHIERI,長野県,1462,CHIERI,長野県,1938,ERUA$A,長野県
4th style,ABSOLUTE,1309,CHIERI,長野県,1692,YE,長野県,2363,PPJT,長野県
4th style,250bpm,614,ELZAM,長野県,943,0$D,長野県,1337,1782,長野県
5th style,V,1261,PASTEL,長野県,2503,ERUA$A,長野県,2920,PPJT,長野県
5th style,THE SHINING POLARIS,766,VEGA,長野県,1262,CHIERI,長野県,1554,YOSHI,長野県
5th style,THE CUBE,667,ELZAM,長野県,1223,0$D,長野県,1317,YOSHI,長野県
5th style,sync,984,ELZAM,長野県,1790,HAGE,長野県,2323,ERUA$A,長野県
5th style,still my words,836,ELZAM,長野県,1216,CHIERI,長野県,,,
5th style,STILL IN MY HEART,1004,PASTEL,長野県,1233,PASTEL,長野県,1879,EROA$A,長野県
5th style,Spin the disc,719,ELZAM,長野県,1240,CHIERI,長野県,1296,YOSHI,長野県
5th style,RISLIM,914,SMCLUB,長野県,1207,SMCLUB,長野県,,,
5th style,RIDE ON THE LIGHT (HI GREAT MIX) †,,,,,,,1799,PPJT,長野県
5th style,RIDE ON THE LIGHT (HI GREAT MIX),839,ELZAM,長野県,1040,0$D,長野県,1708,PPJT,長野県
5th style,Regulus,985,0$D,長野県,1263,OKAVON,長野県,1646,LATIOS,長野県
5th style,Real,952,ELZAM,長野県,1545,AY#,長野県,1749,EROA$A,長野県
5th style,Radical Faith,1067,ELZAM,長野県,1427,CHIERI,長野県,1235,ARAI,長野県
5th style,QQQ,1174,YURI.K,長野県,1752,0$D,長野県,2112,ERUA$A,長野県
5th style,outer wall,887,PASTEL,長野県,1271,PASTEL,長野県,1713,LATIOS,長野県
5th style,LOVE AGAIN TONIGHT～for Mellisa mix～,720,ELZAM,長野県,964,MOZZY,長野県,1093,YOSHI,長野県
5th style,Kiss me all night long,842,TROMBE,長野県,1095,YZXXZ,長野県,1437,INAMAN,長野県
5th style,in my eyes,931,MOZZY,長野県,1410,PASTEL,長野県,1547,CHIERI,長野県
5th style,Abyss,1214,0$D,長野県,1565,PASTEL,長野県,1835,KSTERA,長野県
6th style,電人イェーガーのテーマ(Theme of DENJIN J),1024,ELZAM,長野県,1532,YOSHI,長野県,,,
6th style,こっちを向いてよ,864,SMCLUB,長野県,1225,PASTEL,長野県,1346,PPJT,長野県
6th style,Take It Easy,1444,0$D,長野県,2283,CHIERI,長野県,2442,YOSHI,長野県
6th style,Summer Vacation(CU mix),1247,CHIERI,長野県,1765,YOSHI,長野県,,,
6th style,SOMETHING WONDERFUL,899,MR.CID,長野県,1307,TOSY,長野県,1984,PPJT,長野県
6th style,route 80s,868,PASTEL,長野県,1150,PASTEL,長野県,1471,YUZU.K,長野県
6th style,rottel-da-sun,783,PASTEL,長野県,1285,PASTEL,長野県,1836,PPJT,長野県
6th style,NEMESIS,942,0$D,長野県,1519,0$D,長野県,1781,MUGI.,長野県
6th style,Linus,896,TROMBE,長野県,1480,PASTEL,長野県,2138,PPJT,長野県
6th style,G2,1389,CHIERI,長野県,1672,PASTEL,長野県,2179,YOSHI,長野県
6th style,Frozen Ray (original mix),1102,YOHANE,長野県,1644,SUGAR,長野県,1762,PPJT,長野県
6th style,Free Style,797,YOHANE,長野県,966,KRO,長野県,1298,PPJT,長野県
6th style,fly through the night,863,PASTEL,長野県,1302,PASTEL,長野県,1642,KSTERA,長野県
6th style,DIVE ～INTO YOUR HEART～,1148,YOHANE,長野県,1779,PASTEL,長野県,2031,1782,長野県
6th style,Colors (radio edit),1382,0$D,長野県,1868,PASTEL,長野県,2333,ERUA$A,長野県
6th style,Buffalo,919,ELZAM,長野県,1402,PASTEL,長野県,1765,ERUA$A,長野県
6th style,Blueberry Stream,574,AKITAK,長野県,1410,KSTERA,長野県,1579,ERUA$A,長野県
