バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,726,-,奈良県,1039,JACQRI,奈良県,1134,*TASUQ,奈良県
1st&substream,RUGGED ASH,365,-,奈良県,401,*YOSHI,奈良県,1066,JACQRI,奈良県
1st&substream,R3,618,-,奈良県,705,HEAVEN,奈良県,893,*TASUQ,奈良県
1st&substream,PARANOIA MAX～DIRTY MIX～,524,-,奈良県,746,KANON*,奈良県,1093,*YOSHI,奈良県
1st&substream,Macho Gang,360,-,奈良県,1033,-,奈良県,1579,JACQRI,奈良県
1st&substream,KEEP ON MOVIN',194,ARACCH,奈良県,239,*YOSHI,奈良県,,,
1st&substream,GRADIUSIC CYBER,771,NUHEHO,奈良県,925,-,奈良県,1182,*TASUQ,奈良県
1st&substream,GENOM SCREAMS,392,-,奈良県,823,*TASUQ,奈良県,1052,SUPOPO,奈良県
1st&substream,GAMBOL,266,SCHR,奈良県,271,HOXAI,奈良県,,,
1st&substream,Dr.LOVE,387,-,奈良県,499,M3,奈良県,575,*YOSHI,奈良県
1st&substream,deep in you,441,STILE,奈良県,483,-,奈良県,654,*YOSHI,奈良県
1st&substream,BRILLIANT 2U,522,-,奈良県,641,YOKA,奈良県,721,*TASUQ,奈良県
1st&substream,5.1.1.,197,YDK,奈良県,1016,*TASUQ,奈良県,1562,JACQRI,奈良県
1st&substream,22DUNK,505,STILE,奈良県,619,ARACCH,奈良県,640,KYOKA,奈良県
2nd style,SP-TRIP MACHINE(for beatmania II),492,-,奈良県,613,YOKA,奈良県,643,KANON*,奈良県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),541,-,奈良県,853,KANON*,奈良県,,,
2nd style,Indigo Vision(full flavour hide around mix),840,STILE,奈良県,1089,ARACCH,奈良県,1194,*TASUQ,奈良県
2nd style,I Was The One,509,STILE,奈良県,592,HIR2,奈良県,686,*YOSHI,奈良県
2nd style,Electro Tuned(the SubS mix),744,-,奈良県,945,*TASUQ,奈良県,1061,*TASUQ,奈良県
