バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,760,TORO,岡山県,973,TORO,岡山県,1135,GREIN,岡山県
1st&substream,RUGGED ASH,362,TORO,岡山県,392,TORO,岡山県,1081,GREIN,岡山県
1st&substream,R3,632,TORO,岡山県,713,HOMMY,岡山県,894,GREIN,岡山県
1st&substream,PARANOIA MAX～DIRTY MIX～,543,TORO,岡山県,718,TORO,岡山県,1092,MOEL53,岡山県
1st&substream,Macho Gang,361,HOMMY,岡山県,1059,GENO,岡山県,1567,GREIN,岡山県
1st&substream,KEEP ON MOVIN',194,M.,岡山県,242,122,岡山県,,,
1st&substream,GRADIUSIC CYBER,845,TORO,岡山県,936,TORO,岡山県,1196,GENO,岡山県
1st&substream,GENOM SCREAMS,410,TORO,岡山県,772,TORO,岡山県,1046,GREIN,岡山県
1st&substream,GAMBOL,263,KZ.,岡山県,274,GENO,岡山県,,,
1st&substream,Dr.LOVE,394,TORO,岡山県,505,TORO,岡山県,574,GENO,岡山県
1st&substream,deep in you,477,TORO,岡山県,485,TORO,岡山県,656,GREIN,岡山県
1st&substream,BRILLIANT 2U,510,TORO,岡山県,620,GEETA,岡山県,716,GENO,岡山県
1st&substream,5.1.1.,190,HOMMY,岡山県,984,TORO,岡山県,1548,MOEL53,岡山県
1st&substream,22DUNK,498,TORO,岡山県,613,OK!,岡山県,651,GENO,岡山県
2nd style,SP-TRIP MACHINE(for beatmania II),495,TORO,岡山県,605,TORO,岡山県,642,122,岡山県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),566,TORO,岡山県,846,GENO,岡山県,,,
2nd style,Indigo Vision(full flavour hide around mix),845,TORO,岡山県,1052,M.,岡山県,1193,MOEL53,岡山県
2nd style,I Was The One,527,TORO,岡山県,618,TORO,岡山県,691,GENO,岡山県
2nd style,Electro Tuned(the SubS mix),747,TORO,岡山県,900,TORO,岡山県,1044,122,岡山県
2nd style,Digital MinD(A/T Libra mix),719,M.,岡山県,982,TORO,岡山県,1126,MOEL53,岡山県
2nd style,Dancin' Into The Night,425,TORO,岡山県,464,122,岡山県,,,
2nd style,.59,685,TORO,岡山県,978,M.,岡山県,1120,GENO,岡山県
3rd style,THE SAFARI,1147,M.,岡山県,1747,GREIN,岡山県,,,
3rd style,Tangerine Stream,266,LILITH,岡山県,395,122,岡山県,,,
3rd style,Skyscraper,708,TORO,岡山県,1149,OK!,岡山県,1238,GREIN,岡山県
3rd style,Schlagwerk,799,M.,岡山県,1237,TORO,岡山県,1663,MOEL53,岡山県
