バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,786,HOSTC*,香港,1037,HOSTC*,香港,1137,HOSTC*,香港
1st&substream,RUGGED ASH,366,HOSTC*,香港,399,HOSTC*,香港,1076,HOSTC*,香港
1st&substream,R3,643,HOSTC*,香港,728,HOSTC*,香港,889,#MOFUN,香港
1st&substream,PARANOIA MAX～DIRTY MIX～,557,HOSTC*,香港,738,HOSTC*,香港,1091,#MOFUN,香港
1st&substream,Macho Gang,376,HOSTC*,香港,1046,HOSTC*,香港,1610,LAI-,香港
1st&substream,KEEP ON MOVIN',187,LYCOS,香港,235,TAK,香港,,,
1st&substream,GRADIUSIC CYBER,865,HOSTC*,香港,989,HOSTC*,香港,1191,HOSTC*,香港
1st&substream,GENOM SCREAMS,419,HOSTC*,香港,818,HOSTC*,香港,1049,LAI-,香港
1st&substream,GAMBOL,269,LYCOS,香港,267,AYA*,香港,,,
1st&substream,Dr.LOVE,401,HOSTC*,香港,508,HOSTC*,香港,563,DOGE,香港
1st&substream,deep in you,494,HOSTC*,香港,505,HOSTC*,香港,640,FOOL!,香港
1st&substream,BRILLIANT 2U,529,HOSTC*,香港,652,HOSTC*,香港,712,2048..,香港
1st&substream,5.1.1.,195,LYCOS,香港,1006,#MOFUN,香港,1555,LAI-,香港
1st&substream,22DUNK,525,HOSTC*,香港,639,HOSTC*,香港,645,HOSTC*,香港
2nd style,SP-TRIP MACHINE(for beatmania II),496,HOSTC*,香港,621,HOSTC*,香港,644,#MOFUN,香港
2nd style,PUT YOUR FAITH IN ME(for beatmania II),569,HOSTC*,香港,853,HOSTC*,香港,,,
2nd style,Indigo Vision(full flavour hide around mix),874,HOSTC*,香港,1109,HOSTC*,香港,1201,LAI-,香港
2nd style,I Was The One,241,LOBOS,香港,641,HOSTC*,香港,683,HOSTC*,香港
2nd style,Electro Tuned(the SubS mix),768,HOSTC*,香港,950,HOSTC*,香港,1040,HOSTC*,香港
2nd style,Digital MinD(A/T Libra mix),734,HOSTC*,香港,1057,HOSTC*,香港,1115,2048..,香港
2nd style,Dancin' Into The Night,427,HOSTC*,香港,467,HOSTC*,香港,,,
2nd style,.59,711,HOSTC*,香港,997,HOSTC*,香港,1145,TMHGKG,香港
3rd style,THE SAFARI,1205,HOSTC*,香港,1726,LAI-,香港,,,
3rd style,Tangerine Stream,272,HOSTC*,香港,389,2048..,香港,,,
3rd style,Skyscraper,741,HOSTC*,香港,1184,HOSTC*,香港,1231,#MOFUN,香港
3rd style,Schlagwerk,806,HOSTC*,香港,1293,HOSTC*,香港,1680,HOSTC*,香港
3rd style,REINCARNATION,817,HOSTC*,香港,1029,HOSTC*,香港,1260,#MOFUN,香港
3rd style,R5,768,HOSTC*,香港,1135,TMHGKG,香港,1741,LAI-,香港
3rd style,Presto,538,HOSTC*,香港,952,HOSTC*,香港,990,2048..,香港
3rd style,LEADING CYBER,839,HOSTC*,香港,1197,#MOFUN,香港,1264,TMHGKG,香港
3rd style,Holic,780,HOSTC*,香港,1182,HOSTC*,香港,1681,LAI-,香港
3rd style,era (nostalmix),854,HOSTC*,香港,1071,HOSTC*,香港,1505,DOGE,香港
3rd style,Don't Stop!,770,HOSTC*,香港,841,HOSTC*,香港,896,TMHGKG,香港
3rd style,CAN'T STOP FALLIN'IN LOVE,514,IIDX23,香港,1236,#MOFUN,香港,,,
4th style,Voltage (feat. Hidemaru),938,HOSTC*,香港,1211,HOSTC*,香港,1299,HOSTC*,香港
4th style,ULTRA HIGH-HEELS,745,HOSTC*,香港,907,HOSTC*,香港,978,TMHGKG,香港
4th style,starmine,901,HOSTC*,香港,1425,HOSTC*,香港,1559,HOSTC*,香港
4th style,Nasty!,585,HOSTC*,香港,934,HOSTC*,香港,1518,HOSTC*,香港
4th style,Mr.T.(take me higher),821,HOSTC*,香港,1004,HOSTC*,香港,1749,DOGE,香港
4th style,minimalian,533,HOSTC*,香港,1081,HOSTC*,香港,1378,#MOFUN,香港
4th style,LOVE WILL・・・,549,HOSTC*,香港,751,#MOFUN,香港,1445,#MOFUN,香港
4th style,KAMIKAZE,1013,HOSTC*,香港,1455,HOSTC*,香港,2235,DOGE,香港
4th style,Jam&Marmalade,761,HOSTC*,香港,889,HOSTC*,香港,990,HOSTC*,香港
4th style,Hitch Hiker2,824,HOSTC*,香港,1174,HOSTC*,香港,1300,#MOFUN,香港
4th style,HIGHER,531,HOSTC*,香港,930,HOSTC*,香港,1260,#MOFUN,香港
4th style,FLOWERS for ALBION,234,HOSTC*,香港,430,LAI-,香港,,,
4th style,era (step mix),1098,HOSTC*,香港,1416,HOSTC*,香港,1660,DOGE,香港
4th style,empathy,818,HOSTC*,香港,1351,LAI-,香港,1437,HOSTC*,香港
4th style,DXY!,1257,HOSTC*,香港,1829,HOSTC*,香港,2207,LAI-,香港
4th style,Clione†,,,,,,,2106,TMHGKG,香港
4th style,Clione,417,HOSTC*,香港,941,HOSTC*,香港,1600,#MOFUN,香港
4th style,CHECKING YOU OUT,630,HOSTC*,香港,879,LAI-,香港,1288,LAI-,香港
4th style,Burnin' The Floor,579,HOSTC*,香港,933,HOSTC*,香港,1423,HOSTC*,香港
4th style,Broken My Heart,919,HOSTC*,香港,1461,HOSTC*,香港,1791,HOSTC*,香港
4th style,B4U,1045,HOSTC*,香港,1554,HOSTC*,香港,1965,LAI-,香港
4th style,ABSOLUTE,1332,HOSTC*,香港,1776,HOSTC*,香港,2330,2048..,香港
4th style,250bpm,674,HOSTC*,香港,974,HOSTC*,香港,1383,2048..,香港
5th style,V,1050,R,香港,2407,FOOL!,香港,2932,LAI-,香港
5th style,THE SHINING POLARIS,956,HOSTC*,香港,1303,LAI-,香港,1566,#MOFUN,香港
5th style,THE CUBE,734,HOSTC*,香港,1262,#MOFUN,香港,1339,TMHGKG,香港
5th style,sync,1077,HOSTC*,香港,1897,HOSTC*,香港,2325,TMHGKG,香港
5th style,still my words,916,HOSTC*,香港,1217,LAI-,香港,,,
5th style,STILL IN MY HEART,1022,HOSTC*,香港,1369,HOSTC*,香港,1876,TMHGKG,香港
5th style,Spin the disc,804,HOSTC*,香港,1262,HOSTC*,香港,1317,LAI-,香港
5th style,RISLIM,920,HOSTC*,香港,1200,LAI-,香港,,,
5th style,RIDE ON THE LIGHT (HI GREAT MIX) †,,,,,,,1749,#MOFUN,香港
5th style,RIDE ON THE LIGHT (HI GREAT MIX),888,HOSTC*,香港,1075,HOSTC*,香港,1687,2048..,香港
5th style,Regulus,1067,HOSTC*,香港,1504,HOSTC*,香港,1663,DOGE,香港
5th style,Real,1136,HOSTC*,香港,1601,AIRBAG,香港,1781,HOSTC*,香港
5th style,Radical Faith,1187,HOSTC*,香港,1501,HOSTC*,香港,1285,HOSTC*,香港
5th style,QQQ,1222,HOSTC*,香港,1860,HOSTC*,香港,2118,HOSTC*,香港
5th style,outer wall,933,HOSTC*,香港,1337,HOSTC*,香港,1749,LAI-,香港
5th style,LOVE AGAIN TONIGHT～for Mellisa mix～,755,HOSTC*,香港,970,HOSTC*,香港,1106,#MOFUN,香港
5th style,Kiss me all night long,920,HOSTC*,香港,1234,#MOFUN,香港,1448,#MOFUN,香港
5th style,in my eyes,948,HOSTC*,香港,1446,HOSTC*,香港,1557,2048..,香港
5th style,Abyss,1264,HOSTC*,香港,1590,HOSTC*,香港,1858,LAI-,香港
6th style,電人イェーガーのテーマ(Theme of DENJIN J),1107,HOSTC*,香港,1551,#MOFUN,香港,,,
6th style,こっちを向いてよ,857,HOSTC*,香港,1288,HOSTC*,香港,1344,2048..,香港
6th style,Take It Easy,1477,HOSTC*,香港,2358,HOSTC*,香港,2500,LAI-,香港
6th style,Summer Vacation(CU mix),1297,HOSTC*,香港,1806,2048..,香港,,,
6th style,SOMETHING WONDERFUL,930,HOSTC*,香港,1360,HOSTC*,香港,1974,#MOFUN,香港
6th style,route 80s,888,HOSTC*,香港,1166,HOSTC*,香港,1481,HOSTC*,香港
6th style,rottel-da-sun,818,HOSTC*,香港,1365,HOSTC*,香港,1837,HOSTC*,香港
6th style,NEMESIS,988,HOSTC*,香港,1610,HOSTC*,香港,1851,2048..,香港
