バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,776,EZR,埼玉県,1018,ARAI3*,埼玉県,1152,SERENA,埼玉県
1st&substream,RUGGED ASH,366,EZR,埼玉県,402,12345$,埼玉県,1090,87CHAN,埼玉県
1st&substream,R3,654,Y&CCO.,埼玉県,736,AR8.YU,埼玉県,904,SERENA,埼玉県
1st&substream,PARANOIA MAX～DIRTY MIX～,553,EZR,埼玉県,752,AR8.YU,埼玉県,1113,SERENA,埼玉県
1st&substream,Macho Gang,372,EZR,埼玉県,1076,AR8.YU,埼玉県,1620,CHERY?,埼玉県
1st&substream,KEEP ON MOVIN',195,NOB-M,埼玉県,244,#14,埼玉県,0,,未設定
1st&substream,GRADIUSIC CYBER,824,M.T,埼玉県,994,AR8.YU,埼玉県,1208,SERENA,埼玉県
1st&substream,GENOM SCREAMS,413,EZR,埼玉県,830,SERENA,埼玉県,1071,SERENA,埼玉県
1st&substream,GAMBOL,274,SERENA,埼玉県,274,AR8.YU,埼玉県,0,,未設定
1st&substream,Dr.LOVE,405,VAPE,埼玉県,511,12345$,埼玉県,577,AR8.YU,埼玉県
1st&substream,deep in you,489,YUU*73,埼玉県,508,AR8.YU,埼玉県,662,SERENA,埼玉県
1st&substream,BRILLIANT 2U,528,EZR,埼玉県,633,BENXI.,埼玉県,724,IIDX24,埼玉県
1st&substream,5.1.1.,198,#14,埼玉県,1019,AR8.YU,埼玉県,1566,SERENA,埼玉県
1st&substream,22DUNK,521,12345$,埼玉県,645,AR8.YU,埼玉県,656,SERENA,埼玉県
2nd style,SP-TRIP MACHINE(for beatmania II),508,AR8.YU,埼玉県,626,AR8.YU,埼玉県,648,AR8.YU,埼玉県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),561,EZR,埼玉県,861,AR8.YU,埼玉県,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),864,12345$,埼玉県,1113,AR8.YU,埼玉県,1220,.LA,埼玉県
2nd style,I Was The One,538,EZR,埼玉県,650,AR8.YU,埼玉県,695,SERENA,埼玉県
2nd style,Electro Tuned(the SubS mix),751,12345$,埼玉県,961,AR8.YU,埼玉県,1069,AR8.YU,埼玉県
2nd style,Digital MinD(A/T Libra mix),722,EZ2AC,埼玉県,1062,AR8.YU,埼玉県,1133,SERENA,埼玉県
2nd style,Dancin' Into The Night,431,SAVITA,埼玉県,469,SERENA,埼玉県,0,,未設定
2nd style,.59,698,EZR,埼玉県,1014,AR8.YU,埼玉県,1153,SERENA,埼玉県
3rd style,THE SAFARI,1163,-KMBK-,埼玉県,1781,CHERY?,埼玉県,0,,未設定
3rd style,Tangerine Stream,282,EZ2AC,埼玉県,396,AR8.YU,埼玉県,0,,未設定
3rd style,Skyscraper,728,12345$,埼玉県,1211,AR8.YU,埼玉県,1248,SERENA,埼玉県
3rd style,Schlagwerk,811,ELF,埼玉県,1316,AR8.YU,埼玉県,1681,SERENA,埼玉県
3rd style,REINCARNATION,831,EZR,埼玉県,1046,AR8.YU,埼玉県,1274,SERENA,埼玉県
3rd style,R5,768,12345$,埼玉県,1174,AR8.YU,埼玉県,1765,87CHAN,埼玉県
3rd style,Presto,539,EZR,埼玉県,990,SERENA,埼玉県,1013,SERENA,埼玉県
3rd style,LEADING CYBER,844,ARAI3*,埼玉県,1157,IKARGA,埼玉県,1277,SERENA,埼玉県
3rd style,Holic,763,EZR,埼玉県,1237,AR8.YU,埼玉県,1724,SERENA,埼玉県
3rd style,era (nostalmix),846,ELF,埼玉県,1066,HITSU,埼玉県,1519,87CHAN,埼玉県
3rd style,Don't Stop!,767,12345$,埼玉県,836,12345$,埼玉県,903,SERENA,埼玉県
