バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,778,IIDX24,東京都,1030,1KCAL,東京都,1157,1048,東京都
1st&substream,RUGGED ASH,370,*BRZD*,東京都,397,DICE,東京都,1092,TANMEN,東京都
1st&substream,R3,658,DES9RO,東京都,734,1048,東京都,903,1048,東京都
1st&substream,PARANOIA MAX～DIRTY MIX～,550,*M.AO*,東京都,736,DICE,東京都,1110,TAKMI,東京都
1st&substream,Macho Gang,378,*BRZD*,東京都,1075,CAREY*,東京都,1646,M!TSBA,東京都
1st&substream,KEEP ON MOVIN',196,*BRZD*,東京都,244,*BRZD*,東京都,0,,未設定
1st&substream,GRADIUSIC CYBER,875,DICE,東京都,986,CAREY*,東京都,1202,TANMEN,東京都
1st&substream,GENOM SCREAMS,417,IIDX24,東京都,802,IIDX24,東京都,1066,TANMEN,東京都
1st&substream,GAMBOL,274,*BRZD*,東京都,274,*BRZD*,東京都,0,,未設定
1st&substream,Dr.LOVE,407,WLEN7,東京都,516,DICE,東京都,578,BABA.G,東京都
1st&substream,deep in you,477,WLEN7,東京都,489,DICE,東京都,663,BRIDGE,東京都
1st&substream,BRILLIANT 2U,532,DELAY,東京都,653,DES9RO,東京都,721,V-JET.,東京都
1st&substream,5.1.1.,198,*BRZD*,東京都,1012,IIDX24,東京都,1570,54GAYA,東京都
1st&substream,22DUNK,509,DICE,東京都,642,1048,東京都,653,*BRZD*,東京都
2nd style,SP-TRIP MACHINE(for beatmania II),500,*BRZD*,東京都,623,DES9RO,東京都,647,WEDGE,東京都
2nd style,PUT YOUR FAITH IN ME(for beatmania II),577,DES9RO,東京都,860,1048,東京都,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),874,GP03-D,東京都,1099,ATIA,東京都,1217,TANMEN,東京都
2nd style,I Was The One,543,*BRZD*,東京都,648,DICE,東京都,691,*BRZD*,東京都
2nd style,Electro Tuned(the SubS mix),768,DES9RO,東京都,945,CAREY*,東京都,1063,PRD***,東京都
2nd style,Digital MinD(A/T Libra mix),738,IIDX24,東京都,1049,CAREY*,東京都,1130,BABA.G,東京都
2nd style,Dancin' Into The Night,431,*BRZD*,東京都,467,*BRZD*,東京都,0,,未設定
2nd style,.59,710,DES9RO,東京都,1004,DICE,東京都,1157,PRD***,東京都
3rd style,THE SAFARI,1217,DICE,東京都,1773,ALIKIA,東京都,0,,未設定
3rd style,Tangerine Stream,282,*BRZD*,東京都,396,*BRZD*,東京都,0,,未設定
3rd style,Skyscraper,742,DES9RO,東京都,1180,DICE,東京都,1255,1048,東京都
3rd style,Schlagwerk,822,DES9RO,東京都,1297,Y13,東京都,1681,NAGISA,東京都
3rd style,REINCARNATION,844,DES9RO,東京都,1034,CAREY*,東京都,1274,1048,東京都
3rd style,R5,770,IIDX24,東京都,1155,DICE,東京都,1770,GOGI!!,東京都
3rd style,Presto,536,GP03-D,東京都,969,IIDX24,東京都,1009,TANMEN,東京都
3rd style,LEADING CYBER,844,DES9RO,東京都,1203,DICE,東京都,1276,PRD***,東京都
3rd style,Holic,756,SORA,東京都,1209,DICE,東京都,1720,BABA.G,東京都
3rd style,era (nostalmix),855,*BRZD*,東京都,1078,Y13,東京都,1549,ALIKIA,東京都
3rd style,Don't Stop!,770,DES9RO,東京都,854,DES9RO,東京都,905,BABA.G,東京都
3rd style,CAN'T STOP FALLIN'IN LOVE,618,DES9RO,東京都,1255,1048,東京都,0,,未設定
4th style,Voltage (feat. Hidemaru),926,GP03-D,東京都,1201,DICE,東京都,1324,OTINPO,東京都
4th style,ULTRA HIGH-HEELS,753,DES9RO,東京都,895,IIDX24,東京都,992,BABA.G,東京都
4th style,SWEET LAB,555,Z,東京都,966,KV.S,東京都,1359,1048,東京都
4th style,starmine,903,ATIA,東京都,1415,ATIA,東京都,1597,ALIKIA,東京都
4th style,Nasty!,559,ASA!0,東京都,939,DICE,東京都,1558,55TEA*,東京都
4th style,Mr.T.(take me higher),847,IIDX24,東京都,1007,DICE,東京都,1760,TANMEN,東京都
4th style,minimalian,538,DES9RO,東京都,1088,DICE,東京都,1403,55TEA*,東京都
4th style,LOVE WILL・・・,556,DES9RO,東京都,755,DES9RO,東京都,1462,MASAKI,東京都
4th style,KAMIKAZE,1015,DICE,東京都,1467,Y13,東京都,2300,NAGISA,東京都
4th style,Jam&Marmalade,759,DICE,東京都,898,ATIA,東京都,1010,BRIDGE,東京都
4th style,Hitch Hiker2,826,DICE,東京都,1180,DICE,東京都,1318,LST,東京都
4th style,HIGHER,526,DATTO,東京都,924,DES9RO,東京都,1276,OGURA4,東京都
4th style,FLOWERS for ALBION,237,TOBI*R,東京都,441,PRD***,東京都,0,,未設定
4th style,era (step mix),1077,*BRZD*,東京都,1404,DICE,東京都,1699,RAQUEL,東京都
4th style,empathy,806,868PI!,東京都,1371,SHINPO,東京都,1460,EXIT,東京都
4th style,DXY!,1273,DICE,東京都,1825,HARM0N,東京都,2258,TANMEN,東京都
4th style,Clione†,0,,未設定,0,,未設定,2154,TANMEN,東京都
4th style,Clione,527,GP03-D,東京都,945,ATIA,東京都,1608,OGURA4,東京都
4th style,CHECKING YOU OUT,661,GP03-D,東京都,901,GP03-D,東京都,1322,MI7RAI,東京都
4th style,Burnin' The Floor,584,DES9RO,東京都,952,DICE,東京都,1439,TAKMI,東京都
4th style,Broken My Heart,936,IIDX24,東京都,1463,PF,東京都,1807,TANMEN,東京都
4th style,B4U,1062,ATIA,東京都,1521,DICE,東京都,2005,1048,東京都
4th style,ABSOLUTE,1320,246911,東京都,1809,1048,東京都,2406,ALIKIA,東京都
4th style,250bpm,662,NOWANO,東京都,1006,DICE,東京都,1428,TANMEN,東京都
5th style,V,1277,Y13,東京都,2507,EXY,東京都,3009,1048,東京都
5th style,THE SHINING POLARIS,946,IIDX24,東京都,1302,DICE,東京都,1587,1048,東京都
5th style,THE CUBE,735,DES9RO,東京都,1260,CAREY*,東京都,1355,54GAYA,東京都
5th style,sync,1083,DICE,東京都,1926,6,東京都,2381,M!TSBA,東京都
5th style,still my words,920,DES9RO,東京都,1228,TANMEN,東京都,0,,未設定
5th style,STILL IN MY HEART,1031,ATIA,東京都,1373,34,東京都,1924,1048,東京都
