バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,792,ZARBON,神奈川県,1050,AGUILA,神奈川県,1153,SUGURU,神奈川県
1st&substream,RUGGED ASH,370,NEIGE,神奈川県,402,AGUILA,神奈川県,1096,GRIM-R,神奈川県
1st&substream,R3,660,NEIGE,神奈川県,736,AGUILA,神奈川県,903,DINASO,神奈川県
1st&substream,PARANOIA MAX～DIRTY MIX～,560,NEIGE,神奈川県,749,STEEL*,神奈川県,1114,DINASO,神奈川県
1st&substream,Macho Gang,382,NEIGE,神奈川県,1067,STEEL*,神奈川県,1655,GRIM-R,神奈川県
1st&substream,KEEP ON MOVIN',196,*9N2*,神奈川県,244,*9N2*,神奈川県,0,,未設定
1st&substream,GRADIUSIC CYBER,877,ZARBON,神奈川県,998,GOEMON,神奈川県,1200,ARUSU,神奈川県
1st&substream,GENOM SCREAMS,422,NEIGE,神奈川県,817,STEEL*,神奈川県,1066,DINASO,神奈川県
1st&substream,GAMBOL,274,NEIGE,神奈川県,274,NEIGE,神奈川県,0,,未設定
1st&substream,Dr.LOVE,408,NEIGE,神奈川県,522,AGUILA,神奈川県,576,*9N2*,神奈川県
1st&substream,deep in you,498,ZARBON,神奈川県,506,AGUILA,神奈川県,659,IGAWA,神奈川県
1st&substream,BRILLIANT 2U,538,ZARBON,神奈川県,656,GOEMON,神奈川県,720,333,神奈川県
1st&substream,5.1.1.,198,NEIGE,神奈川県,1020,GOEMON,神奈川県,1559,H.OBKT,神奈川県
1st&substream,22DUNK,527,ZARBON,神奈川県,643,AGUILA,神奈川県,652,*9N2*,神奈川県
2nd style,SP-TRIP MACHINE(for beatmania II),508,NEIGE,神奈川県,624,*9N2*,神奈川県,647,IGAWA,神奈川県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),582,NEIGE,神奈川県,859,STEEL*,神奈川県,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),879,NEIGE,神奈川県,1126,AGUILA,神奈川県,1216,DINASO,神奈川県
2nd style,I Was The One,539,KUN,神奈川県,647,GOEMON,神奈川県,693,NEIGE,神奈川県
2nd style,Electro Tuned(the SubS mix),771,STEEL*,神奈川県,955,STEEL*,神奈川県,1063,IGAWA,神奈川県
2nd style,Digital MinD(A/T Libra mix),744,NEIGE,神奈川県,1072,GRIM-R,神奈川県,1133,GRIM-R,神奈川県
2nd style,Dancin' Into The Night,432,NEIGE,神奈川県,468,DINASO,神奈川県,0,,未設定
2nd style,.59,716,*9N2*,神奈川県,1012,*9N2*,神奈川県,1138,IGAWA,神奈川県
3rd style,THE SAFARI,1223,STEEL*,神奈川県,1768,DINASO,神奈川県,0,,未設定
3rd style,Tangerine Stream,282,NEIGE,神奈川県,396,*HAMU*,神奈川県,0,,未設定
3rd style,Skyscraper,740,N.STAR,神奈川県,1211,AGUILA,神奈川県,1254,GRIM-R,神奈川県
3rd style,Schlagwerk,823,IGAWA,神奈川県,1316,AGUILA,神奈川県,1677,IIDX24,神奈川県
3rd style,REINCARNATION,844,ZARBON,神奈川県,1038,STEEL*,神奈川県,1264,IGAWA,神奈川県
3rd style,R5,774,NEIGE,神奈川県,1165,333,神奈川県,1770,DINASO,神奈川県
3rd style,Presto,546,NEIGE,神奈川県,984,AGUILA,神奈川県,1013,GRIM-R,神奈川県
3rd style,LEADING CYBER,859,ZARBON,神奈川県,1219,GRIM-R,神奈川県,1275,DINASO,神奈川県
3rd style,Holic,780,STEEL*,神奈川県,1233,STEEL*,神奈川県,1727,GRIM-R,神奈川県
3rd style,era (nostalmix),853,GOEMON,神奈川県,1085,GRIM-R,神奈川県,1540,MOBU,神奈川県
3rd style,Don't Stop!,778,ZARBON,神奈川県,853,N.STAR,神奈川県,903,STEEL*,神奈川県
3rd style,CAN'T STOP FALLIN'IN LOVE,620,NEIGE,神奈川県,1257,IIDX24,神奈川県,0,,未設定
4th style,Voltage (feat. Hidemaru),859,BLKCAT,神奈川県,1233,GRIM-R,神奈川県,1311,GRIM-R,神奈川県
4th style,ULTRA HIGH-HEELS,758,ZARBON,神奈川県,917,ZARBON,神奈川県,992,GRIM-R,神奈川県
4th style,SWEET LAB,553,SIN,神奈川県,966,STEEL*,神奈川県,1362,MOBU,神奈川県
4th style,starmine,904,*9N2*,神奈川県,1410,KEN,神奈川県,1581,5MA-G-,神奈川県
4th style,Nasty!,590,NEIGE,神奈川県,967,GRIM-R,神奈川県,1564,GRIM-R,神奈川県
4th style,Mr.T.(take me higher),854,NEIGE,神奈川県,1015,AGUILA,神奈川県,1769,MOBU,神奈川県
4th style,minimalian,542,NEIGE,神奈川県,1102,AGUILA,神奈川県,1401,GRIM-R,神奈川県
4th style,LOVE WILL・・・,558,NEIGE,神奈川県,756,AGUILA,神奈川県,1463,IIDX24,神奈川県
4th style,KAMIKAZE,1022,*9N2*,神奈川県,1473,FE-0,神奈川県,2291,IGAWA,神奈川県
4th style,Jam&Marmalade,769,STEEL*,神奈川県,906,AGUILA,神奈川県,1010,MOBU,神奈川県
4th style,Hitch Hiker2,835,*9N2*,神奈川県,1209,AGUILA,神奈川県,1315,9ELL,神奈川県
4th style,HIGHER,540,NEIGE,神奈川県,936,AGUILA,神奈川県,1275,IGAWA,神奈川県
4th style,FLOWERS for ALBION,239,LARK!M,神奈川県,435,ARUSU,神奈川県,0,,未設定
4th style,era (step mix),1005,SIEGE.,神奈川県,1344,SAIKYO,神奈川県,1725,MOBU,神奈川県
4th style,empathy,832,NEIGE,神奈川県,1374,GOEMON,神奈川県,1474,MOBU,神奈川県
4th style,DXY!,1199,KAM,神奈川県,1919,GRIM-R,神奈川県,2247,GRIM-R,神奈川県
4th style,Clione†,0,,未設定,0,,未設定,2141,IGAWA,神奈川県
4th style,Clione,528,*9N2*,神奈川県,946,GOEMON,神奈川県,1601,ASLY,神奈川県
4th style,CHECKING YOU OUT,595,KST-M?,神奈川県,894,DINASO,神奈川県,1314,GRIM-R,神奈川県
