バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,686,ABCDEF,富山県,990,O-157,富山県,1151,RIOO,富山県
1st&substream,RUGGED ASH,370,CRZ-E.,富山県,396,OYATSU,富山県,1095,RIOO,富山県
1st&substream,R3,651,CRZ-E.,富山県,720,CRZ-E.,富山県,905,RIOO,富山県
1st&substream,PARANOIA MAX～DIRTY MIX～,509,DIOXIN,富山県,722,OYATSU,富山県,1122,RIOO,富山県
1st&substream,Macho Gang,373,CRZ-E.,富山県,1048,CRZ-K.,富山県,1599,RIOO,富山県
1st&substream,KEEP ON MOVIN',196,CRZ-E.,富山県,244,CRZ-E.,富山県,0,,未設定
1st&substream,GRADIUSIC CYBER,705,TATSU,富山県,947,OYATSU,富山県,1175,CRZ-K.,富山県
1st&substream,GENOM SCREAMS,383,OYATSU,富山県,759,OYATSU,富山県,1048,MA2NO3,富山県
1st&substream,GAMBOL,274,CRZ-E.,富山県,274,RIOO,富山県,0,,未設定
1st&substream,Dr.LOVE,404,Y*,富山県,512,CRZ-E.,富山県,578,RIOO,富山県
1st&substream,deep in you,460,OYATSU,富山県,465,OYATSU,富山県,659,RIOO,富山県
1st&substream,BRILLIANT 2U,539,CRZ-E.,富山県,654,CRZ-E.,富山県,723,RIOO,富山県
1st&substream,5.1.1.,198,CRZ-E.,富山県,991,OYATSU,富山県,1560,RIOO,富山県
1st&substream,22DUNK,492,OYATSU,富山県,587,OYATSU,富山県,654,RIOO,富山県
2nd style,SP-TRIP MACHINE(for beatmania II),478,YAMA,富山県,593,STRNGR,富山県,648,RIOO,富山県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),570,CRZ-E.,富山県,850,CRZ-E.,富山県,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),843,Y*,富山県,1030,OYATSU,富山県,1212,RIOO,富山県
2nd style,I Was The One,537,CRZ-E.,富山県,639,Y*,富山県,692,RIOO,富山県
2nd style,Electro Tuned(the SubS mix),655,NOEL,富山県,888,OYATSU,富山県,1050,CRZ-E.,富山県
2nd style,Digital MinD(A/T Libra mix),634,TATSU,富山県,932,HANA-G,富山県,1078,CRZ-K.,富山県
2nd style,Dancin' Into The Night,431,CRZ-E.,富山県,465,CRZ-E.,富山県,0,,未設定
2nd style,.59,652,DIOXIN,富山県,947,OYATSU,富山県,1154,RIOO,富山県
3rd style,THE SAFARI,1206,CRZ-K.,富山県,1784,RIOO,富山県,0,,未設定
3rd style,Tangerine Stream,282,CRZ-E.,富山県,392,CRZ-E.,富山県,0,,未設定
3rd style,Skyscraper,700,NEMUI,富山県,1125,N!-9,富山県,1210,CRZ-E.,富山県
3rd style,Schlagwerk,815,CRZ-E.,富山県,1235,O-157,富山県,1679,RIOO,富山県
3rd style,REINCARNATION,793,CRZ-0.,富山県,1000,Y*,富山県,1249,CRZ-K.,富山県
3rd style,R5,770,CRZ-E.,富山県,1160,CRZ-K.,富山県,1775,RIOO,富山県
3rd style,Presto,503,N!-9,富山県,941,CRZ-E.,富山県,1006,RIOO,富山県
3rd style,LEADING CYBER,791,493KSK,富山県,1120,OYATSU,富山県,1241,CRZ-K.,富山県
3rd style,Holic,686,SAME,富山県,1135,N!-9,富山県,1724,RIOO,富山県
3rd style,era (nostalmix),841,CRZ-E.,富山県,1094,RIOO,富山県,1535,RIOO,富山県
3rd style,Don't Stop!,776,CRZ-K.,富山県,846,CRZ-E.,富山県,904,RIOO,富山県
3rd style,CAN'T STOP FALLIN'IN LOVE,615,CRZ-E.,富山県,1213,CRZ-K.,富山県,0,,未設定
4th style,Voltage (feat. Hidemaru),802,HANA-G,富山県,1127,OYATSU,富山県,1303,RIOO,富山県
4th style,ULTRA HIGH-HEELS,655,YAMA,富山県,868,N!-9,富山県,974,Y*,富山県
4th style,SWEET LAB,549,CRZ-K.,富山県,928,VIB&GO,富山県,1361,RIOO,富山県
4th style,starmine,846,SAME,富山県,1409,CRZ-E.,富山県,1588,RIOO,富山県
4th style,Nasty!,541,AN-BM-,富山県,932,CRZ-E.,富山県,1511,CRZ-K.,富山県
4th style,Mr.T.(take me higher),844,CRZ-E.,富山県,991,Y*,富山県,1759,RIOO,富山県
