バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,677,WAQWAQ,静岡県,1019,MOMO96,静岡県,1161,K-CHA*,静岡県
1st&substream,RUGGED ASH,363,ARRAGI,静岡県,400,MOMO96,静岡県,1081,YACHI7,静岡県
1st&substream,R3,643,EDEN.,静岡県,722,MOMO96,静岡県,905,K-CHA*,静岡県
1st&substream,PARANOIA MAX～DIRTY MIX～,522,H.K.S,静岡県,744,MOMO96,静岡県,1101,MOMO96,静岡県
1st&substream,Macho Gang,366,HOSOUS,静岡県,1029,MOMO96,静岡県,1610,JOHN.S,静岡県
1st&substream,KEEP ON MOVIN',196,K-CHA*,静岡県,242,YACHI7,静岡県,0,,未設定
1st&substream,GRADIUSIC CYBER,842,KOMMY,静岡県,980,IIDX99,静岡県,1181,MOMO96,静岡県
1st&substream,GENOM SCREAMS,404,HOSOUS,静岡県,819,SHUN..,静岡県,1062,JOHN.S,静岡県
1st&substream,GAMBOL,274,K-CHA*,静岡県,274,K-CHA*,静岡県,0,,未設定
1st&substream,Dr.LOVE,399,MARU,静岡県,512,MOMO96,静岡県,575,MOMO96,静岡県
1st&substream,deep in you,469,COCO,静岡県,499,MOMO96,静岡県,662,K-CHA*,静岡県
1st&substream,BRILLIANT 2U,521,ICE-T,静岡県,649,MOMO96,静岡県,720,CLARET,静岡県
1st&substream,5.1.1.,198,-YMTM-,静岡県,1013,SHUN..,静岡県,1547,YACHI7,静岡県
1st&substream,22DUNK,492,HOSOUS,静岡県,630,MOMO96,静岡県,647,MOMO96,静岡県
2nd style,SP-TRIP MACHINE(for beatmania II),480,COCO,静岡県,618,MOMO96,静岡県,643,MOMO96,静岡県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),548,*LIM*,静岡県,851,MOMO96,静岡県,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),812,C-NEKO,静岡県,1105,MOMO96,静岡県,1225,K-CHA*,静岡県
2nd style,I Was The One,522,RADIO,静岡県,646,MOMO96,静岡県,690,MOMO96,静岡県
2nd style,Electro Tuned(the SubS mix),728,MASHU9,静岡県,928,MOMO96,静岡県,1062,MOMO96,静岡県
2nd style,Digital MinD(A/T Libra mix),690,C-NEKO,静岡県,1034,MOMO96,静岡県,1117,MOMO96,静岡県
2nd style,Dancin' Into The Night,415,MARU,静岡県,467,MOMO96,静岡県,0,,未設定
2nd style,.59,686,C-NEKO,静岡県,948,LAPIS,静岡県,1144,MOMO96,静岡県
3rd style,THE SAFARI,1160,C-NEKO,静岡県,1774,K-CHA*,静岡県,0,,未設定
3rd style,Tangerine Stream,282,K-CHA*,静岡県,395,YACHI7,静岡県,0,,未設定
3rd style,Skyscraper,690,C-NEKO,静岡県,1182,MOMO96,静岡県,1249,K-CHA*,静岡県
3rd style,Schlagwerk,734,NOBU24,静岡県,1273,MOMO96,静岡県,1690,K-CHA*,静岡県
3rd style,REINCARNATION,800,HOSOUS,静岡県,1027,SHUN..,静岡県,1273,K-CHA*,静岡県
3rd style,R5,725,I19-K,静岡県,1154,MOMO96,静岡県,1764,K-CHA*,静岡県
3rd style,Presto,517,HARIBO,静岡県,972,SHUN..,静岡県,1007,K-CHA*,静岡県
3rd style,LEADING CYBER,791,LIACRO,静岡県,1176,MOMO96,静岡県,1280,K-CHA*,静岡県
3rd style,Holic,750,C-NEKO,静岡県,1225,*ALEX*,静岡県,1717,K-CHA*,静岡県
3rd style,era (nostalmix),806,SA2RIM,静岡県,1042,ARRAGI,静岡県,1493,YACHI7,静岡県
3rd style,Don't Stop!,739,HOSOUS,静岡県,843,MOMO96,静岡県,898,MOMO96,静岡県
3rd style,CAN'T STOP FALLIN'IN LOVE,598,NZAP89,静岡県,1238,MOMO96,静岡県,0,,未設定
4th style,Voltage (feat. Hidemaru),857,TAS,静岡県,1187,SHUN..,静岡県,1329,K-CHA*,静岡県
4th style,ULTRA HIGH-HEELS,711,C-NEKO,静岡県,855,LAPIS,静岡県,986,MOMO96,静岡県
4th style,SWEET LAB,543,TO4-KI,静岡県,958,*ALEX*,静岡県,1367,K-CHA*,静岡県
4th style,starmine,877,SA2RIM,静岡県,1386,MOMO96,静岡県,1569,YACHI7,静岡県
4th style,Nasty!,554,HOSOUS,静岡県,822,KATE,静岡県,1531,YACHI7,静岡県
4th style,Mr.T.(take me higher),799,KOO,静岡県,976,C-NEKO,静岡県,1739,T*ABE!,静岡県
4th style,minimalian,505,HOSOUS,静岡県,1089,MOMO96,静岡県,1389,MOMO96,静岡県
4th style,LOVE WILL・・・,520,YUKINE,静岡県,750,MOMO96,静岡県,1453,MOMO96,静岡県
4th style,KAMIKAZE,998,SA2RIM,静岡県,1424,C-NEKO,静岡県,2304,K-CHA*,静岡県
4th style,Jam&Marmalade,704,COGNAC,静岡県,882,MOMO96,静岡県,1002,MOMO96,静岡県
4th style,Hitch Hiker2,771,HOSOUS,静岡県,1099,TAS,静岡県,1299,MOMO96,静岡県
4th style,HIGHER,520,*LIM*,静岡県,852,H.K.S,静岡県,1274,*ALEX*,静岡県
4th style,FLOWERS for ALBION,242,HOSOUS,静岡県,431,MOMO96,静岡県,0,,未設定
4th style,era (step mix),1006,LIACRO,静岡県,1339,C-NEKO,静岡県,1676,JOHN.S,静岡県
4th style,empathy,800,SA2RIM,静岡県,1336,MOMO96,静岡県,1428,MOMO96,静岡県
4th style,DXY!,1237,IIDX99,静岡県,1812,-YMTM-,静岡県,2264,K-CHA*,静岡県
4th style,Clione†,0,,未設定,0,,未設定,2097,YACHI7,静岡県
4th style,Clione,514,HOSOUS,静岡県,905,LAPIS,静岡県,1619,K-CHA*,静岡県
4th style,CHECKING YOU OUT,594,C-NEKO,静岡県,861,YOSK!,静岡県,1321,K-CHA*,静岡県
4th style,Burnin' The Floor,568,HOSOUS,静岡県,901,MASHU9,静岡県,1423,MOMO96,静岡県
4th style,Broken My Heart,914,SA2RIM,静岡県,1472,MOMO96,静岡県,1782,MOMO96,静岡県
