バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,756,INORI.,愛知県,1045,MONO,愛知県,1151,KUREI,愛知県
1st&substream,RUGGED ASH,366,ABA-0-,愛知県,402,MONO,愛知県,1095,IIDX24,愛知県
1st&substream,R3,649,8KAI3!,愛知県,735,MONO,愛知県,900,RIS.KB,愛知県
1st&substream,PARANOIA MAX～DIRTY MIX～,541,T,愛知県,746,MONO,愛知県,1102,KUREI,愛知県
1st&substream,Macho Gang,372,GALVIC,愛知県,1068,MONO,愛知県,1634,RKS-32,愛知県
1st&substream,KEEP ON MOVIN',196,L200MP,愛知県,244,RIS.BN,愛知県,0,,未設定
1st&substream,GRADIUSIC CYBER,866,INORI.,愛知県,987,MONO,愛知県,1194,KUREI,愛知県
1st&substream,GENOM SCREAMS,401,CECIL,愛知県,813,MONO,愛知県,1065,KUREI,愛知県
1st&substream,GAMBOL,272,PSYCHO,愛知県,274,RIS.BN,愛知県,0,,未設定
1st&substream,Dr.LOVE,406,15JAM,愛知県,520,MONO,愛知県,577,RIS.BN,愛知県
1st&substream,deep in you,491,ALICE.,愛知県,504,MONO,愛知県,660,KUREI,愛知県
1st&substream,BRILLIANT 2U,530,OMEGA,愛知県,653,MONO,愛知県,722,KUREI,愛知県
1st&substream,5.1.1.,198,LOVE*M,愛知県,1020,MONO,愛知県,1562,KUREI,愛知県
1st&substream,22DUNK,503,GO.I,愛知県,640,MONO,愛知県,649,KUREI,愛知県
2nd style,SP-TRIP MACHINE(for beatmania II),497,KIMUGX,愛知県,622,MONO,愛知県,647,ZU,愛知県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),563,LUUC1A,愛知県,861,MONO,愛知県,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),864,CID*,愛知県,1118,MONO,愛知県,1216,KUREI,愛知県
2nd style,I Was The One,533,NEKOSE,愛知県,649,MONO,愛知県,692,RIS.BN,愛知県
2nd style,Electro Tuned(the SubS mix),756,INORI.,愛知県,954,MONO,愛知県,1062,RIS.BN,愛知県
2nd style,Digital MinD(A/T Libra mix),728,ALICE.,愛知県,1063,MONO,愛知県,1122,IIDX24,愛知県
2nd style,Dancin' Into The Night,425,LOVE*M,愛知県,469,MONO,愛知県,0,,未設定
2nd style,.59,698,INORI.,愛知県,1013,MONO,愛知県,1152,IIDX24,愛知県
3rd style,THE SAFARI,1181,T,愛知県,1760,KUREI,愛知県,0,,未設定
3rd style,Tangerine Stream,282,CID*,愛知県,396,RIS.BN,愛知県,0,,未設定
3rd style,Skyscraper,707,K75,愛知県,1202,MONO,愛知県,1254,RIS.BN,愛知県
3rd style,Schlagwerk,769,K75,愛知県,1303,MONO,愛知県,1677,KUREI,愛知県
3rd style,REINCARNATION,800,PHXAA7,愛知県,1036,MONO,愛知県,1272,FIELDS,愛知県
3rd style,R5,732,NIJITT,愛知県,1167,HINA.A,愛知県,1764,NA,愛知県
3rd style,Presto,527,ALICE.,愛知県,984,RIS.BN,愛知県,1009,KUREI,愛知県
3rd style,LEADING CYBER,810,M.KING,愛知県,1205,MONO,愛知県,1275,KUREI,愛知県
3rd style,Holic,747,M.KING,愛知県,1224,IIDX24,愛知県,1711,RIS.KB,愛知県
3rd style,era (nostalmix),825,TMR089,愛知県,1058,MONO,愛知県,1510,KUREI,愛知県
3rd style,Don't Stop!,745,SNAKE,愛知県,852,MONO,愛知県,902,KUREI,愛知県
3rd style,CAN'T STOP FALLIN'IN LOVE,611,OMEGA,愛知県,1252,KUREI,愛知県,0,,未設定
4th style,Voltage (feat. Hidemaru),863,M.KING,愛知県,1207,-*-,愛知県,1314,RKS-32,愛知県
4th style,ULTRA HIGH-HEELS,711,K75,愛知県,913,MONO,愛知県,990,FIELDS,愛知県
4th style,SWEET LAB,545,8KAI3!,愛知県,968,MONO,愛知県,1354,RKS-32,愛知県
4th style,starmine,889,ATMBOY,愛知県,1419,MONO,愛知県,1588,RIS.KB,愛知県
4th style,Nasty!,573,TMR089,愛知県,958,MONO,愛知県,1552,IIDX24,愛知県
4th style,Mr.T.(take me higher),832,TMR089,愛知県,1014,MONO,愛知県,1759,RIS.KB,愛知県
4th style,minimalian,527,ALICE.,愛知県,1088,MONO,愛知県,1404,NA,愛知県
4th style,LOVE WILL・・・,524,CHINO,愛知県,756,MONO,愛知県,1457,KUREI,愛知県
4th style,KAMIKAZE,1004,CID*,愛知県,1477,RIS.BN,愛知県,2295,RKS-32,愛知県
4th style,Jam&Marmalade,750,SUBARU,愛知県,903,MONO,愛知県,1010,RKS-32,愛知県
4th style,Hitch Hiker2,777,K75,愛知県,1195,MONO,愛知県,1311,RIS.BN,愛知県
4th style,HIGHER,527,TMR089,愛知県,934,MONO,愛知県,1276,KUREI,愛知県
4th style,FLOWERS for ALBION,237,LOVE*M,愛知県,436,RIS.BN,愛知県,0,,未設定
