バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,763,5NE5,三重県,1003,MASSH.,三重県,1135,HAGGER,三重県
1st&substream,RUGGED ASH,351,KEI,三重県,391,.AKEMI,三重県,1067,SUZUKI,三重県
1st&substream,R3,630,-BLUEX,三重県,698,FIA,三重県,896,SUZUKI,三重県
1st&substream,PARANOIA MAX～DIRTY MIX～,501,IIDX24,三重県,706,712545,三重県,1099,HAGGER,三重県
1st&substream,Macho Gang,350,AIORIA,三重県,930,712545,三重県,1615,4,三重県
1st&substream,KEEP ON MOVIN',190,FURU,三重県,242,HAGGER,三重県,0,,未設定
1st&substream,GRADIUSIC CYBER,702,SHADY,三重県,925,.JAM3.,三重県,1181,HAGGER,三重県
1st&substream,GENOM SCREAMS,402,.AKARI,三重県,759,FIA,三重県,1051,HAGGER,三重県
1st&substream,GAMBOL,274,CIRNO9,三重県,274,CIRNO9,三重県,0,,未設定
1st&substream,Dr.LOVE,371,NIUM,三重県,489,T-TMY,三重県,575,RIS.KK,三重県
1st&substream,deep in you,476,.AKARI,三重県,476,.AKARI,三重県,657,RIS.KK,三重県
1st&substream,BRILLIANT 2U,523,.AKARI,三重県,600,TREIZE,三重県,707,MASSH.,三重県
1st&substream,5.1.1.,192,FURU,三重県,1016,SUZUKI,三重県,1559,SUZUKI,三重県
1st&substream,22DUNK,500,.AKARI,三重県,604,TREIZE,三重県,654,HAGGER,三重県
2nd style,SP-TRIP MACHINE(for beatmania II),462,IIDX24,三重県,577,MISO,三重県,644,RIS.CT,三重県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),542,FURU,三重県,852,HAGGER,三重県,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),863,FURU,三重県,1041,FIA,三重県,1193,31337,三重県
2nd style,I Was The One,533,HAGGER,三重県,602,T-TMY,三重県,688,HAGGER,三重県
2nd style,Electro Tuned(the SubS mix),692,IIDX24,三重県,911,.FLRD,三重県,1058,HAGGER,三重県
2nd style,Digital MinD(A/T Libra mix),718,FURU,三重県,942,IIDX24,三重県,1104,HAGGER,三重県
2nd style,Dancin' Into The Night,419,FURU,三重県,464,HAGGER,三重県,0,,未設定
2nd style,.59,632,IIDX24,三重県,940,NKMR.,三重県,1134,RIS.KK,三重県
3rd style,THE SAFARI,1064,BART,三重県,1757,YUI.OR,三重県,0,,未設定
3rd style,Tangerine Stream,270,FURU,三重県,391,RIS.CT,三重県,0,,未設定
3rd style,Skyscraper,678,IIDX24,三重県,1090,712545,三重県,1229,HAGGER,三重県
3rd style,Schlagwerk,744,IIDX24,三重県,1204,FIA,三重県,1652,31337,三重県
3rd style,REINCARNATION,757,IIDX24,三重県,930,T-TMY,三重県,1261,RIS.KK,三重県
3rd style,R5,701,IIDX24,三重県,1153,FURU,三重県,1764,YUI.OR,三重県
3rd style,Presto,526,.AKARI,三重県,946,IKIT,三重県,1002,SUZUKI,三重県
3rd style,LEADING CYBER,710,IIDX24,三重県,1087,FIA,三重県,1255,HAGGER,三重県
3rd style,Holic,694,T-TMY,三重県,1160,NKMR.,三重県,1713,YUI.OR,三重県
3rd style,era (nostalmix),828,NKMR.,三重県,1043,FURU,三重県,1468,RIS.CT,三重県
3rd style,Don't Stop!,726,IIDX24,三重県,799,T-TMY,三重県,899,HAGGER,三重県
3rd style,CAN'T STOP FALLIN'IN LOVE,598,.AKARI,三重県,1236,RIS.KK,三重県,0,,未設定
4th style,Voltage (feat. Hidemaru),767,.KWBT,三重県,1163,.AKARI,三重県,1292,RIS.KK,三重県
4th style,ULTRA HIGH-HEELS,690,LUST,三重県,842,712545,三重県,988,RIS.KK,三重県
4th style,SWEET LAB,543,HAGGER,三重県,953,HAGGER,三重県,1319,YUI.OR,三重県
4th style,starmine,766,RUMIA,三重県,1322,.AKARI,三重県,1560,HAGGER,三重県
4th style,Nasty!,550,.AKARI,三重県,872,T-TMY,三重県,1519,HAGGER,三重県
4th style,Mr.T.(take me higher),828,FURU,三重県,933,IIDX24,三重県,1741,RIS.KK,三重県
4th style,minimalian,521,.AKARI,三重県,997,FIA,三重県,1388,31337,三重県
4th style,LOVE WILL・・・,494,T-TMY,三重県,707,T-TMY,三重県,1457,RIS.KK,三重県
4th style,KAMIKAZE,942,IIDX24,三重県,1384,LUST,三重県,2281,YUI.OR,三重県
4th style,Jam&Marmalade,692,T-TMY,三重県,784,712545,三重県,993,HAGGER,三重県
4th style,Hitch Hiker2,777,T-TMY,三重県,1068,T-TMY,三重県,1308,RIS.KK,三重県
4th style,HIGHER,481,IIDX24,三重県,902,.JAM3.,三重県,1273,RIS.KK,三重県
4th style,FLOWERS for ALBION,212,IIDX24,三重県,438,RIS.KK,三重県,0,,未設定
4th style,era (step mix),1001,T-TMY,三重県,1296,FIA,三重県,1641,RIS.CT,三重県
4th style,empathy,765,MARIA,三重県,1265,MASSH.,三重県,1412,HAGGER,三重県
4th style,DXY!,1117,T-TMY,三重県,1835,HAGGER,三重県,2223,4,三重県
4th style,Clione†,0,,未設定,0,,未設定,2071,MMTS.,三重県
4th style,Clione,483,LIG-T.,三重県,906,FURU,三重県,1590,HAGGER,三重県
4th style,CHECKING YOU OUT,542,IIDX24,三重県,740,712545,三重県,1257,RIS.KK,三重県
4th style,Burnin' The Floor,568,REGIO,三重県,901,712545,三重県,1428,SUZUKI,三重県
4th style,Broken My Heart,828,IIDX24,三重県,1397,FIA,三重県,1778,SUZUKI,三重県
4th style,B4U,921,IIDX24,三重県,1430,FIA,三重県,1992,OSHINO,三重県
4th style,ABSOLUTE,1037,LUST,三重県,1699,BONA,三重県,2328,RIS.KK,三重県
4th style,250bpm,618,IIDX24,三重県,949,.,三重県,1402,YUI.OR,三重県
5th style,V,1272,SUZUKI,三重県,2491,HADES!,三重県,3004,YUI.OR,三重県
5th style,THE SHINING POLARIS,883,LUST,三重県,1223,KAMO3,三重県,1570,SUZUKI,三重県
5th style,THE CUBE,643,.KWBT,三重県,1125,KEI,三重県,1337,RIS.KK,三重県
5th style,sync,986,T-TMY,三重県,1788,.,三重県,2327,31337,三重県
5th style,still my words,788,.KWBT,三重県,1208,HAGGER,三重県,0,,未設定
5th style,STILL IN MY HEART,859,.KWBT,三重県,1366,SUZUKI,三重県,1883,HAGGER,三重県
