バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,468,TEN*2,山口県,764,KNIGHT,山口県,1069,ARES,山口県
1st&substream,RUGGED ASH,358,MATA-Z,山口県,393,JACKAL,山口県,1058,YU-HI,山口県
1st&substream,R3,613,MI-OH?,山口県,704,COWARD,山口県,875,YU-HI,山口県
1st&substream,PARANOIA MAX～DIRTY MIX～,429,LCL,山口県,697,9R3N41,山口県,1050,AAA,山口県
1st&substream,Macho Gang,349,KURAMA,山口県,881,SONICO,山口県,1545,TOUYA,山口県
1st&substream,KEEP ON MOVIN',191,NANAKI,山口県,233,AAA,山口県,0,,未設定
1st&substream,GRADIUSIC CYBER,566,LCL,山口県,924,HIDEAK,山口県,1156,SATOH,山口県
1st&substream,GENOM SCREAMS,405,COWARD,山口県,721,9R3N41,山口県,1002,*HYUI*,山口県
1st&substream,GAMBOL,264,AAA,山口県,267,SATOH,山口県,0,,未設定
1st&substream,Dr.LOVE,390,JACKAL,山口県,470,KNIGHT,山口県,539,YANMAR,山口県
1st&substream,deep in you,232,GIN10K,山口県,478,NANAKI,山口県,646,YU-HI,山口県
1st&substream,BRILLIANT 2U,493,KNIGHT,山口県,642,COWARD,山口県,689,COWARD,山口県
1st&substream,5.1.1.,191,AAA,山口県,874,O,山口県,1535,ARES,山口県
1st&substream,22DUNK,479,KOBUN,山口県,556,KOBUN,山口県,630,SATOH,山口県
2nd style,SP-TRIP MACHINE(for beatmania II),373,KOBUN,山口県,594,BOBCHI,山口県,633,COWARD,山口県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),549,NANAKI,山口県,844,YU-HI,山口県,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),810,9R3N41,山口県,869,KWILT,山口県,1177,TOUYA,山口県
2nd style,I Was The One,519,JASCAP,山口県,641,JACKAL,山口県,674,YU-HI,山口県
2nd style,Electro Tuned(the SubS mix),493,ML..,山口県,881,MATA-Z,山口県,1014,NANAKI,山口県
2nd style,Digital MinD(A/T Libra mix),693,9R3N41,山口県,905,KNIGHT,山口県,1093,YU-HI,山口県
2nd style,Dancin' Into The Night,422,AAA,山口県,456,AAA,山口県,0,,未設定
2nd style,.59,598,MER9RY,山口県,910,9R3N41,山口県,1067,*HYUI*,山口県
3rd style,THE SAFARI,1111,FP1NY4,山口県,1744,YJU,山口県,0,,未設定
3rd style,Tangerine Stream,272,KNIGHT,山口県,373,MATA-Z,山口県,0,,未設定
3rd style,Skyscraper,676,KOBUN,山口県,1126,COWARD,山口県,1166,NANAKI,山口県
3rd style,Schlagwerk,727,MER9RY,山口県,1219,COWARD,山口県,1655,YU-HI,山口県
3rd style,REINCARNATION,624,KOBUN,山口県,985,COWARD,山口県,1205,AAA,山口県
3rd style,R5,497,LCL,山口県,1143,COWARD,山口県,1737,TOUYA,山口県
3rd style,Presto,492,T-EDGE,山口県,885,SONICO,山口県,987,YU-HI,山口県
3rd style,LEADING CYBER,767,MATA-Z,山口県,1149,COWARD,山口県,1152,AAA,山口県
3rd style,Holic,668,MER9RY,山口県,1153,COWARD,山口県,1674,YJU,山口県
3rd style,era (nostalmix),535,LCL,山口県,1006,MATA-Z,山口県,1373,TOUYA,山口県
3rd style,Don't Stop!,724,MER9RY,山口県,774,KNIGHT,山口県,873,SATOH,山口県
3rd style,CAN'T STOP FALLIN'IN LOVE,549,KOBUN,山口県,1163,AAA,山口県,0,,未設定
4th style,Voltage (feat. Hidemaru),742,V-AS?,山口県,1089,COWARD,山口県,1248,YU-HI,山口県
4th style,ULTRA HIGH-HEELS,682,KOBUN,山口県,887,COWARD,山口県,949,AAA,山口県
4th style,SWEET LAB,534,AAA,山口県,889,396,山口県,1314,YJU,山口県
4th style,starmine,773,MER9RY,山口県,1300,AZM!,山口県,1532,-Z-,山口県
4th style,Nasty!,481,KNIGHT,山口県,859,9R3N41,山口県,1460,AAA,山口県
4th style,Mr.T.(take me higher),783,9R3N41,山口県,925,9R3N41,山口県,1688,TOUYA,山口県
4th style,minimalian,271,GIN10K,山口県,982,AZM!,山口県,1296,SATOH,山口県
4th style,LOVE WILL・・・,527,HIDEAK,山口県,729,JUNCHI,山口県,1410,COWARD,山口県
4th style,KAMIKAZE,708,LCL,山口県,1356,9R3N41,山口県,2218,YU-HI,山口県
4th style,Jam&Marmalade,694,MATA-Z,山口県,635,V-AS?,山口県,991,KOTA,山口県
4th style,Hitch Hiker2,756,T-EDGE,山口県,1124,NIST,山口県,1298,KOTA,山口県
4th style,HIGHER,490,KNIGHT,山口県,865,AZM!,山口県,1207,AAA,山口県
4th style,FLOWERS for ALBION,212,9R3N41,山口県,408,ADITO4,山口県,0,,未設定
4th style,era (step mix),874,MER9RY,山口県,1213,KOBUN,山口県,1640,YU-HI,山口県
4th style,empathy,744,MER9RY,山口県,808,DEWEY,山口県,1341,ROJER0,山口県
4th style,DXY!,1127,MATA-Z,山口県,1645,FU-KA3,山口県,2200,YJU,山口県
4th style,Clione†,0,,未設定,0,,未設定,2029,GOGO!,山口県
4th style,Clione,367,QULEN,山口県,859,AZM!,山口県,1550,TOUYA,山口県
4th style,CHECKING YOU OUT,511,KOBUN,山口県,750,ROJER0,山口県,1262,YJU,山口県
4th style,Burnin' The Floor,543,MER9RY,山口県,799,MER9RY,山口県,1397,SATOH,山口県
4th style,Broken My Heart,745,MER9RY,山口県,1400,COWARD,山口県,1756,ARES,山口県
4th style,B4U,918,MER9RY,山口県,1487,*HYUI*,山口県,1918,TOUYA,山口県
4th style,ABSOLUTE,982,V-AS?,山口県,1667,SONICO,山口県,2259,TOUYA,山口県
4th style,250bpm,599,KOBUN,山口県,935,COWARD,山口県,1327,-Z-,山口県
5th style,V,1037,B.B,山口県,2391,*HYUI*,山口県,2866,GOGO!,山口県
5th style,THE SHINING POLARIS,804,MER9RY,山口県,1203,9R3N41,山口県,1574,YJU,山口県
5th style,THE CUBE,658,MER9RY,山口県,1192,NIST,山口県,1267,AAA,山口県
5th style,sync,1016,KNIGHT,山口県,1831,COWARD,山口県,2316,TOUYA,山口県
5th style,still my words,871,9R3N41,山口県,1187,YU-HI,山口県,0,,未設定
5th style,STILL IN MY HEART,806,XL,山口県,1306,COWARD,山口県,1904,YJU,山口県
5th style,Spin the disc,785,COWARD,山口県,1192,NIST,山口県,1302,KOTA,山口県
5th style,RISLIM,843,9R3N41,山口県,1142,AAA,山口県,0,,未設定
5th style,RIDE ON THE LIGHT (HI GREAT MIX) †,0,,未設定,0,,未設定,1746,GOGO!,山口県
5th style,RIDE ON THE LIGHT (HI GREAT MIX),861,HIDEAK,山口県,936,9R3N41,山口県,1639,*HYUI*,山口県
5th style,Regulus,904,T-EDGE,山口県,1423,COWARD,山口県,1661,YJU,山口県
5th style,Real,963,FALSE,山口県,1411,KOBUN,山口県,1767,TOUYA,山口県
5th style,Radical Faith,1093,HIRON,山口県,1387,9R3N41,山口県,1240,AAA,山口県
5th style,QQQ,1170,COWARD,山口県,1712,NIST,山口県,2084,TOUYA,山口県
5th style,outer wall,0,,未設定,1228,MATA-Z,山口県,1701,TOUYA,山口県
5th style,LOVE AGAIN TONIGHT～for Mellisa mix～,683,MER9RY,山口県,857,FAL,山口県,1064,AAA,山口県
