バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,421,MERURU,徳島県,906,PRADA,徳島県,1116,L#...*,徳島県
1st&substream,RUGGED ASH,360,EDF,徳島県,395,MILD-7,徳島県,1077,L#...*,徳島県
1st&substream,R3,612,LKAR,徳島県,693,LKAR,徳島県,893,L#...*,徳島県
1st&substream,PARANOIA MAX～DIRTY MIX～,467,POI,徳島県,613,IIDX24,徳島県,1088,L#...*,徳島県
1st&substream,Macho Gang,356,EDF,徳島県,802,R55,徳島県,1564,L#...*,徳島県
1st&substream,KEEP ON MOVIN',189,RIN5*,徳島県,244,L#...*,徳島県,0,,未設定
1st&substream,GRADIUSIC CYBER,663,YEE,徳島県,853,HRDMKO,徳島県,1184,CROSS,徳島県
1st&substream,GENOM SCREAMS,378,PRADA,徳島県,766,LKAR,徳島県,967,KAME,徳島県
1st&substream,GAMBOL,270,RIN5*,徳島県,274,L#...*,徳島県,0,,未設定
1st&substream,Dr.LOVE,385,EDF,徳島県,291,YASUO?,徳島県,577,L#...*,徳島県
1st&substream,deep in you,418,PRADA,徳島県,282,UMAMI*,徳島県,655,L#...*,徳島県
1st&substream,BRILLIANT 2U,489,PRADA,徳島県,530,COHARU,徳島県,720,L#...*,徳島県
1st&substream,5.1.1.,190,RIN5*,徳島県,955,PRADA,徳島県,1558,L#...*,徳島県
1st&substream,22DUNK,464,PRADA,徳島県,566,2DX26,徳島県,653,L#...*,徳島県
2nd style,SP-TRIP MACHINE(for beatmania II),191,REIPIA,徳島県,336,SYARO,徳島県,643,L#...*,徳島県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),570,SONORA,徳島県,851,L#...*,徳島県,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),850,RIN5*,徳島県,655,FIEA,徳島県,1203,L#...*,徳島県
2nd style,I Was The One,531,SONORA,徳島県,584,EDF,徳島県,681,RIN5*,徳島県
2nd style,Electro Tuned(the SubS mix),0,,未設定,900,MILD-7,徳島県,997,MILD-7,徳島県
2nd style,Digital MinD(A/T Libra mix),710,RIN5*,徳島県,954,EDF,徳島県,1076,L#MELL,徳島県
2nd style,Dancin' Into The Night,425,SONORA,徳島県,466,L#...*,徳島県,0,,未設定
2nd style,.59,481,FIEA,徳島県,799,AKI!,徳島県,1129,L#...*,徳島県
3rd style,THE SAFARI,904,LEON,徳島県,1649,SONORA,徳島県,0,,未設定
3rd style,Tangerine Stream,271,RIN5*,徳島県,392,L#...*,徳島県,0,,未設定
3rd style,Skyscraper,621,PRADA,徳島県,1144,MILD-7,徳島県,1209,RIN5*,徳島県
3rd style,Schlagwerk,384,YELLOW,徳島県,1223,EDF,徳島県,1661,GENZO,徳島県
3rd style,REINCARNATION,486,UMAMI*,徳島県,952,AREST,徳島県,1219,RIN5*,徳島県
3rd style,R5,409,GINITY,徳島県,1067,AREST,徳島県,1739,L#...*,徳島県
3rd style,Presto,482,PRADA,徳島県,932,SONORA,徳島県,997,L#...*,徳島県
3rd style,LEADING CYBER,0,,未設定,861,LUTE,徳島県,1209,MILD-7,徳島県
3rd style,Holic,740,LKAR,徳島県,1128,EDF,徳島県,1623,GOQURI,徳島県
3rd style,era (nostalmix),604,UMAMI*,徳島県,1041,SONORA,徳島県,1463,L#...*,徳島県
3rd style,Don't Stop!,700,2DX26,徳島県,690,SHIRO,徳島県,896,L#...*,徳島県
3rd style,CAN'T STOP FALLIN'IN LOVE,564,PRADA,徳島県,1233,L#...*,徳島県,0,,未設定
4th style,Voltage (feat. Hidemaru),587,UMAMI*,徳島県,1113,LKAR,徳島県,1304,L#...*,徳島県
4th style,ULTRA HIGH-HEELS,500,KEN,徳島県,605,UMAMI*,徳島県,985,L#...*,徳島県
4th style,SWEET LAB,515,BECE,徳島県,896,LKAR,徳島県,1305,L#...*,徳島県
4th style,starmine,687,TIKUWA,徳島県,1389,L#...*,徳島県,1544,RIN5*,徳島県
4th style,Nasty!,0,,未設定,759,HRDMKO,徳島県,1554,L#...*,徳島県
