バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,594,NAKA,香川県,931,SNAIL.,香川県,1049,PEN-X2,香川県
1st&substream,RUGGED ASH,354,M-FINE,香川県,387,SNAIL.,香川県,1000,RENZI,香川県
1st&substream,R3,623,TOMY,香川県,696,H1RO,香川県,853,H1RO,香川県
1st&substream,PARANOIA MAX～DIRTY MIX～,512,X10A,香川県,713,LIBRA,香川県,1061,PEN-X2,香川県
1st&substream,Macho Gang,362,SR*NAO,香川県,1024,KIKYO,香川県,1597,TTPOD,香川県
1st&substream,KEEP ON MOVIN',192,TOMY,香川県,242,KIKYO,香川県,0,,未設定
1st&substream,GRADIUSIC CYBER,803,VODKA,香川県,870,LIBRA,香川県,1120,AYANEL,香川県
1st&substream,GENOM SCREAMS,325,SIN,香川県,710,SNAIL.,香川県,1057,TTPOD,香川県
1st&substream,GAMBOL,264,PEN-X2,香川県,269,PEN-X2,香川県,0,,未設定
1st&substream,Dr.LOVE,392,PEN-X2,香川県,495,JADE,香川県,554,AYANEL,香川県
1st&substream,deep in you,290,WAKAME,香川県,485,SNAIL.,香川県,644,PEN-X2,香川県
1st&substream,BRILLIANT 2U,488,X10A,香川県,620,KIKYO,香川県,690,PEN-X2,香川県
1st&substream,5.1.1.,195,TM,香川県,936,TOMY,香川県,1543,W,香川県
1st&substream,22DUNK,442,BISON,香川県,589,NEKO,香川県,632,PEN-X2,香川県
2nd style,SP-TRIP MACHINE(for beatmania II),431,NAKA,香川県,590,SNAIL.,香川県,622,AYANEL,香川県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),438,AJIMI,香川県,837,TTPOD,香川県,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),639,NAKA,香川県,989,LIBRA,香川県,1195,D6BOH,香川県
2nd style,I Was The One,528,MATO,香川県,648,D6BOH,香川県,678,D6BOH,香川県
2nd style,Electro Tuned(the SubS mix),707,TOMY,香川県,884,SNAIL.,香川県,1021,AYANEL,香川県
